track,note,velocity,time,anomaly
1,68,39,240,0
1,52,39,80,1
1,68,0,20,0
1,67,84,240,3
1,77,57,120,3
1,56,124,460,2
1,61,0,20,0
1,56,0,100,0
1,56,33,940,1
1,56,40,360,2
1,62,76,240,3
1,68,39,30,2
1,65,0,480,0
1,56,0,0,0
1,67,25,480,3
1,61,0,0,0
1,45,77,30,3
1,59,82,60,2
1,68,43,960,1
1,65,43,0,0
1,62,0,240,1
1,56,0,0,0
1,72,28,360,3
1,68,0,0,0
1,71,39,240,1
1,60,89,60,3
1,57,20,480,3
1,60,39,60,0
1,66,0,20,0
1,56,44,60,0
1,60,0,20,0
1,56,73,100,1
1,66,41,120,0
1,68,42,0,0
1,72,34,480,2
1,56,77,720,2
1,56,44,480,1
1,54,30,480,3
1,68,0,960,1
1,60,0,0,0
1,56,32,0,0
1,67,102,360,3
1,64,38,0,0
1,58,0,480,2
1,68,0,0,0
1,56,0,0,0
1,68,27,240,0
1,65,27,100,1
1,68,0,480,1
1,61,27,60,0
1,70,57,120,3
1,56,30,60,0
1,61,0,20,0
1,56,0,240,1
1,71,27,120,1
1,68,76,240,2
1,62,27,0,1
1,45,27,0,1
1,45,0,240,2
1,65,0,0,0
1,68,0,0,0
1,61,0,0,0
1,56,49,0,1
1,68,50,0,1
1,54,26,0,1
1,47,65,30,3
1,48,23,220,3
1,69,75,120,3
1,68,0,0,0
1,66,70,20,3
1,68,27,240,0
1,66,27,80,0
1,68,0,480,1
1,55,69,100,3
1,66,0,20,0
1,56,30,60,0
1,60,0,20,0
1,68,43,30,3
1,60,31,120,0
1,56,64,60,3
1,66,31,0,0
1,56,31,0,0
1,69,0,480,1
1,60,0,0,0
1,68,75,0,1
1,78,21,0,2
1,68,31,0,0
1,58,71,240,3
1,56,31,0,0
1,45,0,220,1
1,65,32,0,2
1,68,28,240,2
1,65,126,20,2
1,52,45,0,1
1,68,0,240,1
1,78,0,0,1
1,65,45,240,0
1,77,47,0,0
1,78,28,720,2
1,65,0,0,0
1,77,41,0,0
1,65,41,0,0
1,62,72,960,3
1,77,0,0,0
1,65,46,0,0
1,77,46,0,0
1,77,0,360,0
1,53,40,220,3
1,80,43,0,0
1,68,43,0,0
1,81,32,960,3
1,77,69,100,3
1,86,74,30,3
1,68,43,0,0
1,71,33,220,3
1,80,0,0,0
1,90,83,220,3
1,66,55,240,1
1,80,58,240,0
1,68,58,0,0
1,63,22,60,3
1,78,0,0,0
1,75,125,20,3
1,82,61,100,1
1,91,62,20,2
1,68,26,0,1
1,84,112,720,3
1,85,64,0,0
1,70,0,20,0
1,82,24,0,1
1,83,62,220,1
1,84,62,0,0
1,73,0,20,0
1,85,0,0,0
1,63,127,180,3
1,87,71,0,0
1,72,0,20,0
1,84,0,0,0
1,70,56,220,0
1,82,127,0,1
1,75,0,20,0
1,87,0,0,0
1,80,102,80,2
1,55,55,0,1
1,76,0,120,2
1,87,62,940,3
1,80,58,940,1
1,71,28,0,2
1,77,53,0,0
1,65,53,0,0
1,65,0,240,0
1,77,0,0,0
1,77,53,240,0
1,65,127,60,2
1,65,0,720,0
1,77,0,480,1
1,77,49,0,0
1,64,105,240,3
1,70,58,60,3
1,77,0,0,0
1,65,106,240,2
1,77,55,0,0
1,77,65,480,2
1,65,0,0,0
