track,note,velocity,time,anomaly
1,71,79,475,3
1,54,21,600,2
1,56,110,0,1
1,53,28,120,2
1,53,28,0,0
1,42,0,2160,1
1,59,81,2400,3
1,56,0,600,0
1,60,80,5280,2
1,60,0,120,0
1,65,35,238,1
1,65,0,720,0
1,68,35,0,0
1,73,66,1200,3
1,72,30,0,0
1,72,0,120,0
1,72,69,600,3
1,77,0,710,0
1,65,33,10,0
1,65,0,720,0
1,59,35,60,2
1,72,0,1200,0
1,61,92,80,3
1,74,61,480,2
1,60,76,480,3
1,72,0,60,0
1,74,32,0,0
1,74,53,80,1
1,76,28,0,0
1,76,0,80,0
1,61,70,120,3
1,74,0,80,0
1,76,28,0,0
1,76,0,80,0
1,85,102,2160,3
1,74,0,80,0
1,76,29,0,0
1,76,0,80,0
1,74,32,0,0
1,74,0,80,0
1,76,28,0,0
1,77,0,80,1
1,73,31,80,2
1,74,0,60,1
1,65,96,60,3
1,88,32,2,3
1,85,70,475,3
1,74,50,80,1
1,76,32,0,0
1,76,0,80,0
1,61,91,0,2
1,86,37,600,3
1,72,28,0,0
1,84,34,475,3
1,70,66,480,3
1,79,50,40,3
1,74,28,0,0
1,75,72,120,2
1,85,56,80,3
1,59,0,480,1
1,62,97,1680,2
1,48,26,1680,3
1,58,31,0,0
1,58,78,715,2
1,54,28,0,0
1,54,0,2160,0
1,58,35,0,0
1,58,0,0,1
1,50,97,120,3
1,61,0,120,0
1,72,35,0,1
1,66,0,720,0
1,70,35,0,0
1,70,0,600,0
1,73,30,0,0
1,84,0,80,2
1,91,81,0,2
1,83,45,2400,3
1,66,83,0,1
1,66,42,2160,2
1,73,35,0,0
1,85,64,715,3
1,63,32,715,2
1,75,0,180,0
1,73,31,0,0
1,73,0,60,0
1,75,30,0,0
1,75,0,80,0
1,77,27,0,0
1,77,0,80,0
1,74,30,0,1
1,75,0,80,0
1,76,88,715,3
1,77,0,80,0
1,75,30,0,0
1,75,0,80,0
1,78,72,180,3
1,77,0,80,0
1,75,29,0,0
1,70,0,720,2
1,77,27,0,0
1,78,0,80,1
1,75,29,0,0
1,88,0,80,1
1,77,28,0,0
1,77,0,80,0
1,70,30,475,2
1,75,0,80,0
1,64,28,0,1
1,77,0,80,0
1,75,26,0,0
1,75,0,120,0
1,73,28,0,0
1,73,0,120,0
1,88,94,80,3
1,83,30,120,2
1,88,29,120,2
1,75,0,120,0
1,73,35,0,0
1,73,0,480,0
1,72,35,2400,0
1,72,0,1200,0
1,74,42,0,0
1,74,33,1200,2
1,83,95,0,2
1,61,69,2160,3
1,87,43,0,1
1,87,61,5,3
1,88,80,475,3
1,76,0,80,0
1,74,113,10,2
1,74,0,80,0
1,76,36,0,0
1,76,0,80,0
1,74,39,0,0
1,74,0,715,1
1,76,36,0,0
1,82,24,2400,3
1,62,41,600,2
1,71,38,715,3
1,76,37,715,1
1,76,0,80,0
1,74,40,0,0
1,74,0,80,0
1,76,35,0,0
1,75,31,80,2
1,74,65,2,2
1,74,0,80,0
1,76,37,0,0
1,76,0,80,0
1,74,108,0,1
1,74,0,120,0
1,72,33,0,0
1,83,0,120,1
1,81,98,0,2
1,76,0,120,0
1,69,63,0,2
1,73,0,120,1
1,72,81,238,2
1,72,0,480,0
1,87,35,2400,1
1,63,65,720,3
1,76,38,0,1
1,77,70,240,1
1,77,39,0,0
1,77,0,80,0
1,66,58,2400,3
1,73,29,480,3
1,74,39,480,2
1,77,27,80,1
1,79,35,0,0
1,79,0,80,0
1,77,39,0,0
1,90,0,80,1
1,79,93,0,1
1,79,0,10,1
1,77,39,0,0
1,77,0,600,1
1,79,35,0,0
1,79,0,80,0
1,77,39,0,0
1,77,0,80,0
1,79,36,0,0
1,79,26,80,1
1,74,33,2160,2
1,80,0,80,1
1,79,39,1680,1
1,79,0,80,0
1,66,33,0,1
1,77,0,120,0
1,89,34,480,2
1,89,0,120,1
1,79,68,60,2
1,79,22,120,1
1,77,35,0,0
1,74,33,710,3
1,76,35,0,0
1,76,0,480,0
1,76,35,1680,0
1,79,35,0,0
1,74,68,0,3
1,76,0,0,0
1,67,31,0,1
1,87,31,238,2
1,76,68,5,2
1,79,0,0,0
1,76,35,0,0
1,91,111,60,3
1,92,29,5280,3
1,76,0,1680,1
1,79,35,0,0
1,82,63,2400,2
1,82,47,480,1
1,79,0,240,1
1,82,83,1680,0
1,85,83,240,2
1,79,0,240,0
1,82,34,0,1
1,82,77,0,0
1,79,77,0,0
1,79,0,240,0
1,94,38,60,3
1,79,83,0,0
1,82,47,0,1
1,76,61,710,3
1,79,51,480,2
1,94,85,40,2
1,88,62,715,2
1,82,76,720,1
1,88,67,475,3
1,91,85,0,0
1,91,0,120,0
1,93,75,180,2
1,88,0,120,0
1,94,60,0,1
1,94,0,120,0
1,90,127,80,3
1,91,0,120,0
1,88,6,0,1
1,88,0,120,0
1,91,76,0,0
1,91,0,120,0
1,83,62,710,3
1,82,0,120,0
1,93,127,2160,3
1,88,0,120,0
1,79,54,0,1
1,79,0,120,0
1,71,127,0,2
1,82,0,120,0
