track,note,velocity,time,anomaly
1,67,56,241,0
1,67,0,120,0
1,72,60,0,0
1,72,0,120,0
1,76,63,0,0
1,76,0,108,0
1,67,50,12,0
1,67,0,120,0
1,72,47,0,0
1,72,0,120,0
1,76,47,0,0
1,76,0,120,0
1,67,56,240,0
1,67,0,120,0
1,72,60,0,0
1,72,0,120,0
1,76,62,0,0
1,76,0,108,0
1,67,50,12,0
1,67,0,120,0
1,72,48,0,0
1,72,0,120,0
1,76,48,0,0
1,76,0,1,0
1,69,56,240,0
1,69,0,120,0
1,74,60,0,0
1,74,0,120,0
1,77,65,0,0
1,77,0,108,0
1,69,51,12,0
1,69,0,120,0
1,74,50,0,0
1,74,0,120,0
1,77,50,0,0
1,77,0,120,0
1,69,58,240,0
1,69,0,120,0
1,74,60,0,0
1,74,0,120,0
1,77,65,0,0
1,77,0,108,0
1,69,52,12,0
1,69,0,120,0
1,74,50,0,0
1,74,0,120,0
1,77,50,0,0
1,77,0,1,0
1,67,56,240,0
1,67,0,120,0
1,74,60,0,0
1,74,0,120,0
1,77,65,0,0
1,77,0,108,0
1,67,51,12,0
1,67,0,120,0
1,74,50,0,0
1,74,0,120,0
1,77,50,0,0
1,77,0,120,0
1,67,56,240,0
1,67,0,120,0
1,74,60,0,0
1,74,0,120,0
1,77,65,0,0
1,77,0,108,0
1,67,52,12,0
1,67,0,120,0
1,74,50,0,0
1,74,0,120,0
1,77,50,0,0
1,77,0,1,0
1,67,53,240,0
1,67,0,120,0
1,72,55,0,0
1,72,0,120,0
1,76,60,0,0
1,76,0,108,0
1,67,50,12,0
1,67,0,120,0
1,72,47,0,0
1,72,0,120,0
1,76,47,0,0
1,76,0,120,0
1,67,55,240,0
1,67,0,120,0
1,72,57,0,0
1,72,0,120,0
1,76,61,0,0
1,76,0,108,0
1,67,50,12,0
1,67,0,120,0
1,72,48,0,0
1,72,0,120,0
1,76,48,0,0
1,76,0,1,0
1,69,61,240,0
1,69,0,120,0
1,76,66,0,0
1,76,0,120,0
1,81,70,0,0
1,81,0,108,0
1,69,55,12,0
1,69,0,120,0
1,76,51,0,0
1,76,0,120,0
1,81,51,0,0
1,81,0,120,0
1,69,61,240,0
1,69,0,120,0
1,76,65,0,0
1,76,0,120,0
1,81,68,0,0
1,81,0,108,0
1,69,55,12,0
1,69,0,120,0
1,76,52,0,0
1,76,0,120,0
1,81,52,0,0
1,81,0,1,0
1,66,56,240,0
1,66,0,120,0
1,69,60,0,0
1,69,0,120,0
1,74,63,0,0
1,74,0,108,0
1,66,50,12,0
1,66,0,120,0
1,69,47,0,0
1,69,0,120,0
1,74,47,0,0
1,74,0,120,0
1,66,56,240,0
1,66,0,120,0
1,69,60,0,0
1,69,0,120,0
1,74,62,0,0
1,74,0,108,0
1,66,50,12,0
1,66,0,120,0
1,69,48,0,0
1,69,0,120,0
1,74,48,0,0
1,74,0,1,0
1,67,58,240,0
1,67,0,120,0
1,74,63,0,0
1,74,0,120,0
1,79,66,0,0
1,79,0,108,0
1,67,51,12,0
1,67,0,120,0
1,74,50,0,0
1,74,0,120,0
1,79,50,0,0
1,79,0,120,0
1,67,58,240,0
1,67,0,120,0
1,74,62,0,0
1,74,0,120,0
1,79,65,0,0
1,79,0,108,0
1,67,52,12,0
1,67,0,120,0
1,74,50,0,0
1,74,0,120,0
1,79,50,0,0
1,79,0,1,0
1,64,56,240,0
1,64,0,120,0
1,67,60,0,0
1,67,0,120,0
1,72,63,0,0
1,72,0,108,0
1,64,50,12,0
1,64,0,120,0
1,67,47,0,0
1,67,0,120,0
1,72,47,0,0
1,72,0,120,0
1,64,56,240,0
1,64,0,120,0
1,67,60,0,0
1,67,0,120,0
1,72,62,0,0
1,72,0,108,0
1,64,50,12,0
1,64,0,120,0
1,67,48,0,0
1,67,0,120,0
1,72,48,0,0
1,72,0,1,0
1,64,56,240,0
1,64,0,120,0
1,67,60,0,0
1,67,0,120,0
1,72,63,0,0
1,72,0,108,0
1,64,50,12,0
1,64,0,120,0
1,67,47,0,0
1,67,0,120,0
1,72,47,0,0
1,72,0,120,0
1,64,56,240,0
1,64,0,120,0
1,67,60,0,0
1,67,0,120,0
1,72,62,0,0
1,72,0,108,0
1,64,50,12,0
1,64,0,120,0
1,67,48,0,0
1,67,0,120,0
1,72,48,0,0
1,72,0,1,0
1,62,56,240,0
1,62,0,120,0
1,66,60,0,0
1,66,0,120,0
1,72,63,0,0
1,72,0,108,0
1,62,50,12,0
1,62,0,120,0
1,66,47,0,0
1,66,0,120,0
1,72,47,0,0
1,72,0,120,0
1,62,56,240,0
1,62,0,120,0
1,66,60,0,0
1,66,0,120,0
1,72,62,0,0
1,72,0,108,0
1,62,50,12,0
1,62,0,120,0
1,66,48,0,0
1,66,0,120,0
1,72,48,0,0
1,72,0,1,0
1,62,53,240,0
1,62,0,120,0
1,67,56,0,0
1,67,0,120,0
1,71,60,0,0
1,71,0,108,0
1,62,46,12,0
1,62,0,120,0
1,67,45,0,0
1,67,0,120,0
1,71,45,0,0
1,71,0,120,0
1,62,53,240,0
1,62,0,120,0
1,67,56,0,0
1,67,0,120,0
1,71,58,0,0
1,71,0,108,0
1,62,47,12,0
1,62,0,120,0
1,67,45,0,0
1,67,0,120,0
1,71,45,0,0
1,71,0,1,0
1,64,53,240,0
1,64,0,120,0
1,67,56,0,0
1,67,0,120,0
1,73,60,0,0
1,73,0,108,0
1,64,46,12,0
1,64,0,120,0
1,67,45,0,0
1,67,0,120,0
1,73,45,0,0
1,73,0,120,0
1,64,53,240,0
1,64,0,120,0
1,67,56,0,0
1,67,0,120,0
1,73,58,0,0
1,73,0,108,0
1,64,47,12,0
1,64,0,120,0
1,67,45,0,0
1,67,0,120,0
1,73,45,0,0
1,73,0,1,0
1,62,56,240,0
1,62,0,120,0
1,69,60,0,0
1,69,0,120,0
1,74,63,0,0
1,74,0,108,0
1,62,50,12,0
1,62,0,120,0
1,69,47,0,0
1,69,0,120,0
1,74,47,0,0
1,74,0,120,0
1,62,56,240,0
1,62,0,120,0
1,69,60,0,0
1,69,0,120,0
1,74,62,0,0
1,74,0,108,0
1,62,50,12,0
1,62,0,120,0
1,69,48,0,0
1,69,0,120,0
1,74,48,0,0
1,74,0,1,0
1,62,53,240,0
1,62,0,120,0
1,65,56,0,0
1,65,0,120,0
1,71,60,0,0
1,71,0,108,0
1,62,46,12,0
1,62,0,120,0
1,65,45,0,0
1,65,0,120,0
1,71,45,0,0
1,71,0,120,0
1,62,53,240,0
1,62,0,120,0
1,65,56,0,0
1,65,0,120,0
1,71,58,0,0
1,71,0,108,0
1,62,47,12,0
1,62,0,120,0
1,65,45,0,0
1,65,0,120,0
1,71,45,0,0
1,71,0,1,0
1,60,53,240,0
1,60,0,120,0
1,67,56,0,0
1,67,0,120,0
1,72,60,0,0
1,72,0,108,0
1,60,46,12,0
1,60,0,120,0
1,67,45,0,0
1,67,0,120,0
1,72,45,0,0
1,72,0,120,0
1,60,53,240,0
1,60,0,120,0
1,67,56,0,0
1,67,0,120,0
1,72,58,0,0
1,72,0,108,0
1,60,47,12,0
1,60,0,120,0
1,67,45,0,0
1,67,0,120,0
1,72,45,0,0
1,72,0,1,0
1,57,50,240,0
1,57,0,120,0
1,60,53,0,0
1,60,0,120,0
1,65,56,0,0
1,65,0,108,0
1,57,45,12,0
1,57,0,120,0
1,60,42,0,0
1,60,0,120,0
1,65,42,0,0
1,65,0,120,0
1,57,50,240,0
1,57,0,120,0
1,60,53,0,0
1,60,0,120,0
1,65,55,0,0
1,65,0,108,0
1,57,45,12,0
1,57,0,120,0
1,60,43,0,0
1,60,0,120,0
1,65,43,0,0
1,65,0,1,0
1,57,50,240,0
1,57,0,120,0
1,60,53,0,0
1,60,0,120,0
1,65,56,0,0
1,65,0,108,0
1,57,45,12,0
1,57,0,120,0
1,60,42,0,0
1,60,0,120,0
1,65,42,0,0
1,65,0,120,0
1,57,50,240,0
1,57,0,120,0
1,60,53,0,0
1,60,0,120,0
1,65,55,0,0
1,65,0,108,0
1,57,45,12,0
1,57,0,120,0
1,60,43,0,0
1,60,0,120,0
1,65,43,0,0
1,65,0,1,0
1,55,50,240,0
1,55,0,120,0
1,59,53,0,0
1,59,0,120,0
1,65,56,0,0
1,65,0,108,0
1,55,45,12,0
1,55,0,120,0
1,59,42,0,0
1,59,0,120,0
1,65,42,0,0
1,65,0,120,0
1,55,50,240,0
1,55,0,120,0
1,59,53,0,0
1,59,0,120,0
1,65,55,0,0
1,65,0,108,0
1,55,45,12,0
1,55,0,120,0
1,59,43,0,0
1,59,0,120,0
1,65,43,0,0
1,65,0,1,0
1,55,50,240,0
1,55,0,120,0
1,60,53,0,0
1,60,0,120,0
1,64,56,0,0
1,64,0,108,0
1,55,45,12,0
1,55,0,120,0
1,60,42,0,0
1,60,0,120,0
1,64,42,0,0
1,64,0,120,0
1,55,50,240,0
1,55,0,120,0
1,60,53,0,0
1,60,0,120,0
1,64,55,0,0
1,64,0,108,0
1,55,45,12,0
1,55,0,120,0
1,60,43,0,0
1,60,0,120,0
1,64,43,0,0
1,64,0,1,0
1,58,47,240,0
1,58,0,120,0
1,60,50,0,0
1,60,0,120,0
1,64,53,0,0
1,64,0,108,0
1,58,41,12,0
1,58,0,120,0
1,60,40,0,0
1,60,0,120,0
1,64,40,0,0
1,64,0,120,0
