track,note,velocity,time,anomaly
1,86,93,1320,0
1,89,93,0,0
1,94,93,0,0
1,98,110,0,0
1,98,5,120,0
1,86,5,0,0
1,89,5,0,0
1,94,5,0,0
1,89,84,0,0
1,94,84,0,0
1,86,84,0,0
1,98,99,0,0
1,98,5,180,0
1,89,5,0,0
1,94,5,0,0
1,86,5,0,0
1,86,85,60,0
1,99,105,0,0
1,89,85,0,0
1,94,85,0,0
1,94,5,45,0
1,86,5,0,0
1,99,5,0,0
1,89,5,0,0
1,98,102,75,0
1,86,87,0,0
1,94,87,0,0
1,89,87,0,0
1,89,5,45,0
1,98,5,0,0
1,86,5,0,0
1,94,5,0,0
1,89,93,75,0
1,86,93,0,0
1,94,93,0,0
1,98,110,0,0
1,98,5,120,0
1,89,5,0,0
1,86,5,0,0
1,94,5,0,0
1,86,85,120,0
1,82,85,0,0
1,89,85,0,0
1,94,101,0,0
1,94,5,120,0
1,86,5,0,0
1,82,5,0,0
1,89,5,0,0
1,94,93,960,0
1,98,93,0,0
1,89,93,0,0
1,101,110,0,0
1,101,5,120,0
1,94,5,0,0
1,98,5,0,0
1,89,5,0,0
1,89,84,0,0
1,94,84,0,0
1,98,84,0,0
1,101,99,0,0
1,101,5,180,0
1,89,5,0,0
1,94,5,0,0
1,98,5,0,0
1,94,85,60,0
1,98,85,0,0
1,103,105,0,0
1,89,85,0,0
1,89,5,45,0
1,94,5,0,0
1,98,5,0,0
1,103,5,0,0
1,89,87,75,0
1,94,87,0,0
1,101,102,0,0
1,98,87,0,0
1,98,5,45,0
1,89,5,0,0
1,94,5,0,0
1,101,5,0,0
1,101,110,75,0
1,89,93,0,0
1,94,93,0,0
1,98,93,0,0
1,98,5,120,0
1,101,5,0,0
1,89,5,0,0
1,94,5,0,0
1,86,85,120,0
1,89,85,0,0
1,94,85,0,0
1,98,101,0,0
1,98,5,120,0
1,86,5,0,0
1,89,5,0,0
1,94,5,0,0
1,82,55,360,0
1,82,5,120,0
1,84,50,0,0
1,84,5,120,0
1,86,55,0,0
1,79,44,240,0
1,79,5,240,0
1,86,5,0,0
1,81,38,0,0
1,84,44,0,0
1,84,5,240,0
1,81,5,0,0
1,80,47,0,0
1,84,55,0,0
1,84,5,120,0
1,86,51,0,0
1,86,5,120,0
1,80,5,0,0
1,87,60,0,0
1,79,51,0,0
1,79,5,240,0
1,81,50,0,0
1,81,5,240,0
1,87,5,0,0
1,82,43,0,0
1,86,50,0,0
1,86,5,240,0
1,82,5,0,0
1,79,44,0,0
1,86,52,0,0
1,86,5,120,0
1,87,55,0,0
1,87,5,120,0
1,79,5,0,0
1,77,50,0,0
1,89,59,0,0
1,77,5,240,0
1,82,50,0,0
1,89,5,120,0
1,91,57,0,0
1,91,5,120,0
1,82,5,0,0
1,79,47,0,0
1,89,55,0,0
1,89,5,120,0
1,87,48,0,0
1,79,5,120,0
1,81,48,0,0
1,87,5,120,0
1,89,50,0,0
1,89,5,120,0
1,81,5,0,0
1,82,40,0,0
1,77,40,0,0
1,87,54,0,0
1,87,5,120,0
1,86,46,0,0
1,86,5,120,0
1,77,5,0,0
1,82,5,0,0
1,84,35,0,0
1,89,48,0,0
1,79,35,0,0
1,89,5,120,0
1,87,42,0,0
1,87,5,120,0
1,79,5,0,0
1,84,5,0,0
1,81,35,0,0
1,84,40,0,0
1,84,5,240,0
1,81,5,0,0
1,94,55,0,0
1,94,5,120,0
1,96,50,0,0
1,96,5,120,0
1,98,55,0,0
1,91,44,240,0
1,91,5,240,0
1,98,5,0,0
1,93,38,0,0
1,96,44,0,0
1,96,5,240,0
1,93,5,0,0
1,96,55,0,0
1,92,47,0,0
1,96,5,120,0
1,98,51,0,0
1,98,5,120,0
1,92,5,0,0
1,91,51,0,0
1,99,60,0,0
1,91,5,240,0
1,93,50,0,0
1,93,5,240,0
1,99,5,0,0
1,98,50,0,0
1,94,43,0,0
1,94,5,240,0
1,98,5,0,0
1,91,44,0,0
1,98,56,0,0
1,98,5,120,0
1,99,60,0,0
1,99,5,120,0
1,91,5,0,0
1,101,64,0,0
1,89,50,0,0
1,89,5,240,0
1,94,50,0,0
1,101,5,120,0
1,103,62,0,0
1,103,5,120,0
1,94,5,0,0
1,101,60,0,0
1,91,47,0,0
1,101,5,120,0
1,99,52,0,0
1,91,5,120,0
1,93,48,0,0
1,99,5,120,0
1,101,55,0,0
1,101,5,120,0
1,93,5,0,0
1,99,62,0,0
1,89,49,0,0
1,99,5,120,0
1,98,54,0,0
1,89,5,120,0
1,94,51,0,0
1,98,5,120,0
1,99,58,0,0
1,99,5,120,0
1,98,65,0,0
1,98,5,120,0
1,96,54,0,0
1,96,5,120,0
1,94,5,0,0
1,98,60,0,0
1,93,52,0,0
1,89,52,0,0
1,98,5,120,0
1,99,56,0,0
1,99,5,120,0
1,89,5,0,0
1,93,5,0,0
1,89,57,0,0
1,103,72,0,0
1,94,57,0,0
1,103,5,120,0
1,101,58,0,0
1,101,5,120,0
1,94,5,0,0
1,89,5,0,0
1,103,63,0,0
1,94,46,0,0
1,103,5,120,0
1,101,64,0,0
1,101,5,120,0
1,94,5,0,0
1,101,74,0,0
1,91,58,0,0
1,101,5,120,0
1,99,60,0,0
1,99,5,120,0
1,91,5,0,0
1,93,48,0,0
1,101,66,0,0
1,101,5,120,0
1,99,61,0,0
1,99,5,120,0
1,93,5,0,0
1,99,79,0,0
1,89,62,0,0
1,99,5,120,0
1,98,62,0,0
1,98,5,120,0
1,89,5,0,0
1,99,68,0,0
1,94,50,0,0
1,99,5,120,0
1,98,63,0,0
1,98,5,117,0
1,98,80,3,0
1,98,5,120,0
1,96,66,0,0
1,96,5,120,0
1,94,5,0,0
1,98,72,0,0
1,89,52,0,0
1,93,52,0,0
1,98,5,120,0
1,99,75,0,0
1,99,5,120,0
1,93,5,0,0
1,89,5,0,0
1,103,74,0,0
1,89,63,0,0
1,94,63,0,0
1,103,5,120,0
1,101,75,0,0
1,101,5,120,0
1,94,5,0,0
1,89,5,0,0
1,94,65,0,0
1,100,81,0,0
1,103,77,120,0
1,100,5,120,0
1,94,5,0,0
1,99,72,0,0
1,103,5,120,0
1,104,79,0,0
1,99,5,120,0
1,96,69,0,0
1,99,81,0,0
1,104,5,120,0
1,105,82,0,0
1,105,5,120,0
1,99,5,0,0
1,96,5,0,0
1,94,78,0,0
1,108,91,0,0
1,98,78,0,0
1,108,5,120,0
1,106,77,0,0
1,106,5,120,0
1,98,5,0,0
1,94,5,0,0
1,94,76,0,0
1,105,89,0,0
1,99,76,0,0
1,105,5,120,0
1,103,79,0,0
1,103,5,120,0
1,99,5,0,0
1,94,5,0,0
1,101,91,0,0
1,98,77,0,0
1,94,77,0,0
1,94,5,120,0
1,98,5,0,0
1,101,5,0,0
1,101,85,120,0
1,105,85,0,0
1,96,72,0,0
1,93,72,0,0
1,93,5,120,0
1,101,5,0,0
1,105,5,0,0
1,96,5,0,0
1,94,90,120,0
1,101,90,0,0
1,98,90,0,0
1,106,106,0,0
1,106,5,480,0
1,94,5,0,0
1,101,5,0,0
1,98,5,0,0
1,82,68,0,0
1,94,80,0,0
1,86,68,0,0
1,86,5,480,0
1,94,5,0,0
1,82,5,0,0
1,89,55,0,0
1,98,64,0,0
1,86,55,0,0
1,86,5,60,0
1,98,5,0,0
1,89,5,0,0
1,94,66,180,0
1,86,56,0,0
1,82,56,0,0
1,82,5,60,0
1,86,5,0,0
1,94,5,0,0
1,86,56,180,0
1,89,56,0,0
1,98,66,0,0
1,98,5,60,0
