track,note,velocity,time,anomaly
1,74,50,480,0
1,74,0,180,0
1,69,42,0,0
1,77,50,0,0
1,77,0,54,0
1,69,0,0,0
1,72,53,6,0
1,77,62,0,0
1,77,0,240,0
1,72,0,0,0
1,65,46,0,0
1,74,55,0,0
1,74,0,120,0
1,65,41,720,2
1,70,50,120,0
1,70,0,180,0
1,66,42,0,0
1,74,50,0,0
1,74,0,54,0
1,77,24,15,3
1,69,53,6,0
1,74,62,0,0
1,74,0,240,0
1,69,0,0,0
1,62,46,0,0
1,70,55,0,0
1,70,0,120,0
1,62,0,0,0
1,67,52,120,0
1,67,0,180,0
1,62,44,0,0
1,70,53,0,0
1,70,0,54,0
1,63,0,0,1
1,65,57,6,0
1,70,66,0,0
1,76,69,15,3
1,65,58,0,1
1,58,51,0,0
1,79,61,180,2
1,67,0,120,0
1,58,0,0,0
1,58,47,120,0
1,67,57,0,0
1,67,0,180,0
1,55,0,0,1
1,63,48,0,0
1,69,58,0,0
1,69,51,45,2
1,63,0,0,0
1,63,62,6,0
1,69,72,0,0
1,69,0,240,0
1,63,0,0,0
1,58,55,0,0
1,70,66,0,0
1,70,0,120,0
1,58,0,0,0
1,65,51,120,0
1,70,61,0,0
1,70,0,180,0
1,72,63,0,0
1,66,44,240,3
1,65,0,6,0
1,65,67,0,0
1,85,79,360,2
1,72,28,240,1
1,53,42,60,3
1,70,60,0,0
1,65,60,0,0
1,74,72,0,0
1,74,42,720,2
1,65,0,0,0
1,57,35,360,3
1,70,56,120,0
1,74,67,0,0
1,74,0,180,0
1,75,70,0,0
1,75,0,54,0
1,70,0,6,0
1,70,127,180,2
1,75,88,0,0
1,75,0,240,0
1,70,0,0,0
1,73,68,0,0
1,70,68,0,0
1,65,68,0,0
1,77,82,0,0
1,77,0,60,0
1,73,0,0,0
1,70,0,0,0
1,77,44,0,2
1,67,79,180,0
1,70,79,0,0
1,78,120,360,3
1,79,94,240,1
1,79,0,60,0
1,67,0,720,1
1,70,0,0,0
1,72,0,0,0
1,60,79,180,0
1,63,102,360,3
1,83,55,6,3
1,72,0,120,0
1,69,0,0,0
1,59,64,0,2
1,86,50,360,0
1,86,0,180,0
1,81,42,0,0
1,89,50,0,0
1,89,0,54,0
1,81,61,120,2
1,84,53,6,0
1,89,62,0,0
1,101,67,0,3
1,84,0,0,0
1,77,46,0,0
1,74,109,6,3
1,86,0,120,0
1,77,69,480,2
1,82,50,120,0
1,82,0,180,0
1,79,68,45,3
1,85,50,45,2
1,86,0,54,0
1,78,0,0,0
1,68,127,360,3
1,81,62,0,1
1,98,79,6,3
1,81,0,0,0
1,74,46,0,0
1,82,55,0,0
1,71,79,6,3
1,74,0,0,0
1,79,52,120,0
1,79,0,180,0
1,73,44,45,2
1,82,53,0,0
1,82,0,54,0
1,71,67,54,3
1,77,57,6,0
1,82,66,0,0
1,82,0,240,0
1,76,38,0,2
1,70,51,0,0
1,79,61,0,0
1,79,0,120,0
1,70,0,0,0
1,70,47,120,0
1,79,57,0,0
1,79,0,180,0
1,70,0,0,0
1,75,48,0,0
1,87,58,0,1
1,81,0,54,0
1,75,0,0,0
1,75,62,6,0
1,81,72,0,0
1,81,0,240,0
1,75,0,0,0
1,70,55,0,0
1,82,66,0,0
1,82,0,120,0
1,57,49,180,3
1,77,51,120,0
1,82,61,0,0
1,82,0,180,0
1,96,63,60,2
1,84,0,54,0
1,77,0,6,0
1,77,67,0,0
1,84,79,0,0
1,84,0,240,0
1,77,0,0,0
1,77,60,0,0
1,91,118,0,2
1,86,0,120,0
1,77,25,0,1
1,82,56,54,1
1,87,67,0,0
1,87,0,180,0
1,88,100,480,2
1,88,0,54,0
1,82,0,6,0
1,82,127,0,1
1,88,66,60,2
1,88,0,240,0
1,82,0,0,0
1,81,68,0,0
1,77,68,0,0
1,89,82,0,0
1,89,0,60,0
1,77,34,0,1
1,81,0,0,0
1,79,79,180,0
1,82,79,0,0
1,88,79,0,0
1,90,41,0,2
1,91,0,60,0
1,79,0,0,0
1,82,0,0,0
1,88,0,0,0
1,77,79,180,0
1,81,113,6,2
