track,note,velocity,time,anomaly
1,60,42,0,0
1,68,115,0,1
1,68,0,720,0
1,70,50,0,0
1,70,0,60,0
1,68,46,10,1
1,68,28,60,1
1,67,46,0,0
1,67,0,60,0
1,74,79,2,3
1,68,0,60,0
1,66,36,10,3
1,77,118,0,2
1,61,45,0,0
1,72,0,720,0
1,70,45,0,0
1,70,0,240,0
1,62,0,6,2
1,60,42,0,0
1,68,50,0,0
1,68,0,1440,0
1,60,0,0,0
1,69,50,0,0
1,69,0,480,0
1,63,42,0,0
1,67,105,12,3
1,70,0,480,0
1,72,50,110,1
1,72,0,60,0
1,70,46,0,0
1,70,0,60,0
1,69,46,0,0
1,69,0,60,0
1,70,46,0,0
1,70,0,60,0
1,63,0,0,0
1,73,54,0,0
1,51,98,960,3
1,63,0,480,0
1,68,42,0,0
1,73,0,240,0
1,72,45,0,0
1,72,75,2280,2
1,68,0,0,0
1,67,42,0,0
1,70,50,0,0
1,70,0,1440,0
1,67,0,0,0
1,71,50,0,0
1,71,0,480,0
1,72,127,0,1
1,63,63,0,0
1,72,0,840,0
1,68,52,0,0
1,68,0,120,0
1,63,0,0,0
1,75,64,0,0
1,67,114,180,3
1,63,55,0,0
1,63,75,110,3
1,60,112,0,2
1,69,78,120,2
1,63,0,0,0
1,68,0,0,0
1,65,55,0,0
1,68,64,0,0
1,77,70,0,0
1,77,0,840,0
1,73,67,0,0
1,73,0,120,0
1,68,0,0,0
1,65,0,0,0
1,68,70,120,0
1,73,75,30,0
1,77,78,30,0
1,80,82,30,0
1,77,0,750,0
1,80,0,240,0
1,79,63,0,0
1,79,0,220,0
1,77,59,20,0
1,77,0,220,0
1,75,56,20,0
1,75,0,220,0
1,73,0,20,0
1,68,0,0,0
1,70,51,0,0
1,73,60,0,0
1,73,0,480,0
1,70,0,0,0
1,68,44,0,0
1,72,52,0,0
1,72,0,480,0
1,68,0,0,0
1,63,46,0,0
1,75,55,0,0
1,63,0,480,0
1,63,39,0,0
1,75,29,2,2
1,72,51,0,0
1,72,0,240,0
1,63,0,0,0
1,63,45,0,0
1,73,80,34,3
1,70,51,0,0
1,70,0,30,0
1,72,46,0,0
1,72,0,30,0
1,70,101,12,2
1,70,0,30,0
1,78,69,80,3
1,72,0,30,0
1,70,51,0,0
1,70,0,40,0
1,69,46,0,0
1,69,0,40,0
1,70,46,0,0
1,64,32,780,3
1,73,57,0,0
1,73,36,120,1
1,72,48,0,0
1,72,0,120,0
1,70,0,0,0
1,50,71,750,3
1,75,55,0,0
1,75,0,120,0
1,73,47,0,0
1,73,0,120,0
1,72,51,0,0
1,72,0,80,0
1,61,47,0,1
1,76,0,80,1
1,70,47,0,0
1,70,0,80,0
1,60,54,0,1
1,68,50,0,0
1,68,0,720,0
1,70,50,360,1
1,70,0,60,0
1,55,101,960,3
1,68,0,60,0
1,67,46,0,0
1,67,0,60,0
1,68,46,0,0
1,68,0,60,0
1,71,42,720,3
1,66,118,39,3
1,61,45,0,0
1,72,0,720,0
1,70,45,0,0
1,70,76,360,2
1,61,0,0,0
1,60,42,0,0
1,68,50,0,0
1,68,0,960,0
1,60,0,0,0
1,70,59,960,0
1,70,0,480,0
1,72,54,240,0
1,72,0,60,0
1,70,46,0,0
1,70,38,60,1
1,69,49,0,0
1,69,0,60,0
1,67,94,60,3
1,70,0,60,0
1,73,62,0,0
1,68,62,0,0
1,73,0,720,0
1,72,50,0,0
1,72,0,240,0
1,68,0,0,0
1,67,57,0,0
1,83,57,0,1
1,70,0,960,0
1,67,0,0,0
1,63,36,930,0
1,60,127,1440,3
1,63,0,60,0
1,72,0,780,0
1,68,52,0,0
1,63,43,90,0
1,68,0,30,0
1,75,64,0,0
1,63,0,90,0
1,75,0,750,0
1,78,127,0,2
1,72,0,60,0
1,62,90,220,3
1,77,73,30,0
1,65,0,60,0
1,77,64,1380,1
1,75,59,0,1
1,75,70,0,0
1,69,0,720,2
1,72,51,39,3
1,70,52,0,0
1,73,62,0,0
1,73,0,240,0
1,70,0,0,0
1,68,59,0,0
1,78,70,0,1
1,72,0,480,0
1,75,63,0,0
1,75,0,480,0
1,68,0,0,0
1,67,59,0,0
1,84,70,0,1
1,73,0,480,0
1,70,60,0,0
1,69,25,228,3
1,67,0,0,0
1,61,59,0,0
1,70,70,0,0
1,61,0,480,0
1,48,34,0,1
1,61,0,2280,2
1,61,32,0,0
1,74,75,120,2
1,57,77,30,3
1,63,0,120,0
1,61,31,0,0
1,61,0,120,0
1,70,0,0,0
1,54,37,0,1
1,68,45,0,0
1,68,0,480,0
1,60,0,0,0
1,77,78,450,0
1,89,91,30,0
1,77,0,60,0
1,89,0,660,0
1,87,111,12,2
1,84,63,34,0
1,87,0,1,0
1,84,0,34,0
1,80,127,30,3
1,77,61,34,0
1,81,0,0,0
1,76,0,34,1
1,75,59,0,0
1,72,57,34,0
1,75,0,1,0
1,80,127,90,3
1,72,0,1,0
1,57,0,10,2
1,65,78,0,0
1,65,0,240,0
1,60,76,600,1
1,58,117,240,3
1,63,0,110,0
1,48,0,0,1
1,60,48,10,0
1,63,57,0,0
1,63,0,960,0
1,57,33,30,3
1,71,109,0,2
1,48,45,0,1
1,61,0,480,0
1,58,0,0,0
1,81,127,450,2
1,87,91,30,0
1,75,0,60,0
1,75,41,840,3
1,85,65,0,0
1,82,63,34,0
1,85,0,1,0
1,82,0,34,0
1,79,62,0,0
1,75,61,34,0
1,79,0,0,0
1,75,0,34,0
1,73,59,0,0
1,70,57,34,0
1,73,0,1,0
1,67,56,33,0
1,70,0,1,0
1,67,0,34,0
1,63,78,0,0
1,51,51,240,2
1,58,45,1,1
1,61,54,0,0
1,61,0,110,0
1,58,0,0,0
1,58,48,10,0
1,61,57,0,0
1,61,0,960,0
1,58,0,0,0
1,56,38,0,0
1,60,45,0,0
1,60,67,228,2
1,56,0,0,0
1,51,69,2280,0
1,56,69,0,0
1,63,69,0,0
1,63,0,110,0
1,56,0,0,0
1,51,0,0,0
1,66,62,10,2
1,63,0,960,0
1,62,46,0,0
1,62,0,240,0
1,64,118,0,1
1,65,54,240,0
1,64,0,12,0
1,65,0,228,0
1,74,79,34,3
1,70,54,240,0
1,69,0,12,0
1,65,0,960,2
1,73,46,0,0
1,74,55,240,0
1,73,0,12,0
1,74,0,228,0
1,76,46,0,0
1,77,55,240,0
1,76,72,360,2
1,77,0,228,0
1,79,116,600,2
1,80,126,1380,2
1,79,0,12,0
1,80,0,228,0
1,77,46,0,0
1,77,0,240,0
1,74,55,0,0
1,80,29,1200,2
1,75,50,0,0
1,75,0,60,0
1,86,50,0,1
1,74,0,60,0
1,72,118,10,2
1,72,0,60,0
1,74,50,0,0
1,74,0,60,0
1,75,55,0,0
1,75,69,360,1
1,77,55,0,0
1,77,0,110,0
1,77,55,10,0
1,77,0,480,0
1,69,55,750,2
1,63,0,0,2
1,76,55,0,0
1,76,0,480,0
1,77,55,0,0
1,90,0,1200,1
1,79,50,0,0
1,79,23,60,1
1,77,47,0,0
1,77,0,60,0
1,70,91,0,2
1,75,0,60,0
1,77,51,720,1
1,77,0,60,0
1,79,53,0,0
1,79,0,360,0
1,80,60,0,0
1,86,0,360,2
1,80,58,10,0
1,80,0,480,0
1,79,55,0,0
1,79,0,450,1
1,49,50,450,3
1,49,0,840,2
1,68,82,960,3
1,63,0,40,0
1,65,41,0,0
1,54,37,60,3
1,63,33,0,0
1,63,0,40,0
1,59,87,0,2
1,62,0,40,0
1,68,42,0,0
1,68,0,40,0
1,67,34,0,0
1,67,0,40,0
1,65,34,0,0
1,66,0,80,2
1,74,51,1,0
1,74,0,40,0
1,67,57,110,3
1,59,63,1440,3
1,70,36,0,0
1,77,57,38,0
1,70,0,2,0
1,77,0,38,0
1,75,41,0,0
