track,note,velocity,time,anomaly
1,70,70,960,0
1,67,58,0,0
1,62,58,0,0
1,58,58,0,0
1,58,0,120,0
1,70,0,0,0
1,67,0,0,0
1,62,0,0,0
1,58,62,360,0
1,62,62,0,0
1,67,62,0,0
1,70,76,0,0
1,70,0,720,0
1,69,69,0,0
1,69,0,240,0
1,67,0,0,0
1,62,0,0,0
1,58,0,0,0
1,67,60,0,0
1,58,49,0,0
1,58,0,120,0
1,67,0,0,0
1,60,62,360,0
1,69,62,0,0
1,72,76,0,0
1,72,0,240,0
1,69,0,0,0
1,60,0,0,0
1,72,29,720,0
1,69,23,0,0
1,69,0,480,0
1,72,0,0,0
1,69,29,0,0
1,72,37,0,0
1,72,0,720,0
1,69,0,0,0
1,70,32,0,0
1,70,0,240,0
1,72,33,0,0
1,69,27,0,0
1,69,0,360,0
1,72,0,0,0
1,74,35,120,0
1,70,28,0,0
1,70,0,360,0
1,74,0,0,0
1,74,70,600,0
1,70,58,0,0
1,65,58,0,0
1,62,58,0,0
1,62,0,120,0
1,74,0,0,0
1,70,0,0,0
1,65,0,0,0
1,65,62,360,0
1,62,62,0,0
1,70,62,0,0
1,74,76,0,0
1,74,0,720,0
1,72,69,0,0
1,72,0,240,0
1,70,0,0,0
1,62,0,0,0
1,65,0,0,0
1,70,60,0,0
1,62,49,0,0
1,62,0,120,0
1,70,0,0,0
1,64,62,360,0
1,73,62,0,0
1,76,76,0,0
1,76,0,240,0
1,73,0,0,0
1,64,0,0,0
1,76,29,720,0
1,73,23,0,0
1,73,0,480,0
1,76,0,0,0
1,73,29,0,0
1,76,37,0,0
1,76,0,720,0
1,73,0,0,0
1,74,32,0,0
1,74,0,240,0
1,76,33,0,0
1,73,27,0,0
1,73,0,360,0
1,76,0,0,0
1,77,35,120,0
1,74,28,0,0
1,74,0,360,0
1,77,0,0,0
1,77,62,600,0
1,77,0,960,0
1,82,62,0,0
1,82,0,480,0
1,79,54,0,0
1,79,0,480,0
1,77,58,0,0
1,77,0,480,0
1,75,48,0,0
1,75,0,456,0
1,75,53,24,0
1,75,0,960,0
1,84,53,0,0
1,84,0,480,0
1,75,44,0,0
1,75,0,960,0
1,74,53,0,0
1,74,0,456,0
1,74,47,24,0
1,74,0,960,0
1,70,42,0,0
1,70,0,456,0
1,70,36,24,0
1,70,0,960,0
1,67,35,0,0
1,67,0,456,0
1,67,33,24,0
1,67,0,960,0
1,58,28,0,0
1,58,0,480,0
1,55,16,0,0
1,55,0,480,0
1,54,16,0,0
1,62,20,0,0
1,62,0,864,0
1,54,0,0,0
1,79,43,96,0
1,91,53,0,0
1,91,0,1200,0
1,79,0,0,0
1,78,37,0,0
1,90,45,0,0
1,90,0,240,0
1,78,0,0,0
1,79,40,0,0
1,91,49,0,0
1,91,0,480,0
1,79,0,0,0
1,63,43,0,0
1,67,43,0,0
1,69,53,0,0
1,69,0,960,0
1,67,0,0,0
1,63,0,0,0
1,69,58,0,0
1,67,48,0,0
1,64,48,0,0
1,64,0,480,0
1,67,0,0,0
1,69,0,0,0
1,60,52,0,0
1,66,52,0,0
1,69,63,0,0
1,69,0,720,0
1,70,43,0,0
1,70,0,240,0
1,72,48,0,0
1,72,0,240,0
1,70,35,0,0
1,70,0,240,0
1,66,0,0,0
1,60,0,0,0
1,69,39,0,0
1,69,0,480,0
1,67,31,0,0
1,67,0,480,0
1,79,43,0,0
1,91,53,0,0
1,91,0,1200,0
1,79,0,0,0
1,78,44,0,0
1,90,53,0,0
1,90,0,240,0
1,78,0,0,0
1,79,48,0,0
1,91,58,0,0
1,91,0,480,0
1,79,0,0,0
1,63,43,0,0
1,67,43,0,0
1,69,53,0,0
1,69,0,960,0
1,67,0,0,0
1,63,0,0,0
1,69,44,0,0
1,67,36,0,0
1,64,36,0,0
1,64,0,480,0
1,67,0,0,0
1,69,0,0,0
1,60,38,0,0
1,66,38,0,0
1,69,47,0,0
1,69,0,720,0
1,72,30,0,0
1,72,0,240,0
1,70,33,0,0
1,70,0,240,0
1,69,24,0,0
1,69,0,240,0
1,66,0,0,0
1,60,0,0,0
1,58,22,0,0
1,67,28,0,0
1,67,0,480,0
1,58,0,0,0
1,62,22,480,0
1,74,28,0,0
1,74,0,120,0
1,62,0,0,0
1,74,33,360,0
1,62,26,0,0
1,62,0,960,0
1,74,0,0,0
1,67,22,0,0
1,79,28,0,0
1,79,0,120,0
1,67,0,0,0
1,79,34,360,0
1,67,27,0,0
1,67,0,960,0
1,79,0,0,0
1,74,22,0,0
1,86,28,0,0
1,86,0,120,0
1,74,0,0,0
1,86,32,360,0
1,74,26,0,0
1,74,0,960,0
1,86,0,0,0
1,91,28,0,0
1,79,22,0,0
1,79,0,120,0
1,91,0,0,0
1,79,26,360,0
1,91,33,0,0
1,91,0,960,0
1,79,0,0,0
1,80,62,0,0
1,86,62,0,0
1,89,62,0,0
1,92,74,0,0
1,92,0,120,0
1,80,0,0,0
1,86,0,0,0
1,89,0,0,0
1,80,68,360,0
1,86,68,0,0
1,89,68,0,0
1,92,82,0,0
1,92,0,720,0
1,80,0,0,0
1,86,0,0,0
1,89,0,0,0
1,91,62,0,0
1,89,61,120,0
1,91,0,12,0
1,87,60,108,0
1,89,0,12,0
1,86,60,108,0
1,87,0,12,0
1,84,60,108,0
1,86,0,12,0
1,82,58,108,0
1,84,0,12,0
1,80,56,108,0
1,82,0,12,0
1,79,56,108,0
1,80,0,12,0
1,77,56,108,0
1,79,0,12,0
1,75,56,108,0
1,77,0,12,0
1,74,55,108,0
1,75,0,12,0
1,72,55,68,0
1,74,0,8,0
1,70,55,72,0
1,72,0,8,0
1,68,55,72,0
1,70,0,8,0
1,67,55,72,0
1,68,0,8,0
1,65,55,72,0
1,67,0,8,0
1,63,55,72,0
1,65,0,8,0
1,62,55,88,0
1,63,0,10,0
1,60,55,86,0
1,62,0,10,0
1,58,54,86,0
1,60,0,10,0
1,57,54,86,0
1,58,0,10,0
1,58,81,86,0
1,57,0,10,0
1,58,0,230,0
1,68,32,720,0
1,65,26,0,0
1,58,26,0,0
1,58,0,120,0
1,65,0,0,0
1,68,0,0,0
1,67,37,360,0
1,63,30,0,0
1,58,30,0,0
1,58,0,240,0
1,63,0,0,0
1,67,0,0,0
1,77,68,720,0
1,83,68,0,0
1,86,68,0,0
1,89,82,0,0
1,89,0,120,0
1,77,0,0,0
1,83,0,0,0
1,86,0,0,0
1,77,76,360,0
1,83,76,0,0
1,86,76,0,0
1,89,90,0,0
1,89,0,720,0
1,77,0,0,0
1,83,0,0,0
1,86,0,0,0
1,87,62,0,0
1,86,61,120,0
1,87,0,12,0
1,84,60,108,0
1,86,0,12,0
1,83,60,108,0
1,84,0,12,0
1,81,60,108,0
1,83,0,12,0
1,79,58,108,0
1,81,0,12,0
1,77,56,108,0
1,79,0,12,0
1,75,56,108,0
1,77,0,12,0
1,74,56,108,0
1,75,0,12,0
1,72,56,108,0
1,74,0,12,0
1,71,55,108,0
1,72,0,12,0
1,69,55,68,0
1,71,0,8,0
1,67,55,72,0
1,69,0,8,0
1,65,55,72,0
1,67,0,8,0
1,63,55,72,0
1,65,0,8,0
1,62,55,72,0
1,63,0,8,0
1,60,55,72,0
1,62,0,8,0
1,59,55,88,0
1,60,0,10,0
1,57,55,86,0
1,59,0,10,0
1,55,54,86,0
1,57,0,10,0
1,54,54,86,0
1,55,0,10,0
1,55,81,86,0
1,54,0,10,0
1,55,0,470,0
1,65,32,480,0
1,62,26,0,0
1,55,26,0,0
1,55,0,120,0
1,62,0,0,0
1,65,0,0,0
