track,note,velocity,time,anomaly
1,78,47,30,2
1,54,0,960,1
1,67,53,480,0
1,67,0,960,0
1,67,127,240,2
1,61,58,60,3
1,61,119,480,3
1,67,0,90,1
1,72,67,60,2
1,67,0,900,0
1,65,59,0,0
1,82,99,30,3
1,87,127,30,3
1,64,68,720,2
1,74,74,0,0
1,63,28,960,3
1,69,100,180,3
1,72,0,60,0
1,71,0,0,0
1,68,41,720,3
1,58,125,900,3
1,64,103,360,3
1,89,48,480,3
1,51,75,0,2
1,71,73,120,0
1,71,0,90,0
1,85,127,30,2
1,64,118,0,1
1,67,29,30,3
1,72,63,960,2
1,77,69,900,2
1,74,0,90,0
1,61,73,420,2
1,77,16,0,2
1,63,30,0,3
1,64,0,0,0
1,72,55,0,0
1,76,59,60,0
1,76,78,240,1
1,83,0,240,2
1,91,121,30,3
1,78,67,90,1
1,72,52,30,0
1,79,59,0,0
1,79,0,120,0
1,84,37,0,2
1,81,61,360,0
1,72,97,240,2
1,78,21,120,2
1,81,57,0,1
1,79,125,300,1
1,79,0,60,0
1,83,64,0,0
1,58,101,30,3
1,84,60,960,2
1,83,0,120,1
1,71,53,720,1
1,79,60,0,0
1,79,0,420,0
1,71,0,0,0
1,77,94,360,2
1,77,0,60,0
1,81,127,0,1
1,80,0,240,1
1,83,70,0,0
1,77,0,240,1
1,84,75,0,0
1,82,127,900,3
1,84,0,160,0
1,86,67,180,1
1,86,0,160,0
1,84,105,0,1
1,97,21,720,3
1,88,72,0,1
1,83,71,900,2
1,81,63,0,0
1,86,0,240,1
1,77,0,0,0
1,76,67,0,0
1,92,119,0,2
1,79,0,360,0
1,76,0,0,0
1,79,66,0,0
1,88,59,0,1
1,76,0,90,0
1,79,63,90,2
1,75,93,300,3
1,83,127,420,3
1,77,0,480,0
1,79,0,480,2
1,72,56,0,0
1,76,117,0,1
1,76,0,300,1
1,72,62,420,2
1,74,66,0,0
1,71,94,0,1
1,60,40,120,3
1,74,0,0,0
1,71,53,0,0
1,74,60,0,0
1,86,61,360,3
1,71,0,0,0
1,79,64,30,0
1,73,96,120,3
1,70,90,360,3
1,69,50,0,0
1,69,0,480,0
1,79,0,0,0
1,72,64,720,2
1,76,0,0,0
1,75,89,360,3
1,80,113,0,2
1,69,0,360,0
1,72,0,0,0
1,72,57,0,0
1,66,51,0,1
1,80,0,90,1
1,71,42,480,3
1,90,61,30,1
1,71,48,480,0
1,74,74,0,1
1,69,76,720,3
1,59,0,60,2
1,68,43,120,3
1,65,60,420,0
1,76,127,0,2
1,76,78,60,0
1,81,23,720,2
