track,note,velocity,time,anomaly
1,67,79,0,0
1,64,127,60,3
1,76,127,480,3
1,79,88,0,0
1,78,73,3360,3
1,56,0,30,2
1,65,0,480,2
1,75,0,0,0
1,59,62,0,1
1,70,62,0,0
1,74,62,0,0
1,77,70,120,1
1,80,43,30,3
1,53,0,240,2
1,70,0,0,0
1,74,58,120,2
1,75,117,3360,2
1,80,121,120,3
1,70,62,0,0
1,79,70,60,1
1,79,0,120,0
1,62,0,0,1
1,67,0,0,0
1,70,0,0,0
1,56,127,60,3
1,84,79,480,2
1,92,50,480,3
1,75,79,3360,1
1,80,27,240,3
1,68,0,0,0
1,72,31,0,1
1,80,0,0,0
1,75,62,0,0
1,76,96,3360,3
1,67,62,0,0
1,79,70,0,0
1,79,0,120,0
1,75,0,0,0
1,65,0,0,1
1,67,0,0,0
1,66,63,30,2
1,60,125,420,3
1,83,101,420,3
1,75,63,450,1
1,81,0,120,1
1,65,40,60,2
1,73,0,0,1
1,80,79,420,3
1,64,127,480,3
1,67,75,0,0
1,75,75,0,0
1,79,84,0,0
1,79,0,480,0
1,70,41,3360,2
1,67,0,0,0
1,75,0,0,0
1,65,127,0,1
1,66,68,240,2
1,68,60,0,0
1,74,60,0,0
1,74,43,420,2
1,65,63,420,2
1,89,0,3360,2
1,55,0,0,1
1,67,57,240,1
1,58,92,480,3
1,70,108,60,2
1,64,63,240,2
1,75,50,120,1
1,67,0,0,0
1,76,80,120,3
1,70,0,0,0
1,71,60,60,2
1,77,60,0,1
1,80,68,0,1
1,65,0,30,2
1,74,0,0,0
1,65,34,0,1
1,82,123,120,2
1,75,34,480,3
1,62,127,450,3
1,72,70,0,0
1,81,100,450,3
1,75,0,3360,1
1,72,0,0,0
1,64,0,450,2
1,68,103,0,2
1,75,74,0,0
1,70,67,0,0
1,74,74,0,0
1,79,70,120,3
1,63,45,3360,2
1,76,0,0,1
1,65,78,0,2
1,68,67,0,0
1,64,67,0,1
1,72,67,0,0
1,75,74,0,0
1,69,0,0,2
1,68,0,0,0
1,63,0,0,0
1,72,0,0,0
1,63,67,60,0
1,62,116,0,2
1,70,67,0,1
1,70,67,120,1
1,70,0,480,0
1,63,0,0,0
1,88,31,60,3
1,62,59,0,2
1,56,62,0,1
1,65,62,480,1
1,76,100,3360,3
1,62,127,120,3
1,87,0,120,1
1,62,0,0,0
1,65,0,0,0
1,70,0,30,1
1,75,70,120,0
1,59,62,120,2
1,58,96,0,2
1,67,62,0,0
1,67,0,120,0
1,80,0,0,1
1,65,68,3360,3
1,63,42,240,2
1,72,72,120,0
1,75,72,0,0
1,79,81,0,0
1,67,72,0,0
1,67,75,30,2
1,69,66,0,2
1,75,0,0,0
1,79,0,0,0
1,77,69,480,1
1,65,112,0,1
1,71,127,420,3
1,72,61,0,0
1,77,35,120,2
1,90,0,0,1
1,65,0,0,0
1,68,0,120,1
1,63,108,120,1
1,67,61,0,0
1,72,103,60,2
1,80,127,240,3
1,75,0,120,0
1,63,0,0,0
1,67,0,0,0
1,72,0,0,0
1,69,69,60,2
1,74,113,120,2
1,62,69,0,0
1,67,69,0,0
1,67,0,480,0
1,67,0,60,2
1,74,0,0,0
1,65,58,0,2
1,60,64,0,0
1,63,64,480,1
1,68,87,0,2
1,61,127,240,3
1,69,0,30,2
1,47,0,0,1
1,68,44,30,3
1,67,0,0,0
1,82,127,120,2
1,58,62,0,0
1,62,62,0,0
1,72,62,0,1
1,67,0,120,0
1,75,58,240,3
1,58,0,0,0
1,56,39,450,3
1,57,89,120,1
1,66,61,0,0
1,72,127,450,3
1,69,0,120,0
1,66,0,0,0
1,57,0,0,0
1,62,66,60,1
1,63,0,420,2
1,56,68,0,2
1,67,75,480,1
1,64,52,480,2
1,42,56,60,3
1,55,68,0,0
1,66,68,420,1
1,67,75,0,0
1,67,34,30,2
1,60,0,0,1
1,56,26,120,3
1,56,118,420,3
1,65,67,0,0
1,72,74,240,2
1,67,0,420,0
1,54,74,30,3
1,55,69,0,1
1,79,79,240,2
1,74,32,30,3
1,70,79,0,0
1,75,79,0,0
1,86,25,30,3
1,67,0,0,0
1,79,65,3360,2
1,70,0,0,0
1,77,72,0,0
1,74,64,0,0
1,65,64,0,0
1,70,64,0,0
1,71,0,30,2
1,65,77,30,3
1,71,58,60,3
1,65,0,0,0
1,67,64,120,0
1,70,64,0,0
1,86,64,0,1
1,79,127,3360,2
1,79,0,120,0
1,67,0,0,0
1,70,0,0,0
1,75,0,0,0
1,81,88,60,2
1,55,127,450,3
1,72,79,0,0
1,75,79,0,0
1,75,0,480,0
1,80,0,0,0
1,68,0,480,1
1,72,67,0,1
1,67,112,3360,2
1,70,62,0,0
1,75,70,0,0
1,79,70,0,0
1,79,0,60,1
1,67,0,0,0
1,70,0,0,0
1,75,0,0,0
1,75,70,120,0
1,72,62,0,0
1,77,70,0,0
1,54,116,480,3
1,65,0,120,0
1,78,38,30,3
1,72,0,0,0
1,66,37,0,2
1,56,118,0,3
1,70,77,0,0
1,75,77,0,0
1,92,7,60,3
1,79,54,480,1
1,67,0,0,0
1,58,0,420,2
1,80,0,0,1
1,77,72,0,0
1,65,64,0,0
1,62,64,0,1
1,86,64,240,2
1,74,0,120,0
1,77,0,0,0
1,65,0,0,0
1,81,68,0,2
1,63,62,120,0
1,79,110,240,3
1,70,62,0,0
1,75,70,0,0
1,75,0,120,0
1,63,0,0,0
1,67,0,0,0
1,83,72,450,3
1,77,68,480,1
1,61,60,0,1
1,68,112,0,2
1,64,34,240,3
1,74,0,450,1
1,88,0,0,1
1,70,127,240,2
1,81,0,3360,2
1,63,74,120,0
1,75,83,0,0
1,75,0,480,0
1,63,0,0,0
1,73,78,0,0
1,63,112,120,2
1,87,18,120,3
1,75,0,480,0
1,63,62,120,2
1,73,0,0,0
1,68,9,0,2
1,63,83,0,0
1,74,44,0,2
1,75,0,450,0
1,68,73,0,2
1,68,45,120,3
1,74,47,450,3
1,82,90,0,0
1,63,11,240,3
1,78,90,0,0
1,84,37,240,3
1,87,0,0,0
1,83,37,30,3
1,80,70,240,3
1,78,83,0,0
1,82,83,0,0
1,86,93,0,0
1,74,83,0,0
1,71,49,60,3
1,78,0,0,0
1,93,35,0,2
1,86,0,0,0
1,90,24,3360,3
1,82,80,0,0
1,79,80,0,1
1,75,80,0,0
1,75,75,240,1
1,87,0,0,0
1,82,0,0,0
1,78,0,0,0
1,78,38,420,2
1,83,95,0,0
1,74,13,120,3
1,71,45,0,1
1,71,0,480,0
1,78,41,0,1
1,83,0,0,0
1,75,0,0,0
1,82,86,0,0
1,70,78,0,0
1,91,78,450,2
1,75,78,0,0
1,75,0,240,0
1,82,53,3360,2
1,70,0,0,0
1,91,45,30,3
1,67,118,420,3
1,83,35,420,2
1,64,127,60,3
1,71,77,0,0
1,82,47,480,3
1,78,0,0,0
1,96,0,0,1
1,75,0,0,0
1,83,23,0,2
1,79,44,420,3
1,69,3,450,3
1,71,82,0,0
1,58,52,420,3
1,80,0,0,0
1,68,44,480,2
1,75,55,0,1
1,79,83,0,0
1,76,74,30,2
1,71,95,60,2
1,73,124,240,3
1,67,0,240,0
1,79,0,0,0
1,75,42,0,1
1,71,0,0,0
1,57,127,0,2
1,71,74,0,0
1,81,83,0,1
1,75,74,0,0
1,69,0,240,1
1,74,22,420,3
1,71,0,0,0
1,80,0,0,0
1,65,127,450,3
1,80,79,240,2
1,75,127,60,3
1,67,10,420,3
1,72,0,480,1
1,66,44,0,1
1,82,31,0,2
1,78,22,120,3
1,77,73,0,0
1,83,48,120,2
1,74,61,0,0
1,74,0,120,0
1,70,63,60,1
1,70,0,120,0
1,75,95,450,3
1,69,0,120,0
1,74,71,0,0
1,74,0,120,0
1,83,61,60,2
1,70,0,120,0
1,65,63,0,0
1,65,0,120,0
1,64,61,0,0
1,64,30,480,2
1,76,124,0,2
1,70,0,120,0
1,65,61,0,0
1,65,65,120,1
1,75,63,0,1
1,62,0,120,0
1,60,61,0,0
1,60,0,120,0
1,101,90,3360,2
1,89,0,120,0
1,91,113,240,3
1,97,0,0,2
1,82,61,0,0
1,76,35,480,3
1,81,60,0,0
1,70,63,30,3
1,91,90,60,3
1,80,71,480,3
1,82,58,0,0
1,82,0,120,0
1,77,126,0,1
1,66,0,450,2
1,76,58,0,0
1,82,32,60,3
1,82,60,0,0
1,76,47,240,3
1,74,56,240,2
1,77,0,120,0
1,79,105,30,3
1,71,55,120,2
1,72,56,0,0
1,72,0,120,0
1,70,66,480,1
1,70,0,480,0
1,70,68,0,0
1,67,60,0,0
1,80,27,480,2
1,82,0,0,1
1,58,127,450,3
1,67,71,60,1
1,67,71,0,1
1,75,78,240,3
1,70,59,0,2
1,68,0,0,1
1,85,119,120,3
1,73,122,0,2
1,76,127,420,3
1,79,103,60,3
1,67,0,480,0
1,77,68,420,3
1,60,0,3360,1
1,74,64,240,3
1,60,68,120,1
1,75,105,0,2
1,56,127,450,3
1,72,75,0,0
1,72,75,0,2
1,60,31,0,1
1,69,73,0,2
1,68,0,0,0
1,72,72,30,1
1,77,81,0,0
1,65,72,0,0
1,68,72,0,0
1,68,0,3360,1
1,72,0,0,0
1,80,68,450,3
1,65,0,0,0
1,62,79,0,0
1,73,79,420,2
1,74,88,3360,2
1,74,88,0,0
1,75,95,3360,3
1,86,0,120,0
1,83,53,0,0
1,83,0,120,0
1,79,54,0,0
1,76,49,30,3
1,78,54,0,0
1,78,0,120,0
1,71,103,480,3
1,83,41,120,1
1,79,54,0,0
1,90,0,120,1
1,87,110,420,3
1,74,0,120,0
1,73,87,0,1
1,73,0,120,0
1,79,57,0,0
1,79,0,120,0
1,74,54,0,0
1,71,0,120,1
1,71,55,60,1
1,71,0,120,0
1,69,54,0,0
1,69,41,120,1
1,68,51,60,3
1,62,0,0,0
1,67,0,0,0
1,65,44,120,3
1,67,64,0,0
1,67,0,480,0
1,65,58,0,0
1,80,89,480,3
1,72,21,240,3
1,65,0,0,0
1,63,60,0,0
1,67,68,0,0
1,67,0,480,0
1,57,0,0,1
