track,note,velocity,time,anomaly
1,83,73,90,0
1,86,73,0,0
1,79,73,0,0
1,91,86,0,0
1,91,6,630,0
1,83,6,0,0
1,86,6,0,0
1,79,6,0,0
1,71,76,0,0
1,67,65,0,0
1,59,65,0,0
1,59,6,220,0
1,67,6,0,0
1,71,6,0,0
1,71,80,20,0
1,59,68,0,0
1,67,68,0,0
1,67,6,480,0
1,59,6,0,0
1,71,6,0,0
1,67,66,0,0
1,60,66,0,0
1,72,77,0,0
1,72,6,120,0
1,60,6,0,0
1,67,6,0,0
1,62,69,120,0
1,67,69,0,0
1,74,81,0,0
1,74,6,120,0
1,67,6,0,0
1,62,6,0,0
1,64,72,120,0
1,67,72,0,0
1,76,84,0,0
1,76,6,120,0
1,67,6,0,0
1,64,6,0,0
1,62,68,360,0
1,74,80,0,0
1,67,68,0,0
1,67,6,120,0
1,74,6,0,0
1,62,6,0,0
1,59,65,1080,0
1,67,65,0,0
1,71,76,0,0
1,71,6,216,0
1,67,6,0,0
1,59,6,0,0
1,71,83,24,0
1,67,71,0,0
1,59,71,0,0
1,59,6,480,0
1,67,6,0,0
1,71,6,0,0
1,60,71,0,0
1,67,71,0,0
1,72,83,0,0
1,72,6,120,0
1,67,6,0,0
1,60,6,0,0
1,62,74,120,0
1,74,86,0,0
1,67,74,0,0
1,67,6,120,0
1,74,6,0,0
1,62,6,0,0
1,67,76,120,0
1,76,89,0,0
1,64,76,0,0
1,64,6,480,0
1,76,6,0,0
1,67,6,0,0
1,74,87,0,0
1,62,74,0,0
1,67,74,0,0
1,67,6,120,0
1,62,6,0,0
1,74,6,0,0
1,64,76,120,0
1,76,89,0,0
1,67,76,0,0
1,67,6,120,0
1,76,6,0,0
1,64,6,0,0
1,65,78,120,0
1,67,78,0,0
1,77,91,0,0
1,77,6,120,0
1,67,6,0,0
1,65,6,0,0
1,76,87,360,0
1,64,74,0,0
1,67,74,0,0
1,67,6,120,0
1,64,6,0,0
1,76,6,0,0
1,62,66,840,0
1,67,66,0,0
1,74,77,0,0
1,74,6,120,0
1,67,6,0,0
1,62,6,0,0
