track,note,velocity,time,anomaly
1,55,34,2880,0
1,60,40,0,0
1,60,0,456,0
1,55,0,0,0
1,60,31,24,0
1,67,57,0,1
1,56,0,456,1
1,49,77,136,3
1,72,85,24,2
1,63,40,0,0
1,63,0,240,0
1,60,0,0,0
1,59,31,0,0
1,62,37,7,1
1,62,0,180,0
1,59,0,0,0
1,62,107,290,3
1,63,0,60,0
1,55,34,0,0
1,60,40,0,0
1,60,0,220,0
1,60,0,0,1
1,49,67,2180,2
1,60,40,0,0
1,60,0,456,0
1,55,0,0,0
1,60,31,24,0
1,72,37,24,2
1,67,0,456,0
1,60,0,0,0
1,60,34,24,0
1,63,40,0,0
1,63,0,240,0
1,59,80,100,3
1,59,31,0,0
1,68,117,7,3
1,62,0,180,0
1,59,0,0,0
1,50,34,0,1
1,63,0,60,0
1,55,34,0,0
1,60,40,0,0
1,60,0,470,0
1,55,0,0,0
1,55,34,10,0
1,60,40,0,0
1,60,0,220,0
1,55,0,0,0
1,55,31,20,0
1,59,37,0,0
1,59,0,110,0
1,55,0,0,0
1,56,93,10,2
1,60,34,0,0
1,73,49,110,2
1,42,0,0,1
1,55,34,10,0
1,62,40,0,0
1,62,0,470,0
1,55,0,0,0
1,55,34,10,0
1,60,40,0,0
1,73,0,30,2
1,55,0,0,0
1,55,31,20,0
1,59,37,0,0
1,59,0,110,0
1,60,34,30,3
1,50,55,10,2
1,63,71,20,3
1,60,0,110,0
1,55,0,0,0
1,59,34,10,0
1,62,40,0,0
1,62,0,470,0
1,64,0,0,1
1,43,34,10,1
1,60,40,0,0
1,57,0,465,1
1,55,0,0,0
1,58,35,15,0
1,67,42,0,0
1,54,0,228,1
1,58,0,0,0
1,58,37,12,0
1,67,44,0,0
1,67,0,228,0
1,58,0,0,0
1,60,37,12,0
1,74,44,0,1
1,63,0,240,0
1,47,0,20,2
1,59,31,0,0
1,62,37,0,0
1,62,72,360,2
1,64,65,7,3
1,63,34,0,0
1,69,0,40,2
1,55,34,0,0
1,60,40,0,0
1,55,31,240,0
1,55,0,64,0
1,55,31,16,0
1,52,54,228,3
1,55,26,16,0
1,55,0,64,0
1,60,0,6,0
1,55,0,0,0
1,55,37,10,0
1,60,37,120,0
1,60,0,120,0
1,63,37,120,1
1,61,22,16,3
1,63,37,120,0
1,63,0,120,0
1,60,39,120,0
1,60,0,120,0
