track,note,velocity,time,anomaly
1,55,34,2880,0
1,48,40,20,2
1,59,22,5,3
1,55,0,0,0
1,60,103,2880,2
1,67,37,0,0
1,67,0,456,0
1,59,0,0,1
1,60,109,24,1
1,52,90,64,3
1,63,34,240,1
1,60,40,0,1
1,59,31,64,1
1,75,37,0,1
1,62,0,180,0
1,53,39,0,2
1,51,87,0,2
1,64,29,60,2
1,55,34,96,1
1,60,40,0,0
1,60,44,220,1
1,55,0,0,0
1,43,103,173,3
1,60,40,180,1
1,47,63,456,2
1,55,0,6,1
1,49,101,2180,3
1,67,37,0,0
1,56,68,100,3
1,60,31,0,1
1,60,34,24,0
1,63,40,0,0
1,63,0,240,0
1,48,41,0,2
1,59,76,53,2
1,56,68,0,2
1,62,0,180,0
1,62,58,7,3
1,52,95,40,3
1,63,0,60,0
1,55,34,0,0
1,61,111,290,3
1,65,51,470,2
1,52,60,0,2
1,67,74,5,3
1,54,66,0,2
1,71,0,220,1
1,55,0,0,0
1,55,86,20,1
1,62,59,0,2
1,47,41,110,2
1,55,0,0,0
1,55,34,10,0
1,65,63,290,3
1,60,0,110,0
1,55,0,320,1
1,49,85,1200,3
1,73,40,0,1
1,50,50,16,3
1,55,0,0,0
1,55,34,10,0
1,60,40,0,0
1,55,0,120,2
1,55,0,0,0
1,55,63,20,1
1,59,37,0,0
1,59,0,110,0
1,55,0,24,1
1,54,63,12,3
1,60,111,0,1
1,47,48,110,2
1,43,0,470,2
1,59,34,456,1
1,59,95,100,3
1,59,72,120,3
1,59,0,456,1
1,55,34,110,1
1,65,70,29,3
1,60,0,465,0
1,55,45,100,2
1,58,35,15,0
1,67,70,1200,2
1,67,0,228,0
1,58,0,0,0
1,58,37,12,0
1,70,119,0,2
1,64,0,40,2
1,58,0,0,0
1,60,37,12,0
1,63,44,0,0
1,57,72,80,3
1,63,79,10,3
1,59,31,0,0
1,56,111,50,3
1,62,0,180,0
1,59,0,0,0
1,63,34,0,0
1,66,58,2180,3
1,55,95,64,2
1,60,86,0,1
1,55,31,240,0
1,55,0,64,0
1,55,80,16,1
1,54,69,64,2
1,55,26,16,0
1,49,54,15,3
1,60,33,6,1
1,50,55,100,3
1,66,105,10,2
1,49,110,2180,3
1,72,0,120,1
1,73,66,136,3
1,62,40,240,2
1,63,37,5,1
1,74,0,340,2
1,60,62,29,2
1,61,60,456,3
1,46,86,120,2
1,70,60,120,2
1,54,54,465,3
1,60,20,173,2
1,62,28,120,0
1,62,0,360,0
1,55,80,0,1
1,55,34,0,0
1,60,91,30,2
1,60,75,7,2
1,55,70,456,2
1,60,31,24,0
1,61,68,173,3
1,72,39,456,2
1,60,0,0,0
1,60,34,24,0
1,63,40,0,0
1,58,60,240,2
1,60,0,0,0
1,60,31,0,1
1,67,58,30,3
1,62,0,180,0
1,62,40,360,3
1,66,105,60,3
1,63,0,60,0
1,66,40,0,1
1,72,58,29,3
1,70,59,0,2
1,80,45,136,3
1,67,31,16,0
1,70,60,64,2
1,56,26,470,2
1,79,0,6,2
1,67,37,16,0
1,61,28,80,1
1,69,33,0,1
1,85,0,64,1
1,60,0,7,1
1,63,100,110,3
1,69,33,20,2
1,72,53,10,2
1,60,0,0,0
1,56,27,173,2
1,74,32,0,0
1,85,51,220,3
1,65,0,0,1
1,65,102,40,3
1,74,32,0,0
1,74,53,465,2
1,65,68,1200,3
1,51,84,96,2
1,75,82,465,2
1,63,0,12,2
1,74,0,465,2
1,63,28,16,0
1,75,34,0,0
1,69,27,64,2
1,60,48,0,2
1,47,64,96,2
1,72,33,0,0
1,72,0,64,0
1,73,53,30,3
1,48,28,220,2
1,72,76,80,2
1,69,0,228,2
1,60,0,0,0
1,71,99,451,3
1,71,37,96,1
1,71,0,64,0
1,65,0,0,1
1,59,57,451,2
1,72,102,0,2
1,71,23,64,1
1,62,24,0,2
1,62,42,15,1
1,87,106,0,2
1,74,0,64,0
1,62,0,0,0
1,67,64,16,2
1,74,50,0,0
1,79,38,20,3
1,57,46,228,3
1,67,0,6,1
1,68,56,120,0
1,93,105,0,2
1,80,74,360,1
1,80,74,0,2
1,63,96,20,3
1,84,102,0,2
1,73,35,120,2
1,65,64,7,3
1,68,39,29,0
1,84,73,456,3
1,75,71,320,2
1,80,117,0,1
1,80,0,451,0
1,75,0,0,0
1,72,0,24,0
1,68,34,451,2
1,79,69,5,2
1,72,87,50,3
1,85,72,12,3
1,80,79,240,1
1,85,0,0,1
1,68,77,240,2
1,66,64,0,2
1,74,26,0,1
1,80,37,80,2
1,72,113,173,2
1,74,0,7,0
1,65,0,0,0
1,82,67,0,2
1,75,52,465,2
1,63,34,7,0
1,72,40,0,0
1,72,50,20,2
1,52,0,0,1
1,55,30,24,1
1,59,110,12,3
1,48,43,456,3
1,67,31,120,3
1,55,34,60,0
1,59,34,0,0
1,59,0,60,0
1,55,0,1200,1
1,55,30,12,1
1,60,30,0,0
1,49,22,220,3
1,55,30,240,2
1,67,87,360,3
1,59,33,0,0
1,67,33,12,2
1,61,34,6,3
1,59,41,96,2
1,68,0,0,1
1,67,60,60,0
1,60,31,10,1
1,72,37,0,0
1,72,0,30,1
1,60,56,451,2
1,60,32,465,1
1,84,60,20,3
1,67,63,64,2
1,60,0,0,0
1,59,45,96,0
1,71,53,0,0
1,59,0,5,2
1,48,49,320,3
1,71,47,180,2
1,72,56,0,0
1,72,0,64,0
1,71,53,0,2
1,62,57,136,0
1,86,65,0,1
1,74,0,60,0
1,62,0,0,0
1,55,0,50,2
1,68,101,0,1
1,80,65,470,1
1,74,48,240,1
1,72,62,290,3
1,79,76,60,3
1,68,27,24,2
1,66,117,40,3
1,71,82,136,3
1,86,90,10,3
1,81,61,0,0
1,81,0,29,1
1,57,0,0,1
1,83,0,0,1
1,87,0,240,2
1,69,80,20,1
1,85,109,0,2
1,75,35,12,1
1,75,116,0,2
1,81,0,100,0
1,69,27,2180,2
1,72,0,0,0
1,86,0,0,1
1,72,30,20,0
1,75,30,0,0
1,85,66,0,2
1,66,0,120,1
1,75,0,0,0
1,72,0,15,1
1,59,31,10,1
1,62,37,0,0
1,62,34,15,2
1,59,0,0,0
1,68,114,0,2
1,69,79,16,3
1,73,40,0,1
1,72,60,320,3
1,66,40,340,2
1,90,0,456,2
1,91,49,0,0
1,80,0,1200,2
1,89,43,180,1
1,101,61,470,3
1,87,51,60,1
1,87,0,360,1
1,92,122,290,3
1,80,68,96,3
1,84,79,12,2
1,84,0,80,0
1,83,50,0,0
1,83,0,80,0
1,81,40,7,2
1,90,80,456,3
1,99,60,1200,3
1,86,0,80,0
1,84,49,451,1
1,84,51,20,1
1,87,103,15,3
1,91,36,30,3
1,87,85,120,3
1,84,0,40,0
1,79,93,0,1
1,79,64,80,1
1,77,42,0,0
1,77,0,80,0
1,75,47,0,0
1,75,0,80,0
1,61,40,0,1
1,79,53,80,2
1,66,94,7,3
1,72,78,80,1
1,74,46,0,0
1,87,63,80,2
1,79,78,50,2
1,79,20,16,2
1,67,110,470,2
1,68,23,80,2
1,66,94,470,2
1,71,0,456,2
1,72,37,451,2
1,72,56,340,3
1,84,37,7,2
1,72,0,80,0
1,64,127,53,3
1,73,0,20,1
1,72,45,80,1
1,83,0,360,2
1,83,71,96,3
1,83,58,40,2
1,69,94,0,1
1,69,0,80,0
1,79,58,110,3
1,61,72,360,3
1,56,101,5,3
1,57,0,465,2
1,62,38,0,0
1,62,0,80,0
1,79,38,451,2
1,74,79,20,2
1,76,46,0,1
1,84,0,80,1
1,71,37,0,1
1,82,0,80,1
1,68,39,0,1
1,79,43,80,1
1,88,49,228,2
1,74,75,53,3
1,79,45,110,1
1,79,0,20,0
1,88,119,0,2
1,77,0,40,0
1,76,114,360,2
1,63,0,15,2
1,62,118,40,3
1,86,52,470,3
1,79,90,0,3
1,70,72,60,2
1,70,0,80,0
1,74,82,220,3
1,80,0,80,1
1,67,43,173,1
1,55,0,320,2
1,66,50,0,0
1,66,0,80,0
1,67,86,7,2
1,67,0,80,0
1,69,40,0,0
1,74,0,80,1
1,62,0,0,1
1,79,99,29,2
1,70,51,0,0
1,67,43,6,3
1,82,94,29,3
1,82,73,465,3
1,70,110,0,1
1,69,40,80,2
1,75,47,0,0
1,63,31,80,2
1,70,82,2880,2
1,70,0,80,0
1,67,40,0,0
1,54,0,50,1
1,79,0,340,1
1,65,44,50,2
1,62,108,96,3
1,74,37,80,1
1,72,100,120,2
1,72,0,80,0
1,59,69,30,3
1,70,0,80,0
1,82,70,40,3
1,86,64,80,3
1,69,50,0,0
1,69,38,50,2
1,70,70,0,1
1,70,0,80,0
1,81,64,1200,3
1,69,0,80,0
1,75,37,240,2
1,61,70,16,3
1,70,49,360,1
1,64,0,40,2
1,72,102,136,2
1,72,0,20,0
1,69,84,30,3
1,70,0,40,0
1,69,42,220,1
1,56,64,2880,3
1,67,71,470,2
1,67,0,6,1
1,61,0,0,1
1,79,70,320,3
1,64,96,290,3
1,70,0,240,1
1,78,115,80,3
1,73,73,240,3
1,70,51,0,0
1,70,0,40,0
1,69,42,240,1
1,74,71,290,3
1,67,42,0,0
1,79,0,96,2
1,63,73,6,3
1,55,39,80,2
1,70,42,0,1
1,62,0,5,2
1,69,45,1200,1
1,66,0,10,2
1,74,64,0,1
1,79,51,0,0
1,70,49,64,1
1,70,20,456,2
1,70,108,0,2
1,69,0,80,0
1,70,43,0,0
1,83,0,80,1
1,79,23,0,1
1,65,113,80,3
1,71,47,80,2
1,87,64,80,2
1,75,41,0,0
1,75,0,80,0
1,74,105,96,2
1,74,28,80,1
1,64,59,0,2
1,86,127,96,3
1,72,49,0,0
1,72,64,20,1
1,79,93,40,3
1,69,0,180,2
1,78,91,451,3
1,72,0,173,1
1,66,42,2180,2
1,71,0,80,0
1,83,42,7,2
1,70,0,10,1
1,75,0,60,1
1,73,75,456,3
1,79,75,2880,3
1,55,0,290,2
1,70,69,100,3
1,72,48,340,3
1,77,70,53,3
1,70,34,173,3
1,74,34,80,2
1,72,47,0,0
1,63,49,0,0
