track,note,velocity,time,anomaly
1,83,40,0,1
1,77,69,96,3
1,74,95,0,1
1,74,58,600,2
1,79,46,20,2
1,76,0,120,0
1,77,49,0,0
1,80,26,20,3
1,72,78,24,3
1,78,79,100,2
1,79,54,0,0
1,67,73,20,3
1,78,91,0,2
1,81,0,0,1
1,79,51,0,0
1,79,0,120,0
1,72,110,0,2
1,78,0,120,0
1,79,50,0,0
1,79,0,120,0
1,81,53,0,0
1,81,0,120,0
1,83,95,20,2
1,70,65,20,3
1,96,74,20,3
1,90,54,120,2
1,86,48,0,0
1,86,0,20,1
1,88,91,96,2
1,88,0,120,0
1,89,91,0,1
1,89,0,120,0
1,90,59,0,0
1,90,0,120,0
1,104,116,600,3
1,91,69,120,1
1,105,63,0,1
1,106,0,20,2
1,91,58,0,0
1,91,0,120,0
1,90,95,0,1
1,79,0,120,1
1,91,57,0,0
1,91,0,120,0
1,88,117,100,3
1,93,0,120,0
1,95,56,0,0
1,95,0,120,0
1,93,65,600,2
1,96,23,120,1
1,111,118,100,3
1,100,0,120,0
1,103,69,0,0
1,103,0,120,0
1,101,64,0,0
1,101,76,120,1
1,100,69,0,0
1,100,0,120,0
1,98,64,0,0
1,98,0,120,0
1,96,117,120,2
1,83,72,100,3
1,107,108,0,2
1,95,0,120,0
1,93,104,0,1
1,93,69,120,1
1,104,102,96,3
1,91,0,120,0
1,88,66,0,1
1,89,64,120,1
1,99,105,0,2
1,93,27,0,3
1,86,63,0,0
1,86,0,120,0
1,88,127,24,2
1,88,0,120,0
1,83,65,20,2
1,89,0,120,0
1,88,62,0,0
1,99,69,100,3
1,86,61,0,0
1,86,0,120,0
1,84,59,0,0
1,84,0,120,0
1,94,89,0,2
1,83,0,120,0
1,93,106,100,3
1,81,0,120,0
1,79,99,0,1
1,74,27,120,2
1,77,48,24,1
1,77,0,120,0
1,76,54,0,0
1,76,65,24,2
1,86,78,24,3
1,74,0,120,0
1,84,119,96,3
1,72,0,120,0
1,74,85,0,1
1,74,0,120,0
1,73,107,20,3
1,76,0,120,0
1,77,49,0,0
1,77,0,120,0
1,78,52,0,0
1,73,0,24,2
1,90,126,24,3
1,79,61,600,2
1,68,126,0,2
1,94,26,96,3
1,79,51,0,0
1,79,71,600,2
1,78,53,96,1
1,65,36,120,2
1,79,50,0,0
1,85,77,0,3
1,92,87,120,3
1,81,0,120,0
1,83,49,0,0
1,83,0,120,0
1,83,108,100,3
1,89,0,120,1
1,74,120,120,3
1,86,0,120,0
1,91,52,0,1
1,101,0,0,2
1,94,54,0,1
1,89,0,120,0
1,90,59,0,0
1,90,0,120,0
1,102,62,20,2
1,94,0,24,2
1,93,63,24,1
1,93,0,120,0
1,91,58,0,0
1,91,0,120,0
1,90,60,0,0
1,90,66,120,1
1,92,91,120,3
1,90,0,120,1
1,93,60,0,0
1,93,0,120,0
1,95,56,0,0
1,106,59,120,2
1,107,127,20,3
1,96,0,120,0
1,98,67,0,0
1,98,0,120,0
1,94,69,20,2
1,94,62,120,2
1,98,64,0,0
1,98,0,96,1
1,85,91,0,2
1,96,0,120,0
1,95,114,20,2
1,95,0,120,0
1,93,68,0,0
1,93,0,120,0
1,95,84,0,1
1,98,0,120,1
1,107,127,96,3
1,96,78,96,2
1,92,81,100,3
1,95,0,20,1
1,80,110,600,3
1,93,0,600,1
1,91,87,0,1
1,91,36,0,2
1,90,63,0,0
1,90,0,120,0
1,88,127,600,2
1,91,29,100,3
1,86,62,0,0
1,89,49,24,3
1,73,62,600,2
1,84,0,120,0
1,72,89,20,3
1,82,0,96,2
1,81,59,0,0
1,81,0,120,0
1,79,51,20,1
1,79,0,120,0
1,78,116,0,1
1,78,0,120,0
1,76,73,0,2
1,81,27,100,2
1,79,37,0,0
1,79,27,600,2
1,77,42,0,0
1,77,0,600,1
1,79,35,100,2
1,86,0,120,1
1,78,40,0,1
1,75,22,20,3
1,74,120,120,2
1,75,51,600,3
1,73,46,24,2
1,76,0,120,0
1,77,49,0,0
1,77,0,120,0
1,78,52,0,0
1,78,0,120,0
1,79,54,0,0
1,79,0,120,0
1,68,99,24,3
1,81,0,120,0
1,79,51,96,1
1,79,0,120,0
1,77,83,0,2
1,84,58,120,2
1,79,50,24,1
1,79,43,20,2
1,84,75,100,3
1,81,0,120,0
1,83,98,24,2
1,83,54,120,1
1,84,46,0,0
1,81,32,100,3
1,86,48,0,0
1,86,52,100,2
1,100,91,600,3
1,82,59,600,3
1,89,56,0,0
1,89,0,120,0
1,90,59,120,1
1,90,21,20,2
1,91,126,0,1
1,86,77,96,3
1,93,63,0,0
1,93,0,120,0
1,91,58,0,0
1,91,80,120,1
1,93,116,96,3
1,90,0,120,0
1,92,127,0,2
1,90,0,24,2
1,93,60,600,1
1,93,0,100,1
1,95,56,0,0
1,95,0,120,0
1,96,65,0,0
1,96,0,120,0
1,100,67,0,0
1,100,0,120,0
1,102,90,96,3
1,102,47,120,2
1,101,64,0,0
1,101,0,120,0
1,100,69,0,0
1,100,0,120,0
1,98,64,0,0
1,98,0,120,0
1,90,127,120,3
1,96,38,0,2
1,95,59,0,0
1,95,0,120,0
1,93,68,0,0
1,93,0,120,0
1,79,61,120,2
1,91,35,24,2
1,101,127,20,3
1,89,0,120,0
1,88,61,0,0
1,88,0,120,0
1,86,63,0,0
1,86,0,120,0
1,88,65,0,0
1,88,0,120,0
1,89,65,0,0
1,89,0,120,0
1,94,83,96,3
1,85,52,96,3
1,86,61,0,0
1,86,0,120,0
1,84,59,0,0
1,84,0,120,0
