track,note,velocity,time,anomaly
1,73,30,0,0
1,73,0,80,0
1,79,22,0,0
1,79,0,80,0
1,82,16,0,0
1,82,0,80,0
1,73,32,0,0
1,73,0,120,0
1,71,27,360,0
1,71,0,80,0
1,78,19,0,0
1,78,0,80,0
1,83,16,0,0
1,83,0,80,0
1,71,29,0,0
1,71,0,120,0
1,71,27,360,0
1,71,0,80,0
1,77,19,0,0
1,77,0,80,0
1,80,16,0,0
1,80,0,80,0
1,71,26,0,0
1,71,0,120,0
1,69,25,360,0
1,69,0,80,0
1,76,16,0,0
1,76,0,80,0
1,81,14,0,0
1,81,0,80,0
1,69,27,0,0
1,69,0,120,0
1,69,27,360,0
1,69,0,80,0
1,76,16,0,0
1,76,0,80,0
1,78,13,0,0
1,78,0,80,0
1,69,25,0,0
1,69,0,120,0
1,72,30,330,0
1,76,34,10,0
1,81,38,10,0
1,84,40,10,0
1,84,0,240,0
1,72,0,0,0
1,76,0,0,0
1,81,0,0,0
1,59,30,480,0
1,59,0,80,0
1,63,22,0,0
1,63,0,80,0
1,71,16,0,0
1,71,0,80,0
1,59,26,0,0
1,59,0,120,0
1,64,16,360,0
1,59,16,0,0
1,55,16,0,0
1,55,0,240,0
1,59,0,0,0
1,64,0,0,0
1,83,30,480,0
1,83,0,80,0
1,91,22,0,0
1,91,0,80,0
1,95,16,0,0
1,95,0,80,0
1,83,26,0,0
1,83,0,240,0
1,71,30,0,0
1,71,0,80,0
1,79,22,0,0
1,79,0,80,0
1,83,16,0,0
1,83,0,80,0
1,71,35,0,0
1,71,0,240,0
1,69,26,240,0
1,69,0,120,0
1,67,25,0,0
1,67,0,60,0
1,69,25,0,0
1,69,0,60,0
1,67,34,0,0
1,67,0,240,0
1,66,25,240,0
1,66,0,120,0
1,66,18,60,0
1,66,0,60,0
1,69,26,0,0
1,69,0,480,0
1,67,22,0,0
1,67,0,240,0
1,76,30,0,0
1,76,0,80,0
1,83,22,0,0
1,83,0,80,0
1,88,16,0,0
1,88,0,80,0
1,76,26,0,0
1,76,0,240,0
1,64,30,0,0
1,64,0,80,0
1,71,22,0,0
1,71,0,80,0
1,76,16,0,0
1,76,0,80,0
1,64,35,0,0
1,64,0,240,0
1,60,26,240,0
1,60,0,240,0
1,59,34,0,0
1,59,0,240,0
1,67,30,0,0
1,67,0,240,0
1,66,25,0,0
1,66,0,117,0
1,66,18,3,0
1,67,18,40,0
1,66,0,20,0
1,67,0,40,0
1,66,26,20,0
1,66,0,480,0
1,64,22,0,0
1,64,0,240,0
1,83,30,0,0
1,83,0,80,0
1,91,22,0,0
1,91,0,80,0
1,95,16,0,0
1,95,0,80,0
1,83,26,0,0
1,83,0,240,0
1,71,30,0,0
1,71,0,80,0
1,79,22,0,0
1,79,0,80,0
1,83,16,0,0
1,83,0,80,0
1,71,35,0,0
1,71,0,240,0
1,69,26,240,0
1,69,0,120,0
1,67,25,0,0
1,67,0,60,0
1,69,25,0,0
1,69,0,60,0
1,67,34,0,0
1,67,0,240,0
1,66,25,240,0
1,66,0,120,0
1,66,18,60,0
1,66,0,60,0
1,69,26,0,0
1,69,0,480,0
1,67,22,0,0
1,67,0,240,0
1,76,30,0,0
1,76,0,80,0
1,83,22,0,0
1,83,0,80,0
1,88,16,0,0
1,88,0,80,0
1,76,26,0,0
1,76,0,240,0
1,64,30,0,0
1,64,0,80,0
1,71,22,0,0
1,71,0,80,0
1,76,16,0,0
1,76,0,80,0
