track,note,velocity,time,anomaly
1,46,41,1,1
1,57,54,110,2
1,58,34,1,1
1,63,40,79,2
1,58,31,0,0
1,58,0,80,0
1,64,91,0,2
1,55,20,80,2
1,65,79,0,1
1,62,0,720,2
1,57,90,113,2
1,44,48,80,2
1,46,51,0,2
1,63,54,420,3
1,61,32,0,0
1,55,46,60,3
1,54,107,80,3
1,59,37,1,3
1,58,100,1320,0
1,58,21,120,1
1,102,54,600,2
1,81,127,0,2
1,81,59,0,2
1,94,0,110,1
1,82,0,480,1
1,90,0,0,0
1,75,51,0,0
1,84,61,0,0
1,87,61,0,0
1,87,0,360,0
1,84,0,0,0
1,62,0,0,1
1,83,127,360,3
1,71,111,480,3
1,89,68,0,0
1,100,40,230,3
1,89,0,0,1
1,84,25,0,1
1,78,127,51,3
1,78,127,0,1
1,84,71,0,0
1,73,56,360,3
1,78,60,0,1
1,79,56,360,3
1,86,68,479,2
1,74,124,120,3
1,89,90,0,1
1,89,0,240,0
1,77,0,0,0
1,85,0,79,1
1,51,27,1440,2
1,68,0,80,1
1,63,70,7,3
1,46,53,600,3
1,61,30,0,0
1,61,0,80,0
1,65,35,0,0
1,65,21,120,1
1,52,105,1320,3
1,51,0,80,1
1,70,29,0,1
1,53,45,960,3
1,61,110,1440,2
1,72,0,80,1
1,65,35,0,0
1,68,56,1080,3
1,56,100,1320,0
1,56,40,80,2
1,98,38,720,3
1,102,90,79,2
1,85,127,240,3
1,80,0,1440,0
1,90,48,60,3
1,105,34,1,3
1,84,60,0,0
1,75,114,0,1
1,90,89,110,3
1,87,0,360,0
1,74,43,3840,3
1,84,0,79,1
1,84,65,1440,1
1,77,111,9,3
1,71,55,0,1
1,72,0,480,2
1,89,0,0,0
1,84,0,1440,1
1,84,70,0,0
1,85,70,0,1
1,67,97,420,3
1,78,0,240,0
1,89,67,0,2
1,90,22,7,3
1,77,56,79,1
1,80,101,0,2
1,89,112,0,1
1,89,72,1440,2
1,80,69,420,3
1,78,61,113,3
1,77,6,480,1
1,70,49,480,3
1,58,0,480,1
1,77,0,0,0
1,57,81,240,0
1,65,81,0,0
1,54,64,230,3
1,70,70,113,3
1,51,93,80,3
1,46,0,80,1
1,58,49,80,2
1,58,24,110,2
1,61,108,0,1
1,61,0,120,1
1,65,34,0,0
1,68,64,120,2
1,57,29,360,0
1,57,50,1440,2
1,58,30,1,1
1,58,0,80,0
1,49,58,110,3
1,60,65,1320,3
1,65,36,0,0
1,65,0,120,0
1,58,100,1320,0
1,63,0,240,2
1,102,57,600,2
1,94,92,0,0
1,85,78,113,2
1,82,0,1080,0
1,94,0,0,0
1,103,0,110,2
1,87,58,7,1
1,84,58,51,1
1,75,49,960,1
1,80,66,9,3
1,81,0,240,2
1,75,0,360,2
1,79,58,9,2
1,75,49,0,0
1,87,95,0,1
1,87,71,720,2
1,75,39,0,1
1,84,35,1,2
1,75,51,0,0
1,72,61,420,2
1,81,119,479,3
1,100,0,230,2
1,84,50,80,2
1,76,0,120,2
1,89,112,80,2
1,84,125,7,2
1,89,96,0,2
1,66,45,1440,3
1,84,0,0,0
1,90,0,7,2
1,97,108,110,3
1,87,106,1320,3
1,79,101,0,2
1,78,0,9,1
1,90,0,0,0
1,95,32,3840,3
1,85,100,0,1
1,89,127,230,2
1,83,57,0,1
1,77,0,1,1
1,89,0,10,1
1,98,75,479,3
1,68,70,1320,3
1,57,0,80,0
1,45,92,7,3
1,58,0,80,0
1,67,69,10,3
1,60,0,80,1
1,65,37,7,1
1,54,53,120,2
1,57,29,360,0
1,57,0,113,1
1,58,30,960,1
1,58,74,3840,2
1,61,68,600,2
1,49,77,0,3
1,65,37,0,0
1,78,37,60,3
1,42,55,10,3
1,48,0,120,0
1,71,127,600,2
1,98,24,0,2
1,91,13,479,3
1,83,49,80,3
1,98,0,480,2
1,83,23,1080,3
1,88,87,0,1
1,73,83,7,3
1,91,60,0,0
1,79,0,360,1
1,79,0,0,0
1,88,0,720,1
1,77,70,51,3
1,88,65,0,0
1,93,65,0,1
1,97,70,120,2
1,88,0,0,0
1,80,73,0,1
1,88,70,0,0
1,82,94,120,2
1,93,115,360,3
1,94,27,240,1
1,82,0,0,0
1,88,57,0,1
1,74,47,80,2
1,92,67,0,0
1,89,110,0,1
1,89,0,120,1
1,92,0,0,0
1,67,0,0,1
1,86,43,1,3
1,73,68,7,2
1,74,127,0,2
1,71,49,230,3
1,83,56,110,3
1,77,67,1440,3
1,72,0,0,0
1,57,30,0,2
1,68,23,240,1
1,56,127,0,1
1,60,68,0,0
1,77,44,720,3
1,65,0,480,0
1,68,0,0,0
1,56,0,3840,1
1,60,40,0,1
1,114,97,51,2
1,104,69,479,3
1,96,68,0,1
1,99,0,120,0
1,97,62,0,0
1,97,0,120,0
1,105,65,230,2
1,92,0,120,0
1,94,103,110,3
1,84,76,240,3
1,88,84,0,2
1,87,43,1080,2
1,88,121,113,3
1,96,21,1080,3
1,80,90,0,1
1,85,33,1320,3
1,74,94,120,3
1,77,0,7,1
1,75,55,230,1
1,75,0,120,0
1,78,113,51,3
1,79,78,600,3
1,81,127,120,3
1,56,0,51,2
1,72,55,480,0
1,66,24,7,3
1,73,52,0,0
1,73,25,9,2
1,86,127,0,2
1,75,44,120,1
1,80,107,80,3
1,77,0,120,0
1,91,120,0,2
1,80,114,10,2
1,78,0,1,1
1,75,0,9,2
1,81,40,120,1
1,81,0,120,0
1,81,50,600,0
1,81,0,120,0
1,81,121,230,3
1,86,40,420,3
1,90,47,0,1
1,76,67,1080,3
1,65,79,240,3
1,78,0,120,0
1,71,77,80,3
1,72,46,80,3
1,76,42,0,0
1,76,0,120,0
1,75,87,0,1
1,75,0,120,0
1,88,32,600,2
1,95,0,7,2
1,99,127,0,1
1,99,64,120,1
1,96,60,1440,2
1,98,29,420,3
1,87,98,0,2
1,93,76,720,3
1,94,95,240,3
1,76,22,80,3
1,88,99,51,3
1,86,67,0,3
1,85,57,1320,1
1,91,0,230,2
1,85,108,1080,3
1,91,30,120,2
1,83,106,240,3
1,77,73,360,2
1,75,100,51,2
1,75,0,120,0
1,73,49,60,1
1,73,73,120,1
1,68,127,240,2
1,68,28,9,2
1,72,42,480,0
1,72,0,10,1
1,76,83,420,3
1,73,0,120,0
1,75,41,0,0
1,75,0,120,0
1,77,40,1440,1
1,64,51,120,2
1,78,89,479,2
1,80,92,79,2
1,78,0,7,0
1,80,0,10,1
1,81,85,9,2
1,92,27,230,3
1,76,91,1320,3
1,69,68,10,3
1,80,103,480,2
1,80,0,10,1
1,73,113,0,2
1,67,0,7,2
1,65,71,120,3
1,78,0,120,0
1,78,113,1320,3
1,72,0,120,1
1,77,57,0,2
1,89,47,240,3
1,78,35,0,1
1,64,0,10,2
1,71,38,600,0
1,77,127,0,1
1,88,49,79,3
1,75,53,0,0
1,70,68,230,3
1,73,52,0,0
1,73,76,230,2
1,76,0,479,2
1,76,97,0,2
1,73,54,0,0
1,73,29,720,1
1,66,34,10,3
1,70,56,0,0
1,78,125,0,1
1,70,0,720,0
1,58,50,1,2
1,78,0,480,0
1,77,52,0,0
1,72,74,1080,3
1,77,51,10,0
1,77,0,240,0
1,69,126,960,3
1,70,0,240,1
1,76,95,80,3
1,73,24,360,2
1,82,25,60,3
1,70,66,1320,2
1,67,44,0,1
1,94,127,3840,3
1,82,0,720,0
1,62,26,1,3
1,70,73,1320,2
1,68,44,0,0
1,70,44,479,2
1,88,62,240,2
1,82,71,480,1
1,76,122,9,3
1,61,67,10,3
1,81,0,80,2
1,68,0,110,1
1,73,61,1,2
1,80,0,0,1
1,74,70,0,2
1,93,68,0,1
1,82,0,10,1
1,70,57,0,1
1,75,0,240,0
1,88,115,80,3
1,75,75,240,1
1,72,51,0,1
1,65,63,60,2
1,79,51,230,1
1,73,43,60,2
1,78,95,1,3
1,77,76,240,1
1,75,56,0,0
1,75,0,720,1
1,67,60,1080,3
1,73,79,0,1
1,75,59,9,1
1,86,45,720,2
1,73,0,7,1
1,72,53,0,0
1,80,64,0,0
1,72,0,720,0
1,76,55,0,1
1,80,20,240,1
1,80,60,51,2
1,82,38,60,3
1,77,59,0,0
1,88,0,240,1
1,79,60,0,0
1,80,47,3840,3
1,90,96,0,2
1,82,64,230,3
1,75,56,0,0
1,75,68,120,1
1,84,28,0,2
1,60,86,0,2
1,84,56,230,1
1,84,36,720,1
1,84,64,0,0
1,84,39,51,2
1,87,100,720,3
1,84,0,360,1
1,60,43,960,3
1,72,120,480,3
1,95,0,7,2
1,82,97,0,1
1,82,63,360,1
1,79,99,420,3
1,80,78,60,2
1,86,88,10,2
1,67,78,720,2
1,85,75,0,0
1,74,0,720,1
1,85,28,1440,2
1,73,43,480,2
1,73,78,9,2
1,85,0,420,2
1,87,115,51,3
1,79,38,1320,3
1,83,127,1080,3
1,82,0,360,0
1,80,112,0,1
1,74,0,120,1
1,78,80,0,1
1,102,49,51,3
1,89,77,720,1
1,77,54,480,2
1,89,81,479,1
1,89,40,230,1
1,100,7,10,2
1,78,0,720,1
1,93,126,0,2
1,81,69,240,2
1,91,127,600,3
1,98,60,600,3
1,79,127,0,2
1,82,0,240,0
1,84,122,480,2
1,84,0,720,0
1,70,71,420,2
1,95,0,7,2
1,77,68,1320,2
1,80,0,240,0
1,65,127,720,3
1,71,62,720,3
1,83,69,0,1
1,71,80,240,2
1,80,98,0,1
1,68,58,10,3
1,72,61,0,1
1,65,30,120,3
1,89,55,420,2
1,78,55,960,2
1,68,75,1320,3
1,80,29,60,1
1,73,63,0,1
1,90,37,120,2
1,77,58,0,0
1,77,36,360,1
1,70,85,51,3
1,63,34,1320,3
1,89,59,240,2
1,76,50,720,1
1,88,108,1,3
1,77,50,960,2
1,79,120,600,3
1,77,0,240,1
1,68,57,360,1
1,74,57,60,1
1,68,0,420,0
1,72,63,0,0
1,80,0,240,0
1,73,127,0,2
1,89,0,10,2
1,71,53,230,3
1,70,63,1440,1
1,94,123,51,3
1,95,27,110,3
1,81,59,0,2
1,62,127,0,2
1,85,103,3840,3
1,80,0,113,1
1,74,22,600,3
