track,note,velocity,time,anomaly
1,63,81,1,0
1,69,81,280,1
1,78,96,60,0
1,69,0,200,0
1,63,0,0,0
1,74,68,300,2
1,74,31,100,3
1,63,62,0,0
1,78,0,20,0
1,69,0,300,0
1,63,0,0,0
1,63,64,0,0
1,58,118,0,2
1,89,80,100,2
1,64,0,120,2
1,68,0,1,2
1,68,0,0,1
1,69,69,0,0
1,63,63,0,0
1,87,51,280,3
1,87,0,20,1
1,69,47,280,2
1,68,0,0,1
1,73,83,0,0
1,63,127,20,2
1,69,69,0,0
1,75,55,20,1
1,57,29,0,3
1,63,0,0,0
1,69,65,0,0
1,63,58,0,0
1,72,78,0,0
1,73,0,20,0
1,69,77,100,2
1,64,38,300,3
1,72,0,0,0
1,65,72,280,3
1,75,40,120,0
1,77,0,300,1
1,67,96,100,2
1,63,30,20,2
1,73,42,100,0
1,72,0,20,0
1,65,43,100,0
1,73,50,20,1
1,69,45,100,0
1,68,0,20,1
1,70,45,100,0
1,69,59,100,2
1,72,46,100,0
1,70,0,20,0
1,73,48,100,0
1,72,0,20,0
1,64,72,100,2
1,76,25,20,2
1,77,51,100,0
1,74,0,20,1
1,79,51,100,0
1,77,0,200,1
1,81,52,100,0
1,79,0,20,0
1,93,92,100,2
1,81,0,20,0
1,84,54,100,0
1,82,0,20,0
1,85,56,60,1
1,73,34,0,3
1,87,56,100,0
1,85,71,20,1
1,89,57,100,0
1,74,26,100,3
1,90,115,100,2
1,102,73,100,3
1,93,59,100,0
1,91,0,20,0
1,94,61,100,0
1,93,0,20,0
1,96,110,100,1
1,91,32,20,2
1,97,64,100,0
1,96,0,20,0
1,110,89,59,3
1,97,0,20,0
1,100,67,100,0
1,99,39,20,1
1,101,65,100,0
1,100,23,20,1
1,99,65,100,0
1,101,0,20,0
1,97,63,100,0
1,99,0,20,0
1,96,62,100,0
1,97,0,20,0
1,94,61,100,0
1,96,0,20,0
1,93,88,59,2
1,94,46,20,1
1,94,59,100,0
1,92,61,200,3
1,94,0,100,0
1,92,58,0,0
1,90,109,120,1
1,92,0,20,0
1,89,56,100,0
1,85,39,120,3
1,88,56,100,0
1,89,0,20,0
1,86,87,60,3
1,88,0,20,0
1,82,115,20,3
1,89,0,20,0
1,85,53,100,0
1,87,49,20,1
1,84,52,100,0
1,80,24,280,3
1,82,51,300,1
1,84,0,20,0
1,70,117,100,2
1,87,63,280,3
1,82,49,100,0
1,81,0,20,0
1,86,106,280,3
1,82,26,280,2
1,78,48,100,0
1,75,54,1,3
1,77,48,100,0
1,77,0,20,1
1,78,124,100,2
1,77,0,20,0
1,73,45,100,0
1,75,0,20,0
1,72,45,100,0
1,73,24,20,1
1,73,45,100,0
1,72,0,20,0
1,75,45,100,0
1,73,0,20,0
1,82,46,100,1
1,75,0,20,0
1,78,47,20,1
1,77,30,20,1
1,80,117,100,1
1,90,67,1,3
1,82,48,100,0
1,80,0,20,0
1,84,49,100,0
1,82,0,20,0
1,83,104,0,3
1,84,0,20,0
1,80,48,100,0
1,79,69,20,2
1,78,49,100,0
1,80,0,120,1
1,77,49,100,0
1,78,33,20,1
1,80,86,1,3
1,77,0,20,0
1,73,51,100,0
1,75,0,20,0
1,72,51,59,1
1,73,0,20,0
1,62,51,300,2
1,72,62,0,2
1,78,99,100,1
1,62,0,20,1
1,68,119,1,3
1,78,0,20,0
1,72,51,100,1
1,85,36,20,2
1,75,45,100,0
1,77,0,20,0
1,69,45,20,2
1,75,0,20,0
1,66,43,200,1
1,77,38,20,2
1,71,44,100,0
1,54,0,20,1
1,77,45,100,1
1,60,0,1,2
1,86,77,280,3
1,72,0,20,0
1,72,46,100,0
1,73,0,20,0
1,61,48,100,1
1,75,0,20,1
1,87,84,59,3
1,74,0,20,0
1,77,48,100,0
1,75,73,20,1
1,75,50,100,0
1,77,0,20,0
1,82,51,100,1
1,75,0,20,0
1,80,127,100,2
1,81,39,60,3
1,72,37,59,3
1,68,52,0,1
1,91,53,200,2
1,80,0,20,0
1,93,127,100,2
1,73,0,20,1
1,95,127,200,3
1,81,0,20,0
1,85,91,100,1
1,82,0,20,0
1,84,93,100,1
1,85,54,100,2
1,72,86,300,3
1,84,0,20,0
1,85,111,60,3
1,91,71,280,3
1,101,82,280,3
1,86,55,100,2
1,87,62,100,0
1,86,72,300,3
1,88,127,59,2
1,87,0,20,0
1,89,63,100,0
1,88,0,60,1
1,90,127,100,2
1,89,0,20,0
1,91,65,100,1
1,88,60,60,3
1,92,67,100,0
1,94,0,20,0
1,91,68,100,0
1,92,0,20,0
1,90,67,100,0
1,91,0,20,0
1,101,66,200,1
1,93,0,20,1
1,105,97,300,3
1,106,21,20,2
1,84,127,60,3
1,99,51,20,1
1,97,63,100,0
1,87,0,20,0
1,97,122,100,2
1,97,0,20,0
1,84,62,100,0
1,107,41,100,3
1,94,61,100,0
1,78,38,100,3
1,93,60,100,0
1,95,0,200,2
1,94,90,59,3
1,98,72,59,3
1,93,127,1,3
1,81,0,20,0
1,90,57,100,0
1,92,0,20,0
1,78,56,100,0
1,90,0,20,0
1,100,91,100,2
1,73,73,100,3
1,87,55,100,0
1,84,0,20,1
1,90,94,60,3
1,98,37,20,2
1,77,54,100,0
1,78,0,20,0
1,87,52,100,0
1,77,0,20,0
1,85,51,100,0
1,98,0,20,1
1,77,91,120,2
1,85,0,20,0
1,97,110,60,3
1,77,0,20,0
1,97,102,200,3
1,80,72,280,3
1,75,91,0,2
1,84,46,20,1
1,84,47,100,0
1,81,77,120,3
1,73,46,100,0
1,90,0,20,1
1,82,46,100,0
1,61,0,300,2
1,80,45,100,0
1,82,0,20,0
1,84,45,0,2
1,80,0,20,0
1,80,44,100,0
1,72,0,20,0
1,78,42,100,0
1,80,0,20,0
1,58,99,200,3
1,78,0,20,0
1,89,42,59,2
1,70,0,20,0
1,78,0,20,1
1,64,96,280,3
1,70,92,120,1
1,69,29,120,2
1,72,42,20,1
1,70,0,20,0
1,73,44,100,0
1,72,0,20,0
1,75,45,100,0
1,86,63,280,3
1,81,103,100,2
1,75,0,20,0
1,77,47,100,0
1,76,28,20,1
1,78,48,120,1
1,66,63,20,2
1,76,51,100,0
1,78,0,20,0
1,77,49,100,0
1,76,72,20,1
1,80,47,20,2
1,80,69,20,2
1,75,46,100,0
1,74,0,20,0
1,78,91,100,2
1,75,0,20,0
1,73,44,100,0
1,72,0,20,0
1,72,43,100,0
1,84,30,280,3
1,70,41,280,1
1,72,0,20,0
1,58,36,100,2
1,81,67,60,3
1,70,41,120,0
1,69,31,20,1
1,72,42,0,1
1,65,0,20,1
1,73,114,60,2
1,72,0,20,0
1,78,104,100,2
1,86,31,20,2
1,87,67,120,3
1,80,21,59,3
1,77,49,100,0
1,76,38,300,2
1,78,50,100,0
1,76,0,1,2
1,76,51,100,0
1,78,0,20,0
1,77,50,100,0
1,76,0,20,0
1,87,124,280,3
1,77,0,20,0
1,88,48,100,1
1,80,0,20,1
1,66,94,300,3
1,64,51,20,2
1,73,45,100,0
1,72,0,20,0
1,61,121,60,3
1,73,0,20,0
