track,note,velocity,time,anomaly
1,51,11,0,0
1,51,0,228,0
1,51,12,12,0
1,51,0,228,0
1,51,14,12,0
1,51,0,228,0
1,51,15,12,0
1,51,0,228,0
1,51,16,12,0
1,51,0,228,0
1,51,18,12,0
1,51,0,228,0
1,51,20,12,0
1,51,0,228,0
1,51,22,12,0
1,51,0,228,0
1,51,24,12,0
1,51,0,228,0
1,51,24,12,0
1,51,0,228,0
1,51,22,12,0
1,51,0,228,0
1,51,17,12,0
1,51,0,228,0
1,52,25,12,0
1,52,0,228,0
1,58,32,12,0
1,52,19,0,0
1,52,0,228,0
1,58,0,0,0
1,63,34,12,0
1,52,21,0,0
1,52,0,228,0
1,63,0,0,0
1,64,36,12,0
1,52,22,0,0
1,52,0,228,0
1,64,0,0,0
1,56,33,12,0
1,52,20,0,0
1,52,0,228,0
1,56,0,0,0
1,58,32,12,0
1,52,19,0,0
1,52,0,228,0
1,58,0,0,0
1,61,38,12,0
1,51,3,240,0
1,57,8,0,0
1,57,0,228,0
1,51,0,0,0
1,51,3,12,0
1,57,8,0,0
1,57,0,228,0
1,51,0,0,0
1,61,0,12,0
1,59,29,0,0
1,51,7,0,0
1,57,13,0,0
1,57,0,228,0
1,51,0,0,0
1,57,8,12,0
1,51,3,0,0
1,51,0,228,0
1,57,0,0,0
1,57,8,12,0
1,51,3,0,0
1,51,0,228,0
1,57,0,0,0
1,59,0,252,0
1,64,36,0,0
1,59,22,0,0
1,59,0,228,0
1,64,0,0,0
1,70,40,12,0
1,59,26,0,0
1,59,0,228,0
1,70,0,0,0
1,73,45,12,0
1,59,29,0,0
1,59,0,228,0
1,73,0,0,0
1,71,38,12,0
1,59,24,0,0
1,59,0,228,0
1,71,0,0,0
1,68,38,12,0
1,59,24,0,0
1,59,0,228,0
1,68,0,0,0
1,66,48,12,0
1,54,19,240,0
1,61,27,0,0
1,61,0,228,0
1,54,0,0,0
1,54,19,12,0
1,61,27,0,0
1,61,0,228,0
1,54,0,0,0
1,66,0,12,0
1,68,46,0,0
1,64,27,240,0
1,56,19,0,0
1,56,0,228,0
1,64,0,0,0
1,64,25,12,0
1,56,17,0,0
1,56,0,228,0
1,64,0,0,0
1,68,0,252,0
1,61,36,0,0
1,61,0,228,0
1,66,40,12,0
1,54,26,0,0
1,61,26,0,0
1,61,0,228,0
1,54,0,0,0
1,66,0,0,0
1,70,41,12,0
1,61,29,0,0
1,61,0,228,0
1,70,0,0,0
1,68,38,12,0
1,61,24,0,0
1,61,0,228,0
1,68,0,0,0
1,64,38,12,0
1,61,24,0,0
1,61,0,228,0
1,64,0,0,0
1,63,47,12,0
1,54,14,240,0
1,60,22,0,0
1,60,0,228,0
1,54,0,0,0
1,54,14,12,0
1,60,22,0,0
1,60,0,228,0
1,54,0,0,0
1,63,0,12,0
1,64,35,0,0
1,59,12,240,0
1,52,6,0,0
1,52,0,228,0
1,59,0,0,0
1,59,11,12,0
1,52,5,0,0
1,52,0,228,0
1,59,0,0,0
1,64,0,252,0
1,59,27,0,0
1,52,18,0,0
1,52,0,228,0
1,59,0,0,0
1,58,18,12,0
1,52,11,0,0
1,61,30,0,0
1,61,0,228,0
1,52,0,0,0
1,58,0,0,0
1,64,34,12,0
1,64,0,228,0
1,59,16,12,0
1,51,10,0,0
1,63,28,0,0
1,63,0,228,0
1,51,0,0,0
1,59,0,0,0
1,59,23,12,0
1,51,6,0,0
1,56,12,0,0
1,56,0,228,0
1,51,0,0,0
1,59,0,0,0
1,61,32,12,0
1,49,11,240,0
1,58,17,0,0
1,58,0,228,0
1,49,0,0,0
1,49,10,12,0
1,58,16,0,0
1,58,0,228,0
1,49,0,0,0
1,49,11,12,0
1,58,17,0,0
1,58,0,228,0
1,49,0,0,0
1,49,9,12,0
1,58,15,0,0
1,58,0,228,0
1,49,0,0,0
1,49,9,12,0
1,58,15,0,0
1,58,0,228,0
1,49,0,0,0
1,52,41,12,0
1,52,0,228,0
1,61,0,12,0
1,58,45,0,0
1,52,29,0,0
1,52,0,228,0
1,58,0,0,0
1,52,31,12,0
1,58,31,0,0
1,63,47,0,0
1,63,0,228,0
1,58,0,0,0
1,52,0,0,0
1,64,49,12,0
1,58,32,0,0
1,52,32,0,0
1,52,0,228,0
1,58,0,0,0
1,64,0,0,0
1,56,46,12,0
1,52,30,0,0
1,52,0,228,0
1,56,0,0,0
1,58,45,12,0
1,52,29,0,0
1,52,0,228,0
1,58,0,0,0
1,61,49,12,0
1,51,14,240,0
1,57,21,0,0
1,57,0,228,0
1,51,0,0,0
1,51,14,12,0
1,57,21,0,0
1,57,0,228,0
1,51,0,0,0
1,61,0,12,0
1,59,50,0,0
1,51,20,0,0
1,57,29,0,0
1,57,0,228,0
1,51,0,0,0
1,57,21,12,0
1,51,14,0,0
1,51,0,228,0
1,57,0,0,0
1,57,21,12,0
1,51,14,0,0
1,51,0,228,0
1,57,0,0,0
1,59,0,252,0
1,64,49,0,0
1,59,32,0,0
1,59,0,228,0
1,64,0,0,0
1,59,27,12,0
1,64,36,0,0
1,70,52,0,0
