track,note,velocity,time,anomaly
1,59,80,1,0
1,59,0,479,0
1,59,74,0,0
1,59,0,400,0
1,70,127,400,3
1,59,0,80,0
1,59,80,0,0
1,59,0,480,0
1,61,127,80,2
1,61,0,480,0
1,61,76,0,0
1,62,44,480,2
1,75,110,0,2
1,63,0,400,0
1,57,75,0,1
1,63,0,80,0
1,63,75,0,0
1,63,36,4,2
1,63,73,0,0
1,64,79,480,2
1,64,75,0,0
1,64,0,480,0
1,64,76,0,0
1,64,0,400,0
1,63,60,480,3
1,63,63,160,3
1,64,80,0,0
1,64,0,480,0
1,63,85,0,0
1,63,0,400,0
1,50,51,4,3
1,63,0,80,0
1,63,90,0,0
1,63,26,160,2
1,63,80,0,0
1,63,0,400,0
1,61,64,0,0
1,55,0,80,1
1,66,102,160,3
1,61,0,480,0
1,61,64,0,0
1,61,0,400,0
1,59,46,0,0
1,48,75,480,3
1,46,69,156,3
1,59,0,480,0
1,59,44,0,0
1,59,28,480,2
1,59,47,0,0
1,46,0,479,2
1,59,47,0,0
1,59,0,480,0
1,59,51,160,1
1,59,0,400,0
1,59,61,0,0
1,59,0,80,0
1,60,62,0,0
1,60,0,480,0
1,62,66,0,0
1,62,0,480,0
1,64,72,0,0
1,64,50,480,1
1,64,106,0,1
1,58,0,320,2
1,67,80,4,2
1,64,0,60,1
1,64,83,0,0
1,64,33,80,2
1,64,86,0,0
1,64,0,400,0
1,76,32,0,2
1,64,0,80,0
1,65,89,0,0
1,65,0,480,0
1,67,91,0,0
1,67,0,480,0
1,68,21,0,1
1,68,0,320,0
1,74,27,160,3
1,74,66,80,3
1,63,88,0,0
1,68,0,420,2
1,61,127,0,1
1,61,0,80,0
1,60,75,0,0
1,60,0,400,0
1,59,71,0,0
1,59,0,80,0
1,59,69,0,0
1,53,0,400,1
1,59,44,0,0
1,59,0,80,0
1,59,36,0,0
1,59,72,480,1
1,59,39,0,0
1,59,62,0,2
1,59,40,0,0
1,59,0,60,0
1,53,79,0,2
1,59,0,480,0
1,60,45,0,0
1,60,0,480,0
1,60,49,0,0
1,73,20,480,2
1,60,42,0,0
1,60,0,420,0
1,60,45,0,0
1,60,0,60,0
