track,note,velocity,time,anomaly
1,83,103,4,0
1,79,94,0,0
1,77,94,0,0
1,74,94,0,0
1,71,94,0,0
1,71,0,960,0
1,77,0,0,0
1,83,0,0,0
1,79,0,0,0
1,61,0,111,2
1,79,56,115,3
1,75,93,0,0
1,77,93,0,0
1,68,93,0,0
1,68,0,360,0
1,80,0,0,0
1,86,33,11,3
1,77,0,0,0
1,67,87,0,0
1,91,65,14,3
1,79,0,120,0
1,67,0,0,0
1,86,106,0,0
1,77,96,0,0
1,79,96,0,0
1,75,29,240,3
1,74,0,960,0
1,86,0,0,0
1,77,0,0,0
1,79,0,0,0
1,80,101,2400,0
1,75,92,0,0
1,77,92,0,0
1,68,92,0,0
1,69,45,360,2
1,80,0,0,0
1,75,0,0,0
1,77,0,0,0
1,67,88,0,0
1,79,95,0,0
1,79,0,120,0
1,67,0,0,0
1,77,96,0,0
1,89,106,0,0
1,79,96,0,0
1,86,96,0,0
1,86,0,240,0
1,77,0,0,0
1,92,0,19,2
1,79,0,0,0
1,92,87,2,0
1,91,80,113,0
1,92,0,19,0
1,89,87,101,0
1,91,0,12,0
1,86,77,118,0
1,89,0,2,0
1,87,77,111,0
1,86,0,19,0
1,86,76,101,0
1,87,0,12,0
1,83,87,111,0
1,86,0,9,0
1,79,77,112,0
1,83,0,11,0
1,80,77,111,0
1,79,0,10,0
1,79,76,108,0
1,80,0,114,1
1,77,87,104,0
1,79,0,14,0
1,74,77,103,0
1,77,0,15,0
1,75,77,111,0
1,74,0,6,0
1,74,76,111,0
1,75,0,15,0
1,71,87,105,0
1,74,0,12,0
1,67,77,113,0
1,84,56,109,3
1,68,77,111,0
1,67,0,14,0
1,67,76,99,0
1,68,40,19,1
1,65,87,106,0
1,67,0,7,0
1,62,77,111,0
1,65,0,14,0
1,63,77,110,0
1,62,0,8,0
1,62,76,110,0
1,63,0,14,0
1,59,87,106,0
1,62,0,12,0
1,55,77,105,0
1,59,0,15,0
1,43,127,2,3
1,55,0,14,0
1,55,76,107,0
1,56,0,11,0
1,53,87,111,0
1,55,0,10,0
1,50,77,114,0
1,53,0,8,0
1,51,77,109,0
1,50,0,15,0
1,50,76,110,0
1,51,48,7,1
1,48,69,111,0
1,50,0,14,0
1,47,69,101,0
1,48,0,5,0
1,55,73,113,0
1,47,0,2,0
1,55,0,118,0
1,53,72,6,0
1,51,71,118,0
1,53,76,10,2
1,50,70,101,0
1,51,0,17,0
1,51,69,110,0
1,50,0,5,0
1,50,69,113,0
1,51,0,14,0
1,48,69,102,0
1,50,0,16,0
1,47,68,113,0
1,48,0,3,0
1,58,76,108,0
1,52,22,60,3
1,56,74,119,0
1,58,0,4,0
1,55,76,114,0
1,56,0,14,0
1,53,74,102,0
1,55,0,16,0
1,55,74,105,0
1,53,0,11,0
1,53,73,105,0
1,55,0,16,0
1,51,73,114,0
1,53,0,2,0
1,50,73,115,0
1,51,0,15,0
1,63,82,99,0
1,50,0,6,0
1,62,83,122,0
1,63,0,4,0
1,60,84,116,0
1,62,0,12,0
1,59,51,15,2
1,60,77,15,1
1,60,85,101,0
1,59,0,16,0
1,59,87,103,0
1,60,0,13,0
1,56,88,114,0
1,59,0,5,0
1,55,89,112,0
1,56,0,15,0
1,56,24,9,2
1,55,0,16,0
1,55,89,108,0
1,56,0,8,0
1,53,92,115,0
1,55,0,9,0
1,57,37,350,3
1,53,0,16,0
1,53,97,103,0
1,51,0,13,0
1,39,22,115,3
1,53,0,9,0
1,48,104,107,0
1,51,0,16,0
1,48,0,224,0
1,84,95,3003,0
1,72,87,0,0
1,74,93,120,0
1,86,102,0,0
1,72,0,10,0
1,84,0,0,0
1,75,97,350,0
1,87,107,0,0
1,74,0,10,0
1,92,32,104,3
1,87,21,6,3
1,87,0,0,0
1,72,104,0,1
1,87,114,0,0
1,87,0,960,0
1,75,0,0,0
1,72,116,360,1
1,67,47,0,0
1,75,47,0,0
1,79,47,0,0
1,79,0,120,0
1,72,0,0,0
1,67,0,0,0
1,75,0,0,0
1,70,47,350,2
1,72,47,0,0
1,69,94,0,2
1,79,47,0,0
1,79,0,360,0
1,54,71,103,3
1,72,0,0,0
1,75,0,0,0
1,67,54,0,0
1,72,54,0,0
1,75,54,0,0
1,79,54,0,0
1,79,0,120,0
1,67,0,0,0
1,72,0,0,0
1,75,0,0,0
1,80,55,0,0
1,72,55,0,0
1,75,55,0,0
1,68,55,0,0
1,68,0,960,0
1,85,37,180,3
1,72,0,0,0
1,75,0,0,0
1,67,47,0,0
1,72,47,99,1
1,75,47,0,0
1,79,47,0,0
1,79,0,240,0
1,67,0,0,0
1,72,0,0,0
1,75,0,0,0
1,84,95,120,0
1,72,87,0,0
1,74,92,120,0
1,86,101,0,0
1,72,0,10,0
1,84,0,0,0
1,75,97,350,0
1,87,107,0,0
1,74,0,10,0
1,83,0,0,1
1,75,0,110,0
1,87,0,0,0
1,75,103,0,0
1,87,113,0,0
1,87,0,960,0
1,75,0,0,0
1,67,69,360,0
1,72,69,0,0
1,75,69,0,0
1,79,76,0,0
1,79,0,120,0
1,67,0,0,0
1,72,0,0,0
1,75,0,0,0
1,67,69,0,0
1,72,69,0,0
1,75,69,0,0
1,79,76,0,0
1,73,36,60,3
1,67,0,0,0
1,72,0,0,0
1,75,0,0,0
1,79,82,0,0
1,72,75,0,0
1,75,75,0,0
1,67,75,0,0
1,62,44,17,3
1,79,0,0,0
1,72,0,0,0
1,75,0,0,0
1,69,84,0,0
1,72,84,0,0
1,75,84,0,0
1,81,92,0,0
1,81,0,1920,0
1,69,0,0,0
1,72,0,0,0
1,75,0,0,0
1,74,95,0,0
1,81,95,0,0
1,86,105,0,0
1,81,0,240,0
1,86,0,60,0
1,74,0,0,0
1,79,91,180,0
1,67,83,0,0
1,74,83,0,0
1,74,0,480,0
1,67,0,0,0
1,79,0,0,0
1,67,66,360,0
1,73,66,0,0
1,79,72,0,0
1,76,0,11,2
1,73,0,0,0
1,67,0,0,0
1,73,81,0,0
1,68,81,0,0
1,80,89,0,0
1,80,0,360,0
1,68,0,0,0
1,73,0,0,0
1,73,65,0,0
1,67,65,0,0
1,79,71,0,0
1,79,0,120,0
1,67,0,0,0
1,73,0,0,0
1,67,74,0,0
1,72,74,0,0
1,79,81,0,0
1,69,0,240,1
1,72,70,0,0
1,84,76,0,0
1,79,0,10,0
1,67,0,0,0
1,72,0,110,0
1,97,79,0,2
1,65,77,120,0
1,72,77,0,0
1,77,86,0,0
1,77,0,480,0
1,60,0,107,2
1,71,46,720,3
1,65,63,360,0
1,72,63,0,0
1,78,102,102,3
1,77,0,120,0
1,72,0,114,1
1,65,0,0,0
1,67,79,0,0
1,72,79,0,0
1,79,87,0,0
1,79,0,360,0
1,72,0,0,0
1,67,0,0,0
1,65,63,0,0
1,72,63,0,0
1,77,69,0,0
1,77,0,120,0
1,72,0,0,0
1,65,0,0,0
1,64,76,0,0
1,66,98,111,3
1,76,84,0,0
1,76,0,1800,0
1,72,0,0,0
1,64,0,0,0
1,63,70,0,0
1,75,70,0,0
1,75,0,120,0
1,62,0,2400,2
1,71,114,113,2
1,63,75,0,0
1,75,75,0,0
1,75,0,480,0
1,63,0,0,0
1,62,63,0,0
1,74,63,0,0
1,74,0,480,0
1,62,0,0,0
1,71,0,0,0
1,72,61,4200,0
1,84,67,0,0
1,86,125,120,1
1,74,61,0,0
1,84,0,10,0
1,72,0,0,0
1,75,62,350,0
1,87,68,0,0
1,86,0,10,0
1,74,0,0,0
1,75,0,110,0
1,87,73,104,2
1,72,127,101,3
1,87,79,0,0
