track,note,velocity,time,anomaly
1,59,81,129600,3
1,64,0,480,1
1,77,49,90,2
1,76,0,480,1
1,67,52,0,1
1,66,38,480,1
1,75,57,0,0
1,75,0,960,0
1,73,52,480,1
1,73,0,960,1
1,73,52,0,0
1,73,23,480,1
1,66,44,4320,1
1,66,0,480,0
1,63,96,90,3
1,68,0,480,0
1,59,89,0,2
1,64,22,3360,2
1,73,53,3840,0
1,73,0,480,0
1,69,49,2880,1
1,75,55,3840,3
1,71,112,129600,3
1,70,0,480,0
1,78,58,0,0
1,78,0,129600,1
1,72,102,0,2
1,77,0,480,0
1,90,79,4320,3
1,64,68,3360,3
1,70,52,0,0
1,83,44,960,3
1,61,77,4320,3
1,77,0,2880,2
1,75,57,0,0
1,75,0,3360,1
1,73,115,0,1
1,73,0,2880,0
1,70,60,3840,0
1,70,0,480,0
1,53,95,960,3
1,65,0,480,0
1,66,92,122400,2
1,60,0,480,1
1,69,126,1320,3
1,75,0,3360,1
1,73,57,0,0
1,85,26,4320,3
1,68,119,24000,3
1,73,0,480,0
1,65,53,0,1
1,77,69,3360,3
1,63,92,240,3
1,68,0,480,0
1,82,119,480,3
1,76,60,2880,3
1,83,62,3840,1
1,70,0,240,1
1,58,79,0,2
1,69,0,60,1
1,65,127,122400,3
1,58,54,3840,3
1,71,62,0,0
1,76,43,24000,3
1,75,98,129600,3
1,78,63,129600,3
1,74,63,0,0
1,74,0,480,0
1,71,60,0,1
1,58,74,480,2
1,79,60,0,0
1,79,0,480,0
1,77,61,0,0
1,77,0,1320,0
1,70,105,240,2
1,70,0,60,0
1,66,46,240,2
1,69,35,122400,3
1,70,98,90,2
1,70,26,960,2
1,63,57,480,2
1,69,56,240,2
1,75,90,90,3
1,81,22,1320,3
1,71,62,0,0
1,71,0,960,0
1,69,122,122400,3
1,73,26,960,3
1,73,66,0,0
1,85,0,480,1
1,67,98,0,2
1,57,32,480,2
1,78,63,0,0
1,78,61,480,1
1,77,65,0,0
1,77,34,122400,2
1,74,94,24000,3
1,74,50,150,3
1,61,113,3360,3
1,67,57,24000,3
1,71,62,0,0
1,82,62,4320,3
1,70,54,0,0
1,67,54,2880,3
1,65,49,0,0
1,65,0,480,0
1,66,52,0,0
1,66,36,3840,2
1,64,103,129600,3
1,75,0,480,1
1,73,92,0,1
1,85,0,480,1
1,73,52,960,1
1,60,0,480,1
1,66,45,0,0
1,69,0,960,2
1,68,111,4320,2
1,68,0,240,1
1,76,82,0,2
1,70,0,960,1
1,71,86,3840,1
1,71,0,480,0
1,64,95,0,2
1,67,71,2880,2
1,69,119,0,2
1,68,0,480,0
1,88,58,2880,2
1,63,70,960,2
1,75,54,0,0
1,75,0,60,1
1,75,54,0,0
1,80,0,0,2
1,68,99,0,1
1,56,65,480,2
1,83,51,0,1
1,70,0,480,0
1,60,104,4320,3
1,60,0,90,2
1,71,51,0,0
1,71,0,2880,0
1,56,115,480,3
1,68,34,3360,2
1,70,86,0,1
1,73,36,1320,3
1,54,46,0,1
1,71,46,1320,3
1,69,39,150,2
1,63,0,480,0
1,68,39,480,0
1,68,0,480,0
