track,note,velocity,time,anomaly
1,65,91,120,3
1,69,50,120,2
1,68,89,7800,3
1,81,79,0,3
1,79,73,0,2
1,68,0,120,0
1,80,95,120,3
1,78,0,0,2
1,68,119,240,2
1,62,23,7800,3
1,86,103,7800,3
1,60,32,240,3
1,76,43,240,1
1,76,0,120,0
1,70,45,0,1
1,75,0,120,0
1,67,105,7800,3
1,73,51,120,1
1,81,116,120,3
1,63,61,7800,3
1,62,111,240,3
1,73,0,240,1
1,72,44,0,0
1,66,0,7800,2
1,73,94,0,1
1,76,29,7800,3
1,76,49,0,0
1,79,30,120,2
1,92,82,0,2
1,68,33,0,3
1,68,45,120,0
1,68,0,120,0
1,74,49,0,1
1,66,28,0,3
1,81,95,120,3
1,62,0,0,2
1,78,109,7800,3
1,67,0,120,0
1,71,94,120,3
1,68,0,120,0
1,68,50,0,1
1,73,0,120,0
1,64,51,240,2
1,76,0,120,0
1,75,54,0,0
1,86,44,120,2
1,73,51,0,0
1,72,29,120,2
1,75,53,0,0
1,88,56,120,2
1,73,123,240,2
1,73,0,120,0
1,84,106,0,2
1,73,20,240,3
1,73,120,120,2
1,73,0,120,0
1,81,57,240,2
1,76,62,7800,2
1,74,98,120,3
1,79,52,0,3
1,69,55,120,0
1,68,0,0,2
1,73,55,0,0
1,73,0,120,0
1,86,110,240,3
1,75,54,240,2
1,73,61,0,1
1,78,32,120,1
1,81,64,0,0
1,87,72,7800,3
1,85,67,7800,1
1,85,0,120,0
1,87,70,0,0
1,93,29,0,3
1,101,95,120,3
1,95,0,120,0
1,93,72,0,0
1,80,0,7800,2
1,92,118,7800,2
1,92,50,120,1
1,84,70,7800,2
1,78,30,7800,3
1,101,69,0,1
1,93,0,0,2
1,87,68,0,0
1,84,0,120,1
1,90,67,0,0
1,90,0,120,0
1,84,66,7800,2
1,97,49,240,3
1,84,68,0,0
1,84,0,120,0
1,86,127,120,3
1,87,0,120,0
1,84,63,0,1
1,87,60,7800,3
1,80,63,0,0
1,80,0,120,0
1,78,60,0,0
1,78,0,120,0
1,87,127,7800,3
1,81,0,120,0
1,76,54,0,0
1,64,75,0,3
1,69,54,7800,2
1,70,69,240,3
1,79,53,120,2
1,78,0,120,0
1,73,91,0,1
1,73,0,120,0
1,60,48,240,2
1,83,0,240,2
1,62,68,120,3
1,75,57,0,2
1,69,45,0,0
1,57,0,120,1
1,68,85,0,1
1,68,0,120,0
1,66,42,120,2
1,71,26,120,1
1,69,41,0,0
1,69,25,0,2
1,68,37,0,0
1,68,0,120,0
1,74,41,240,2
1,82,50,120,2
1,68,38,0,0
1,68,43,120,1
1,73,63,0,2
1,73,0,120,1
1,68,118,0,1
1,68,0,120,0
1,62,78,0,2
1,78,24,120,2
1,79,107,0,2
1,87,37,0,3
1,64,115,0,2
1,78,28,240,3
1,73,43,0,0
1,73,0,0,1
1,69,45,120,2
1,75,31,120,1
1,85,106,7800,3
1,72,0,120,1
1,85,44,0,1
1,72,0,120,0
1,73,46,0,0
1,73,0,120,0
1,65,49,240,2
1,63,54,0,3
1,80,47,0,0
1,80,0,120,0
1,74,100,0,3
1,68,0,240,1
1,70,49,0,0
1,83,78,0,3
1,73,94,120,3
1,68,0,120,0
1,66,66,120,3
1,61,0,240,2
1,68,48,0,0
1,68,52,120,1
1,73,50,0,0
1,85,0,120,1
1,76,73,7800,2
1,76,69,120,1
1,75,123,7800,2
1,75,0,120,0
1,74,112,0,2
1,73,0,7800,1
1,72,84,120,3
1,75,0,120,0
1,73,123,120,2
1,73,0,240,1
1,75,87,240,3
1,72,0,120,0
1,86,87,120,3
1,68,26,0,3
1,76,57,0,0
1,76,0,120,0
1,80,55,0,0
1,80,78,120,1
1,75,87,7800,2
1,75,0,120,0
1,76,122,0,1
1,73,76,240,3
1,70,61,0,1
1,74,80,7800,3
1,85,84,240,3
1,73,0,120,1
1,80,115,120,3
1,75,0,120,0
1,71,112,0,2
1,83,0,120,0
1,82,62,0,0
1,82,0,7800,1
1,80,65,0,0
1,80,0,120,0
1,80,93,120,3
1,79,0,120,0
1,82,127,240,3
1,88,0,120,0
1,99,120,7800,3
1,98,0,120,1
1,85,127,240,2
1,88,58,240,3
1,89,127,240,3
1,83,0,120,0
1,82,100,240,2
1,82,41,120,1
1,80,68,0,0
1,69,33,120,2
1,79,68,0,0
1,92,0,0,2
1,82,72,0,0
1,88,38,0,3
1,86,122,0,2
1,83,0,120,1
1,83,64,0,0
1,83,30,7800,2
1,68,57,0,1
1,74,0,120,0
1,77,125,240,3
1,63,0,240,2
1,75,57,240,1
1,75,0,7800,1
1,80,63,0,0
1,80,0,120,0
1,81,106,240,3
1,70,0,120,0
1,73,61,0,0
1,73,42,120,1
1,71,59,0,0
1,71,0,120,0
1,88,110,0,2
1,86,0,7800,2
1,67,83,0,1
1,79,0,7800,2
1,70,60,7800,1
1,70,0,240,1
1,68,107,7800,2
1,68,0,120,0
1,56,95,120,3
1,67,0,120,0
1,56,50,240,2
1,68,79,120,1
1,68,72,0,0
1,68,0,120,0
1,75,125,0,2
1,83,59,120,2
1,72,59,240,1
1,72,0,120,0
1,73,59,0,0
1,72,0,0,2
1,79,71,0,1
1,79,0,120,1
1,84,60,7800,2
1,78,30,7800,2
1,72,60,0,0
1,72,0,120,0
1,85,61,240,2
1,73,0,7800,1
1,65,75,120,1
1,65,32,120,1
1,77,62,0,0
1,77,0,120,0
1,60,116,0,2
1,75,0,7800,2
1,73,63,240,1
1,60,63,7800,3
1,66,74,0,0
1,71,41,120,2
1,78,65,0,0
1,81,44,0,3
1,72,64,0,0
1,61,36,120,2
1,73,110,120,2
1,73,0,120,0
1,61,77,0,0
1,61,0,120,0
1,73,65,0,0
1,70,32,240,3
1,66,65,7800,1
1,53,61,7800,3
1,58,127,0,2
1,69,30,0,2
1,63,75,0,0
1,63,0,120,0
1,81,122,120,3
1,72,80,240,3
1,79,94,0,2
1,66,31,0,2
1,69,65,0,0
1,58,73,120,2
1,64,79,0,0
1,76,60,240,3
1,76,66,0,0
1,82,47,240,3
1,74,66,7800,2
1,68,38,120,1
1,71,113,0,1
1,71,0,120,0
1,68,77,0,0
1,68,33,120,1
1,91,113,0,2
1,81,30,120,2
1,71,66,0,0
1,74,61,0,3
1,81,114,7800,3
1,70,71,240,3
1,57,23,0,2
1,68,0,120,0
1,80,65,0,0
1,80,0,120,0
1,84,65,240,2
1,72,45,240,2
1,67,91,120,3
1,72,49,7800,3
1,78,78,240,2
1,66,0,120,0
1,78,65,0,0
1,73,0,120,1
1,72,65,0,0
1,67,0,120,1
1,62,65,240,2
1,73,0,120,0
1,65,79,0,0
1,60,0,120,1
1,77,66,0,0
1,82,28,240,3
1,85,66,240,2
1,85,0,0,2
1,86,118,240,3
1,73,44,240,2
1,66,77,0,0
1,66,21,120,1
1,78,67,0,0
1,91,77,0,3
1,72,66,0,0
1,72,0,120,0
1,73,127,0,1
1,62,66,7800,3
1,65,81,0,0
1,65,0,120,0
1,65,65,0,1
1,77,71,0,2
1,68,103,120,3
1,71,0,120,0
1,80,65,0,1
1,64,0,120,1
1,61,78,120,2
1,63,44,120,2
1,78,98,0,1
1,78,0,0,1
1,71,65,7800,1
1,71,47,240,2
1,75,106,0,1
1,78,47,0,3
1,69,79,0,0
1,69,0,120,0
1,81,66,0,0
1,81,0,120,0
1,82,90,120,3
1,71,0,120,0
1,76,121,0,1
1,76,0,240,1
1,67,127,7800,3
1,68,0,120,0
1,80,67,0,0
1,92,33,7800,3
1,71,66,0,0
1,71,34,7800,2
1,76,65,120,1
1,76,23,0,2
1,80,90,120,3
1,68,0,120,0
1,80,57,240,1
1,74,27,120,2
1,72,47,0,0
1,72,0,120,0
1,85,108,120,3
1,73,0,120,0
1,66,49,0,0
1,66,52,7800,2
1,75,124,7800,3
1,78,0,240,1
1,72,48,0,0
1,73,51,7800,3
1,73,70,0,1
1,84,76,240,3
1,65,51,0,0
1,64,50,240,3
1,90,127,0,2
1,65,0,120,1
1,72,74,120,2
1,72,26,120,1
1,73,50,0,0
1,73,0,120,0
1,66,53,240,1
1,66,0,120,0
1,78,118,120,2
1,78,0,120,0
1,72,112,7800,2
1,72,0,120,0
1,73,51,0,0
1,73,0,120,0
1,61,55,0,0
1,74,32,0,3
1,73,60,0,0
1,73,0,120,0
1,72,109,240,3
1,66,0,120,0
1,69,53,0,0
1,69,0,120,0
1,63,55,7800,1
1,63,0,120,0
1,75,127,0,1
1,75,0,7800,1
1,54,114,0,2
1,67,0,7800,2
1,69,74,0,1
1,58,69,0,3
1,58,125,0,2
1,64,63,0,2
1,79,65,0,1
1,76,0,120,0
1,68,56,240,1
1,63,42,120,2
1,59,56,120,2
1,72,38,120,2
1,71,60,0,1
1,68,0,120,0
1,80,68,0,0
1,91,36,120,2
1,71,57,0,0
1,77,0,7800,2
1,76,58,0,0
1,76,40,240,2
1,65,62,7800,2
1,68,0,240,1
1,93,88,7800,3
1,81,0,0,2
1,61,101,120,3
1,71,21,7800,3
1,61,79,7800,3
1,73,0,120,0
1,63,113,240,3
1,67,0,120,1
1,72,70,0,1
1,91,70,0,3
1,78,95,120,3
1,60,0,7800,2
1,70,86,7800,3
1,86,37,7800,3
1,74,112,7800,3
1,87,56,240,3
1,87,73,0,0
1,84,54,120,2
1,81,96,120,3
1,67,57,7800,3
1,81,62,0,0
1,81,0,120,0
1,73,127,0,1
1,60,0,120,1
1,85,74,120,1
1,72,0,240,2
1,78,62,0,0
1,78,46,7800,2
1,81,62,0,0
1,76,58,7800,3
1,76,114,240,3
1,72,49,120,2
1,85,127,0,1
1,85,0,120,0
1,63,61,0,1
1,80,72,0,3
1,81,61,120,2
1,78,0,120,0
1,72,127,0,1
1,73,32,120,2
1,84,71,0,0
1,81,79,120,2
1,75,91,7800,2
1,86,51,0,3
1,73,79,120,3
1,78,72,7800,2
1,72,60,0,0
1,75,0,120,1
1,84,69,0,0
1,89,37,7800,3
1,78,127,120,3
1,75,0,120,0
1,75,93,7800,3
1,78,0,7800,1
1,61,87,120,3
1,72,0,120,0
1,89,104,120,3
1,83,0,0,2
1,72,109,7800,3
1,75,0,120,0
