track,note,velocity,time,anomaly
1,83,59,960,0
1,83,14,480,0
1,84,60,0,0
1,84,14,360,0
1,83,59,0,0
1,83,14,120,0
1,81,59,0,0
1,81,14,480,0
1,84,62,0,0
1,84,14,476,0
1,84,61,4,0
1,84,14,960,0
1,83,57,0,0
1,83,14,480,0
1,81,56,0,0
1,81,14,80,0
1,83,57,0,0
1,83,14,80,0
1,81,58,0,0
1,81,14,80,0
1,80,59,0,0
1,80,14,240,0
1,81,61,0,0
1,81,14,240,0
1,82,59,0,0
1,82,14,240,0
1,83,64,0,0
1,83,14,240,0
1,78,64,0,0
1,78,14,240,0
1,81,68,0,0
1,81,14,960,0
1,79,59,0,0
1,79,14,480,0
1,76,76,0,0
1,76,14,160,0
1,78,71,0,0
1,78,14,160,0
1,76,71,0,0
1,76,14,160,0
1,75,77,0,0
1,75,14,240,0
1,76,81,240,0
1,76,14,240,0
1,78,84,240,0
1,78,14,240,0
1,83,86,240,0
1,83,14,960,0
1,78,90,0,0
1,78,14,240,0
1,74,87,0,0
1,74,14,240,0
1,71,90,0,0
1,71,14,240,0
1,78,85,0,0
1,78,14,240,0
1,70,87,0,0
1,70,14,480,0
1,71,90,0,0
1,71,14,960,0
1,83,59,0,0
1,83,14,480,0
1,84,60,0,0
1,84,14,360,0
1,83,59,0,0
1,83,14,120,0
1,81,59,0,0
1,81,14,480,0
1,84,62,0,0
1,84,14,474,0
1,84,61,6,0
1,84,14,960,0
1,83,57,0,0
1,83,14,480,0
1,81,56,0,0
1,81,14,80,0
1,83,57,0,0
1,83,14,80,0
1,81,58,0,0
1,81,14,80,0
1,80,59,0,0
1,80,14,240,0
1,81,61,0,0
1,81,14,240,0
1,82,59,0,0
1,82,14,240,0
1,83,61,0,0
1,83,14,240,0
1,78,56,0,0
1,78,14,114,0
1,78,61,6,0
1,78,14,120,0
1,81,65,0,0
1,81,14,960,0
1,79,59,0,0
1,79,14,480,0
1,76,60,0,0
1,76,14,160,0
1,77,57,0,0
1,77,14,160,0
1,76,57,0,0
1,76,14,160,0
1,74,61,0,0
1,74,14,480,0
1,76,65,0,0
1,76,14,480,0
1,77,67,0,0
1,77,14,480,0
1,81,68,0,0
1,81,14,480,0
1,76,62,480,0
1,76,14,360,0
1,75,58,0,0
1,75,14,120,0
1,69,54,0,0
1,71,62,0,0
1,71,14,480,0
1,69,14,0,0
1,75,59,0,0
1,69,52,0,0
1,69,14,480,0
1,75,14,0,0
1,67,53,0,0
1,76,60,0,0
1,67,14,480,0
1,76,14,480,0
1,83,59,0,0
1,83,14,480,0
1,84,60,0,0
1,84,14,360,0
1,83,59,0,0
1,83,14,120,0
1,81,59,0,0
1,81,14,480,0
1,84,62,0,0
1,84,14,480,0
1,84,61,0,0
1,84,14,960,0
1,83,57,0,0
1,83,14,480,0
1,81,56,0,0
1,81,14,80,0
1,83,57,0,0
1,83,14,80,0
1,81,58,0,0
1,81,14,80,0
1,80,59,0,0
1,80,14,240,0
1,81,61,0,0
1,81,14,240,0
1,82,59,0,0
1,82,14,240,0
1,83,67,0,0
1,83,14,240,0
1,78,62,0,0
1,78,14,240,0
1,81,72,0,0
1,81,14,960,0
1,79,59,0,0
1,79,14,480,0
1,76,76,0,0
1,76,14,160,0
1,78,71,0,0
1,78,14,160,0
1,76,71,0,0
1,76,14,160,0
1,75,77,0,0
1,75,14,240,0
1,76,81,240,0
1,76,14,240,0
1,78,84,240,0
1,78,14,240,0
1,83,86,240,0
1,83,14,960,0
1,78,90,0,0
1,78,14,240,0
1,74,87,0,0
1,74,14,240,0
1,71,90,0,0
1,71,14,240,0
1,78,85,0,0
1,78,14,240,0
1,70,87,0,0
1,70,14,480,0
1,71,90,0,0
1,71,14,960,0
1,83,59,0,0
1,83,14,480,0
1,84,60,0,0
1,84,14,360,0
1,83,59,0,0
1,83,14,120,0
1,81,59,0,0
1,81,14,480,0
1,84,62,0,0
1,84,14,480,0
1,84,61,0,0
1,84,14,960,0
1,83,57,0,0
1,83,14,480,0
1,81,56,0,0
1,81,14,80,0
1,83,57,0,0
1,83,14,80,0
1,81,58,0,0
1,81,14,80,0
1,80,59,0,0
1,80,14,240,0
1,81,61,0,0
1,81,14,240,0
1,82,59,0,0
1,82,14,240,0
1,83,61,0,0
1,83,14,240,0
1,78,56,0,0
1,78,14,114,0
1,78,56,6,0
1,78,14,120,0
1,81,60,0,0
1,81,14,960,0
1,79,59,0,0
1,79,14,480,0
1,76,60,0,0
1,76,14,160,0
1,77,57,0,0
1,77,14,160,0
1,76,57,0,0
1,76,14,160,0
1,74,61,0,0
1,74,14,480,0
1,76,68,0,0
1,76,14,480,0
1,77,76,0,0
1,77,14,480,0
1,81,73,0,0
1,81,14,480,0
1,76,62,480,0
1,76,14,360,0
1,75,58,0,0
1,75,14,120,0
1,69,54,0,0
1,71,62,0,0
1,71,14,480,0
1,69,14,0,0
1,75,59,0,0
1,69,52,0,0
1,69,14,480,0
1,75,14,0,0
1,67,53,0,0
1,76,60,0,0
1,67,14,480,0
1,76,14,480,0
1,78,65,0,0
1,78,14,480,0
1,79,66,0,0
1,79,14,240,0
1,81,67,0,0
1,81,14,240,0
1,82,69,0,0
1,82,14,475,0
1,82,74,5,0
1,82,14,360,0
1,84,69,0,0
1,84,14,120,0
1,82,76,0,0
1,82,14,960,0
1,81,68,0,0
1,81,14,480,0
1,79,66,0,0
1,79,14,240,0
1,81,68,0,0
1,81,14,240,0
1,82,71,0,0
1,82,14,476,0
1,82,80,4,0
1,82,14,360,0
1,84,76,0,0
1,84,14,120,0
1,82,90,0,0
1,82,14,960,0
1,81,81,0,0
1,81,14,480,0
1,89,100,0,0
1,89,14,960,0
1,80,80,0,0
1,80,14,480,0
1,88,90,0,0
1,88,14,960,0
1,79,76,0,0
1,79,14,480,0
1,87,90,0,0
1,87,14,960,0
1,78,70,0,0
1,78,14,480,0
1,86,81,0,0
1,86,14,720,0
1,77,68,0,0
1,77,14,240,0
1,76,59,0,0
1,76,14,240,0
1,83,59,0,0
1,83,14,240,0
1,84,60,0,0
1,84,14,240,0
1,83,59,0,0
1,83,14,240,0
1,81,59,0,0
1,81,14,480,0
1,84,62,0,0
1,84,14,480,0
1,84,61,0,0
1,84,14,960,0
1,83,57,0,0
1,83,14,480,0
1,81,56,0,0
1,81,14,80,0
1,83,57,0,0
1,83,14,80,0
1,81,58,0,0
1,81,14,80,0
1,80,59,0,0
1,80,14,240,0
1,81,61,0,0
1,81,14,240,0
1,82,59,0,0
1,82,14,240,0
1,83,63,0,0
1,83,14,240,0
1,78,60,0,0
1,78,14,240,0
1,81,69,0,0
1,81,14,960,0
1,79,59,0,0
1,79,14,480,0
1,76,60,0,0
1,76,14,160,0
1,77,57,0,0
1,77,14,160,0
1,76,57,0,0
1,76,14,160,0
1,74,61,0,0
1,74,14,480,0
1,76,65,0,0
1,76,14,480,0
1,77,67,0,0
1,77,14,480,0
1,81,68,0,0
1,81,14,480,0
1,76,62,480,0
1,76,14,360,0
1,75,58,0,0
1,75,14,120,0
1,69,54,0,0
1,71,62,0,0
1,71,14,480,0
1,69,14,0,0
1,75,59,0,0
1,69,52,0,0
1,69,14,480,0
1,75,14,0,0
1,67,53,0,0
1,76,60,0,0
1,67,14,480,0
1,76,14,480,0
1,78,65,0,0
1,78,14,480,0
1,79,66,0,0
1,79,14,240,0
1,81,67,0,0
1,81,14,240,0
1,82,69,0,0
1,82,14,476,0
1,82,74,4,0
1,82,14,360,0
1,84,69,0,0
1,84,14,120,0
1,82,76,0,0
1,82,14,960,0
1,81,68,0,0
1,81,14,480,0
1,79,66,0,0
1,79,14,240,0
1,81,68,0,0
1,81,14,240,0
1,82,71,0,0
1,82,14,476,0
1,82,80,4,0
1,82,14,360,0
1,84,76,0,0
1,84,14,120,0
1,82,90,0,0
1,82,14,960,0
1,81,76,0,0
1,81,14,480,0
1,89,95,0,0
1,89,14,960,0
1,80,76,0,0
1,80,14,480,0
1,88,90,0,0
1,88,14,960,0
1,79,69,0,0
1,79,14,480,0
1,87,85,0,0
1,87,14,960,0
