track,note,velocity,time,anomaly
1,58,38,120,0
1,64,38,0,0
1,64,0,30,0
1,58,0,0,0
1,68,38,210,0
1,61,38,0,0
1,61,0,30,0
1,68,0,0,0
1,58,41,90,0
1,58,0,100,0
1,58,37,20,0
1,58,0,60,0
1,59,37,0,0
1,59,0,60,0
1,68,38,0,0
1,64,38,0,0
1,58,38,0,0
1,58,0,120,0
1,64,0,0,0
1,68,0,0,0
1,56,38,0,0
1,56,0,90,0
1,58,41,30,0
1,58,0,45,0
1,64,36,195,0
1,68,36,0,0
1,59,36,0,0
1,59,0,90,0
1,68,0,0,0
1,64,0,0,0
1,58,41,150,0
1,58,0,120,0
1,59,38,0,0
1,59,0,120,0
1,71,41,0,0
1,68,41,0,0
1,61,41,0,0
1,61,0,60,0
1,63,38,60,0
1,63,0,60,0
1,68,0,60,0
1,71,0,0,0
1,65,41,0,0
1,65,0,60,0
1,65,38,60,0
1,65,0,40,0
1,66,37,0,0
1,66,0,40,0
1,65,37,0,0
1,65,0,40,0
1,63,41,0,0
1,71,35,0,0
1,68,35,0,0
1,63,0,120,0
1,61,38,0,0
1,61,0,120,0
1,68,0,0,0
1,71,0,0,0
1,59,41,0,0
1,59,0,100,0
1,61,37,20,0
1,61,0,100,0
1,71,37,20,0
1,68,37,0,0
1,63,37,0,0
1,63,0,220,0
1,68,0,0,0
1,71,0,0,0
1,63,41,20,0
1,63,0,120,0
1,65,38,0,0
1,65,0,120,0
1,67,38,0,0
1,58,41,0,0
1,67,0,60,0
1,68,38,60,0
1,68,0,60,0
1,58,0,60,0
1,65,41,0,0
1,65,0,100,0
1,65,42,20,0
1,65,0,60,0
1,67,44,0,0
1,67,0,60,0
1,65,48,0,0
1,61,41,0,0
1,61,0,120,0
1,65,0,0,0
1,59,36,0,0
1,63,43,0,0
1,63,0,90,0
1,59,0,0,0
1,65,48,30,0
1,61,41,0,0
1,61,0,120,0
1,65,0,0,0
1,61,50,120,0
1,65,50,0,0
1,68,50,0,0
1,68,0,120,0
1,65,0,0,0
1,61,0,0,0
1,67,42,120,0
1,63,42,0,0
1,63,0,120,0
1,67,0,0,0
1,65,39,0,0
1,68,39,0,0
1,68,0,120,0
1,65,0,0,0
1,63,42,0,0
1,67,42,0,0
1,67,0,340,0
1,63,0,0,0
1,65,41,20,0
1,68,41,0,0
1,68,0,120,0
1,65,0,0,0
1,67,44,0,0
1,70,44,0,0
1,70,0,340,0
1,67,0,0,0
1,68,43,20,0
1,71,43,0,0
1,71,0,120,0
1,68,0,0,0
1,63,38,0,0
1,67,38,0,0
1,67,0,240,0
1,63,0,0,0
1,75,38,0,0
1,78,38,0,0
1,78,0,120,0
1,75,0,0,0
1,73,36,0,0
1,76,36,0,0
1,76,0,60,0
1,73,0,0,0
1,75,36,0,0
1,78,36,0,0
1,78,0,60,0
1,75,0,0,0
1,73,38,0,0
1,76,38,0,0
1,76,0,120,0
1,73,0,0,0
1,71,35,0,0
1,75,35,0,0
1,75,0,120,0
1,71,0,0,0
1,73,38,0,0
1,69,38,0,0
1,69,0,120,0
1,73,0,0,0
1,68,36,0,0
1,71,36,0,0
1,71,0,120,0
1,68,0,0,0
1,69,37,0,0
1,73,37,0,0
1,73,0,360,0
1,69,0,0,0
1,68,35,0,0
1,71,35,0,0
1,71,0,60,0
1,68,0,0,0
1,69,35,0,0
1,73,35,0,0
1,73,0,60,0
1,69,0,0,0
1,71,37,0,0
1,68,37,0,0
1,68,0,120,0
