track,note,velocity,time,anomaly
1,55,25,120,0
1,55,0,120,0
1,48,69,60,3
1,60,0,120,0
1,62,24,0,0
1,62,0,120,0
1,64,29,0,0
1,64,0,60,1
1,55,27,0,0
1,55,0,120,0
1,61,89,60,3
1,60,0,120,0
1,64,26,0,0
1,64,0,120,0
1,62,31,0,0
1,62,0,120,0
1,53,29,0,0
1,53,0,120,0
1,73,85,110,3
1,60,31,110,2
1,62,27,0,0
1,62,45,120,1
1,70,99,10,3
1,78,52,240,3
1,57,31,0,0
1,57,0,120,0
1,59,32,0,0
1,59,0,120,0
1,65,30,0,0
1,65,51,120,1
1,64,37,0,0
1,61,59,2040,3
1,55,34,0,0
1,55,0,120,0
1,60,34,0,0
1,60,0,120,0
1,53,94,240,3
1,51,47,60,3
1,67,37,0,0
1,67,0,120,0
1,59,34,0,0
1,59,0,120,0
1,48,34,2040,2
1,60,0,120,0
1,67,32,0,0
1,67,0,120,0
1,65,38,0,0
1,65,0,240,1
1,57,86,110,2
1,57,0,120,0
1,60,35,0,0
1,60,0,120,0
1,65,32,0,0
1,65,0,120,0
1,69,38,0,0
1,69,0,120,0
1,59,35,60,1
1,59,0,120,0
1,65,35,0,0
1,65,0,120,0
1,69,32,0,0
1,69,0,120,0
1,73,121,10,3
1,67,0,120,0
1,60,36,0,0
1,60,67,120,1
1,64,36,0,0
1,52,0,120,1
1,67,30,0,0
1,67,0,120,0
1,72,50,0,0
1,64,38,120,0
1,72,0,60,0
1,51,0,60,1
1,67,38,0,0
1,67,0,120,0
1,69,110,2040,3
1,72,0,120,0
1,74,53,0,0
1,64,42,120,0
1,74,0,60,0
1,64,0,60,0
1,67,42,0,0
1,67,0,120,0
1,74,35,0,0
1,74,0,120,0
1,75,121,120,3
1,64,41,120,0
1,72,0,60,0
1,64,0,60,0
1,73,116,110,3
1,67,0,120,0
1,72,38,0,0
1,72,0,120,0
1,71,47,0,0
1,64,38,120,0
1,71,0,60,0
1,64,0,60,0
1,67,38,0,0
1,78,56,120,2
1,66,27,240,2
1,71,0,120,0
1,69,47,0,0
1,64,58,120,1
1,69,0,60,0
1,64,0,60,0
1,67,35,0,0
1,67,0,120,0
1,69,27,0,0
1,69,0,120,0
1,67,45,110,1
1,60,35,120,0
1,67,0,60,0
1,60,0,60,0
1,64,35,0,0
1,64,0,120,0
1,67,27,0,0
1,67,0,120,0
1,65,46,0,0
1,60,35,120,0
1,65,0,60,0
1,60,0,60,0
1,64,35,0,0
1,64,0,120,0
1,65,27,0,0
1,65,0,120,0
1,64,41,0,0
1,46,32,120,1
1,59,0,120,0
1,60,32,0,0
1,64,0,110,0
1,60,0,10,0
1,64,27,0,0
1,64,0,120,0
1,62,35,0,0
1,57,32,120,0
1,68,31,240,3
1,60,32,0,0
1,62,0,110,0
1,60,0,10,0
1,62,27,0,0
1,62,0,120,0
1,67,41,0,0
1,59,32,110,1
1,65,0,0,2
1,64,32,0,0
1,67,0,110,0
1,75,77,110,3
1,67,33,0,0
1,67,0,120,0
1,69,47,0,0
1,60,37,120,0
1,60,0,120,0
1,64,32,0,0
1,69,0,110,0
1,64,0,10,0
1,69,27,0,0
1,69,0,120,0
1,64,40,0,0
1,57,32,120,0
1,57,0,120,0
1,60,32,0,0
1,64,56,240,2
1,60,0,10,0
1,70,63,240,3
1,64,0,120,0
1,62,39,0,0
1,57,32,120,0
1,68,54,0,3
1,61,104,0,2
1,62,0,110,0
1,60,0,10,0
1,62,27,0,0
1,62,0,120,0
1,73,58,0,2
1,55,32,120,0
1,55,0,120,0
1,57,64,60,2
1,60,0,110,0
1,57,49,7920,2
1,60,27,0,0
1,60,0,120,0
1,47,109,0,2
1,53,32,120,0
1,53,0,120,0
1,55,32,0,0
1,59,0,110,0
1,55,0,10,0
1,59,27,0,0
1,59,0,120,0
1,55,26,60,2
1,52,0,120,0
1,56,26,7920,1
1,67,35,7920,3
1,56,31,240,0
1,56,0,120,0
1,59,56,7920,2
1,59,0,120,0
1,59,43,240,0
1,59,0,120,0
1,64,43,0,0
1,64,0,120,0
1,64,47,240,0
1,64,0,120,0
1,68,47,0,0
1,68,0,120,0
1,69,59,2040,1
1,69,0,120,0
1,65,32,0,0
1,60,34,120,2
1,62,27,0,0
1,62,0,120,0
1,65,32,120,0
1,65,74,2040,2
1,62,32,0,0
1,57,0,2040,2
1,59,27,0,0
1,59,0,120,0
1,69,32,120,0
1,58,0,10,2
1,65,65,0,1
1,65,0,120,0
1,62,27,0,0
1,65,20,7920,3
1,71,66,120,2
1,65,68,7920,2
1,62,38,0,0
1,62,0,120,0
1,59,38,0,0
1,59,0,120,0
1,72,44,120,0
1,67,0,120,1
1,69,35,0,0
1,69,0,120,0
1,65,109,60,2
1,65,0,120,0
1,69,38,120,0
1,69,0,120,0
1,65,105,240,2
1,65,0,120,0
1,62,27,0,0
1,62,0,0,1
1,65,106,120,1
1,65,0,120,0
1,62,32,0,0
1,62,0,120,0
1,59,51,0,1
1,59,0,120,0
1,62,30,120,0
1,62,0,120,0
1,59,32,0,0
1,59,0,2040,1
1,56,88,120,3
1,52,26,120,2
1,69,32,120,0
1,69,0,120,0
1,65,32,0,0
1,62,0,120,1
1,57,70,120,3
1,68,0,110,2
1,65,32,120,0
1,65,0,120,0
1,62,32,0,0
1,62,0,120,0
1,59,27,0,0
1,59,64,120,1
1,69,32,120,0
1,66,36,60,3
1,65,32,0,0
1,65,0,120,0
1,62,27,0,0
1,74,0,7920,2
1,70,99,2040,3
1,65,0,120,0
1,62,37,0,0
1,62,0,120,0
1,59,38,0,0
1,59,0,120,0
1,72,43,120,0
1,72,0,120,0
1,69,40,0,0
1,69,0,120,0
1,71,75,2040,3
1,65,0,120,0
1,69,40,120,0
1,69,0,120,0
1,65,32,0,0
1,65,0,120,0
1,62,27,0,0
1,62,0,240,1
1,65,31,120,0
1,65,0,120,0
1,62,32,0,0
1,75,60,7920,3
1,60,27,0,1
1,59,0,120,0
1,62,30,120,0
1,65,46,110,3
1,59,32,0,0
1,65,49,60,3
1,49,63,2040,3
1,55,0,120,0
1,59,32,120,0
1,59,0,120,0
1,56,75,60,2
1,56,0,120,0
1,52,27,0,0
1,52,0,120,0
1,61,38,120,0
1,61,0,120,0
1,58,32,0,0
1,58,0,120,0
1,54,27,0,0
1,54,0,120,0
1,59,101,120,1
1,59,0,120,0
1,56,32,0,0
1,56,0,120,0
1,52,27,0,0
1,52,0,120,0
1,61,39,120,0
1,61,0,120,0
1,58,32,0,0
1,58,0,120,0
1,54,27,0,0
1,54,0,120,0
1,59,32,120,0
1,59,0,120,0
1,56,32,0,0
1,56,0,120,0
1,57,61,60,3
1,52,0,60,1
1,59,32,120,0
1,59,0,120,0
1,56,32,0,0
1,56,0,120,0
1,52,27,0,0
1,52,0,120,0
1,59,32,120,0
1,59,33,120,1
1,56,32,0,0
1,55,20,120,2
1,52,27,0,0
1,52,0,120,0
1,48,88,10,3
1,62,36,0,3
1,56,32,0,0
1,56,47,120,1
1,52,27,0,0
1,52,0,120,0
1,57,32,120,0
1,57,31,110,2
1,53,32,0,0
1,53,0,120,0
1,50,27,60,1
1,50,0,120,0
1,60,39,120,0
1,60,0,120,0
1,56,98,0,1
1,56,0,120,0
1,53,27,0,0
1,53,0,120,0
1,57,32,120,0
1,57,0,120,0
1,53,32,0,0
1,53,0,120,0
1,50,27,0,0
1,50,0,60,1
1,60,38,120,0
1,60,0,120,0
1,56,32,0,0
1,56,0,120,0
1,65,27,0,1
1,41,21,240,3
1,57,32,120,0
1,69,41,120,2
1,53,32,0,0
1,53,0,120,0
1,50,27,0,0
1,50,0,120,0
1,57,32,120,0
1,57,0,120,0
1,53,32,0,0
1,53,0,120,0
1,50,27,0,0
1,50,0,120,0
1,45,72,120,2
1,57,0,120,0
1,53,32,0,0
1,53,0,120,0
1,50,27,0,0
1,50,0,120,0
1,69,75,2040,3
1,57,0,120,0
1,53,32,0,0
1,53,0,120,0
1,50,27,0,0
1,50,0,120,0
1,59,28,120,0
1,59,0,120,0
1,56,28,0,0
1,56,0,120,0
1,56,23,2040,2
1,50,0,120,0
1,59,58,240,2
1,59,0,120,0
1,56,26,0,0
1,56,0,120,0
