track,note,velocity,time,anomaly
1,71,45,0,0
1,72,0,720,2
1,87,67,360,3
1,75,71,360,3
1,73,38,120,1
1,73,0,120,0
1,76,81,480,2
1,76,0,120,0
1,74,35,0,0
1,63,31,240,3
1,78,85,0,1
1,66,65,360,3
1,76,31,0,0
1,82,0,240,2
1,79,26,0,0
1,79,0,120,0
1,68,57,0,2
1,78,30,480,1
1,78,0,120,0
1,74,55,240,2
1,68,81,240,3
1,71,0,120,0
1,62,71,0,2
1,74,43,120,1
1,60,38,0,1
1,68,63,480,3
1,64,32,360,2
1,87,0,360,2
1,74,63,0,1
1,68,33,720,3
1,78,29,0,0
1,78,68,120,1
1,65,88,720,3
1,76,70,120,1
1,85,27,120,2
1,79,0,120,0
1,74,32,0,0
1,83,112,0,2
1,78,0,120,0
1,74,31,240,2
1,92,49,120,2
1,67,51,0,3
1,83,39,0,0
1,83,76,240,2
1,78,72,360,2
1,84,0,0,2
1,70,59,0,2
1,81,0,120,0
1,76,43,0,0
1,76,61,120,1
1,79,36,0,0
1,79,71,0,2
1,73,81,0,2
1,74,0,120,0
1,75,92,720,3
1,72,34,120,2
1,73,112,240,2
1,76,44,0,0
1,76,0,120,0
1,73,0,0,0
1,90,49,360,1
1,72,80,480,3
1,81,39,0,0
1,81,0,120,0
1,70,44,120,2
1,76,78,120,1
1,90,109,480,3
1,79,0,120,0
1,79,43,120,2
1,74,0,120,0
1,81,36,360,2
1,89,48,120,2
1,73,41,0,0
1,61,49,120,2
1,65,85,240,3
1,75,42,0,3
1,71,44,120,1
1,87,80,360,3
1,74,54,720,2
1,77,55,360,3
1,69,120,120,3
1,63,48,120,2
1,74,108,0,2
1,73,48,120,1
1,75,84,240,3
1,75,72,720,3
1,86,51,0,1
1,74,0,120,0
1,65,78,120,3
1,78,0,120,0
1,73,122,480,3
1,76,0,120,0
1,84,112,0,2
1,79,0,120,0
1,74,53,0,0
1,89,99,480,3
1,78,0,120,0
1,75,0,240,2
1,79,102,720,3
1,85,0,120,1
1,84,102,360,3
1,73,0,120,0
1,76,45,0,0
1,76,0,120,0
1,74,51,0,0
1,61,54,120,2
1,78,45,0,0
1,78,0,120,0
1,76,52,0,0
1,76,0,120,0
1,67,47,0,1
1,79,64,480,2
1,74,127,480,2
1,67,110,240,3
1,78,0,240,1
1,74,53,0,1
1,69,123,720,3
1,74,0,120,0
1,79,114,0,2
1,73,0,0,2
1,73,82,0,1
1,79,55,120,2
1,70,58,0,1
1,82,0,720,2
1,71,127,720,2
1,76,0,120,1
1,74,59,0,0
1,69,49,720,3
1,70,70,0,0
1,70,40,120,1
1,73,58,0,0
1,73,53,120,1
1,65,98,120,3
1,71,0,120,0
1,71,122,0,2
1,85,25,240,3
1,73,116,480,2
1,84,28,480,3
1,76,65,240,1
1,73,65,480,3
1,84,126,120,3
1,84,11,0,2
1,73,11,0,1
1,71,30,0,2
1,58,107,0,2
1,75,66,480,3
1,73,58,720,2
1,78,76,240,2
1,71,123,720,2
1,71,0,120,0
1,74,34,0,0
1,74,0,120,0
1,73,85,0,1
1,79,63,480,3
1,65,108,0,2
1,64,0,120,1
1,79,91,360,3
1,75,0,120,1
1,84,91,360,3
1,90,33,360,3
1,76,31,0,0
1,76,0,120,0
1,79,26,0,0
1,91,25,0,3
1,80,57,480,3
1,78,30,0,0
1,73,72,240,3
1,74,68,0,1
1,71,45,360,0
1,77,28,240,3
1,74,34,480,1
1,74,0,120,0
1,73,38,0,0
1,73,54,120,1
1,76,32,0,0
1,70,0,120,1
1,74,35,240,1
1,74,73,480,2
1,78,29,0,0
1,90,47,120,2
1,76,31,0,0
1,76,77,120,1
1,74,26,120,2
1,67,58,120,2
1,69,57,360,3
1,78,30,0,0
1,79,0,0,2
1,74,0,0,0
1,79,73,0,2
1,74,38,480,3
1,77,97,720,3
1,83,0,120,0
1,78,44,0,0
1,67,36,120,2
1,81,92,720,2
1,81,0,120,0
1,76,43,0,0
1,76,0,120,0
1,80,36,480,2
1,79,0,120,0
1,74,41,0,0
1,74,25,120,1
1,78,36,0,0
1,78,0,120,0
1,73,44,0,0
1,76,44,0,0
1,73,34,120,2
1,68,32,480,3
1,78,49,360,0
1,78,0,120,0
1,81,39,0,0
1,78,22,0,3
1,71,117,120,3
1,89,73,720,3
1,79,38,0,0
1,79,0,0,1
1,77,75,360,3
1,74,79,240,2
1,91,61,0,2
1,78,0,480,1
1,73,41,240,1
1,73,0,120,0
1,75,61,360,3
1,87,0,120,1
1,84,44,120,2
1,63,103,120,3
1,74,0,120,0
1,77,0,120,2
1,85,45,480,1
1,74,0,120,0
1,73,50,0,0
1,68,0,120,1
1,76,45,0,0
1,76,0,120,0
1,74,92,720,2
1,62,57,360,3
1,91,45,720,2
1,84,77,360,3
1,76,52,0,0
1,76,0,120,0
1,66,47,0,1
1,66,45,360,3
1,74,53,0,0
1,78,53,0,0
1,78,40,360,2
1,73,37,120,3
1,63,120,360,3
1,74,0,120,0
1,73,50,0,0
1,73,0,120,0
1,63,101,120,3
1,82,0,240,2
1,74,51,0,0
1,74,20,240,2
1,78,45,0,0
