track,note,velocity,time,anomaly
1,78,54,0,0
1,78,61,360,1
1,68,48,0,0
1,68,0,120,0
1,74,83,0,2
1,69,0,120,0
1,70,126,120,2
1,69,79,0,3
1,71,53,0,0
1,71,0,120,0
1,78,55,360,2
1,72,74,360,2
1,62,56,363,2
1,73,0,120,0
1,74,57,0,0
1,74,0,120,0
1,75,58,0,0
1,75,0,120,0
1,76,59,0,0
1,76,0,120,0
1,81,69,0,0
1,81,0,120,0
1,63,60,0,1
1,76,25,120,1
1,73,62,0,0
1,76,0,117,2
1,69,60,0,0
1,75,32,363,3
1,67,68,0,0
1,67,0,360,0
1,76,49,0,0
1,76,0,120,0
1,68,114,0,1
1,68,0,360,0
1,82,49,120,2
1,76,0,120,0
1,67,70,0,0
1,67,78,363,2
1,76,47,0,0
1,82,31,120,2
1,68,105,480,2
1,65,34,0,3
1,77,77,0,1
1,77,0,120,0
1,78,67,0,0
1,78,27,363,2
1,68,54,0,0
1,68,0,120,0
1,69,53,0,0
1,69,32,117,2
1,70,54,0,0
1,73,0,117,2
1,71,55,0,0
1,71,0,120,0
1,72,57,0,0
1,72,0,120,0
1,73,58,0,0
1,73,0,480,1
1,74,60,0,0
1,74,0,120,0
1,86,127,0,2
1,75,0,120,0
1,76,63,0,0
1,76,0,120,0
1,81,69,0,0
1,81,0,120,0
1,64,107,117,3
1,76,0,120,0
1,73,62,0,0
1,73,0,120,0
1,69,60,0,0
1,69,0,120,0
1,85,76,0,0
1,84,46,363,3
1,70,60,0,1
1,75,0,120,0
1,65,109,363,3
1,76,0,120,0
1,77,61,0,0
1,77,0,120,0
1,78,96,363,2
1,78,0,120,0
1,79,66,363,1
1,79,0,120,0
1,80,67,0,0
1,80,70,363,2
1,81,70,0,0
1,81,0,120,0
1,82,72,0,0
1,82,0,117,1
1,83,114,360,2
1,83,0,120,0
1,88,83,0,0
1,87,0,120,1
1,83,127,120,2
1,95,0,363,2
1,80,76,0,0
1,80,0,120,0
1,76,74,0,0
1,76,0,117,1
1,71,78,0,0
1,71,0,360,0
1,80,55,0,0
1,80,0,120,0
1,68,77,0,0
1,68,0,360,0
1,76,50,0,0
1,76,0,120,0
1,64,68,0,0
1,65,47,360,2
1,68,103,120,3
1,67,29,480,3
1,61,61,0,0
1,73,77,117,3
1,59,106,363,3
1,70,0,120,0
1,57,107,120,3
1,60,0,360,0
1,64,110,360,3
1,69,0,120,0
1,57,50,0,0
1,57,0,360,0
1,66,32,0,0
1,60,27,120,2
1,69,88,480,3
1,56,0,360,0
1,64,37,0,0
1,64,0,120,0
1,78,53,480,0
1,78,0,360,0
1,71,69,360,3
1,68,0,120,0
1,69,52,0,0
1,82,61,363,3
1,70,53,0,0
1,70,0,120,0
1,71,89,0,1
1,71,0,120,0
1,72,55,0,0
1,72,0,120,0
1,74,56,120,2
1,73,0,120,0
1,74,58,0,0
1,74,0,120,0
1,75,59,0,0
1,75,0,480,1
1,76,60,0,0
1,73,75,117,3
1,69,69,0,1
1,81,0,120,0
1,76,60,0,0
1,76,0,120,0
1,73,62,0,0
1,61,80,120,2
1,68,60,480,2
1,69,0,480,1
1,67,104,0,1
1,70,72,117,3
1,79,91,120,3
1,76,0,120,0
1,68,69,360,1
1,74,71,360,2
1,76,50,0,0
1,76,0,120,0
1,67,70,0,0
1,67,0,360,0
1,76,49,0,0
1,76,65,117,2
1,68,69,0,0
1,67,26,0,3
1,82,45,0,1
1,76,52,363,3
1,67,67,0,1
1,78,0,360,0
1,68,90,0,1
1,57,54,120,2
1,69,53,0,0
1,69,36,120,1
1,70,54,0,0
1,70,0,120,0
1,76,93,0,2
1,71,0,120,0
1,84,97,0,2
1,72,0,120,0
1,73,58,0,0
1,73,0,120,0
1,74,60,0,0
1,69,0,117,2
1,75,61,0,0
1,75,55,480,2
1,76,63,0,0
1,75,27,480,3
1,82,96,117,3
1,81,0,120,0
1,76,60,0,0
1,65,0,120,1
1,73,62,0,0
1,73,0,120,0
1,69,60,0,0
1,69,0,120,0
1,85,76,0,0
1,85,71,0,2
1,75,60,0,0
1,75,0,120,0
1,63,81,117,3
1,76,59,360,2
1,77,61,0,0
1,77,0,120,0
1,78,63,0,0
1,83,72,480,3
1,79,66,0,0
1,76,0,120,1
1,80,113,363,2
1,80,0,120,0
1,81,70,0,0
1,81,0,120,0
1,82,127,0,1
1,82,0,120,0
1,88,105,363,3
1,78,0,120,1
1,88,83,0,0
1,88,0,120,0
1,72,73,0,1
1,80,25,0,3
1,81,76,0,1
1,80,79,0,2
1,76,74,0,0
1,76,0,120,0
1,71,78,0,0
1,71,0,360,0
1,80,55,0,0
1,80,0,120,0
1,68,77,0,0
1,68,27,120,2
1,76,121,0,1
1,76,0,120,0
1,59,68,0,1
1,64,20,360,1
1,79,97,360,3
1,70,35,117,3
1,60,60,0,1
1,61,0,360,0
1,70,37,0,0
1,70,0,120,0
1,60,53,0,0
1,60,23,0,2
1,69,34,0,0
1,69,0,120,0
1,57,89,363,2
1,52,56,363,3
1,66,30,0,0
1,77,53,0,3
1,59,46,360,2
1,56,0,0,1
1,76,86,480,3
1,64,0,120,0
1,67,60,480,0
1,67,0,360,0
1,71,116,0,1
1,71,30,120,1
1,63,99,360,3
1,74,0,120,0
1,84,81,120,3
1,79,0,120,0
1,62,60,0,1
1,73,0,117,1
1,74,127,0,1
1,67,57,0,1
1,79,0,120,0
1,74,0,0,0
1,71,63,0,0
1,71,0,120,0
1,74,60,360,1
1,79,60,0,0
1,79,59,480,2
1,77,43,120,3
1,69,65,0,0
1,69,0,120,0
1,60,63,0,1
1,74,63,0,0
1,74,0,120,0
1,71,34,360,2
1,56,69,120,2
1,55,74,480,3
1,71,60,0,0
1,74,60,0,0
1,63,0,480,2
1,71,0,0,0
1,66,69,0,0
1,66,0,120,0
1,71,60,0,0
1,74,60,0,0
1,74,0,0,1
1,71,0,0,0
1,65,73,0,0
1,65,0,360,0
1,68,45,0,0
1,73,79,360,2
1,73,0,120,0
1,68,24,120,2
1,66,69,0,0
1,66,0,360,0
1,69,45,0,0
1,73,53,0,0
1,73,0,120,0
1,82,40,363,3
1,63,70,120,1
1,63,0,360,0
1,72,42,360,2
1,73,50,0,0
1,73,30,363,2
1,66,36,0,1
1,59,95,480,3
1,65,0,360,0
1,68,41,0,0
1,73,71,0,1
1,74,0,120,1
1,68,71,480,2
1,56,66,0,1
1,62,49,480,3
1,66,26,0,0
1,69,26,0,0
1,60,89,0,2
1,73,0,120,0
1,69,0,0,0
1,69,0,0,1
1,62,61,0,0
1,62,0,120,0
1,66,26,0,0
1,69,26,0,0
1,73,42,0,0
1,86,79,480,3
1,69,0,0,0
1,66,58,117,2
1,64,62,0,0
1,64,0,120,0
1,66,27,0,0
1,75,73,117,3
1,73,43,0,0
1,73,0,120,0
1,69,0,0,0
1,66,0,0,0
1,48,91,120,3
1,61,0,360,0
1,69,23,0,0
1,65,23,0,0
1,84,108,0,2
1,73,0,120,0
1,65,0,0,0
1,69,0,0,0
1,49,107,360,3
1,61,0,360,0
1,78,57,120,3
1,63,26,0,1
1,86,42,117,2
1,73,71,120,1
1,81,0,117,2
1,65,0,0,0
1,61,62,0,0
1,66,43,117,1
1,66,0,120,0
1,68,45,0,0
1,80,64,120,2
1,80,117,480,3
1,69,0,120,0
1,73,48,0,0
1,68,0,480,2
1,61,0,117,0
1,78,46,363,0
1,78,0,120,0
1,80,48,0,0
1,80,48,480,2
1,93,122,363,3
1,81,23,120,1
1,85,52,0,0
1,85,0,120,0
1,77,127,480,3
1,72,0,360,0
1,73,100,117,3
1,76,0,360,1
1,79,126,117,2
1,79,0,120,0
1,72,127,117,3
1,84,0,120,0
1,78,120,0,1
1,78,0,120,0
1,79,57,0,0
1,84,57,480,1
1,71,73,117,3
1,79,0,0,0
1,76,63,0,0
1,76,0,120,0
1,79,60,0,0
1,84,60,0,0
1,90,0,120,1
1,79,0,0,0
1,74,65,360,1
1,75,34,360,3
1,81,122,360,3
1,79,63,0,0
1,79,0,120,0
1,76,0,0,0
1,67,69,0,1
1,72,0,120,0
1,79,100,120,3
1,91,120,363,3
1,79,0,117,1
1,76,0,0,0
1,60,69,480,2
1,71,0,120,0
1,76,60,0,0
1,68,127,120,3
1,79,0,117,1
1,76,0,0,0
1,67,101,0,2
1,70,0,360,0
1,84,45,0,1
1,78,54,0,0
1,75,31,0,3
1,84,0,0,1
1,71,69,0,0
1,77,73,120,3
1,86,73,117,3
1,78,50,0,0
1,83,73,117,3
1,74,0,0,0
1,68,70,0,0
1,68,0,480,1
1,71,41,117,1
1,78,49,0,0
1,73,34,120,2
1,71,0,0,0
1,58,69,0,1
1,70,0,360,0
1,73,39,480,1
1,83,81,0,2
1,78,0,120,0
1,67,60,363,3
1,66,66,0,0
1,66,0,360,0
1,59,83,360,3
1,74,25,0,0
1,78,41,0,0
1,78,0,120,0
1,74,0,0,0
