track,note,velocity,time,anomaly
1,66,37,238,3
1,85,54,0,1
1,82,15,0,0
1,82,57,238,2
1,80,0,0,1
1,78,0,0,0
1,78,15,504,1
1,85,22,0,0
1,76,82,24,3
1,76,0,504,2
1,85,0,0,0
1,78,0,0,0
1,67,54,456,3
1,88,102,480,3
1,82,16,0,0
1,82,0,456,0
1,96,53,0,2
1,78,0,0,0
1,78,15,0,1
1,84,92,504,3
1,81,92,24,3
1,82,0,456,0
1,91,32,218,3
1,78,0,0,0
1,78,15,24,0
1,85,22,0,0
1,82,39,0,1
1,77,0,456,1
1,96,34,218,3
1,78,0,0,0
1,78,15,504,0
1,85,22,0,0
1,82,78,0,1
1,88,0,0,2
1,85,0,0,0
1,91,0,24,2
1,78,15,456,1
1,74,22,0,1
1,82,15,0,0
1,82,0,456,0
1,85,0,0,0
1,78,0,0,0
1,78,62,480,2
1,85,24,480,1
1,82,16,0,0
1,82,0,24,1
1,85,64,504,2
1,78,0,0,0
1,66,41,218,3
1,80,21,218,2
1,82,14,0,0
1,82,65,238,2
1,96,45,238,3
1,78,31,218,2
1,78,14,238,1
1,85,21,0,0
1,82,14,0,0
1,93,35,480,3
1,90,25,0,2
1,78,0,0,0
1,65,84,480,3
1,90,22,456,2
1,70,80,238,3
1,82,75,456,1
1,86,0,238,2
1,89,45,480,3
1,75,84,0,3
1,85,22,0,0
1,82,73,456,2
1,82,68,456,1
1,85,0,0,0
1,78,0,0,0
1,81,74,238,3
1,85,46,0,1
1,82,16,0,0
1,82,37,504,2
1,85,0,0,0
1,78,0,238,1
1,78,14,24,0
1,85,21,0,0
1,82,35,0,1
1,85,59,24,3
1,85,0,0,0
1,78,79,480,2
1,91,14,456,2
1,87,21,0,0
1,82,14,0,0
1,82,0,456,0
1,87,0,0,0
1,78,24,480,2
1,78,16,504,0
1,82,74,0,1
1,87,70,0,1
1,74,0,456,1
1,82,41,0,1
1,78,0,0,0
1,83,82,480,3
1,83,53,0,2
1,92,24,504,2
1,87,0,456,0
1,82,0,0,0
1,73,0,0,1
1,78,16,504,0
1,82,16,218,1
1,85,26,0,0
1,74,0,504,2
1,77,39,0,2
1,78,0,0,0
1,62,16,456,2
1,82,26,0,0
1,78,16,0,0
1,78,0,456,0
1,82,0,0,0
1,73,0,0,0
1,71,19,504,0
1,75,19,0,0
1,78,28,0,0
