track,note,velocity,time,anomaly
1,58,49,480,0
1,51,49,0,0
1,51,18,240,0
1,58,18,0,0
1,51,49,0,0
1,58,49,0,0
1,58,18,240,0
1,51,18,0,0
1,51,54,0,0
1,58,54,0,0
1,58,18,240,0
1,51,18,0,0
1,51,49,1200,0
1,58,49,0,0
1,58,18,240,0
1,51,18,0,0
1,51,49,0,0
1,58,49,0,0
1,58,18,240,0
1,51,18,0,0
1,51,53,0,0
1,58,53,0,0
1,58,18,240,0
1,51,18,0,0
1,70,57,480,0
1,70,18,80,0
1,72,57,0,0
1,72,18,80,0
1,70,59,0,0
1,70,18,80,0
1,67,62,0,0
1,70,62,240,0
1,70,18,240,0
1,67,18,0,0
1,67,60,0,0
1,75,63,0,0
1,75,18,60,0
1,67,18,0,0
1,79,60,180,0
1,67,63,0,0
1,67,18,60,0
1,79,18,0,0
1,77,63,180,0
1,67,55,0,0
1,77,18,240,0
1,75,60,0,0
1,75,18,240,0
1,67,18,0,0
1,67,60,0,0
1,67,18,60,0
1,70,59,180,0
1,67,59,0,0
1,67,18,60,0
1,70,18,0,0
1,72,63,180,0
1,70,63,0,0
1,67,63,0,0
1,67,18,240,0
1,70,18,0,0
1,72,18,0,0
1,67,59,240,0
1,70,59,0,0
1,72,59,0,0
1,72,18,240,0
1,70,18,0,0
1,67,18,0,0
1,67,59,120,0
1,72,59,0,0
1,70,59,0,0
1,70,18,120,0
1,72,18,0,0
1,67,18,0,0
1,72,59,0,0
1,70,59,0,0
1,67,59,0,0
1,67,18,480,0
1,70,18,0,0
1,72,18,0,0
1,63,60,0,0
1,67,60,0,0
1,67,18,60,0
1,63,18,0,0
1,63,60,180,0
1,69,60,0,0
1,67,60,0,0
1,67,18,60,0
1,69,18,0,0
1,63,18,0,0
1,63,63,180,0
1,67,63,0,0
1,70,63,0,0
1,70,18,240,0
1,72,60,0,0
1,72,18,240,0
1,67,18,0,0
1,63,18,0,0
1,67,62,0,0
1,63,62,0,0
1,63,18,60,0
1,67,18,0,0
1,63,62,180,0
1,69,62,0,0
1,67,62,0,0
1,67,18,60,0
1,69,18,0,0
1,63,18,0,0
1,70,63,180,0
1,63,63,0,0
1,67,63,0,0
1,70,18,240,0
1,72,60,0,0
1,72,18,240,0
1,67,18,0,0
1,63,18,0,0
1,63,62,0,0
1,67,62,0,0
1,67,18,120,0
1,63,18,0,0
1,67,62,120,0
1,63,62,0,0
1,69,62,0,0
1,69,18,60,0
1,63,18,0,0
1,67,18,0,0
1,63,65,180,0
1,65,65,0,0
1,70,65,0,0
1,70,18,240,0
1,65,18,0,0
1,63,18,0,0
1,62,60,240,0
1,70,60,0,0
1,70,18,240,0
1,62,18,0,0
1,70,60,120,0
1,62,60,0,0
1,62,18,120,0
1,70,18,0,0
1,70,60,0,0
1,62,60,0,0
1,62,18,240,0
1,70,18,0,0
1,74,62,480,0
1,74,18,80,0
1,75,62,0,0
1,75,18,80,0
1,74,62,0,0
1,74,18,80,0
1,72,65,0,0
1,75,65,240,0
1,75,18,240,0
1,72,18,0,0
1,80,67,0,0
1,72,67,0,0
1,72,18,60,0
1,80,18,0,0
1,84,63,180,0
1,72,63,0,0
1,72,18,60,0
1,84,18,0,0
1,82,66,180,0
1,72,59,0,0
1,82,18,240,0
1,80,60,0,0
1,80,18,240,0
1,72,18,0,0
1,72,60,0,0
1,68,60,0,0
1,68,18,60,0
1,72,18,0,0
1,68,60,180,0
1,72,60,0,0
1,75,60,0,0
1,75,18,60,0
1,72,18,0,0
1,68,18,0,0
1,79,64,180,0
1,75,64,0,0
1,72,64,0,0
1,68,64,0,0
1,68,18,240,0
1,79,18,0,0
1,75,18,0,0
1,72,18,0,0
1,79,60,240,0
1,75,60,0,0
1,72,60,0,0
1,68,60,0,0
1,68,18,240,0
1,79,18,0,0
1,75,18,0,0
1,72,18,0,0
1,79,60,120,0
1,75,60,0,0
1,72,60,0,0
1,68,60,0,0
1,68,18,120,0
1,79,18,0,0
1,75,18,0,0
1,72,18,0,0
1,79,60,0,0
1,75,60,0,0
1,68,60,0,0
1,72,60,0,0
1,72,18,480,0
1,79,18,0,0
1,75,18,0,0
1,68,18,0,0
1,72,60,0,0
1,68,60,0,0
1,68,18,60,0
1,72,18,0,0
1,74,60,180,0
1,72,60,0,0
1,68,60,0,0
1,68,18,60,0
1,72,18,0,0
1,74,18,0,0
1,75,64,180,0
1,68,64,0,0
1,72,64,0,0
1,75,18,240,0
1,77,60,0,0
1,77,18,240,0
1,72,18,0,0
1,68,18,0,0
1,72,63,0,0
1,68,63,0,0
1,68,18,60,0
1,72,18,0,0
1,68,63,180,0
1,72,63,0,0
1,74,63,0,0
1,74,18,60,0
1,72,18,0,0
1,68,18,0,0
1,75,65,180,0
1,68,65,0,0
1,72,65,0,0
1,75,18,240,0
1,77,62,0,0
1,77,18,240,0
1,72,18,0,0
1,68,18,0,0
1,72,63,0,0
1,68,63,0,0
1,68,18,60,0
1,72,18,0,0
1,68,63,180,0
1,72,63,0,0
1,74,63,0,0
1,74,18,60,0
1,72,18,0,0
1,68,18,0,0
1,75,67,180,0
1,70,67,0,0
1,68,67,0,0
1,68,18,240,0
1,70,18,0,0
1,75,18,0,0
1,75,63,240,0
1,67,63,0,0
1,67,18,240,0
1,75,18,0,0
1,75,63,120,0
1,67,63,0,0
1,67,18,120,0
1,75,18,0,0
1,75,63,0,0
1,67,63,0,0
1,67,18,240,0
1,75,18,0,0
1,63,45,480,0
1,70,45,0,0
1,70,18,240,0
1,63,18,0,0
1,63,45,0,0
1,70,45,0,0
1,70,18,240,0
1,63,18,0,0
1,63,51,0,0
1,70,51,0,0
1,70,18,240,0
1,63,18,0,0
1,63,45,1200,0
1,70,45,0,0
1,70,18,240,0
1,63,18,0,0
1,63,45,0,0
1,70,45,0,0
1,70,18,240,0
1,63,18,0,0
1,63,49,0,0
1,70,49,0,0
1,70,18,240,0
1,63,18,0,0
1,82,53,480,0
1,82,18,80,0
1,84,53,0,0
1,84,18,80,0
1,82,54,0,0
1,82,18,80,0
1,79,57,0,0
1,82,57,240,0
1,82,18,240,0
1,79,18,0,0
1,79,57,0,0
1,87,57,0,0
1,87,18,60,0
1,79,18,0,0
1,91,55,180,0
1,79,55,0,0
1,79,18,60,0
1,91,18,0,0
1,89,59,180,0
1,79,51,0,0
1,89,18,240,0
1,87,55,0,0
1,87,18,240,0
1,79,18,0,0
1,79,55,0,0
1,79,18,60,0
1,82,54,180,0
1,79,54,0,0
1,79,18,60,0
1,82,18,0,0
1,79,57,180,0
1,82,57,0,0
1,84,57,0,0
1,84,18,240,0
1,82,18,0,0
1,79,18,0,0
1,79,55,240,0
1,82,55,0,0
1,84,55,0,0
1,84,18,240,0
1,82,18,0,0
1,79,18,0,0
1,84,55,120,0
1,79,55,0,0
1,82,55,0,0
1,82,18,120,0
1,79,18,0,0
1,84,18,0,0
1,79,55,0,0
1,82,55,0,0
1,84,55,0,0
1,84,18,480,0
1,82,18,0,0
1,79,18,0,0
1,75,56,0,0
1,79,56,0,0
1,79,18,60,0
1,75,18,0,0
1,75,56,180,0
1,81,56,0,0
1,79,56,0,0
1,79,18,60,0
1,81,18,0,0
1,75,18,0,0
1,82,59,180,0
1,79,59,0,0
1,75,59,0,0
1,82,18,240,0
1,84,55,0,0
1,84,18,240,0
1,75,18,0,0
1,79,18,0,0
1,79,57,0,0
1,75,57,0,0
1,75,18,60,0
1,79,18,0,0
1,81,56,180,0
1,75,56,0,0
1,79,56,0,0
1,79,18,60,0
1,75,18,0,0
1,81,18,0,0
1,79,59,180,0
1,75,59,0,0
1,82,59,0,0
1,82,18,240,0
1,84,55,0,0
1,84,18,240,0
1,75,18,0,0
1,79,18,0,0
1,75,57,0,0
1,79,57,0,0
1,79,18,60,0
1,75,18,0,0
1,81,57,180,0
1,75,57,0,0
1,79,57,0,0
1,79,18,60,0
1,75,18,0,0
1,81,18,0,0
1,75,59,180,0
1,77,59,0,0
1,82,59,0,0
1,82,18,240,0
1,77,18,0,0
1,75,18,0,0
1,74,56,240,0
1,82,56,0,0
1,82,18,240,0
1,74,18,0,0
1,74,56,120,0
1,82,56,0,0
1,82,18,120,0
1,74,18,0,0
1,74,56,0,0
1,82,56,0,0
1,82,18,240,0
1,74,18,0,0
1,86,57,480,0
1,86,18,80,0
1,87,57,0,0
1,87,18,80,0
1,86,57,0,0
1,86,18,80,0
1,84,60,0,0
1,87,60,240,0
1,87,18,240,0
1,84,18,0,0
1,92,62,0,0
1,84,62,0,0
1,84,18,60,0
1,92,18,0,0
1,96,57,180,0
1,84,57,0,0
1,84,18,60,0
1,96,18,0,0
1,94,60,180,0
1,84,55,0,0
1,94,18,240,0
1,92,56,0,0
1,92,18,240,0
1,84,18,0,0
1,84,56,0,0
1,80,56,0,0
1,80,18,60,0
1,84,18,0,0
1,84,56,180,0
1,80,56,0,0
1,87,56,0,0
1,87,18,60,0
1,80,18,0,0
1,84,18,0,0
1,84,60,180,0
1,87,60,0,0
1,91,60,0,0
1,80,60,0,0
1,80,18,240,0
1,84,18,0,0
1,87,18,0,0
1,91,18,0,0
1,84,55,240,0
1,87,55,0,0
1,91,55,0,0
1,80,55,0,0
1,80,18,240,0
1,84,18,0,0
1,87,18,0,0
1,91,18,0,0
1,84,55,120,0
1,87,55,0,0
1,91,55,0,0
1,80,55,0,0
1,80,18,120,0
1,84,18,0,0
1,87,18,0,0
1,91,18,0,0
1,84,55,0,0
1,87,55,0,0
1,91,55,0,0
1,80,55,0,0
1,80,18,480,0
1,84,18,0,0
1,87,18,0,0
1,91,18,0,0
1,80,56,0,0
1,84,56,0,0
1,84,18,60,0
1,80,18,0,0
1,86,56,180,0
1,84,56,0,0
1,80,56,0,0
1,80,18,60,0
1,84,18,0,0
1,86,18,0,0
1,84,60,180,0
1,80,60,0,0
1,87,60,0,0
1,87,18,240,0
1,89,56,0,0
1,89,18,240,0
1,80,18,0,0
1,84,18,0,0
1,84,57,0,0
1,80,57,0,0
