track,note,velocity,time,anomaly
1,69,90,240,3
1,61,31,0,1
1,50,0,0,1
1,57,0,0,0
1,38,107,180,3
1,57,89,480,2
1,45,0,240,1
1,50,0,0,0
1,50,36,0,0
1,57,36,0,0
1,57,0,240,0
1,50,0,0,0
1,44,91,120,3
1,57,31,0,0
1,57,0,240,0
1,39,0,0,1
1,61,92,240,3
1,57,69,0,1
1,58,61,1200,3
1,39,0,480,2
1,50,35,0,0
1,57,35,120,1
1,54,46,120,3
1,50,0,0,0
1,69,39,480,0
1,69,0,80,0
1,76,89,0,2
1,76,79,240,3
1,69,67,120,2
1,69,62,80,1
1,66,44,0,0
1,70,44,480,2
1,69,0,240,0
1,66,0,0,0
1,66,42,480,1
1,75,45,0,1
1,74,0,60,0
1,66,0,0,0
1,77,62,480,3
1,53,45,60,2
1,63,25,240,3
1,78,0,180,1
1,76,45,180,0
1,66,37,0,0
1,65,41,1200,3
1,74,42,0,0
1,74,0,240,0
1,66,0,0,0
1,66,42,0,0
1,78,22,180,3
1,69,41,180,0
1,66,41,0,0
1,65,33,180,3
1,57,63,240,3
1,58,45,240,2
1,69,45,0,0
1,66,45,240,1
1,79,22,240,2
1,69,0,0,0
1,84,68,240,3
1,60,41,240,1
1,81,87,120,3
1,71,41,0,0
1,82,0,80,2
1,72,0,80,2
1,60,38,80,3
1,66,41,120,0
1,70,94,120,3
1,75,89,0,2
1,57,0,60,2
1,59,0,240,2
1,66,0,0,0
1,71,41,0,0
1,69,41,0,0
1,66,41,0,0
1,79,0,480,1
1,70,23,80,3
1,71,0,0,0
1,75,78,0,2
1,66,105,0,1
1,66,0,60,0
1,68,34,480,3
1,62,42,240,1
1,62,42,60,2
1,66,42,0,0
1,72,58,60,2
1,57,0,120,2
1,62,41,60,2
1,62,45,180,0
1,66,45,0,0
1,69,45,0,0
1,56,0,240,1
1,71,42,0,0
1,71,43,240,1
1,63,0,1200,2
1,73,80,60,3
1,66,99,0,1
1,62,44,0,0
1,62,0,60,0
1,66,0,0,0
1,73,44,80,2
1,56,122,0,2
1,66,44,0,0
1,66,0,60,0
1,68,0,0,0
1,62,0,0,0
1,69,45,180,0
1,62,45,0,0
1,66,45,0,0
1,69,70,240,1
1,68,100,60,3
1,71,0,240,0
1,63,68,180,3
1,50,0,0,1
1,56,80,120,3
1,66,44,0,0
1,65,0,1200,2
1,62,0,0,0
1,66,44,120,0
1,62,44,0,0
1,68,44,0,0
1,80,23,1200,3
1,62,0,0,0
1,66,58,120,2
1,62,47,60,1
1,64,105,0,1
1,57,47,0,1
1,69,0,240,0
1,64,0,0,0
1,62,0,0,0
1,61,42,240,0
1,58,72,240,3
1,63,76,240,2
1,74,0,180,2
1,69,42,120,0
1,48,70,80,3
1,55,28,120,2
1,69,0,0,0
1,69,42,0,0
1,61,42,0,0
1,61,0,60,1
1,69,0,0,0
1,72,73,240,3
1,73,0,80,0
1,74,102,60,2
1,74,0,80,0
1,85,67,240,3
1,73,0,80,0
1,74,47,120,2
1,75,118,0,3
1,80,33,120,3
1,68,25,120,3
1,79,69,480,2
1,76,126,240,3
1,71,0,60,0
1,74,42,240,3
1,83,45,180,0
1,71,45,0,0
1,72,40,60,2
1,83,0,0,0
1,78,48,1200,2
1,71,41,0,0
1,81,75,240,1
1,79,42,0,0
1,79,0,180,1
1,72,56,180,3
1,71,42,0,0
1,67,42,0,0
1,78,30,240,3
1,71,0,0,0
1,67,74,80,2
1,71,42,0,0
1,74,70,240,2
1,87,69,1200,3
1,71,69,0,1
1,72,80,480,3
1,78,46,180,0
1,80,73,240,3
1,71,69,1200,2
1,67,46,0,0
1,67,38,480,2
1,78,22,0,1
1,74,73,180,2
1,76,21,0,2
1,84,72,60,3
1,74,42,0,0
1,70,109,0,2
1,78,63,180,3
1,67,0,240,0
1,79,70,120,3
1,73,0,0,1
1,68,80,0,2
1,73,80,80,3
1,74,42,0,0
1,71,42,0,0
1,67,42,0,0
1,62,71,480,3
1,78,0,0,0
1,74,0,0,0
1,84,45,0,2
1,78,42,0,0
1,69,42,1200,2
1,67,81,180,2
1,71,42,120,1
1,71,0,120,1
1,84,0,0,1
1,87,55,0,2
1,67,0,0,0
1,71,42,0,0
1,67,42,0,0
1,67,34,60,1
1,65,55,1200,3
1,73,106,180,1
1,71,91,0,1
1,67,42,0,0
1,62,52,120,3
1,76,43,120,3
1,73,0,0,0
1,80,73,180,2
1,67,46,0,0
1,72,100,240,3
1,74,0,240,0
1,63,99,120,3
1,76,0,240,0
1,70,0,240,2
1,67,0,0,0
1,71,45,0,0
1,67,116,0,1
1,67,0,60,0
1,70,68,0,2
1,72,71,60,3
1,58,122,240,3
1,86,119,0,2
1,73,53,120,2
1,82,0,0,1
1,67,0,0,0
1,73,86,180,2
1,67,47,0,0
1,77,99,0,2
1,74,44,120,2
1,76,44,0,0
1,76,0,180,1
1,83,0,0,1
1,72,21,0,2
1,77,45,0,1
1,67,94,180,2
1,66,0,240,2
1,68,0,0,1
1,67,45,180,0
1,60,45,0,1
1,73,45,0,0
1,73,0,60,0
1,83,0,120,2
1,67,0,0,0
1,74,49,180,0
1,69,49,1200,1
1,67,49,0,0
1,68,45,120,3
1,74,30,120,3
1,75,65,80,3
1,74,45,240,0
1,66,45,0,0
1,66,79,80,2
1,61,23,120,3
1,74,45,120,0
1,66,45,0,0
1,71,51,120,2
1,74,71,80,2
1,74,45,0,0
1,66,45,0,0
1,77,50,480,3
1,74,0,0,0
1,50,88,1200,3
1,69,27,0,0
1,82,66,180,3
1,62,0,0,0
1,62,27,0,0
1,72,87,180,3
1,69,0,240,0
1,62,0,0,0
1,75,33,60,2
1,69,33,480,1
1,82,53,60,3
1,62,0,0,0
1,62,27,1200,0
1,69,27,1200,1
1,69,0,240,0
1,62,0,0,0
1,63,63,240,3
1,69,27,0,0
1,58,61,60,3
1,73,55,80,3
1,57,97,120,3
1,69,61,1200,2
1,75,38,180,3
1,62,0,0,0
1,81,56,480,1
1,81,0,80,0
1,83,112,60,2
1,95,74,120,3
1,81,36,0,0
1,81,0,80,0
1,65,114,1200,3
1,68,39,240,1
1,81,0,240,0
1,77,75,0,2
1,79,96,240,3
1,86,39,0,0
1,87,36,480,3
1,78,0,0,0
1,90,37,180,0
1,78,37,0,0
1,78,77,60,1
1,102,50,180,3
1,94,89,0,3
1,65,78,0,2
1,88,0,240,0
1,86,81,0,1
1,86,55,240,1
1,90,26,240,3
1,78,85,0,1
1,78,0,60,0
1,75,84,1200,3
1,78,36,0,0
1,78,0,60,0
1,81,0,80,1
1,78,80,0,2
1,69,101,0,2
1,83,92,240,2
1,83,0,120,1
1,81,69,60,2
1,73,0,180,2
1,78,37,240,0
1,81,37,0,0
1,83,37,0,0
1,83,0,240,0
1,80,41,1200,3
1,78,73,80,2
1,83,37,480,1
1,78,37,0,0
1,81,58,180,2
1,81,42,0,2
1,84,20,0,2
1,83,0,0,0
1,78,37,0,0
1,81,37,0,0
1,83,37,0,0
1,83,0,480,0
1,81,80,0,1
1,78,0,0,0
1,74,112,0,1
1,78,38,0,0
1,79,66,80,3
1,74,0,0,0
1,73,113,180,2
1,68,66,60,3
1,83,38,0,1
1,78,0,60,0
1,74,20,0,2
1,74,0,0,0
1,81,41,180,0
1,84,73,480,3
1,74,41,0,0
1,93,0,1200,2
1,83,37,0,0
1,77,29,180,3
1,75,0,80,2
1,78,0,0,0
1,78,39,0,0
1,74,39,60,1
1,74,0,60,0
1,75,69,0,2
1,80,38,60,1
1,80,38,0,1
1,78,38,0,0
1,78,52,60,1
1,80,32,240,3
1,80,0,60,1
1,78,41,480,1
1,69,41,0,1
1,69,41,0,1
1,93,60,180,3
1,82,37,0,1
1,94,22,180,3
1,74,0,0,0
1,78,0,0,0
1,74,39,0,0
1,78,39,60,1
1,78,67,60,1
1,61,64,0,2
1,79,105,1200,3
1,73,103,80,3
1,75,39,0,1
1,84,58,120,3
1,74,0,0,0
1,80,50,0,1
1,74,41,180,0
1,76,41,0,0
1,81,41,1200,1
1,82,50,60,3
1,76,0,0,0
1,75,42,0,2
1,73,38,240,0
1,70,79,80,3
1,81,0,240,0
1,73,0,0,0
1,79,110,0,3
1,81,92,180,2
1,81,68,120,1
1,70,58,480,3
1,73,38,0,0
1,70,38,180,2
1,81,0,240,0
1,73,0,0,0
1,85,39,480,0
1,85,0,80,0
1,86,39,0,0
1,86,69,0,2
1,82,70,80,3
1,82,59,80,2
1,83,42,0,0
1,86,42,240,0
1,86,0,240,0
1,83,0,0,0
1,91,89,1200,2
1,83,44,0,0
1,83,0,60,0
1,102,51,480,3
1,95,39,180,0
1,83,39,480,1
1,78,75,180,3
1,107,61,1200,3
1,93,42,180,0
1,78,76,180,3
1,93,0,240,0
1,91,38,0,0
1,104,31,0,3
1,72,42,180,3
1,94,118,1200,3
1,79,38,0,0
1,80,20,0,3
1,89,23,0,2
1,83,38,180,0
1,68,74,0,2
1,86,38,0,0
1,75,0,60,1
1,92,37,80,3
1,78,57,1200,3
1,94,108,180,2
1,86,42,0,0
1,77,65,240,3
1,67,42,0,1
1,78,0,240,1
1,71,46,240,3
1,81,0,0,1
1,87,42,0,2
1,70,85,240,2
1,81,61,0,2
1,90,37,1200,1
1,79,37,1200,1
1,85,53,0,3
1,89,0,0,1
1,85,0,1200,2
1,78,0,180,2
1,80,63,0,3
1,86,37,0,0
1,87,94,240,3
1,79,37,1200,1
1,79,0,120,0
1,94,0,0,1
1,89,58,120,3
1,90,0,0,0
1,83,65,0,1
1,86,37,0,0
1,79,37,0,1
1,79,37,0,0
1,84,58,180,3
1,84,21,480,3
1,85,0,0,1
1,101,22,120,3
1,92,116,240,3
1,86,64,180,3
1,71,0,60,1
1,80,68,180,3
1,97,104,80,3
1,83,38,0,0
1,80,38,0,1
1,79,0,60,0
1,71,56,240,3
1,97,0,0,1
1,83,109,180,1
1,79,42,0,0
1,86,42,0,0
1,75,28,120,3
1,100,86,80,3
1,82,71,240,2
1,66,51,240,3
1,83,61,480,2
1,83,103,0,1
1,67,39,180,2
