track,note,velocity,time,anomaly
1,57,31,480,0
1,50,31,0,0
1,50,0,240,0
1,57,20,0,1
1,50,31,0,0
1,57,31,0,0
1,57,0,240,0
1,50,0,0,0
1,63,36,180,2
1,57,36,0,0
1,57,0,240,0
1,50,21,0,1
1,39,31,1200,1
1,70,98,180,3
1,68,53,1200,3
1,50,0,0,0
1,50,31,0,0
1,57,31,0,0
1,57,0,240,0
1,50,0,0,0
1,45,79,80,3
1,45,61,480,3
1,57,0,80,1
1,53,0,120,2
1,69,39,480,0
1,69,0,80,0
1,74,39,60,2
1,66,30,480,3
1,69,41,0,0
1,69,0,80,0
1,66,44,0,0
1,69,44,240,0
1,72,24,240,2
1,66,0,0,0
1,66,42,0,0
1,74,45,0,0
1,74,0,60,0
1,66,0,0,0
1,78,42,180,0
1,66,45,0,0
1,77,0,60,1
1,78,0,0,0
1,88,45,60,2
1,66,37,0,0
1,79,67,240,2
1,68,42,480,2
1,75,0,120,2
1,66,0,0,0
1,66,111,80,2
1,66,74,60,1
1,82,89,480,3
1,69,41,0,1
1,66,0,60,0
1,64,59,480,3
1,71,45,180,0
1,70,78,240,3
1,61,45,120,2
1,66,0,240,0
1,69,74,0,1
1,71,0,0,0
1,66,41,240,0
1,69,41,0,0
1,71,41,0,0
1,71,0,240,0
1,69,0,0,0
1,66,0,0,0
1,66,41,120,0
1,65,41,0,1
1,69,62,240,2
1,68,59,1200,3
1,71,0,0,0
1,77,21,480,3
1,71,41,0,0
1,74,78,120,3
1,66,41,0,0
1,66,0,480,0
1,69,0,0,0
1,71,0,0,0
1,62,42,0,0
1,77,76,0,2
1,66,0,60,0
1,62,72,0,1
1,62,42,180,0
1,68,42,0,0
1,66,42,0,0
1,66,0,60,0
1,68,0,0,0
1,62,0,0,0
1,62,45,180,0
1,63,45,0,1
1,69,102,0,1
1,69,0,240,0
1,71,42,0,0
1,71,29,240,1
1,66,0,0,0
1,62,0,0,0
1,66,44,0,0
1,62,44,0,0
1,62,0,60,0
1,72,0,60,2
1,62,44,180,0
1,68,97,80,2
1,66,101,0,1
1,66,0,60,0
1,68,0,0,0
1,62,0,0,0
1,68,125,180,2
1,62,45,240,1
1,66,45,0,0
