track,note,velocity,time,anomaly
1,52,31,1680,0
1,52,0,60,0
1,54,31,0,0
1,54,0,60,0
1,55,31,0,0
1,55,0,60,0
1,57,31,0,0
1,57,0,60,0
1,59,33,0,0
1,59,0,120,0
1,64,29,120,0
1,52,29,0,0
1,55,29,0,0
1,55,0,120,0
1,52,0,0,0
1,64,0,0,0
1,52,29,120,0
1,64,29,0,0
1,55,29,0,0
1,55,0,120,0
1,64,0,0,0
1,52,0,0,0
1,63,29,120,0
1,52,29,0,0
1,55,29,0,0
1,55,0,120,0
1,52,0,0,0
1,63,0,0,0
1,63,31,120,0
1,52,31,0,0
1,55,31,0,0
1,55,0,120,0
1,52,0,0,0
1,63,0,0,0
1,55,29,120,0
1,52,29,0,0
1,62,29,0,0
1,62,0,120,0
1,52,0,0,0
1,55,0,0,0
1,62,29,120,0
1,52,29,0,0
1,55,29,0,0
1,55,0,120,0
1,52,0,0,0
1,62,0,0,0
1,52,29,120,0
1,61,29,0,0
1,55,29,0,0
1,55,0,120,0
1,61,0,0,0
1,52,0,0,0
1,61,31,120,0
1,52,31,0,0
1,55,31,0,0
1,55,0,120,0
1,52,0,0,0
1,61,0,0,0
1,60,28,120,0
1,52,28,0,0
1,55,28,0,0
1,55,0,120,0
1,52,0,0,0
1,60,0,0,0
1,55,28,120,0
1,52,28,0,0
1,60,28,0,0
1,60,0,120,0
1,52,0,0,0
1,55,0,0,0
1,59,27,120,0
1,52,27,0,0
1,55,27,0,0
1,55,0,120,0
1,52,0,0,0
1,59,0,0,0
1,49,38,120,0
1,58,38,0,0
1,54,38,0,0
1,54,0,120,0
1,58,0,0,0
1,49,0,0,0
1,54,38,120,0
1,58,38,0,0
1,49,38,0,0
1,49,0,480,0
1,58,0,0,0
1,54,0,0,0
1,57,31,0,0
1,57,0,60,0
1,59,31,0,0
1,59,0,60,0
1,60,31,0,0
1,60,0,60,0
1,62,31,0,0
1,62,0,60,0
1,64,33,0,0
1,64,0,120,0
1,57,29,120,0
1,60,29,0,0
1,69,29,0,0
1,69,0,120,0
1,60,0,0,0
1,57,0,0,0
1,60,29,120,0
1,69,29,0,0
1,57,29,0,0
1,57,0,120,0
1,69,0,0,0
1,60,0,0,0
1,68,29,120,0
1,57,29,0,0
1,60,29,0,0
1,60,0,120,0
1,57,0,0,0
1,68,0,0,0
1,60,31,120,0
1,68,31,0,0
1,57,31,0,0
1,57,0,120,0
1,68,0,0,0
1,60,0,0,0
1,67,29,120,0
1,60,29,0,0
1,57,29,0,0
1,57,0,120,0
1,60,0,0,0
1,67,0,0,0
1,60,29,120,0
1,67,29,0,0
1,57,29,0,0
1,57,0,120,0
1,67,0,0,0
1,60,0,0,0
1,60,29,120,0
1,57,29,0,0
1,66,29,0,0
1,66,0,120,0
1,57,0,0,0
1,60,0,0,0
1,66,31,120,0
1,60,31,0,0
1,57,31,0,0
1,57,0,120,0
1,60,0,0,0
1,66,0,0,0
1,65,27,120,0
1,57,27,0,0
1,60,27,0,0
1,60,0,120,0
1,57,0,0,0
1,65,0,0,0
1,65,27,120,0
1,57,27,0,0
1,60,27,0,0
1,60,0,120,0
1,57,0,0,0
1,65,0,0,0
1,64,27,120,0
1,57,27,0,0
1,60,27,0,0
1,60,0,120,0
1,57,0,0,0
1,64,0,0,0
1,54,39,120,0
1,63,39,0,0
1,59,39,0,0
1,59,0,120,0
1,63,0,0,0
1,54,0,0,0
1,54,39,120,0
1,63,39,0,0
1,59,39,0,0
1,59,0,480,0
1,63,0,0,0
1,54,0,0,0
1,64,41,240,0
1,64,0,60,0
1,66,30,0,0
1,66,0,60,0
1,67,30,0,0
1,67,0,60,0
1,69,30,0,0
1,69,0,60,0
1,71,35,0,0
1,71,0,120,0
1,69,41,120,0
1,69,0,60,0
1,67,31,0,0
1,67,0,60,0
1,66,31,0,0
1,66,0,60,0
1,64,31,0,0
1,64,0,60,0
1,62,35,0,0
1,62,0,120,0
1,60,40,120,0
1,60,0,60,0
1,62,31,0,0
1,62,0,60,0
1,64,31,0,0
1,64,0,60,0
1,66,31,0,0
1,66,0,60,0
1,67,36,0,0
1,67,0,120,0
1,66,41,120,0
1,66,0,60,0
1,64,32,0,0
1,64,0,60,0
1,62,32,0,0
1,62,0,60,0
1,60,32,0,0
1,60,0,60,0
1,59,38,0,0
1,59,0,120,0
1,57,41,120,0
1,57,0,60,0
1,59,32,0,0
1,59,0,60,0
1,60,32,0,0
1,60,0,60,0
1,62,32,0,0
1,62,0,60,0
1,64,39,0,0
1,64,0,120,0
1,62,42,120,0
1,62,0,60,0
1,60,32,0,0
1,60,0,60,0
1,59,32,0,0
1,59,0,60,0
1,57,32,0,0
1,57,0,60,0
1,55,38,0,0
1,55,0,120,0
1,54,40,360,0
1,47,40,0,0
1,47,0,720,0
1,54,0,0,0
1,76,42,0,0
1,76,0,60,0
1,74,32,0,0
1,74,0,60,0
1,72,32,0,0
1,72,0,60,0
1,71,32,0,0
1,71,0,60,0
1,69,35,0,0
1,69,0,120,0
1,64,43,120,0
1,64,0,60,0
1,62,32,0,0
1,62,0,60,0
1,60,32,0,0
1,60,0,60,0
1,59,32,0,0
1,59,0,60,0
1,57,35,0,0
1,57,0,120,0
1,54,40,360,0
1,47,40,0,0
1,47,0,720,0
1,54,0,0,0
1,76,42,0,0
1,76,0,60,0
1,74,32,0,0
1,74,0,60,0
1,72,32,0,0
