track,note,velocity,time,anomaly
1,65,115,360,3
1,68,29,720,3
1,64,36,0,0
1,64,0,60,0
1,65,36,0,0
1,65,0,60,0
1,67,36,0,0
1,67,0,60,0
1,63,38,360,2
1,68,0,120,1
1,74,34,120,0
1,62,34,0,0
1,65,34,0,0
1,65,0,120,0
1,62,0,0,0
1,74,0,0,0
1,61,90,60,3
1,73,34,1680,2
1,77,100,360,3
1,65,0,120,0
1,74,0,0,0
1,68,0,240,2
1,73,34,120,0
1,62,34,0,0
1,65,34,0,0
1,65,0,120,0
1,50,75,0,2
1,73,0,0,0
1,73,36,120,0
1,56,87,0,2
1,65,36,0,0
1,54,0,720,2
1,74,61,360,3
1,68,0,0,1
1,65,34,120,0
1,62,34,0,0
1,72,34,0,0
1,72,0,120,0
1,62,0,0,0
1,65,0,0,0
1,77,108,1680,3
1,63,97,720,3
1,65,34,0,0
1,65,0,120,0
1,62,0,0,0
1,84,50,480,3
1,59,34,480,2
1,71,34,0,0
1,65,34,0,0
1,65,0,120,0
1,82,0,1680,2
1,62,0,0,0
1,71,36,120,0
1,62,102,480,2
1,65,36,0,0
1,65,0,120,0
1,62,0,0,0
1,71,0,0,0
1,81,105,1680,3
1,62,33,0,0
1,65,33,0,0
1,65,0,120,0
1,62,0,0,0
1,70,41,240,2
1,65,33,120,0
1,62,33,0,0
1,70,33,0,0
1,70,0,120,0
1,57,33,1800,3
1,65,0,0,0
1,58,32,120,1
1,62,32,0,0
1,65,32,0,0
1,65,0,120,0
1,62,43,360,2
1,66,38,360,3
1,59,43,120,0
1,68,43,0,0
1,64,43,0,0
1,64,0,120,0
1,68,0,0,0
1,59,0,0,0
1,64,43,120,0
1,68,43,0,0
1,59,43,0,0
1,59,0,480,0
1,68,0,0,0
1,64,0,0,0
1,67,36,0,0
1,67,0,240,1
1,69,36,0,0
1,69,0,60,0
1,67,77,360,3
1,70,0,60,0
1,84,100,240,3
1,72,0,60,0
1,74,38,0,0
1,74,0,120,0
1,67,34,120,0
1,70,34,0,0
1,79,34,0,0
1,79,0,120,0
1,70,0,0,0
1,56,44,720,3
1,70,34,120,0
1,79,34,0,0
1,67,34,0,0
1,67,0,120,0
1,79,0,0,0
1,70,0,0,0
1,78,34,120,0
1,67,34,0,0
1,70,34,0,0
1,70,0,120,0
1,67,33,0,1
1,78,0,0,0
1,70,36,120,0
1,78,36,0,0
1,67,36,0,0
1,67,0,120,0
1,78,0,0,0
1,70,0,0,0
1,77,34,120,0
1,70,66,1680,2
1,67,34,0,0
1,67,0,120,0
1,81,40,480,3
1,77,0,0,0
1,70,34,120,0
1,77,80,0,1
1,67,34,0,0
1,70,0,0,2
1,77,67,1680,2
1,70,0,0,0
1,70,89,60,2
1,67,34,0,0
1,76,34,0,0
1,76,65,120,1
1,67,0,0,0
1,70,0,0,0
1,76,36,120,0
1,70,36,0,0
1,67,36,0,0
1,67,39,480,2
1,69,0,240,2
1,76,0,0,0
1,75,32,120,0
1,67,32,0,0
1,70,32,0,0
1,70,0,120,0
1,67,0,0,0
1,75,0,0,0
1,75,32,120,0
1,67,32,0,0
1,70,32,0,0
1,70,0,120,0
1,67,0,0,0
1,75,0,0,0
1,86,32,120,1
1,64,94,120,3
1,70,32,0,0
1,70,0,120,0
1,67,0,0,0
1,74,0,0,0
1,64,44,120,0
1,73,44,0,0
1,69,98,1680,2
1,69,0,120,0
1,73,0,0,0
1,64,0,0,0
1,64,44,120,0
1,73,44,0,0
1,69,44,0,0
1,69,0,480,0
1,73,0,0,0
1,64,0,0,0
1,74,46,240,0
1,74,0,60,0
1,76,35,0,0
1,82,44,0,3
1,77,35,0,0
1,77,0,60,0
1,79,35,0,0
1,79,0,60,0
1,81,40,0,0
1,81,0,120,0
1,79,46,120,0
1,79,0,60,0
1,77,36,0,0
1,77,0,60,0
1,76,36,0,0
1,76,0,60,0
1,74,36,0,0
1,74,0,60,0
1,72,40,0,0
1,60,21,240,3
1,70,45,120,0
1,70,0,60,0
1,72,36,0,0
1,72,0,60,0
1,74,36,0,0
1,74,0,60,0
1,76,36,0,0
1,76,0,60,0
1,77,41,1800,1
1,77,0,120,0
1,76,46,120,0
1,70,75,60,2
1,74,37,0,0
1,74,0,60,0
1,72,37,0,0
1,72,0,60,0
1,70,37,0,0
1,70,50,60,1
1,69,43,0,0
1,69,0,120,0
1,67,46,120,0
1,70,0,240,2
1,69,37,0,0
1,69,0,60,0
1,70,37,0,0
1,70,0,60,0
1,72,37,0,0
1,72,0,60,0
1,74,44,0,0
1,74,0,120,0
1,72,47,120,0
1,72,27,60,1
1,70,82,0,1
1,70,0,60,0
1,69,37,0,0
1,69,0,60,0
1,67,37,0,0
1,67,0,60,0
1,65,43,0,0
1,65,0,120,0
1,64,45,360,0
1,57,45,0,0
1,44,39,1800,3
1,64,0,0,0
1,75,91,0,2
1,86,0,60,0
1,84,37,0,0
1,97,0,120,2
1,82,37,0,0
1,82,0,60,0
1,81,37,0,0
1,81,0,60,0
1,79,40,0,0
1,79,0,120,0
1,74,48,120,0
1,74,0,60,0
1,72,37,0,0
1,72,0,60,0
1,70,37,0,0
1,65,62,60,2
1,69,37,0,0
1,69,0,60,0
1,67,40,0,0
1,67,0,120,0
1,64,45,60,1
1,57,45,0,0
1,57,0,720,0
1,64,0,0,0
1,86,47,0,0
1,83,73,0,3
1,84,87,0,1
1,84,0,0,1
1,82,37,60,1
1,82,0,60,0
1,81,37,0,0
1,81,0,60,0
1,79,40,0,0
1,79,0,120,0
1,74,48,120,0
1,74,0,60,0
1,72,37,0,0
1,72,79,60,1
1,70,37,0,0
1,70,0,60,0
1,69,37,0,0
1,69,0,60,0
1,67,40,0,0
1,67,0,120,0
1,57,45,1680,1
1,64,45,0,0
1,75,0,240,1
1,57,0,0,0
1,74,40,0,0
1,74,0,60,0
1,72,36,0,0
1,77,32,480,3
1,70,36,0,0
1,70,0,60,0
1,69,36,0,0
1,69,0,60,0
1,78,40,360,2
1,67,0,120,0
1,64,104,480,2
1,68,38,480,2
1,57,0,240,0
1,64,0,0,0
1,74,34,0,0
1,74,0,1680,1
1,72,34,0,0
1,72,0,60,0
1,70,34,0,0
1,70,0,60,0
1,69,34,0,0
1,69,0,60,0
1,67,32,0,0
1,79,28,60,3
1,64,37,360,0
1,56,114,120,3
1,57,0,240,0
1,64,0,0,0
1,77,32,0,1
1,74,0,1680,1
1,84,101,60,3
1,72,0,60,0
1,70,32,0,0
1,70,0,60,0
1,64,54,120,3
1,69,0,60,0
1,67,29,0,0
1,67,0,120,0
1,64,35,360,0
1,57,35,0,0
1,57,0,240,0
1,70,43,360,3
1,74,32,0,0
1,74,0,60,0
1,72,32,0,0
1,72,0,60,0
1,70,32,0,0
1,70,0,60,0
1,69,32,0,0
1,70,68,1800,3
1,67,29,0,0
1,67,0,120,0
1,57,37,360,0
1,64,37,0,0
1,61,37,0,0
1,61,0,720,1
1,64,51,0,1
1,57,0,0,0
1,64,37,360,0
1,58,37,0,0
1,61,37,0,0
1,61,0,120,0
1,58,0,0,0
1,75,54,360,3
1,64,34,360,0
1,59,34,120,2
1,58,91,720,3
1,58,0,120,1
1,56,0,0,0
1,64,0,0,0
1,48,62,240,3
1,57,35,0,0
1,64,35,0,0
1,64,0,120,0
1,60,0,0,1
1,61,0,0,0
1,64,36,360,0
1,58,36,0,0
1,61,36,0,0
1,62,63,480,3
1,58,0,0,0
1,64,0,0,0
1,48,67,360,2
1,64,40,0,0
1,62,99,60,3
1,61,0,120,0
1,64,0,0,0
1,59,0,0,0
1,64,41,360,0
1,60,41,0,0
1,61,41,0,0
1,61,0,120,0
1,60,0,0,0
1,64,0,0,0
1,61,73,1800,3
1,72,97,240,3
1,61,43,0,0
1,73,34,1680,3
1,47,63,360,3
1,59,26,0,2
1,61,45,360,0
1,58,45,0,0
1,76,113,720,3
1,64,0,120,0
1,58,0,0,0
1,61,0,0,0
1,64,48,360,0
1,57,48,0,0
1,61,48,0,0
1,61,0,120,0
1,57,0,0,0
1,65,0,0,1
1,57,49,360,1
1,64,49,0,0
1,61,49,0,0
1,61,0,120,0
1,64,0,0,0
1,56,0,0,0
1,61,51,360,0
1,55,51,0,0
1,58,51,0,0
1,58,0,120,0
1,55,55,1800,2
1,61,0,0,0
1,61,53,360,0
1,58,53,0,0
1,54,121,360,2
1,54,0,120,0
1,45,51,60,3
1,60,66,60,3
1,61,123,120,2
1,58,55,0,0
1,53,55,0,0
1,53,0,120,0
1,57,80,360,3
1,61,0,0,0
1,61,58,360,0
1,52,122,0,1
1,57,58,0,0
1,68,36,1800,3
1,52,79,0,1
1,61,0,0,0
1,55,59,360,0
1,61,59,0,0
1,46,127,720,3
1,57,59,0,0
1,57,0,120,0
1,55,0,0,0
1,61,0,0,0
1,51,0,0,0
1,74,86,1800,0
1,73,0,60,1
1,76,86,0,0
1,76,0,60,0
1,77,86,0,0
1,77,0,60,0
1,79,86,360,1
1,79,0,60,0
1,81,90,0,0
1,81,0,120,0
1,86,81,120,0
1,74,68,0,0
