track,note,velocity,time,anomaly
1,67,46,1,0
1,79,67,240,2
1,67,49,0,0
1,67,0,420,0
1,68,47,0,1
1,71,0,60,0
1,56,67,480,3
1,58,0,120,2
1,61,102,60,3
1,62,0,240,0
1,64,45,0,0
1,64,0,120,1
1,79,45,1080,2
1,66,0,120,0
1,67,100,0,1
1,67,0,30,0
1,77,45,0,1
1,66,0,30,0
1,64,122,80,2
1,63,0,30,1
1,69,75,0,2
1,72,24,60,3
1,64,92,120,3
1,70,69,1080,3
1,67,79,30,2
1,67,0,90,0
1,67,79,150,1
1,67,0,90,0
1,55,83,150,2
1,67,0,480,0
1,62,45,0,0
1,69,45,0,0
1,69,0,180,0
1,85,115,360,3
1,72,51,120,2
1,65,0,90,2
1,62,41,1080,1
1,82,125,1080,3
1,66,0,240,1
1,68,69,180,3
1,69,0,240,0
1,71,120,0,1
1,71,0,240,0
1,62,0,0,0
1,78,74,20,3
1,62,36,60,1
1,74,49,360,1
1,73,36,20,3
1,72,45,0,0
1,72,31,240,1
1,66,0,0,0
1,67,65,150,2
1,66,71,30,3
1,71,0,240,0
1,54,36,60,3
1,62,0,0,0
1,67,47,0,0
1,71,47,0,0
1,71,0,240,0
1,67,0,0,0
1,66,45,0,0
1,57,74,480,3
1,66,0,80,2
1,66,0,0,0
1,72,98,0,2
1,69,45,0,0
1,69,0,240,0
1,55,0,0,1
1,66,45,0,0
1,72,95,150,3
1,82,67,420,3
1,66,0,80,1
1,68,46,0,0
1,71,88,240,2
1,71,0,240,0
1,55,62,1080,3
1,69,49,0,0
1,72,77,0,1
1,72,56,240,1
1,69,0,0,0
1,70,81,180,3
1,85,90,10,3
1,74,0,240,0
1,84,20,0,2
1,72,51,0,0
1,82,87,1,3
1,76,0,80,1
1,72,0,0,0
1,72,51,0,0
1,87,116,480,3
1,76,0,30,1
1,72,0,0,0
1,61,80,360,3
1,75,52,0,1
1,72,0,80,0
1,71,42,0,0
1,71,0,80,0
1,72,44,0,0
1,72,0,80,0
1,68,0,480,2
1,79,78,1,3
1,71,50,0,0
1,68,0,480,2
1,66,0,30,2
1,68,114,420,3
1,72,49,360,1
1,72,75,180,2
1,70,57,0,2
1,71,49,0,0
1,74,49,0,0
1,74,0,240,0
1,71,0,0,0
1,54,51,0,1
1,72,51,0,0
1,72,0,240,0
1,74,51,0,0
1,73,43,1,3
1,76,51,0,0
1,76,0,240,0
1,74,53,0,0
1,74,0,240,0
1,67,0,0,0
1,79,81,0,1
1,79,0,240,0
1,79,57,0,0
1,79,0,240,0
1,81,60,0,0
1,81,30,120,1
1,68,53,60,2
1,79,0,120,0
1,78,57,0,0
1,67,59,120,2
1,76,50,1,1
1,76,0,120,0
1,74,55,0,0
1,74,0,120,0
1,73,49,0,0
1,78,65,420,3
1,76,47,90,1
1,82,71,20,3
1,74,44,420,1
1,61,0,240,1
1,74,44,0,0
1,68,0,240,1
1,74,117,0,1
1,74,54,360,1
1,66,94,20,3
1,60,32,120,2
1,72,44,0,0
1,72,0,120,0
1,69,44,0,0
1,81,54,120,2
1,72,79,80,3
1,67,0,420,0
1,71,47,0,0
1,70,65,1080,3
1,69,47,0,0
1,80,22,240,2
1,62,49,0,0
1,62,31,240,1
1,64,45,0,0
1,64,0,240,0
1,66,45,0,0
1,66,0,90,1
1,67,94,0,1
1,67,0,180,1
1,66,45,0,0
1,63,55,420,3
1,59,45,0,1
1,64,0,30,0
1,66,123,0,1
1,66,0,30,0
1,67,46,0,0
1,73,55,90,2
1,72,108,10,3
1,67,0,90,0
1,67,45,150,0
1,67,0,90,0
1,64,45,150,1
1,67,0,480,0
1,62,45,0,0
1,70,108,240,3
1,69,0,180,0
1,72,45,150,1
1,72,0,60,0
1,62,0,0,0
1,62,87,1,2
1,71,49,0,0
1,71,57,240,1
1,69,45,0,0
1,69,0,240,0
1,71,45,0,0
1,66,0,20,2
1,62,0,0,0
1,69,44,0,1
1,65,70,480,3
1,75,49,0,1
1,62,45,180,3
1,72,45,0,0
1,72,0,240,0
1,71,78,60,3
1,73,96,30,3
1,68,73,480,3
1,71,0,240,0
1,67,0,0,0
1,62,71,360,2
1,67,47,0,0
1,71,71,180,2
1,58,0,240,1
1,54,38,150,3
1,66,45,1080,1
1,69,45,0,0
1,57,0,240,1
1,66,58,0,1
1,66,45,0,0
1,69,45,240,1
1,82,45,0,3
1,66,23,0,1
1,79,77,0,2
1,69,45,0,0
1,69,27,480,1
1,67,61,1080,3
1,68,46,0,0
1,71,46,0,0
1,71,0,240,0
1,67,27,90,3
1,69,49,0,0
1,75,49,0,1
1,72,0,20,1
1,69,0,0,0
1,76,74,1080,3
1,74,51,0,0
1,80,24,80,3
1,76,26,80,3
1,72,51,0,0
1,76,51,0,0
1,88,74,240,2
1,85,0,20,2
1,72,51,0,0
1,76,51,0,0
1,76,65,480,1
1,72,0,0,0
1,66,53,1,2
1,69,53,0,0
1,67,76,240,3
1,84,125,360,3
1,68,52,90,3
1,72,92,0,1
1,72,0,80,0
1,81,0,480,2
1,67,50,0,0
1,71,50,0,0
1,71,0,240,0
1,67,55,0,1
1,69,49,0,0
1,84,80,10,3
1,72,0,240,0
1,69,0,0,0
1,71,127,30,2
1,74,49,90,1
1,74,61,0,2
1,71,0,0,0
1,67,51,0,0
1,75,51,0,1
1,72,0,240,0
1,74,51,0,0
1,86,76,1080,3
1,81,51,150,2
1,76,0,240,0
1,75,53,420,2
1,74,0,240,0
1,67,0,0,0
1,79,57,0,0
1,79,0,240,0
1,79,57,0,0
1,79,0,240,0
1,81,60,0,0
1,81,0,120,0
1,79,53,0,0
1,79,34,120,1
1,78,57,0,0
1,78,0,120,0
1,73,82,420,3
1,73,66,480,3
1,71,79,0,2
1,74,0,120,0
1,70,100,30,3
1,84,47,10,3
1,76,47,0,0
1,77,0,1,2
1,74,44,180,1
1,74,0,1080,1
1,74,44,0,0
1,74,0,240,0
1,74,90,0,1
1,61,67,1080,3
1,79,89,240,2
1,79,0,240,0
1,79,53,120,1
1,92,54,420,2
1,83,47,0,0
1,83,0,60,0
1,80,51,0,1
1,75,32,120,3
1,79,80,420,2
1,79,47,240,1
1,78,49,0,0
1,78,0,240,0
1,76,49,0,0
1,76,0,240,0
1,86,102,1080,3
1,74,0,90,0
1,74,47,150,0
1,79,73,1,3
1,63,47,10,2
1,74,0,90,0
1,74,47,150,0
1,74,0,480,0
1,75,88,0,1
1,70,0,240,1
1,88,116,480,3
1,75,52,360,3
1,78,111,60,2
1,78,0,120,0
1,79,45,0,0
1,91,51,1,3
1,83,123,1080,3
1,78,0,30,0
1,88,98,20,3
1,76,0,30,0
1,72,117,1,3
1,78,0,30,0
1,79,94,0,1
1,79,0,240,0
1,69,52,150,1
1,63,61,60,3
1,71,50,0,0
1,71,0,240,0
1,76,83,20,3
1,73,0,120,0
1,74,39,0,0
1,74,0,30,0
1,76,114,120,3
1,73,0,30,0
1,71,39,0,0
1,71,0,30,0
1,73,39,0,0
1,78,21,1,3
1,74,46,0,0
1,74,0,120,0
1,74,42,360,0
1,74,0,120,0
1,73,109,10,3
1,74,0,120,0
1,71,76,240,3
1,74,0,120,0
1,69,45,120,1
1,74,78,90,2
1,74,44,360,0
1,71,57,20,3
1,62,45,120,1
1,74,0,120,0
1,69,114,360,2
1,74,0,120,0
1,74,43,120,0
1,74,0,120,0
1,74,37,120,0
1,73,106,0,2
1,77,34,240,2
1,74,0,0,0
1,76,36,0,0
1,79,36,0,0
1,73,52,90,3
1,76,0,0,0
1,81,37,240,0
1,78,37,0,0
1,78,0,240,0
1,81,0,0,0
1,74,106,30,3
1,72,36,120,2
1,83,0,240,0
1,68,0,0,1
1,81,40,240,0
1,84,106,0,1
1,84,0,240,0
1,81,33,0,1
1,83,36,0,0
1,79,36,0,0
1,79,0,240,0
1,70,77,0,2
1,72,47,240,0
1,86,108,120,3
1,84,65,480,3
1,78,53,150,3
1,59,47,0,1
1,79,47,0,0
1,79,0,240,0
1,71,0,0,0
1,72,45,0,0
1,66,95,120,3
1,73,0,1080,1
1,72,0,0,0
1,71,43,0,0
1,71,0,60,0
1,72,45,0,0
1,83,50,150,3
1,74,47,480,1
1,74,79,60,1
1,72,121,0,1
1,72,0,60,0
1,71,45,0,0
1,82,69,180,3
1,69,44,60,1
1,75,50,150,3
1,67,49,0,0
1,67,0,420,0
1,71,47,0,0
1,71,0,60,0
1,69,47,0,0
1,72,80,240,2
1,62,49,0,0
1,62,0,240,0
1,64,45,0,0
1,64,0,240,0
1,79,121,10,3
1,66,0,120,0
1,67,45,0,0
1,66,45,30,0
1,67,0,420,1
1,64,45,20,0
1,66,0,10,0
1,66,45,20,0
1,64,0,10,0
1,66,0,20,0
1,67,46,0,0
1,67,65,90,1
1,55,89,180,3
1,55,25,240,3
1,67,45,150,0
1,68,66,60,3
1,67,45,150,0
1,67,0,480,0
1,62,45,0,0
1,72,45,1,2
1,81,0,120,2
1,72,45,0,0
1,72,76,60,1
1,62,0,0,0
1,62,41,10,1
1,71,49,0,0
1,71,0,240,0
1,69,45,0,0
1,69,0,240,0
1,71,45,0,0
1,71,0,240,0
1,62,0,0,0
1,66,44,0,0
1,62,36,0,0
1,74,103,0,1
1,74,0,240,0
1,72,45,0,0
1,72,0,240,0
1,66,0,0,0
1,67,45,0,0
1,65,45,0,1
1,71,0,240,0
1,68,0,0,1
1,51,50,0,2
1,56,47,0,1
1,71,47,0,0
1,77,61,10,3
1,67,0,0,0
1,72,101,0,2
1,63,45,360,2
1,80,66,240,2
1,63,0,30,2
1,54,73,0,2
1,80,45,0,1
1,69,0,240,0
1,66,0,0,0
1,66,45,0,0
1,81,45,80,2
1,69,0,480,0
1,66,0,0,0
1,68,46,240,1
1,68,46,0,1
1,71,0,240,0
1,65,35,0,2
1,69,49,0,0
1,78,49,90,2
1,72,76,150,2
1,58,0,1,2
1,84,93,360,3
1,86,123,150,3
1,68,0,240,1
1,71,0,0,0
1,72,51,0,0
1,76,51,0,0
1,76,0,240,0
1,72,0,0,0
