track,note,velocity,time,anomaly
1,49,98,720,0
1,49,15,60,0
1,54,81,0,0
1,54,15,60,0
1,58,81,0,0
1,58,15,60,0
1,61,81,0,0
1,61,15,60,0
1,58,101,0,0
1,58,15,240,0
1,54,92,0,0
1,54,15,240,0
1,66,71,0,0
1,66,15,60,0
1,61,67,180,0
1,61,15,60,0
1,63,70,180,0
1,63,15,60,0
1,65,64,0,0
1,65,15,60,0
1,63,75,0,0
1,63,15,120,0
1,61,71,0,0
1,61,15,240,0
1,49,98,240,0
1,49,15,60,0
1,54,81,0,0
1,54,15,60,0
1,58,81,0,0
1,58,15,60,0
1,61,81,0,0
1,61,15,60,0
1,58,101,0,0
1,58,15,240,0
1,54,92,0,0
1,54,15,240,0
1,70,71,0,0
1,73,79,0,0
1,73,15,60,0
1,70,15,0,0
1,66,67,180,0
1,70,75,0,0
1,70,15,60,0
1,66,15,0,0
1,68,61,180,0
1,71,70,0,0
1,71,15,60,0
1,73,64,0,0
1,73,15,60,0
1,71,75,0,0
1,71,15,120,0
1,68,15,0,0
1,66,62,0,0
1,70,71,0,0
1,70,15,240,0
1,66,15,0,0
1,66,75,240,0
1,66,15,60,0
1,70,66,0,0
1,70,15,60,0
1,73,67,0,0
1,73,15,60,0
1,78,67,0,0
1,78,15,60,0
1,64,82,0,0
1,64,15,720,0
1,76,75,0,0
1,76,15,60,0
1,73,66,0,0
1,73,15,60,0
1,70,67,0,0
1,70,15,60,0
1,64,67,0,0
1,64,15,60,0
1,63,82,0,0
1,63,15,720,0
1,63,75,0,0
1,63,15,60,0
1,66,66,0,0
1,66,15,60,0
1,71,67,0,0
1,71,15,60,0
1,75,67,0,0
1,75,15,60,0
1,70,69,0,0
1,73,79,0,0
1,73,15,60,0
1,70,15,0,0
1,66,59,180,0
1,70,68,0,0
1,70,15,60,0
1,66,15,0,0
1,71,74,180,0
1,68,64,0,0
1,68,15,60,0
1,71,15,0,0
1,65,59,180,0
1,68,59,0,0
1,68,15,60,0
1,65,15,0,0
1,68,65,180,0
1,65,57,0,0
1,65,15,480,0
1,68,15,0,0
1,70,55,0,0
1,66,48,0,0
1,66,15,240,0
1,70,15,0,0
1,66,75,0,0
1,66,15,60,0
1,70,66,0,0
1,70,15,60,0
1,73,67,0,0
1,73,15,60,0
1,78,67,0,0
1,78,15,60,0
1,64,82,0,0
1,64,15,720,0
1,76,75,0,0
1,76,15,60,0
1,73,66,0,0
1,73,15,60,0
1,70,67,0,0
1,70,15,60,0
1,64,67,0,0
1,64,15,60,0
1,63,82,0,0
1,63,15,720,0
1,75,75,0,0
1,75,15,80,0
1,77,71,0,0
1,77,15,80,0
1,78,71,0,0
1,78,15,80,0
1,77,75,0,0
1,77,15,80,0
1,75,70,0,0
1,75,15,80,0
1,73,66,0,0
1,73,15,80,0
1,71,74,0,0
1,71,15,80,0
1,70,66,0,0
1,70,15,80,0
1,68,66,0,0
1,68,15,80,0
1,66,70,0,0
1,66,15,80,0
1,65,64,0,0
1,65,15,80,0
1,63,64,0,0
1,63,15,80,0
1,61,67,0,0
1,61,15,60,0
1,59,64,0,0
1,59,15,60,0
1,58,64,0,0
1,58,15,60,0
1,56,63,0,0
1,56,15,60,0
1,54,75,0,0
1,54,15,480,0
1,49,68,240,0
1,49,15,240,0
1,54,75,0,0
1,54,15,120,0
1,53,67,0,0
1,53,15,90,0
1,56,75,30,0
1,56,15,120,0
1,54,69,0,0
1,54,15,90,0
1,58,75,30,0
1,58,15,120,0
1,56,69,0,0
1,56,15,90,0
1,59,75,30,0
1,59,15,120,0
1,58,64,0,0
1,58,15,90,0
1,58,72,30,0
1,54,63,0,0
1,54,15,480,0
1,58,15,0,0
1,56,65,0,0
1,53,57,0,0
1,53,15,180,0
1,56,15,0,0
1,49,68,60,0
1,49,15,240,0
1,56,75,0,0
1,56,15,120,0
1,55,67,0,0
1,55,15,90,0
1,58,75,30,0
1,58,15,120,0
1,56,69,0,0
1,56,15,90,0
1,59,75,30,0
1,59,15,120,0
1,58,69,0,0
1,58,15,90,0
1,61,75,30,0
1,61,15,120,0
1,59,64,0,0
1,59,15,90,0
1,59,72,30,0
1,56,63,0,0
1,56,15,480,0
1,59,15,0,0
1,58,65,0,0
1,54,57,0,0
1,54,15,180,0
1,58,15,0,0
1,54,73,60,0
1,54,15,240,0
1,59,81,0,0
1,59,15,120,0
1,58,72,0,0
1,58,15,90,0
1,61,81,30,0
1,61,15,120,0
1,59,74,0,0
1,59,15,90,0
1,63,81,30,0
1,63,15,120,0
1,61,74,0,0
1,61,15,90,0
1,66,81,30,0
1,66,15,120,0
1,65,68,0,0
1,65,15,90,0
1,63,77,30,0
1,63,15,120,0
1,63,77,120,0
1,63,15,120,0
1,66,72,0,0
1,66,15,120,0
1,61,77,0,0
1,61,15,120,0
1,59,70,360,0
1,59,15,30,0
1,58,63,0,0
1,58,15,30,0
1,59,77,0,0
1,59,15,60,0
1,59,77,120,0
1,59,15,120,0
1,63,72,0,0
1,63,15,120,0
1,58,77,0,0
1,58,15,120,0
1,63,75,360,0
1,63,15,30,0
1,61,67,0,0
1,61,15,30,0
1,63,83,0,0
1,63,15,60,0
1,63,83,120,0
1,63,15,120,0
1,66,77,0,0
1,66,15,120,0
1,61,83,0,0
1,61,15,120,0
1,59,70,360,0
1,59,15,30,0
1,58,63,0,0
1,58,15,30,0
1,59,77,0,0
1,59,15,60,0
1,59,77,120,0
1,59,15,120,0
1,63,72,0,0
1,63,15,120,0
1,58,77,0,0
1,58,15,120,0
1,55,70,360,0
1,55,15,120,0
1,56,70,0,0
1,56,15,120,0
1,58,73,0,0
1,58,15,120,0
1,59,73,0,0
1,59,15,120,0
1,61,77,0,0
1,61,15,120,0
1,63,70,0,0
1,63,15,120,0
1,59,76,0,0
1,59,15,120,0
1,56,66,0,0
1,56,15,120,0
1,54,72,0,0
1,54,15,960,0
1,53,65,0,0
1,53,15,240,0
1,56,98,480,0
1,56,15,60,0
1,61,81,0,0
1,61,15,60,0
1,65,81,0,0
1,65,15,60,0
1,68,81,0,0
1,68,15,60,0
1,65,101,0,0
1,65,15,240,0
1,61,98,0,0
1,61,15,60,0
1,65,81,0,0
1,65,15,60,0
1,68,81,0,0
1,68,15,60,0
1,73,81,0,0
1,73,15,60,0
1,68,101,0,0
1,68,15,240,0
1,68,110,0,0
1,68,15,60,0
1,73,90,0,0
1,73,15,60,0
1,77,90,0,0
1,77,15,60,0
1,80,90,0,0
1,80,15,60,0
1,77,117,0,0
1,77,15,240,0
1,61,76,480,0
1,61,15,60,0
1,56,65,0,0
1,56,15,60,0
1,53,65,0,0
1,53,15,60,0
1,49,65,0,0
1,49,15,60,0
1,47,77,0,0
1,47,15,960,0
1,46,76,0,0
1,46,15,120,0
1,51,70,0,0
1,51,15,120,0
1,50,64,0,0
1,50,15,120,0
1,51,69,0,0
1,51,15,120,0
1,53,74,0,0
1,53,15,120,0
1,51,70,0,0
1,51,15,120,0
1,50,62,0,0
1,50,15,120,0
1,51,71,0,0
1,51,15,120,0
1,49,77,0,0
1,49,15,960,0
1,48,76,0,0
1,48,15,120,0
1,56,70,0,0
1,56,15,120,0
1,55,64,0,0
1,55,15,120,0
1,56,69,0,0
1,56,15,120,0
1,58,74,0,0
1,58,15,120,0
1,56,70,0,0
1,56,15,120,0
1,55,62,0,0
1,55,15,120,0
1,56,71,0,0
1,56,15,120,0
1,55,77,0,0
1,55,15,240,0
1,61,72,0,0
1,61,15,120,0
1,55,77,360,0
1,55,15,240,0
1,56,77,0,0
1,56,15,120,0
1,56,77,120,0
1,56,15,120,0
1,63,72,0,0
1,63,15,120,0
1,56,77,0,0
1,56,15,180,0
1,56,72,60,0
1,56,15,240,0
1,55,77,0,0
1,55,15,240,0
1,61,72,0,0
1,61,15,120,0
1,55,77,360,0
1,55,15,240,0
1,56,77,0,0
1,56,15,120,0
1,56,77,120,0
1,56,15,120,0
1,63,72,0,0
1,63,15,120,0
1,56,77,0,0
1,56,15,180,0
1,54,62,60,0
1,54,15,30,0
1,56,59,0,0
1,56,15,30,0
1,54,72,0,0
1,54,15,180,0
1,53,77,0,0
1,53,15,115,0
1,68,79,125,0
1,68,15,120,0
1,61,77,360,0
1,61,15,240,0
1,60,77,0,0
1,60,15,120,0
1,60,77,120,0
1,60,15,120,0
1,68,72,0,0
1,68,15,120,0
1,60,77,0,0
1,60,15,180,0
1,60,72,60,0
1,60,15,240,0
1,61,77,0,0
1,61,15,120,0
1,61,77,120,0
1,61,15,120,0
1,68,72,0,0
1,68,15,120,0
1,61,77,0,0
1,61,15,180,0
1,61,72,60,0
1,61,15,240,0
1,63,77,0,0
1,63,15,120,0
1,63,77,120,0
1,63,15,120,0
1,68,72,0,0
1,68,15,120,0
1,63,77,0,0
1,63,15,180,0
1,66,72,60,0
1,66,15,240,0
1,65,79,0,0
1,65,15,120,0
1,66,72,0,0
1,66,15,120,0
1,68,72,0,0
1,68,15,120,0
1,65,72,0,0
1,65,15,120,0
1,63,77,0,0
1,63,15,120,0
1,61,72,0,0
1,61,15,120,0
1,60,72,0,0
1,60,15,120,0
1,58,72,0,0
1,58,15,120,0
1,56,79,0,0
1,56,15,120,0
1,55,68,0,0
1,55,15,120,0
1,56,72,0,0
1,56,15,120,0
1,58,68,0,0
1,58,15,120,0
1,56,72,0,0
1,56,15,120,0
1,54,66,0,0
1,54,15,120,0
1,53,66,0,0
1,53,15,120,0
1,51,66,0,0
1,51,15,120,0
1,53,71,0,0
1,53,15,120,0
1,54,62,0,0
1,54,15,120,0
1,56,62,0,0
1,56,15,120,0
1,53,62,0,0
1,53,15,120,0
1,51,70,0,0
1,51,15,120,0
1,49,66,0,0
1,49,15,120,0
1,48,66,0,0
1,48,15,120,0
1,46,66,0,0
1,46,15,120,0
1,65,79,960,0
1,65,15,120,0
1,66,72,0,0
1,66,15,120,0
1,68,72,0,0
1,68,15,120,0
1,65,72,0,0
1,65,15,120,0
1,63,77,0,0
1,63,15,120,0
