track,note,velocity,time,anomaly
1,73,57,720,0
1,73,0,120,0
1,74,52,0,0
1,74,0,120,0
1,76,57,0,0
1,76,0,90,0
1,76,58,150,0
1,76,0,90,0
1,76,60,150,0
1,76,0,90,0
1,81,66,150,0
1,81,0,90,0
1,76,58,150,0
1,76,0,720,0
1,74,54,0,0
1,74,0,120,0
1,73,51,0,0
1,73,0,120,0
1,71,57,0,0
1,71,0,480,0
1,73,56,0,0
1,73,0,480,0
1,76,56,0,0
1,76,0,240,0
1,74,48,0,0
1,74,0,60,0
1,76,43,0,0
1,76,0,60,0
1,74,48,0,0
1,74,0,120,0
1,73,56,0,0
1,73,0,120,0
1,73,57,120,0
1,73,0,120,0
1,74,52,0,0
1,74,0,120,0
1,76,57,0,0
1,76,0,90,0
1,76,56,150,0
1,76,0,90,0
1,76,61,150,0
1,76,0,90,0
1,81,63,150,0
1,81,0,90,0
1,76,58,150,0
1,76,0,720,0
1,74,54,0,0
1,74,0,120,0
1,73,51,0,0
1,73,0,120,0
1,71,57,0,0
1,71,0,240,0
1,74,48,0,0
1,74,0,180,0
1,68,56,60,0
1,68,0,240,0
1,71,47,0,0
1,71,0,180,0
1,69,57,60,0
1,69,0,480,0
1,73,57,240,0
1,73,0,120,0
1,74,52,0,0
1,74,0,120,0
1,76,57,0,0
1,76,0,90,0
1,76,55,150,0
1,76,0,90,0
1,76,61,150,0
1,76,0,90,0
1,81,63,150,0
1,81,0,90,0
1,76,58,150,0
1,76,0,720,0
1,74,54,0,0
1,74,0,120,0
1,73,51,0,0
1,73,0,120,0
1,71,57,0,0
1,71,0,480,0
1,73,56,0,0
1,73,0,480,0
1,76,56,0,0
1,76,0,240,0
1,74,48,0,0
1,74,0,60,0
1,76,43,0,0
1,76,0,60,0
1,74,48,0,0
1,74,0,120,0
1,73,56,0,0
1,73,0,240,0
1,73,57,0,0
1,73,0,120,0
1,74,52,0,0
1,74,0,120,0
1,76,57,0,0
1,76,0,90,0
1,76,58,150,0
1,76,0,90,0
1,76,58,150,0
1,76,0,90,0
1,81,63,150,0
1,81,0,90,0
1,76,58,150,0
1,76,0,720,0
1,74,54,0,0
1,74,0,120,0
1,73,51,0,0
1,73,0,120,0
1,71,57,0,0
1,71,0,240,0
1,74,48,0,0
1,74,0,180,0
1,68,56,60,0
1,68,0,240,0
1,71,47,0,0
1,71,0,180,0
1,69,57,60,0
1,69,0,480,0
1,76,50,240,0
1,76,0,240,0
1,78,56,0,0
1,78,0,240,0
1,76,53,0,0
1,76,0,240,0
1,75,53,0,0
1,75,0,180,0
1,84,56,60,0
1,84,0,240,0
1,83,56,0,0
1,83,0,240,0
1,80,50,0,0
1,80,0,240,0
1,76,50,0,0
1,76,0,240,0
1,73,56,0,0
1,73,0,180,0
1,76,50,0,0
1,76,0,60,0
1,74,58,0,0
1,74,0,240,0
1,73,52,0,0
1,73,0,240,0
1,72,52,0,0
1,72,0,180,0
1,81,56,60,0
1,81,0,240,0
1,80,56,0,0
1,80,0,240,0
1,76,50,0,0
1,76,0,240,0
1,73,50,0,0
1,73,0,240,0
1,69,56,0,0
1,69,0,180,0
1,73,50,0,0
1,73,0,60,0
1,71,58,0,0
1,71,0,240,0
1,69,50,0,0
1,69,0,240,0
1,68,50,0,0
1,68,0,180,0
1,78,56,60,0
1,78,0,240,0
1,76,56,0,0
1,76,0,240,0
1,73,50,0,0
1,73,0,240,0
1,69,50,0,0
1,69,0,180,0
1,76,56,60,0
1,76,0,240,0
1,75,56,0,0
1,75,0,240,0
1,78,48,0,0
1,78,0,240,0
1,81,50,0,0
1,81,0,240,0
1,75,47,0,0
1,75,0,240,0
1,76,56,0,0
1,76,0,240,0
1,78,46,0,0
1,78,0,80,0
1,76,44,0,0
1,76,0,80,0
1,75,44,0,0
1,75,0,80,0
1,76,56,0,0
1,76,0,90,0
1,76,53,150,0
1,76,0,90,0
1,75,56,150,0
1,75,0,240,0
1,78,45,0,0
1,78,0,240,0
1,81,48,0,0
1,81,0,240,0
1,75,40,0,0
1,75,0,240,0
1,78,50,0,0
1,78,0,240,0
1,76,44,0,0
1,76,0,120,0
1,73,57,360,0
1,73,0,120,0
1,74,52,0,0
1,74,0,120,0
1,76,57,0,0
1,76,0,90,0
1,76,58,150,0
1,76,0,90,0
1,76,60,150,0
1,76,0,90,0
1,81,63,150,0
1,81,0,90,0
1,76,58,150,0
1,76,0,720,0
1,74,54,0,0
1,74,0,120,0
1,73,51,0,0
1,73,0,120,0
1,71,57,0,0
1,71,0,180,0
1,71,50,60,0
1,71,0,240,0
1,73,56,0,0
1,73,0,180,0
1,73,50,60,0
1,73,0,180,0
1,76,56,60,0
1,76,0,240,0
1,74,48,0,0
1,74,0,60,0
1,76,43,0,0
1,76,0,60,0
1,74,48,0,0
1,74,0,120,0
1,73,56,0,0
1,73,0,240,0
1,73,57,0,0
1,73,0,120,0
1,74,52,0,0
1,74,0,120,0
1,76,57,0,0
1,76,0,90,0
1,76,54,150,0
1,76,0,90,0
1,76,56,150,0
1,76,0,90,0
1,81,63,150,0
1,81,0,90,0
1,76,58,150,0
1,76,0,720,0
1,74,54,0,0
1,74,0,120,0
