track,note,velocity,time,anomaly
1,86,120,2,3
1,87,79,2,3
1,79,65,0,0
1,79,0,240,0
1,83,68,0,0
1,83,0,240,0
1,86,71,0,0
1,86,0,480,0
1,74,63,0,0
1,74,0,240,0
1,76,126,238,2
1,76,0,240,0
1,84,63,0,0
1,73,48,0,3
1,87,116,240,3
1,76,0,240,0
1,74,58,0,0
1,74,0,240,0
1,72,51,480,0
1,72,0,240,0
1,81,45,0,0
1,81,0,240,0
1,72,45,0,0
1,72,0,240,0
1,66,113,2,3
1,71,0,120,0
1,79,44,0,0
1,85,39,238,3
1,72,54,0,0
1,72,0,120,0
1,79,44,0,0
1,79,0,120,0
1,62,53,0,1
1,74,0,120,0
1,79,45,0,0
1,79,0,120,0
1,72,56,0,0
1,72,0,120,0
1,76,63,0,1
1,76,71,480,2
1,74,52,0,0
1,74,0,120,0
1,72,42,0,0
1,83,76,0,3
1,71,49,0,0
1,66,76,120,2
1,69,40,0,0
1,69,0,238,1
1,67,49,0,0
1,64,22,120,3
1,75,127,120,3
1,74,0,240,0
1,79,65,0,0
1,85,0,2,2
1,83,68,2,1
1,83,0,240,0
1,86,71,0,0
1,86,0,480,0
1,74,63,0,0
1,74,0,240,0
1,76,68,0,0
1,76,0,240,0
1,84,63,0,0
1,84,0,240,0
1,76,127,0,1
1,79,0,2,2
1,86,123,238,3
1,74,0,240,0
1,72,51,480,0
1,72,0,240,0
1,81,45,0,0
1,81,68,240,1
1,72,45,0,0
1,75,0,240,1
1,71,52,0,0
1,71,63,120,1
1,79,44,0,0
1,79,0,120,0
1,85,103,0,2
1,72,36,120,1
1,79,44,0,0
1,79,0,120,0
1,63,126,0,2
1,74,0,120,0
1,79,45,0,0
1,79,0,120,0
1,72,56,0,0
1,72,0,120,0
1,76,41,0,0
1,76,0,120,0
1,86,121,238,3
1,74,59,0,2
1,72,42,0,0
1,73,0,120,1
1,71,49,0,0
1,76,43,120,2
1,69,40,0,0
1,69,0,120,0
1,67,49,0,0
1,67,0,240,0
1,61,112,120,3
1,77,79,2,3
1,74,90,0,2
1,49,61,2,3
1,65,113,238,3
1,66,0,120,0
1,62,47,0,0
1,62,33,480,2
1,72,56,0,1
1,66,0,120,0
1,62,49,0,0
1,62,0,120,0
1,67,56,0,0
1,67,0,120,0
1,62,50,0,0
1,62,0,120,0
1,69,59,0,0
1,69,0,120,0
1,62,54,0,0
1,65,0,480,2
1,71,62,0,0
1,76,0,120,1
1,50,55,0,1
1,62,0,120,0
1,72,65,0,0
1,72,0,120,0
1,49,56,120,2
1,51,57,120,2
1,72,64,0,0
1,72,0,120,0
1,62,56,0,0
1,62,0,120,0
1,77,127,240,3
1,71,0,120,0
1,62,53,0,0
1,62,0,120,0
1,69,124,240,2
1,69,0,120,0
1,74,47,0,0
1,74,0,120,0
1,66,59,0,0
1,66,0,120,0
1,69,44,0,0
1,63,0,120,1
1,62,54,0,0
1,62,0,238,0
1,66,70,2,0
1,66,0,120,0
1,86,92,0,2
1,74,46,120,1
1,65,102,0,2
1,66,0,120,0
1,74,58,0,0
1,74,0,120,0
1,66,70,0,0
1,66,0,120,0
1,74,96,2,2
1,74,0,120,0
1,67,71,480,1
1,67,0,120,0
1,74,63,0,0
1,74,0,120,0
1,69,73,0,0
1,69,0,120,0
1,62,62,0,1
1,74,0,120,0
1,71,78,0,0
1,71,0,120,0
1,71,75,2,2
1,74,0,120,0
1,72,80,0,0
1,72,0,120,0
1,74,71,0,0
1,74,0,120,0
1,66,127,240,3
1,69,0,2,2
1,73,64,0,1
1,74,0,120,0
1,71,72,0,0
1,71,0,120,0
1,74,60,0,0
1,74,72,120,1
1,69,70,0,0
1,69,0,120,0
1,74,54,0,0
1,74,0,120,0
1,67,127,240,3
1,66,0,120,0
1,69,50,0,0
1,69,0,120,0
1,63,127,480,3
1,62,0,240,0
1,74,91,0,1
1,74,0,240,0
1,79,52,0,0
1,79,0,240,0
1,83,54,0,0
1,94,44,480,3
1,86,56,0,0
1,86,0,480,0
1,74,50,0,0
1,74,0,240,0
1,76,110,240,2
1,76,0,240,0
1,84,81,0,1
1,90,24,240,2
1,76,46,0,0
1,76,0,240,0
1,74,46,0,0
1,74,0,240,0
1,72,68,480,0
1,72,0,240,0
1,81,60,0,0
1,68,0,480,2
1,72,60,0,0
1,72,0,240,0
1,71,70,0,0
1,71,0,120,0
1,79,59,0,0
1,79,0,120,0
1,72,72,0,0
1,72,0,120,0
1,79,59,0,0
1,79,0,2,1
1,73,71,0,1
1,63,73,240,3
1,79,60,0,0
1,84,0,120,1
1,72,75,0,0
1,72,0,120,0
1,73,84,240,3
1,76,0,120,0
1,74,70,0,0
1,74,0,120,0
1,72,62,0,0
1,72,0,120,0
1,71,66,0,0
1,71,0,120,0
1,82,99,120,3
1,69,0,120,0
1,54,74,240,2
1,61,21,238,3
1,66,56,480,0
1,66,0,120,0
1,62,48,0,0
1,62,0,120,0
1,66,56,0,0
1,66,0,120,0
1,62,47,0,0
1,62,0,120,0
1,66,56,0,0
1,66,0,120,0
1,62,49,480,1
1,62,76,120,1
1,67,56,0,0
1,67,0,240,1
1,62,50,0,0
1,62,0,120,0
1,81,59,0,1
1,69,0,120,0
1,62,54,0,0
1,62,0,120,0
1,71,62,0,0
1,70,0,238,2
1,62,77,240,2
1,62,0,120,0
1,72,65,0,0
1,72,0,120,0
1,62,56,0,0
1,61,33,2,3
1,72,64,0,0
1,72,0,120,0
1,61,103,0,2
1,62,0,120,0
1,71,63,0,0
1,71,0,120,0
1,62,53,0,0
1,50,0,0,2
1,69,61,0,0
1,69,0,120,0
1,74,47,0,0
1,74,0,238,1
1,66,59,0,0
1,66,0,120,0
1,81,44,2,2
1,69,25,480,2
1,67,110,238,3
1,62,0,120,1
1,67,127,2,2
1,66,0,120,0
1,74,59,0,0
1,74,0,120,0
1,66,70,0,0
1,66,0,240,1
1,74,58,0,0
1,73,50,0,3
1,66,70,0,0
1,71,77,480,3
1,74,56,0,0
1,74,0,120,0
1,67,71,0,0
1,62,20,2,3
1,74,63,0,0
1,74,0,120,0
1,69,73,0,0
1,69,0,120,0
1,74,62,0,0
1,86,0,120,1
1,71,78,0,0
1,71,0,120,0
1,74,75,0,0
1,87,0,240,2
1,72,80,0,0
1,72,0,120,0
1,74,71,0,0
1,74,0,120,0
1,72,75,0,0
1,72,0,120,0
1,61,127,2,3
1,71,26,238,3
1,72,72,0,1
1,71,0,120,0
1,74,60,0,0
1,74,0,120,0
1,69,70,0,0
1,69,0,120,0
1,74,54,0,0
1,74,0,120,0
1,66,67,0,0
1,66,0,120,0
1,69,50,0,0
1,69,0,120,0
1,62,62,0,0
1,62,0,240,0
1,74,50,0,0
1,85,0,240,1
1,79,52,0,0
1,79,0,240,0
1,83,54,0,0
1,83,0,240,0
1,86,56,0,0
1,92,36,2,3
1,80,118,0,2
1,74,0,240,0
1,76,54,0,0
1,65,32,480,3
1,84,50,480,1
1,87,0,240,1
1,76,46,0,0
1,76,0,240,0
1,74,46,0,0
1,74,0,240,0
1,72,68,480,0
1,72,0,240,0
1,81,60,240,1
1,81,0,240,0
1,72,60,0,0
1,72,0,240,0
1,71,70,0,0
1,71,0,120,0
1,79,93,0,1
1,66,0,480,2
1,72,127,0,1
1,60,53,0,3
1,79,59,0,0
1,79,0,120,0
1,74,71,0,0
1,74,0,120,0
1,79,60,0,0
1,79,0,120,0
1,78,118,480,3
1,72,0,120,0
1,76,64,0,0
1,71,26,480,3
1,74,70,0,0
1,68,39,238,3
1,59,62,0,1
1,69,35,0,3
1,71,66,0,0
1,71,0,120,0
1,69,59,0,0
1,69,0,120,0
1,67,74,0,0
1,67,0,240,0
2,79,69,2,3
2,67,0,120,0
2,71,36,0,0
2,71,0,120,0
2,68,41,0,1
2,67,0,120,0
2,71,38,0,0
2,71,0,120,0
2,80,43,2,2
2,67,0,120,0
