track,note,velocity,time,anomaly
1,64,60,390,3
1,70,29,150,3
1,58,77,30,0
1,58,77,90,1
1,57,77,150,0
1,57,72,90,1
1,58,127,30,1
1,58,39,30,2
1,48,84,390,2
1,59,71,0,3
1,68,77,30,1
1,68,0,360,2
1,61,87,150,0
1,72,68,120,3
1,73,87,390,2
1,47,23,30,3
1,69,111,390,3
1,56,0,150,1
1,55,127,360,3
1,56,0,90,0
1,59,127,390,3
1,53,0,90,0
1,54,71,30,0
1,60,31,30,3
1,58,127,150,1
1,58,0,90,0
1,56,67,30,0
1,56,0,90,0
1,70,49,120,2
1,64,70,510,3
1,58,47,30,0
1,52,25,90,2
1,46,45,150,1
1,57,0,90,0
1,70,125,150,3
1,58,59,120,2
1,55,124,150,2
1,42,40,120,3
1,56,81,30,2
1,57,0,90,0
1,61,47,150,0
1,74,0,90,1
1,60,47,30,0
1,60,0,90,0
1,55,46,30,2
1,56,0,90,0
1,56,45,30,0
1,43,26,150,3
1,53,45,510,1
1,53,0,90,0
1,67,45,30,1
1,42,48,120,3
1,58,106,360,2
1,58,0,90,0
1,53,43,390,2
1,56,0,90,0
1,65,127,510,2
1,54,0,90,0
1,56,71,30,1
1,57,0,90,0
1,58,39,150,1
1,58,0,90,0
1,60,30,390,2
1,47,39,150,3
1,63,85,150,0
1,63,0,90,0
1,61,80,30,0
1,66,34,150,3
1,60,77,150,0
1,60,55,90,1
1,58,71,30,0
1,58,0,90,0
1,56,59,390,2
1,68,52,90,2
1,56,79,30,0
1,56,0,90,0
1,61,79,150,0
1,61,0,90,0
1,65,60,120,3
1,60,71,120,2
1,56,79,150,0
1,45,0,120,2
1,58,79,30,0
1,58,0,90,0
1,54,43,390,1
1,54,0,90,0
1,58,43,360,2
1,54,36,0,3
1,58,45,150,0
1,53,56,390,3
1,57,110,360,3
1,60,58,90,1
1,51,104,150,2
1,66,73,360,3
1,64,47,0,2
1,61,0,90,0
1,60,45,150,0
1,48,44,0,3
1,58,45,30,0
1,61,54,390,3
1,56,49,150,0
1,44,0,0,2
1,56,49,30,0
1,61,77,90,2
1,48,46,150,1
1,61,61,90,1
1,60,69,510,2
1,48,0,0,2
1,56,123,90,2
1,56,69,90,1
1,58,87,30,1
1,58,0,90,0
1,66,62,390,0
1,70,120,390,2
1,65,42,120,3
1,66,0,0,0
1,66,55,30,0
1,67,105,0,2
1,70,0,90,0
1,66,44,0,1
1,66,57,30,0
1,70,63,0,0
1,71,0,360,2
1,66,0,0,0
1,70,71,120,1
1,55,127,360,3
1,66,0,90,0
1,70,42,90,2
1,52,89,120,3
1,78,0,90,1
1,70,70,30,0
1,77,62,30,2
1,66,38,90,1
1,81,50,90,3
1,62,63,30,0
1,62,0,90,0
1,63,57,30,0
1,66,63,0,0
1,66,0,90,0
1,74,0,0,1
1,70,64,390,2
1,65,0,90,0
1,66,62,150,1
1,71,70,0,1
1,70,0,90,0
1,73,69,120,1
1,74,63,510,3
1,66,0,30,0
1,57,59,120,2
1,72,65,0,0
1,72,0,90,0
1,68,0,0,0
1,68,65,30,0
1,65,59,0,0
1,52,0,360,2
1,55,46,30,3
1,65,57,30,0
1,63,118,360,3
1,65,0,90,1
1,76,50,510,3
1,78,63,30,1
1,68,63,0,0
1,74,45,30,3
1,65,0,0,0
1,68,127,360,2
1,54,65,360,2
1,71,0,90,1
1,68,72,360,2
1,61,100,30,1
1,58,43,390,3
1,66,127,30,1
1,63,65,0,0
1,63,0,90,0
1,60,61,30,3
1,76,103,0,3
1,65,0,90,0
1,55,57,390,2
1,70,64,0,0
1,76,22,0,3
1,55,0,0,1
1,70,65,150,2
1,65,48,30,2
1,66,104,360,3
1,65,57,0,1
1,70,45,510,3
1,61,50,0,1
1,66,41,0,0
1,58,93,360,3
1,70,0,90,0
1,66,0,150,1
1,66,29,30,0
1,70,101,0,1
1,70,0,90,0
1,66,55,360,2
1,66,31,30,0
1,70,35,0,0
1,59,55,390,3
1,61,42,510,3
1,67,85,510,3
1,66,35,0,0
1,66,33,30,2
1,71,41,390,3
1,76,107,30,2
1,65,0,90,0
1,70,89,0,2
1,66,89,30,2
1,66,0,90,0
1,70,0,0,0
1,62,96,30,1
1,62,0,90,0
1,66,33,30,0
1,63,29,0,0
1,63,0,90,0
1,66,0,0,0
1,62,117,510,3
1,65,60,150,2
1,66,33,90,1
1,82,37,0,1
1,70,0,0,1
1,72,45,30,1
1,73,0,90,0
1,66,0,30,0
1,67,39,30,2
1,72,39,0,0
1,60,58,120,3
1,81,59,90,3
1,65,36,30,0
1,68,111,0,1
1,67,48,390,3
1,78,0,360,2
1,62,33,30,1
1,65,29,0,0
1,65,0,90,0
1,80,44,360,3
1,76,50,30,2
1,68,33,0,0
1,80,0,90,1
1,65,0,0,0
1,73,36,30,1
1,70,32,0,1
1,53,44,510,3
1,68,0,0,0
1,61,36,30,0
1,67,0,30,2
1,66,36,30,0
1,63,36,0,0
1,63,0,90,0
1,66,0,0,0
1,52,111,30,2
1,60,76,510,3
1,70,83,510,2
1,66,36,0,0
1,54,24,120,3
1,57,44,0,2
1,62,68,30,2
1,53,0,510,2
1,61,41,30,0
1,65,100,0,1
1,65,0,360,0
1,56,25,120,3
1,73,98,390,3
1,62,0,90,0
1,66,69,30,0
1,63,69,0,0
1,68,0,90,1
1,66,68,0,1
1,65,127,30,1
1,64,44,360,3
1,70,80,0,1
1,66,80,0,0
1,66,0,510,1
1,70,0,0,0
1,69,74,120,1
1,69,0,90,0
1,70,75,30,0
1,78,117,360,3
1,73,0,90,0
1,70,0,0,0
1,72,46,510,3
1,71,60,90,1
1,74,122,150,3
1,66,117,0,2
1,72,0,90,0
1,75,0,0,0
1,78,127,30,2
1,70,75,0,0
1,70,0,30,1
1,79,0,0,1
1,72,74,30,0
1,68,74,0,0
1,68,0,90,0
1,64,72,30,1
1,67,0,90,0
1,72,0,30,0
1,70,70,0,0
1,66,127,0,1
1,63,0,90,1
1,64,74,30,0
1,64,0,90,0
1,70,48,150,2
1,65,71,0,0
1,53,62,90,2
1,67,70,30,0
1,64,0,90,1
1,78,48,30,2
1,71,52,0,2
1,68,41,510,2
1,69,66,30,0
1,73,0,120,0
1,72,72,0,0
1,72,0,90,0
1,70,0,30,1
1,70,69,0,0
1,67,0,0,2
1,68,85,30,1
1,68,0,90,0
1,65,63,30,1
1,70,0,90,0
1,62,57,30,0
1,59,127,510,3
1,68,0,360,1
1,62,0,0,0
1,61,92,120,3
1,62,0,90,0
1,66,41,30,0
1,63,36,390,1
1,63,42,90,1
1,66,68,360,2
1,65,57,30,1
1,65,0,90,0
1,70,44,30,0
1,66,44,120,1
1,66,0,90,0
1,76,41,510,3
1,69,115,30,1
1,69,0,90,0
1,73,94,360,2
1,71,70,360,3
1,58,35,90,2
1,61,31,390,3
1,71,49,120,1
1,58,40,510,3
1,75,46,30,0
1,72,120,120,2
1,67,54,30,3
1,80,58,0,2
1,78,44,510,2
1,70,44,0,0
1,70,0,90,0
1,73,0,0,0
1,68,41,30,0
1,83,99,0,2
1,68,0,0,1
1,80,45,30,1
1,67,0,90,0
1,59,0,30,1
1,57,111,120,3
1,72,42,0,1
1,65,21,30,3
1,77,44,30,1
1,64,0,90,0
1,81,0,30,1
1,65,41,0,0
1,65,80,90,1
1,67,73,390,2
1,72,74,390,3
1,73,42,30,0
1,62,68,390,3
1,80,0,0,2
1,69,36,30,0
1,70,0,510,2
1,66,97,390,3
1,72,41,150,2
1,74,0,30,1
1,70,40,90,1
1,70,36,30,2
1,68,77,510,2
1,68,0,90,0
1,58,57,360,3
1,57,78,360,3
1,64,116,0,3
1,66,106,150,3
1,77,0,360,1
1,61,0,150,1
1,55,32,510,2
1,65,32,0,0
1,65,22,120,1
1,60,0,0,0
1,65,71,120,1
1,60,32,0,0
1,60,0,120,0
1,76,55,120,3
1,57,93,360,3
1,64,67,30,3
1,65,0,120,0
1,58,0,0,0
1,60,36,360,1
1,60,36,120,2
1,65,0,120,0
1,60,0,0,0
1,65,39,0,0
1,61,39,0,0
1,61,0,120,0
1,68,0,0,1
1,65,33,120,0
1,63,33,0,0
1,63,27,120,1
1,65,28,0,1
1,55,32,0,1
1,71,78,30,3
1,65,21,120,1
1,57,29,0,2
1,61,32,120,0
1,65,32,390,1
1,65,46,90,2
1,61,0,0,0
1,58,31,0,0
1,63,31,0,0
1,60,29,150,3
1,61,46,120,3
1,56,41,150,1
1,63,89,120,2
1,60,27,360,3
1,56,66,0,1
1,61,116,360,2
1,74,94,0,2
1,63,43,120,1
1,64,0,0,1
1,69,113,30,3
1,60,34,0,0
1,60,0,120,0
1,63,0,0,0
1,75,33,0,1
1,58,33,0,0
1,58,56,120,1
1,58,0,0,1
1,60,31,120,0
1,63,59,120,2
1,63,47,150,2
1,60,0,0,0
1,64,109,0,2
1,52,112,90,3
1,64,48,120,2
1,61,63,0,1
1,58,32,120,0
1,76,102,360,3
1,51,34,360,3
1,58,0,0,0
1,65,32,0,0
1,63,107,120,3
1,57,0,120,1
1,65,0,0,0
1,66,112,360,3
1,64,32,510,2
1,65,0,120,0
1,48,0,120,2
1,58,34,0,0
1,65,34,360,1
1,65,72,120,1
1,58,0,0,0
1,60,35,120,0
1,59,75,510,3
1,65,0,120,0
1,60,0,0,0
1,61,40,0,0
1,65,105,0,1
1,65,0,120,0
1,50,77,150,3
1,58,87,120,2
1,65,90,120,2
1,53,20,360,3
1,63,0,0,0
1,65,81,120,2
1,65,32,0,1
1,49,77,150,3
1,65,0,0,0
1,67,36,510,2
1,60,75,0,2
1,65,0,120,0
1,61,0,0,0
1,58,33,0,0
1,63,62,150,2
1,63,23,390,2
1,55,0,0,1
1,57,79,30,3
1,58,81,0,2
1,63,0,120,0
1,56,74,150,2
1,69,88,0,2
1,61,49,0,0
1,61,0,30,1
1,63,0,0,0
1,60,32,120,0
1,63,32,0,0
1,63,0,120,0
1,59,44,0,2
1,47,32,360,2
1,74,81,360,3
1,63,0,120,0
1,46,28,30,3
