track,note,velocity,time,anomaly
1,56,38,870,0
1,61,42,30,0
1,64,47,30,0
1,73,55,30,0
1,73,0,120,0
1,56,0,0,0
1,61,0,0,0
1,64,0,0,0
1,61,42,300,0
1,61,0,55,0
1,61,51,5,0
1,61,0,120,0
1,64,48,0,0
1,64,0,120,0
1,63,51,0,0
1,63,0,120,0
1,61,48,0,0
1,61,0,120,0
1,63,39,150,0
1,68,43,30,0
1,72,47,30,0
1,80,53,30,0
1,80,0,120,0
1,63,0,0,0
1,68,0,0,0
1,72,0,0,0
1,56,42,300,0
1,56,0,55,0
1,56,51,5,0
1,56,0,120,0
1,60,48,0,0
1,60,0,120,0
1,58,51,0,0
1,58,0,120,0
1,56,48,0,0
1,56,0,120,0
1,56,38,150,0
1,61,41,30,0
1,64,45,30,0
1,73,53,30,0
1,73,0,120,0
1,56,0,0,0
1,61,0,0,0
1,64,0,0,0
1,61,42,300,0
1,61,0,55,0
1,61,51,5,0
1,61,0,120,0
1,64,48,0,0
1,64,0,120,0
1,63,51,0,0
1,63,0,120,0
1,61,48,0,0
1,61,0,120,0
1,63,42,150,0
1,72,45,30,0
1,80,48,30,0
1,68,57,30,0
1,80,0,120,0
1,63,0,0,0
1,72,0,0,0
1,68,0,360,0
1,56,56,0,0
1,56,0,120,0
1,56,30,510,0
1,61,34,30,0
1,64,36,30,0
1,73,39,30,0
1,73,0,120,0
1,56,0,0,0
1,61,0,0,0
1,64,0,0,0
1,61,30,300,0
1,61,0,55,0
1,61,37,5,0
1,61,0,120,0
1,64,34,0,0
1,64,0,120,0
1,63,37,0,0
1,63,0,120,0
1,61,34,0,0
1,61,0,120,0
1,63,30,150,0
1,68,33,30,0
1,72,35,30,0
1,80,38,30,0
1,80,0,120,0
1,63,0,0,0
1,68,0,0,0
1,72,0,0,0
1,56,30,300,0
1,56,0,55,0
1,56,37,5,0
1,56,0,120,0
1,60,34,0,0
1,60,0,120,0
1,58,37,0,0
1,58,0,120,0
1,56,34,0,0
1,56,0,120,0
1,56,30,150,0
1,61,33,30,0
1,64,35,30,0
1,73,38,30,0
1,73,0,120,0
1,56,0,0,0
1,61,0,0,0
1,64,0,0,0
1,61,30,300,0
1,61,0,55,0
1,61,37,5,0
1,61,0,120,0
1,64,34,0,0
1,64,0,120,0
1,63,37,0,0
1,63,0,120,0
1,61,34,0,0
1,61,0,120,0
1,63,30,150,0
1,72,35,30,0
1,80,37,30,0
1,68,47,30,0
1,80,0,120,0
1,63,0,0,0
1,72,0,0,0
1,68,0,360,0
1,56,47,0,0
1,56,0,120,0
1,68,40,510,0
1,73,44,30,0
1,77,47,30,0
1,85,55,30,0
1,85,0,120,0
1,68,0,0,0
1,73,0,0,0
1,77,0,0,0
1,73,42,300,0
1,73,0,55,0
1,73,51,5,0
1,73,0,120,0
1,74,48,0,0
1,74,0,120,0
1,73,51,0,0
1,73,0,120,0
1,71,48,0,0
1,71,0,120,0
1,61,39,150,0
1,69,43,30,0
1,73,46,30,0
1,81,55,30,0
1,81,0,120,0
1,61,0,0,0
1,69,0,0,0
1,73,0,0,0
1,66,42,300,0
1,66,0,55,0
1,66,51,5,0
1,66,0,120,0
1,69,48,0,0
1,69,0,120,0
1,68,51,0,0
1,68,0,120,0
1,66,48,0,0
1,66,0,120,0
1,66,39,150,0
1,71,42,30,0
1,75,46,30,0
1,83,55,30,0
1,83,0,120,0
1,66,0,0,0
1,71,0,0,0
1,75,0,0,0
1,71,42,300,0
1,71,0,55,0
1,71,51,5,0
1,71,0,120,0
1,73,48,0,0
1,73,0,120,0
1,71,51,0,0
1,71,0,120,0
1,69,48,0,0
1,69,0,120,0
1,59,39,150,0
1,68,42,30,0
1,71,46,30,0
1,80,55,30,0
1,80,0,120,0
1,59,0,0,0
1,68,0,0,0
1,71,0,0,0
1,64,42,300,0
1,64,0,55,0
1,64,45,5,0
1,64,0,120,0
1,68,42,0,0
1,68,0,120,0
1,66,44,0,0
1,66,0,120,0
1,64,41,0,0
1,64,0,120,0
1,63,33,150,0
1,69,36,30,0
1,75,39,30,0
1,81,47,30,0
1,81,0,120,0
1,63,0,0,0
1,69,0,0,0
1,75,0,0,0
1,63,34,300,0
1,63,0,55,0
1,63,41,5,0
1,63,0,120,0
1,66,39,0,0
1,66,0,120,0
1,64,41,0,0
1,64,0,120,0
1,63,38,0,0
1,63,0,120,0
1,61,30,150,0
1,68,33,30,0
1,73,36,30,0
1,80,42,30,0
1,80,0,120,0
1,61,0,0,0
1,68,0,0,0
1,73,0,0,0
1,61,34,300,0
1,61,0,55,0
1,61,42,5,0
1,61,0,120,0
1,64,39,0,0
1,64,0,120,0
1,63,42,0,0
1,63,0,120,0
1,61,39,0,0
1,61,0,120,0
1,57,46,0,0
1,67,34,360,0
1,67,0,120,0
1,57,0,0,0
1,56,40,0,0
1,68,34,120,0
1,68,0,120,0
1,66,40,0,0
1,66,0,120,0
1,63,34,0,0
1,63,0,120,0
1,56,0,0,0
1,56,39,0,0
1,61,39,0,0
1,61,0,480,0
1,56,0,0,0
1,73,34,0,0
1,64,34,0,0
1,64,0,120,0
1,73,0,0,0
1,68,30,510,0
1,73,34,30,0
1,77,36,30,0
1,85,39,30,0
1,85,0,120,0
1,68,0,0,0
1,73,0,0,0
1,77,0,0,0
1,73,30,300,0
1,73,0,55,0
1,73,37,5,0
1,73,0,120,0
1,74,34,0,0
1,74,0,120,0
1,73,37,0,0
1,73,0,120,0
1,71,34,0,0
1,71,0,120,0
