track,note,velocity,time,anomaly
1,69,29,240,0
1,70,29,60,0
1,69,0,12,0
1,69,29,48,0
1,70,0,12,0
1,71,30,48,0
1,69,0,12,0
1,72,30,48,0
1,71,0,12,0
1,73,30,48,0
1,72,0,12,0
1,72,31,48,0
1,73,0,12,0
1,74,31,48,0
1,72,0,12,0
1,75,31,48,0
1,74,0,12,0
1,76,33,48,0
1,75,0,12,0
1,75,33,48,0
1,76,0,12,0
1,77,33,48,0
1,75,0,12,0
1,78,34,48,0
1,77,0,12,0
1,79,34,48,0
1,78,0,12,0
1,78,34,48,0
1,79,0,12,0
1,80,35,48,0
1,78,0,12,0
1,81,35,48,0
1,80,0,12,0
1,82,35,48,0
1,81,0,12,0
1,81,36,48,0
1,82,0,12,0
1,83,36,48,0
1,81,0,12,0
1,84,36,48,0
1,83,0,12,0
1,85,37,48,0
1,84,0,12,0
1,84,37,48,0
1,85,0,12,0
1,86,37,48,0
1,84,0,12,0
1,87,37,48,0
1,86,0,12,0
1,88,37,48,0
1,87,0,12,0
1,87,37,48,0
1,88,0,12,0
1,90,38,48,0
1,87,0,12,0
1,88,38,48,0
1,90,0,12,0
1,89,38,48,0
1,88,0,12,0
1,88,40,48,0
1,89,0,12,0
1,90,40,48,0
1,88,0,12,0
1,91,40,48,0
1,90,0,12,0
1,93,41,48,0
1,91,0,12,0
1,91,41,48,0
1,93,0,12,0
1,94,41,48,0
1,91,0,12,0
1,95,42,48,0
1,94,0,12,0
1,96,42,48,0
1,95,0,12,0
1,95,42,48,0
1,96,0,12,0
1,99,43,48,0
1,95,0,12,0
1,100,43,48,0
1,99,0,12,0
1,101,43,48,0
1,100,0,12,0
1,100,44,48,0
1,101,0,12,0
1,102,44,48,0
1,100,0,12,0
1,103,46,48,0
1,102,0,12,0
1,103,0,48,0
1,102,46,0,0
1,102,0,60,0
1,103,45,0,0
1,103,0,60,0
1,101,45,0,0
1,101,0,60,0
1,100,44,0,0
1,100,0,60,0
1,99,44,0,0
1,99,0,60,0
1,100,43,0,0
1,100,0,60,0
1,98,43,0,0
1,98,0,60,0
1,97,42,0,0
1,97,0,60,0
1,96,42,0,0
1,96,0,60,0
1,97,41,0,0
1,97,0,60,0
1,95,41,0,0
1,95,0,60,0
1,94,40,0,0
1,94,0,60,0
1,93,40,0,0
1,93,0,60,0
1,94,38,0,0
1,94,0,60,0
1,92,37,0,0
1,92,0,60,0
1,91,36,0,0
1,91,0,60,0
1,90,36,0,0
1,90,0,60,0
1,91,36,0,0
1,91,0,60,0
1,89,35,0,0
1,89,0,60,0
1,88,35,0,0
1,88,0,60,0
1,87,35,0,0
1,87,0,60,0
1,88,34,0,0
1,88,0,60,0
1,86,34,0,0
1,86,0,60,0
1,85,33,0,0
1,85,0,60,0
1,84,33,0,0
1,84,0,60,0
1,85,33,0,0
1,85,0,60,0
1,83,31,0,0
1,83,0,60,0
1,82,31,0,0
1,82,0,60,0
1,81,30,0,0
1,81,0,60,0
1,82,30,0,0
1,82,0,60,0
1,79,29,0,0
1,79,0,60,0
1,78,29,0,0
1,78,0,60,0
1,77,29,0,0
1,77,0,60,0
1,78,28,0,0
1,78,0,60,0
1,76,28,0,0
1,76,0,60,0
1,74,28,0,0
1,74,0,60,0
1,73,28,0,0
1,73,0,60,0
1,74,28,0,0
1,74,0,60,0
1,72,27,0,0
1,72,0,60,0
1,71,27,0,0
1,71,0,60,0
1,70,25,0,0
1,70,0,60,0
1,71,25,0,0
1,71,0,60,0
1,69,25,0,0
1,69,0,60,0
1,77,24,0,0
1,77,0,60,0
1,74,24,0,0
1,74,0,60,0
1,71,23,0,0
1,71,0,60,0
1,69,23,0,0
1,69,0,60,0
1,68,30,0,0
1,68,0,240,0
1,101,35,240,0
1,101,0,60,0
1,98,35,0,0
1,98,0,60,0
1,94,34,0,0
1,94,0,60,0
1,91,33,0,0
1,91,0,60,0
1,95,33,0,0
1,95,0,60,0
1,92,31,0,0
1,92,0,60,0
1,88,31,0,0
1,88,0,60,0
1,85,30,0,0
1,85,0,60,0
1,89,29,0,0
1,89,0,60,0
1,86,28,0,0
1,86,0,60,0
1,82,28,0,0
1,82,0,60,0
1,79,28,0,0
1,79,0,60,0
1,83,27,0,0
1,83,0,60,0
1,80,27,0,0
1,80,0,60,0
1,76,25,0,0
1,76,0,60,0
1,73,24,0,0
1,73,0,60,0
1,77,24,0,0
1,77,0,60,0
1,74,23,0,0
1,74,0,60,0
1,70,23,0,0
1,70,0,60,0
1,68,22,0,0
1,68,0,60,0
1,68,22,0,0
1,71,22,0,0
1,71,0,120,0
1,68,0,0,0
1,89,31,240,0
1,80,25,0,0
1,77,25,0,0
1,77,0,60,0
1,80,0,0,0
1,89,0,0,0
1,88,27,60,0
1,77,20,0,0
1,80,20,0,0
1,80,0,60,0
1,77,0,0,0
1,88,0,0,0
1,87,29,60,0
1,80,23,0,0
1,77,23,0,0
1,77,0,60,0
1,80,0,0,0
1,87,0,0,0
1,77,20,60,0
1,86,25,0,0
1,80,20,0,0
1,80,0,60,0
1,86,0,0,0
1,77,0,0,0
1,80,24,60,0
1,77,24,0,0
1,89,30,0,0
1,89,0,60,0
1,77,0,0,0
1,80,0,0,0
1,77,27,60,0
1,88,34,0,0
1,80,27,0,0
1,88,0,60,0
1,87,33,0,0
1,87,0,60,0
1,80,0,0,0
1,77,0,0,0
1,86,31,0,0
1,86,0,60,0
1,103,35,300,0
1,103,0,60,0
1,100,35,0,0
1,100,0,60,0
1,96,34,0,0
1,96,0,60,0
1,93,33,0,0
1,93,0,60,0
1,97,33,0,0
1,97,0,60,0
1,94,31,0,0
1,94,0,60,0
1,90,31,0,0
1,90,0,60,0
1,87,30,0,0
1,87,0,60,0
1,91,29,0,0
1,91,0,60,0
1,88,28,0,0
1,88,0,60,0
1,84,28,0,0
1,84,0,60,0
1,81,28,0,0
1,81,0,60,0
1,85,27,0,0
1,85,0,60,0
