track,note,velocity,time,anomaly
1,84,90,1440,0
1,76,76,0,1
1,72,76,0,0
1,72,0,120,0
1,75,25,150,2
1,84,0,0,0
1,79,84,240,0
1,75,71,0,0
1,72,71,0,0
1,78,102,1320,3
1,56,54,0,3
1,91,0,120,2
1,75,0,0,0
1,72,0,0,0
1,67,103,0,1
1,72,76,0,0
1,75,76,0,0
1,79,90,0,0
1,79,0,120,0
1,67,0,0,0
1,72,0,0,0
1,75,0,0,0
1,63,108,360,2
1,67,70,0,0
1,75,82,0,0
1,75,0,120,0
1,54,61,120,3
1,63,0,0,0
1,63,74,0,0
1,67,74,0,0
1,75,90,0,0
1,75,0,120,0
1,67,0,0,0
1,63,0,0,0
1,63,65,480,0
1,67,65,0,0
1,72,78,0,0
1,72,46,120,1
1,67,0,0,0
1,63,0,0,0
1,63,72,0,0
1,67,72,0,0
1,72,30,0,1
1,72,0,60,1
1,67,0,0,0
1,63,0,0,0
1,63,67,120,0
1,67,67,0,0
1,71,11,0,1
1,71,0,120,0
1,67,0,0,0
1,63,0,0,0
1,63,72,120,0
1,67,72,0,0
1,71,85,120,2
1,72,0,120,0
1,67,0,0,0
1,63,0,0,0
1,86,90,1440,0
1,77,76,0,0
1,74,76,0,0
1,74,0,120,0
1,77,0,0,0
1,86,0,0,0
1,80,84,240,0
1,74,71,0,0
1,68,71,0,0
1,68,0,120,0
1,74,0,0,0
1,80,0,0,0
1,68,76,0,0
1,74,76,0,0
1,80,90,0,0
1,80,0,120,0
1,74,0,0,0
1,68,0,0,0
1,65,70,480,0
1,68,70,0,0
1,77,82,0,0
1,88,42,0,3
1,68,0,0,0
1,65,0,0,0
1,65,74,0,0
1,68,74,0,0
1,77,90,0,0
1,77,0,120,0
1,68,0,0,0
1,65,0,0,0
1,62,65,480,0
1,68,65,0,0
1,74,78,0,0
1,74,0,120,0
1,68,0,0,0
1,62,0,0,0
1,62,72,0,0
1,68,72,0,0
1,74,85,0,0
1,74,0,120,0
1,68,0,0,0
1,62,0,0,0
1,61,67,120,0
1,68,67,0,0
1,73,80,0,0
1,73,0,120,0
1,68,0,0,0
1,61,0,0,0
1,62,72,120,0
1,68,72,0,0
1,74,85,0,0
1,74,0,120,0
1,68,0,0,0
1,62,0,0,0
1,63,45,600,0
1,67,45,0,0
1,75,53,0,0
1,75,0,120,0
1,67,0,0,0
1,63,0,0,0
1,60,40,120,0
1,48,0,60,1
1,62,41,0,0
1,62,0,60,0
1,63,44,0,0
1,63,0,60,0
1,65,45,0,0
1,65,0,60,0
1,67,47,0,0
1,67,0,120,0
1,65,47,120,0
1,72,47,0,0
1,77,57,0,0
1,77,0,90,0
1,72,0,0,0
1,65,0,0,0
1,84,59,150,0
1,72,49,0,0
