track,note,velocity,time,anomaly
1,53,40,720,0
1,53,6,240,0
1,58,46,0,0
1,58,6,240,0
1,62,42,0,0
1,62,6,240,0
1,58,38,0,0
1,58,6,240,0
1,53,38,0,0
1,53,6,240,0
1,53,43,240,0
1,53,6,240,0
1,58,46,0,0
1,58,6,240,0
1,62,43,0,0
1,62,6,240,0
1,58,39,0,0
1,58,6,240,0
1,53,40,0,0
1,53,6,240,0
1,54,36,240,0
1,54,6,240,0
1,60,40,0,0
1,60,6,240,0
1,62,37,0,0
1,62,6,240,0
1,60,33,0,0
1,60,6,240,0
1,54,33,0,0
1,54,6,240,0
1,54,36,240,0
1,54,6,240,0
1,60,40,0,0
1,60,6,240,0
1,62,36,0,0
1,62,6,240,0
1,60,32,0,0
1,60,6,240,0
1,54,32,0,0
1,54,6,240,0
1,53,40,240,0
1,53,6,240,0
1,59,42,0,0
1,59,6,240,0
1,62,41,0,0
1,62,6,240,0
1,59,42,0,0
1,59,6,240,0
1,53,44,0,0
1,53,6,240,0
1,53,44,240,0
1,53,6,240,0
1,59,49,0,0
1,59,6,240,0
1,62,46,0,0
1,62,6,240,0
1,59,43,0,0
1,59,6,240,0
1,53,43,0,0
1,53,6,240,0
1,52,44,240,0
1,52,6,240,0
1,58,49,0,0
1,58,6,240,0
1,62,48,0,0
1,62,6,240,0
1,58,45,0,0
1,58,6,240,0
1,52,45,0,0
1,52,6,240,0
1,52,42,240,0
1,52,6,240,0
1,58,46,0,0
1,58,6,240,0
1,62,43,0,0
1,62,6,240,0
1,58,38,0,0
1,58,6,240,0
1,52,40,0,0
1,52,6,240,0
1,51,44,240,0
1,51,6,240,0
1,53,51,0,0
1,53,6,240,0
1,62,44,0,0
1,62,6,240,0
1,53,40,0,0
1,53,6,240,0
1,51,39,0,0
1,51,6,240,0
1,51,44,240,0
1,51,6,240,0
1,53,49,0,0
1,53,6,240,0
1,57,44,0,0
1,57,6,240,0
1,53,40,0,0
1,53,6,240,0
1,51,40,0,0
1,51,6,240,0
1,50,44,240,0
1,50,6,240,0
1,53,49,0,0
1,53,6,240,0
1,58,44,0,0
1,58,6,240,0
1,53,40,0,0
1,53,6,240,0
1,50,40,0,0
1,50,6,240,0
1,46,44,226,0
1,46,6,240,0
1,50,49,14,0
1,50,6,240,0
1,58,44,28,0
1,53,40,212,0
1,58,6,28,0
1,53,6,212,0
1,46,40,0,0
1,46,6,240,0
1,53,40,240,0
1,53,6,240,0
1,58,46,0,0
1,58,6,240,0
1,62,42,0,0
1,62,6,240,0
1,58,38,0,0
1,58,6,240,0
1,53,36,0,0
1,53,6,240,0
1,53,43,240,0
1,53,6,240,0
1,58,46,0,0
1,58,6,240,0
1,62,43,0,0
1,62,6,240,0
1,58,39,0,0
1,58,6,240,0
1,53,39,0,0
1,53,6,240,0
1,54,34,240,0
1,54,6,240,0
1,60,38,0,0
1,60,6,240,0
1,62,36,0,0
1,62,6,240,0
1,60,34,0,0
1,60,6,240,0
1,54,34,0,0
1,54,6,240,0
1,54,38,240,0
1,54,6,240,0
1,60,43,0,0
1,60,6,240,0
1,62,41,0,0
1,62,6,240,0
1,60,38,0,0
1,60,6,240,0
1,54,43,0,0
1,54,6,240,0
1,53,48,240,0
1,53,6,240,0
1,59,51,0,0
1,59,6,240,0
