track,note,velocity,time,anomaly
1,63,34,720,0
1,63,0,240,0
1,68,40,0,0
1,68,0,240,0
1,72,36,0,0
1,72,0,240,0
1,68,32,0,0
1,68,0,240,0
1,75,56,240,3
1,60,0,30,2
1,63,37,240,0
1,63,0,240,0
1,68,40,0,0
1,68,0,240,0
1,72,37,0,0
1,72,0,240,0
1,57,81,0,2
1,68,0,240,0
1,50,34,226,2
1,63,0,240,0
1,64,82,240,1
1,64,0,240,0
1,70,34,0,0
1,70,60,0,2
1,72,31,0,0
1,67,58,28,3
1,70,27,0,0
1,70,0,240,0
1,64,27,0,0
1,69,0,240,1
1,64,30,240,0
1,64,0,240,0
1,70,34,0,0
1,70,0,240,0
1,83,30,0,1
1,72,0,240,0
1,83,106,238,3
1,70,0,240,0
1,64,26,240,1
1,64,0,240,0
1,63,34,240,0
1,50,33,240,2
1,82,36,0,1
1,69,0,240,0
1,78,35,0,1
1,72,0,240,0
1,69,36,0,0
1,69,0,240,0
1,63,38,0,0
1,63,0,30,1
1,63,38,240,0
1,63,0,240,0
1,69,43,0,0
1,69,0,240,0
1,77,77,242,3
1,67,0,240,1
1,69,37,0,0
1,69,0,240,0
1,74,37,0,1
1,63,0,240,0
1,62,38,240,0
1,62,0,240,0
1,68,107,240,2
1,68,0,240,0
1,61,78,0,2
1,72,0,240,0
1,68,85,6240,2
1,68,0,240,0
1,68,63,0,2
1,62,0,240,0
1,62,36,240,0
1,62,0,240,0
1,68,40,0,0
1,68,0,240,0
1,72,37,0,0
1,72,0,212,1
1,68,32,0,0
1,68,0,240,0
1,62,34,0,0
1,62,0,240,0
1,61,38,240,0
1,61,0,240,0
1,63,45,0,0
1,63,0,240,0
1,72,38,0,0
1,72,0,240,0
1,63,56,6240,2
1,63,0,240,0
1,61,33,0,0
1,61,0,240,0
1,61,115,28,2
1,61,0,240,0
1,74,119,226,3
1,66,21,0,3
1,67,38,0,0
1,67,0,240,0
1,63,34,0,0
1,63,0,240,0
1,61,34,0,0
1,61,0,240,0
1,57,74,240,2
1,55,43,240,2
1,63,43,0,0
1,63,0,240,0
1,68,38,0,0
1,68,0,28,1
1,63,34,0,0
1,52,0,240,1
1,47,34,0,1
1,60,0,240,0
1,56,38,226,0
1,61,0,212,2
1,60,43,14,0
1,60,0,240,0
1,68,38,28,0
1,63,34,212,0
1,65,22,237,3
1,63,0,212,0
1,56,34,0,0
1,56,0,240,0
1,63,34,240,0
1,63,0,240,0
1,62,103,237,3
1,68,0,240,0
1,72,71,28,2
1,72,0,240,0
1,68,95,28,2
1,68,0,240,0
1,63,30,0,0
1,63,0,240,0
1,63,37,240,0
1,63,0,240,0
1,68,40,0,0
1,62,76,120,3
1,72,37,0,0
1,72,56,240,1
1,74,53,0,2
1,68,0,240,0
1,63,33,0,0
1,63,0,240,0
1,64,28,240,0
1,53,0,240,1
1,83,32,0,1
1,70,0,240,0
1,72,30,0,0
1,72,0,240,0
1,70,28,0,0
1,70,0,240,0
1,69,74,0,2
1,77,65,237,3
1,64,32,240,0
1,64,0,240,0
1,70,37,0,0
1,70,0,240,0
1,72,35,0,0
1,72,0,240,0
1,70,32,30,1
1,70,70,238,2
1,64,109,0,1
1,70,78,243,3
1,63,42,240,0
1,63,0,240,0
1,69,45,0,0
1,69,0,240,0
1,72,43,0,0
