track,note,velocity,time,anomaly
1,47,104,0,1
1,47,0,90,0
1,47,92,30,0
1,46,0,360,1
1,61,79,120,3
1,49,0,60,0
1,51,50,0,0
1,51,0,60,0
1,52,106,420,2
1,46,77,60,2
1,54,52,0,0
1,49,67,20,3
1,56,53,0,0
1,56,0,60,0
1,57,54,10,1
1,57,0,60,0
1,59,55,0,0
1,59,0,60,0
1,61,117,90,2
1,61,0,60,0
1,66,116,0,2
1,63,51,330,2
1,64,58,0,0
1,64,0,60,0
1,61,123,240,3
1,69,42,170,3
1,68,114,360,2
1,68,0,60,0
1,69,62,0,0
1,69,64,420,2
1,71,63,0,0
1,77,0,60,1
1,73,63,0,0
1,73,0,60,0
1,75,64,0,0
1,78,49,180,3
1,77,127,0,2
1,76,0,60,0
1,78,67,330,1
1,78,0,60,0
1,80,68,0,0
1,80,0,60,0
1,78,69,0,1
1,81,0,60,0
1,83,70,0,0
1,80,34,60,2
1,84,127,120,3
1,85,0,60,0
1,99,72,0,1
1,87,68,60,1
1,88,73,0,0
1,88,0,60,0
1,90,74,0,0
1,90,0,60,0
1,92,75,0,0
1,86,0,600,2
1,94,121,150,3
1,93,0,60,0
1,95,98,0,0
1,84,22,220,3
1,49,77,120,0
1,47,64,0,0
1,47,53,90,1
1,49,0,20,1
1,49,38,30,1
1,48,127,330,3
1,47,0,360,0
1,49,0,0,0
1,54,48,180,2
1,51,0,60,0
1,52,50,0,0
1,52,0,60,0
1,51,113,120,3
1,54,0,60,0
1,44,127,240,3
1,56,0,60,0
1,62,53,0,1
1,57,0,60,0
1,59,54,0,0
1,62,73,60,2
1,61,120,420,2
1,61,0,60,0
1,63,56,0,0
1,63,0,60,0
1,64,57,0,0
1,64,0,60,0
1,66,58,0,0
1,66,0,60,0
1,57,59,540,2
1,68,0,150,1
1,74,127,180,3
1,69,0,60,0
1,71,62,0,0
1,66,25,30,3
1,73,63,0,0
1,73,0,60,0
1,75,63,0,0
1,69,0,240,2
1,87,119,10,3
1,76,0,60,0
1,78,66,170,1
1,78,0,60,0
1,77,67,0,1
1,80,0,60,0
1,81,68,0,0
1,70,53,60,2
1,94,69,0,1
1,83,0,60,0
1,85,70,0,0
1,85,0,60,0
1,87,72,0,0
1,86,39,60,2
1,88,72,60,1
1,88,0,60,0
1,90,73,0,0
1,90,0,60,0
1,92,74,0,0
1,95,34,90,3
1,93,75,0,0
1,93,79,60,1
1,107,110,45,3
1,95,0,60,0
1,97,98,0,0
1,92,0,220,2
1,54,77,120,0
1,52,64,330,1
1,52,0,420,1
1,54,0,0,0
1,42,92,20,2
1,55,126,600,3
1,52,0,360,0
1,54,0,0,0
1,55,52,170,2
1,56,59,60,1
1,46,75,0,2
1,57,0,60,0
1,59,55,240,1
1,58,0,0,2
1,61,89,240,2
1,58,0,90,2
1,63,57,0,0
1,63,0,60,0
1,64,59,0,0
1,64,0,60,0
1,66,60,0,0
1,53,0,150,2
1,68,61,0,0
1,68,0,60,0
1,69,62,0,0
1,80,0,15,2
1,71,64,330,1
1,71,0,60,0
1,73,65,0,0
1,73,0,60,0
1,75,66,0,0
1,75,45,60,1
1,76,127,0,1
1,82,68,330,3
1,91,69,170,2
1,78,0,60,0
1,80,70,0,0
1,80,0,60,0
1,81,72,0,0
1,81,0,60,0
1,83,73,0,0
1,83,20,60,1
1,97,74,0,1
1,85,0,60,0
1,87,76,0,0
1,87,0,60,0
1,88,77,0,0
1,88,0,60,0
1,90,78,0,0
1,93,35,120,3
1,92,80,0,0
1,92,0,180,1
1,93,81,0,0
1,93,0,60,0
1,95,82,0,0
1,95,0,60,0
1,97,83,0,0
1,97,0,60,0
1,93,53,100,3
1,86,53,330,3
1,112,50,360,3
1,100,0,60,0
1,102,98,0,0
1,108,0,150,2
1,59,105,330,2
1,69,68,10,0
1,61,70,10,1
1,78,72,10,0
1,78,0,170,0
1,64,0,0,0
1,66,80,420,3
1,73,0,0,0
1,76,70,40,0
1,75,127,240,3
1,84,73,10,0
1,102,75,10,1
1,93,0,220,1
1,89,71,180,3
1,81,0,0,0
1,84,0,0,0
1,71,76,20,0
1,57,64,0,0
1,63,64,0,0
1,63,0,100,0
1,57,0,0,0
1,71,0,0,0
1,72,127,360,3
1,75,67,0,0
1,69,67,0,0
1,69,0,100,0
1,75,0,0,0
1,80,74,90,3
1,95,95,20,0
1,87,80,0,0
1,81,80,0,0
1,81,0,120,0
1,87,0,0,0
1,95,0,0,0
1,71,127,120,2
1,59,65,0,0
1,59,0,45,0
1,71,0,0,0
1,71,77,15,0
1,59,65,0,0
1,64,98,0,1
1,61,31,170,3
1,59,0,0,0
1,71,0,0,0
1,73,61,0,0
1,67,52,40,2
1,61,0,60,0
1,73,0,0,0
1,75,63,60,0
1,63,53,0,0
1,63,0,30,1
1,75,0,0,0
1,76,65,60,0
1,64,55,0,0
1,65,78,100,3
1,87,0,170,2
1,78,67,60,0
1,66,57,0,0
1,66,0,60,0
1,78,0,0,0
1,80,69,60,0
1,68,58,0,0
1,79,57,60,2
1,92,80,240,3
1,66,127,240,3
1,92,94,0,2
1,80,40,150,3
1,69,0,0,0
1,83,120,60,1
1,71,61,0,0
1,71,0,120,0
1,83,20,30,2
1,78,65,240,0
1,81,65,0,0
1,69,55,100,1
1,69,0,330,1
1,81,0,0,0
1,78,0,0,0
1,80,71,60,0
1,68,59,180,1
1,76,59,0,0
1,76,0,90,0
1,68,0,0,0
1,80,0,0,0
1,78,65,150,0
1,66,55,0,0
1,71,55,0,0
1,71,0,90,0
1,66,0,0,0
1,78,0,180,1
1,71,73,150,0
1,78,73,0,0
1,61,127,240,3
1,79,0,240,1
1,78,0,0,0
1,76,66,0,0
1,64,56,0,0
1,64,0,180,0
1,73,50,10,3
1,78,65,0,0
1,78,0,60,0
1,60,51,10,3
1,71,73,0,0
1,76,73,0,0
1,64,61,0,0
1,64,45,90,1
1,76,0,0,0
1,71,0,0,0
1,75,62,150,0
1,58,95,120,3
1,51,23,15,3
1,63,0,180,2
1,76,68,150,0
1,64,57,0,0
1,65,88,45,3
1,66,43,600,3
1,69,0,150,2
1,76,0,0,0
1,68,65,600,0
1,72,77,0,0
1,66,105,170,3
1,60,0,120,0
1,72,0,0,0
1,68,0,0,0
1,73,77,0,0
1,60,104,45,3
1,63,127,420,3
1,69,0,240,0
1,61,0,0,0
1,73,0,0,0
1,71,52,0,0
1,75,61,0,0
1,63,52,0,0
1,75,0,60,1
1,75,0,0,0
1,82,38,45,3
1,73,53,60,0
1,76,63,0,0
1,64,53,0,0
1,64,0,60,0
1,76,0,40,1
1,73,0,0,0
1,63,55,60,1
1,78,65,0,0
1,63,89,360,3
1,77,32,20,3
1,78,0,0,0
1,64,0,0,1
1,81,112,60,2
1,80,67,0,0
1,68,57,0,0
1,68,0,60,0
1,80,0,0,0
1,76,68,0,1
1,78,58,420,1
1,81,69,0,0
1,69,58,0,0
1,69,0,60,0
1,87,52,600,3
1,78,66,40,2
1,80,71,60,0
1,71,71,0,0
1,83,95,0,1
1,83,0,60,0
1,71,73,30,2
1,75,31,0,2
1,81,61,60,0
1,84,97,540,3
1,60,127,45,3
1,67,0,330,2
1,88,0,0,1
1,81,0,0,0
1,83,105,100,3
1,83,65,0,0
1,71,55,0,0
1,76,54,40,3
1,83,0,0,0
1,80,43,540,2
1,81,118,60,1
1,69,59,0,0
1,78,59,0,0
1,78,0,90,0
1,81,55,60,3
1,81,0,0,0
1,80,65,150,0
1,68,55,0,0
1,76,55,0,0
1,76,61,90,1
1,68,0,0,0
1,80,0,0,0
1,75,109,150,2
1,79,102,170,3
1,80,61,0,1
1,68,0,240,0
1,80,50,360,2
1,76,0,0,0
1,75,56,0,0
1,78,66,0,0
1,66,56,0,0
1,66,0,180,0
1,78,0,0,0
1,75,0,0,0
1,80,65,0,0
1,75,0,10,2
1,74,114,0,2
1,78,73,0,0
1,66,116,0,1
1,66,44,10,2
1,78,0,0,0
1,70,78,0,2
1,74,53,150,0
1,77,62,120,1
1,65,53,0,0
1,65,0,90,0
1,80,53,600,3
1,74,0,540,1
1,67,127,150,2
1,66,57,330,1
1,75,57,0,0
1,62,22,220,3
1,53,44,0,2
1,78,0,100,1
1,79,62,600,0
1,70,52,240,1
1,61,52,0,1
1,67,0,120,0
1,70,0,0,0
1,79,31,0,1
1,80,62,0,0
1,68,52,0,0
1,71,52,0,0
1,59,50,45,3
1,68,0,0,0
1,80,0,0,0
1,81,116,0,1
1,73,48,0,0
1,69,48,0,0
1,69,0,60,0
1,73,0,0,0
1,81,58,30,2
1,75,81,220,2
1,83,58,0,0
1,71,49,220,1
1,71,0,60,0
1,83,0,0,0
1,75,0,0,0
1,85,96,60,1
1,76,51,0,0
1,73,51,0,0
1,73,77,60,1
1,88,21,330,3
1,85,0,0,0
1,87,61,60,0
1,72,51,120,2
1,75,51,0,0
1,81,74,30,3
1,78,0,0,0
1,87,0,0,0
1,88,62,60,0
1,80,52,0,0
1,76,52,10,1
1,76,0,60,0
1,80,0,0,0
1,83,74,220,3
1,90,63,60,0
1,81,53,0,0
1,78,53,0,0
1,78,0,60,0
1,93,0,0,1
1,90,0,420,1
1,97,127,60,2
1,84,55,0,0
1,81,88,0,2
1,83,57,15,3
1,81,47,0,2
1,87,33,100,3
1,90,59,240,0
1,81,87,0,1
1,78,50,0,0
1,78,0,40,0
1,81,0,0,0
1,90,0,0,0
1,77,106,20,2
1,78,45,0,0
1,84,110,220,3
1,84,0,60,1
1,78,0,0,0
1,90,0,0,0
1,88,62,0,0
1,76,52,0,0
1,80,92,30,2
1,69,79,45,3
1,76,0,0,0
1,82,39,0,2
1,84,104,100,3
1,88,52,0,1
1,78,52,0,0
1,78,0,120,0
1,80,50,100,3
1,87,0,0,0
1,88,58,120,0
1,76,49,0,0
1,80,49,0,0
1,92,0,45,2
1,76,0,0,0
1,75,0,20,2
1,87,56,120,1
1,72,47,40,1
1,87,47,0,1
1,87,57,120,2
1,72,0,0,0
1,71,27,30,3
