track,note,velocity,time,anomaly
1,59,106,480,1
1,59,25,120,1
1,64,40,0,0
1,69,38,24,3
1,68,106,720,2
1,68,0,4,1
1,71,40,0,0
1,83,46,120,2
1,83,46,960,2
1,71,0,0,1
1,76,40,0,0
1,81,40,342,3
1,86,81,216,3
1,80,0,120,0
1,83,94,0,1
1,83,0,120,0
1,59,45,10,1
1,72,0,120,1
1,56,109,0,2
1,68,0,120,0
1,71,40,0,0
1,84,0,360,2
1,76,75,216,2
1,76,25,360,2
1,80,47,0,0
1,77,0,120,1
1,78,67,18,3
1,83,0,18,1
1,88,102,0,1
1,83,77,240,3
1,92,45,0,0
1,86,0,120,1
1,92,91,960,3
1,95,43,240,1
1,68,88,10,3
1,70,32,0,1
1,51,32,0,1
1,57,0,240,0
1,53,58,110,3
1,63,43,720,2
1,55,97,4,3
1,62,109,108,3
1,63,91,716,3
1,64,0,240,0
1,59,65,480,2
1,56,25,0,1
1,68,51,720,0
1,46,43,360,2
1,64,43,0,0
1,51,62,480,2
1,48,0,360,2
1,69,48,716,3
1,66,47,360,1
1,66,0,216,1
1,64,42,0,0
1,64,0,110,0
1,64,97,10,1
1,83,107,0,2
1,83,0,10,2
1,69,40,0,0
1,58,77,480,2
1,68,77,0,1
1,68,0,216,0
1,64,0,120,1
1,69,98,10,3
1,58,92,360,2
1,60,70,216,2
1,64,40,24,0
1,64,0,216,0
1,63,40,216,1
1,63,0,216,0
1,64,40,24,0
1,64,0,216,0
1,64,72,24,2
1,68,45,12,1
1,59,38,0,0
1,80,29,4,3
1,67,58,10,3
1,77,0,120,2
1,59,0,0,0
1,66,60,240,0
1,62,112,0,1
1,59,50,0,0
1,59,57,24,2
1,62,0,0,0
1,69,80,216,3
1,63,123,10,3
1,66,56,360,2
1,61,0,360,0
1,66,0,24,1
1,59,56,0,0
1,65,92,240,2
1,65,67,0,1
1,56,76,12,3
1,52,24,12,3
1,71,76,0,2
1,57,57,0,0
1,77,111,4,3
1,66,104,0,2
1,69,66,720,1
1,79,0,0,1
1,44,41,0,2
1,72,74,360,3
1,77,35,110,3
1,61,45,0,0
1,57,38,0,0
1,50,0,240,1
1,63,37,0,0
1,63,35,716,2
1,62,45,120,2
1,68,0,360,0
1,67,41,108,2
1,65,0,120,1
1,46,27,120,3
1,64,41,0,0
1,56,68,4,2
1,69,23,24,3
1,59,0,480,2
1,68,51,480,0
1,47,64,24,3
1,58,91,108,3
1,51,60,108,3
1,59,0,240,1
1,68,46,0,1
1,78,74,480,3
1,66,0,360,0
1,64,87,24,2
1,69,0,716,2
1,69,75,110,3
1,76,67,360,1
1,75,65,120,3
