track,note,velocity,time,anomaly
1,44,46,120,0
1,44,0,115,0
1,49,48,5,0
1,52,50,120,0
1,49,0,20,0
1,56,51,100,0
1,53,25,100,3
1,49,46,100,0
1,56,0,20,0
1,52,47,100,0
1,49,0,90,1
1,56,109,5,2
1,52,0,20,0
1,61,51,100,0
1,53,69,40,3
1,63,46,100,1
1,61,0,20,0
1,56,47,100,0
1,51,0,20,1
1,61,49,100,0
1,56,0,20,0
1,64,114,120,2
1,49,40,40,3
1,56,47,100,0
1,64,0,20,0
1,61,48,100,0
1,68,57,120,3
1,64,49,100,0
1,61,71,20,1
1,68,50,100,0
1,64,0,20,0
1,61,47,100,0
1,65,21,10,3
1,75,94,240,3
1,61,0,20,0
1,68,108,120,2
1,64,0,100,1
1,73,102,60,2
1,68,0,20,0
1,64,124,100,1
1,85,0,20,1
1,56,100,60,3
1,51,50,20,2
1,73,51,100,0
1,68,0,20,0
1,76,127,120,2
1,73,0,20,0
1,68,50,100,0
1,76,0,20,0
1,73,51,100,0
1,65,37,100,3
1,79,54,5,2
1,73,0,20,0
1,76,0,100,0
1,68,79,0,0
1,76,94,0,0
1,80,94,0,0
1,73,79,0,0
1,73,0,120,0
1,68,0,0,0
1,76,0,0,0
1,80,0,0,0
1,68,67,120,0
1,74,124,10,3
1,68,99,5,3
1,76,125,0,1
1,76,0,120,0
1,68,0,0,0
1,73,0,0,0
1,80,0,0,0
1,55,47,0,2
1,44,0,115,0
1,48,48,5,0
1,51,50,120,0
1,59,35,10,3
1,53,127,40,3
1,40,0,1440,2
1,48,47,100,0
1,56,0,10,1
1,54,90,1440,3
1,48,0,20,0
1,56,51,100,0
1,51,0,20,0
1,60,52,100,0
1,44,0,1440,2
1,39,47,100,1
1,55,57,115,3
1,56,48,100,0
1,51,0,20,0
1,65,116,60,3
1,56,0,20,0
1,76,103,0,3
1,60,0,20,0
1,56,46,100,0
1,63,0,20,0
1,60,47,100,0
1,56,0,20,0
1,63,49,100,0
1,48,20,115,3
1,68,51,100,0
1,63,0,20,0
1,71,81,100,2
1,68,0,20,0
1,63,48,100,0
1,60,0,20,0
1,68,50,100,0
1,63,0,20,0
1,72,51,100,0
1,68,0,20,0
1,63,87,1440,2
1,72,0,20,0
1,68,48,100,0
1,52,77,1440,3
1,72,51,100,0
1,62,21,100,3
1,75,52,100,0
1,72,0,20,0
1,68,51,240,1
1,75,0,20,0
1,72,51,100,0
1,68,0,20,0
1,75,52,100,0
1,72,0,0,1
1,75,0,100,0
1,68,79,0,0
1,69,127,10,3
1,75,94,0,0
1,80,94,0,0
1,92,50,120,2
1,68,0,0,0
1,72,0,115,1
1,75,0,0,0
1,59,108,90,3
1,80,78,0,0
1,68,66,1440,1
1,75,78,0,0
1,75,0,120,0
1,72,0,0,0
1,74,54,120,3
1,68,0,0,0
1,49,66,240,0
1,53,62,120,0
1,49,0,20,0
1,56,66,1440,1
1,65,0,20,1
1,61,68,100,0
1,56,0,20,0
1,40,127,10,3
1,61,0,20,0
1,56,62,1440,1
1,53,0,20,0
1,61,65,100,0
1,56,0,20,0
1,65,68,100,0
1,61,0,20,0
1,43,90,100,2
1,65,0,20,0
1,61,65,100,0
1,59,0,120,2
1,65,67,100,0
1,61,0,5,1
1,68,68,100,0
1,65,0,20,0
1,72,62,115,2
1,68,0,20,0
1,62,92,60,3
1,61,0,20,0
1,74,123,100,2
1,65,0,20,0
1,73,67,100,0
1,71,0,20,1
1,65,62,100,0
1,79,0,115,2
1,68,62,100,0
1,65,0,20,0
1,73,66,100,0
1,68,0,20,0
1,77,68,100,0
1,73,0,20,0
1,79,127,20,3
1,77,0,20,0
1,73,66,100,0
1,68,0,20,0
1,77,68,100,0
1,73,0,20,0
1,80,66,100,0
1,77,0,20,0
1,73,68,100,0
1,80,0,20,0
1,77,109,1440,2
1,73,0,20,0
1,80,71,100,0
1,77,0,20,0
1,80,0,100,0
1,88,18,100,3
1,85,103,0,0
1,80,103,240,1
1,73,87,0,0
1,73,0,10,1
1,77,0,0,0
1,85,0,0,0
1,75,26,1440,3
1,80,90,120,0
1,85,90,0,0
1,79,77,0,1
1,66,77,115,2
1,77,0,120,0
1,80,0,0,0
1,85,0,0,0
1,73,0,0,0
1,49,61,240,0
1,54,63,120,0
1,49,0,20,0
1,56,62,100,1
1,54,0,20,0
1,49,116,100,2
1,69,20,20,2
1,61,0,40,0
1,61,72,60,0
1,69,76,120,1
1,61,0,20,0
1,69,73,100,0
1,66,0,20,0
1,85,127,10,3
1,69,0,20,0
1,73,0,40,0
1,73,77,60,0
1,78,81,120,0
1,73,0,20,0
1,81,76,90,1
1,91,0,120,2
1,81,0,100,0
1,74,54,90,3
1,85,108,0,0
1,78,90,0,0
1,78,0,120,0
1,85,0,0,0
1,73,0,0,0
1,73,88,120,0
1,66,66,100,3
1,85,104,0,0
1,85,0,120,0
1,78,0,0,0
1,73,0,0,0
1,49,75,240,0
1,52,77,120,0
1,49,0,20,0
1,55,127,5,2
1,52,0,20,0
1,61,127,115,2
1,49,0,20,1
1,61,0,40,0
1,61,77,60,0
1,76,103,40,3
1,61,0,20,0
1,55,127,100,2
1,64,0,20,0
1,61,30,100,2
1,67,0,20,0
1,84,47,5,3
1,76,77,90,2
1,76,79,120,0
1,73,0,20,0
1,79,80,100,0
1,87,29,20,2
1,79,0,100,0
1,85,105,0,0
1,73,89,0,0
1,79,105,0,0
1,79,0,120,0
1,73,0,0,0
1,85,0,0,0
1,68,10,5,3
1,79,105,0,0
1,85,105,0,0
1,85,0,120,0
1,79,0,0,0
1,73,0,0,0
1,72,88,120,0
1,84,104,0,0
1,80,104,0,0
1,80,0,240,0
1,84,0,0,0
1,72,0,0,0
1,69,74,120,2
1,68,0,120,0
1,80,58,0,0
1,80,0,120,0
1,68,75,0,0
1,68,72,40,2
1,80,115,0,1
1,80,0,120,0
1,70,76,0,0
1,70,0,120,0
1,80,97,0,1
1,80,0,120,0
1,77,111,100,3
1,72,0,120,0
1,80,61,0,0
1,80,0,120,0
1,73,78,0,0
1,73,0,120,0
1,80,62,0,0
