track,note,velocity,time,anomaly
1,68,40,5279,0
1,65,34,0,0
1,61,34,0,0
1,61,0,480,0
1,65,0,0,0
1,68,0,0,0
1,76,57,0,2
1,67,30,0,0
1,58,107,180,2
1,58,0,480,0
1,67,0,0,0
1,70,0,0,0
1,63,35,0,0
1,72,42,0,0
1,68,35,0,0
1,68,0,480,0
1,72,0,0,0
1,63,0,0,0
1,75,47,0,0
1,70,39,0,0
1,67,39,0,0
1,67,0,480,0
1,70,0,0,0
1,75,0,0,0
1,80,46,0,0
1,75,39,0,0
1,72,39,0,0
1,72,0,480,0
1,75,0,0,0
1,80,0,0,0
1,70,39,0,0
1,79,47,0,0
1,75,39,0,0
1,75,0,480,0
1,79,0,0,0
1,67,30,220,3
1,75,45,0,0
1,72,38,0,0
1,67,38,0,0
1,67,0,480,0
1,72,0,0,0
1,75,0,0,0
1,77,39,0,0
1,72,33,0,0
1,68,33,0,0
1,68,0,480,0
1,72,0,0,0
1,77,0,0,0
1,73,32,0,0
1,82,38,0,0
1,77,32,0,0
1,77,51,480,1
1,82,0,0,0
1,73,0,0,0
1,84,33,0,0
1,80,28,0,0
1,72,65,140,3
1,76,0,480,1
1,80,0,0,0
1,84,0,0,0
1,79,79,0,1
1,82,28,0,0
1,87,33,0,0
1,87,0,240,0
1,82,0,0,0
1,79,0,0,0
1,79,40,5520,0
1,67,34,0,0
1,62,34,1920,2
1,70,34,0,0
1,70,0,480,0
1,79,0,0,0
1,67,0,0,0
1,75,0,0,0
1,65,34,0,0
1,68,95,40,2
1,73,34,0,0
1,77,40,0,0
1,83,0,480,1
1,65,0,0,0
1,68,0,0,0
1,73,0,0,0
1,80,40,0,0
1,75,34,0,0
1,68,34,0,0
1,72,34,0,0
1,72,0,480,0
1,80,0,0,0
1,75,0,0,0
1,68,0,0,0
1,75,34,0,0
1,79,34,0,0
1,87,106,0,2
1,70,34,0,0
1,67,65,940,3
1,75,0,0,0
1,79,0,0,0
1,82,0,0,0
1,77,35,0,0
1,82,35,0,0
1,85,95,0,1
1,73,35,0,0
1,73,0,480,0
1,77,0,0,0
1,82,0,0,0
1,85,0,0,0
1,85,39,0,0
1,77,39,0,0
1,82,39,0,0
1,86,73,1920,3
1,89,0,480,0
1,85,0,0,0
1,77,0,0,0
1,82,0,0,0
1,82,37,0,0
1,79,37,0,0
1,91,44,0,0
1,76,72,960,3
1,87,0,450,0
1,82,0,0,0
1,79,0,0,0
1,91,0,0,0
1,79,40,30,0
1,84,48,0,0
1,75,40,0,0
1,72,40,0,0
1,72,0,480,0
1,79,0,0,0
1,84,0,0,0
1,75,72,228,2
1,80,46,0,0
1,68,39,0,0
1,72,39,0,0
1,76,39,720,2
1,75,0,480,0
1,80,0,0,0
1,68,0,0,0
1,72,0,0,0
1,70,38,0,0
1,82,45,0,0
1,77,38,0,0
1,73,38,0,0
1,73,0,480,0
1,70,0,0,0
1,82,0,0,0
1,77,0,0,0
1,75,34,0,0
1,58,63,0,2
1,67,80,30,2
1,79,40,0,0
1,79,0,240,0
1,75,0,0,0
1,70,0,0,0
1,67,0,0,0
1,61,39,240,0
1,56,39,0,0
1,65,47,0,0
1,65,0,480,0
1,56,0,0,0
1,61,77,0,1
1,63,45,0,0
1,58,38,0,0
1,55,38,0,0
1,55,0,480,0
1,58,0,0,0
1,63,0,0,0
1,60,38,0,0
1,63,38,0,0
1,68,44,0,0
1,68,0,480,0
1,63,0,0,0
1,60,0,0,0
1,63,33,0,0
1,67,33,0,0
1,70,39,0,0
1,70,0,240,0
1,75,33,0,0
1,75,0,240,0
1,67,0,0,0
1,72,42,0,0
1,68,35,0,0
1,68,0,240,0
1,72,0,0,0
1,63,0,0,0
1,61,33,240,0
1,65,33,0,0
1,70,39,0,0
1,70,0,240,0
1,75,34,0,0
1,75,0,240,0
1,65,0,0,0
1,61,0,0,0
1,70,100,940,3
1,63,32,0,0
1,72,38,0,0
1,72,0,480,0
1,63,0,0,0
1,67,0,0,0
1,68,35,0,0
1,63,35,0,0
1,60,35,0,0
1,60,0,480,0
1,63,0,0,0
1,68,0,0,0
1,70,42,0,0
1,65,35,0,0
1,62,35,0,0
1,74,0,720,2
1,65,0,0,0
1,76,0,0,1
1,58,34,0,0
1,62,34,0,0
1,65,40,0,0
1,65,0,480,0
1,62,0,0,0
1,58,0,0,0
1,55,31,0,0
1,58,31,0,0
1,63,37,0,0
1,63,0,450,0
1,58,0,0,0
1,55,0,0,0
1,82,47,30,0
1,70,39,0,0
1,70,0,960,0
1,82,0,0,0
1,87,79,5520,3
1,87,52,0,0
1,87,0,1440,0
1,75,0,0,0
1,91,39,0,0
1,79,33,0,0
1,79,0,960,0
1,91,0,0,0
1,92,38,0,0
1,67,32,1440,2
1,80,49,20,2
1,92,0,0,0
1,94,37,0,0
1,82,31,0,0
1,82,0,1200,0
1,94,0,0,0
1,51,45,240,0
1,51,0,1920,0
1,51,41,0,0
1,51,0,240,0
1,51,45,0,0
1,51,0,228,0
1,51,41,12,0
1,51,0,228,0
1,63,69,342,3
1,50,47,720,3
1,51,45,12,0
1,51,0,360,0
1,52,41,0,0
1,52,0,120,0
1,51,45,0,0
1,51,49,450,2
1,54,47,60,0
1,65,53,30,3
1,52,45,12,0
1,52,0,228,0
1,51,40,12,0
1,51,0,228,0
1,49,45,12,0
1,49,0,342,0
1,51,40,18,0
1,51,0,120,0
1,49,42,0,0
1,49,0,180,0
1,52,123,1440,2
1,46,0,60,2
1,51,42,12,0
1,51,0,228,0
1,49,41,12,0
1,49,0,228,0
1,47,45,12,0
1,47,0,480,0
1,49,48,0,0
1,49,0,240,0
1,51,52,0,0
1,51,0,240,0
1,49,96,180,2
1,49,0,240,0
1,47,41,0,0
1,47,0,240,0
1,46,45,0,0
1,46,0,360,0
1,50,41,0,1
1,47,0,120,0
1,46,45,0,0
1,46,0,180,0
1,49,48,60,0
1,49,0,228,0
1,47,41,12,0
1,47,0,228,0
1,46,40,12,0
1,46,0,228,0
1,47,45,12,0
1,47,0,720,0
1,44,39,0,0
1,44,0,480,0
1,63,53,0,0
1,68,58,240,0
1,63,0,20,0
1,71,57,1660,0
1,68,0,20,0
1,70,53,220,0
1,71,0,20,0
1,62,113,5279,3
1,70,0,20,0
1,70,45,20,0
1,68,0,20,0
1,68,61,20,0
1,70,0,20,0
1,64,51,220,0
1,68,0,20,0
1,68,47,220,0
1,64,0,20,0
1,68,0,220,0
1,68,53,0,0
1,63,51,480,0
1,68,0,20,0
1,66,56,220,0
1,63,0,20,0
1,64,51,940,0
1,66,0,20,0
1,63,47,220,0
1,64,0,20,0
