track,note,velocity,time,anomaly
1,52,62,1,0
1,64,74,0,0
1,50,61,479,0
1,62,73,0,0
1,64,0,1,0
1,52,0,0,0
1,50,0,479,0
1,62,0,0,0
1,55,62,0,0
1,67,74,0,0
1,67,0,480,0
1,55,0,0,0
1,57,63,0,0
1,69,75,0,0
1,69,0,240,0
1,57,0,0,0
1,62,53,0,0
1,74,64,0,0
1,74,0,240,0
1,62,0,0,0
1,59,60,0,0
1,71,72,0,0
1,71,0,480,0
1,59,0,0,0
1,57,63,0,0
1,69,75,0,0
1,69,0,240,0
1,57,0,0,0
1,62,65,0,0
1,74,65,0,0
1,74,0,240,0
1,62,0,0,0
1,59,61,0,0
1,71,73,0,0
1,71,0,480,0
1,59,0,0,0
1,55,61,0,0
1,67,73,0,0
1,67,0,480,0
1,55,0,0,0
1,57,74,0,0
1,69,74,0,0
1,69,0,480,0
1,57,0,0,0
1,52,56,0,0
1,64,67,0,0
1,64,0,480,0
1,52,0,0,0
1,50,56,0,0
1,62,67,0,0
1,62,0,450,0
1,50,0,0,0
1,71,56,990,0
1,74,67,0,0
1,62,56,0,0
1,67,56,0,0
1,67,0,480,0
1,71,0,0,0
1,74,0,0,0
1,62,0,0,0
1,66,51,0,0
1,69,61,0,0
1,57,51,0,0
1,62,51,0,0
1,62,0,480,0
1,66,0,0,0
1,69,0,0,0
1,57,0,0,0
1,71,53,0,0
1,74,64,0,0
1,62,53,0,0
1,67,53,0,0
1,67,0,480,0
1,71,0,0,0
1,74,0,0,0
1,62,0,0,0
1,74,56,0,0
1,78,67,0,0
1,66,56,0,0
1,69,56,0,0
1,69,0,480,0
1,74,0,0,0
1,78,0,0,0
1,66,0,0,0
1,74,55,0,0
1,79,66,0,0
1,67,55,0,0
1,71,55,0,0
1,71,0,480,0
1,74,0,0,0
1,79,0,0,0
1,67,0,0,0
1,79,56,0,0
1,83,67,0,0
1,71,56,0,0
1,74,56,0,0
1,74,0,480,0
1,79,0,0,0
1,83,0,0,0
1,71,0,0,0
1,73,56,0,0
1,69,56,0,0
1,81,67,0,0
1,76,56,0,0
1,76,0,480,0
1,73,0,0,0
1,69,0,0,0
1,81,0,0,0
1,76,56,0,0
1,73,56,0,0
1,85,67,0,0
1,81,67,0,0
1,81,0,480,0
1,76,0,0,0
1,73,0,0,0
1,85,0,0,0
1,78,53,0,0
1,74,53,0,0
1,86,64,0,0
1,81,53,0,0
1,81,0,450,0
1,78,0,0,0
1,74,0,0,0
1,86,0,0,0
1,62,56,30,0
1,74,67,0,0
1,74,0,480,0
1,62,0,0,0
1,64,54,0,0
1,76,65,0,0
1,76,0,480,0
1,64,0,0,0
1,57,56,0,0
1,69,67,0,0
1,69,0,480,0
1,57,0,0,0
1,62,55,0,0
1,74,66,0,0
1,74,0,240,0
1,62,0,0,0
1,64,52,0,0
1,76,62,0,0
1,76,0,240,0
1,64,0,0,0
1,57,55,0,0
1,69,66,0,0
1,69,0,480,0
1,57,0,0,0
1,64,56,0,0
1,76,67,0,0
1,76,0,240,0
1,64,0,0,0
1,66,52,0,0
1,78,62,0,0
1,78,0,240,0
1,66,0,0,0
1,62,56,0,0
1,74,67,0,0
1,74,0,450,0
1,62,0,0,0
1,86,70,30,0
1,74,59,0,0
1,74,0,480,0
1,86,0,0,0
1,83,68,0,0
1,71,57,0,0
1,71,0,480,0
1,83,0,0,0
1,69,54,0,0
1,81,65,0,0
1,81,0,240,0
1,69,0,0,0
1,79,62,0,0
1,67,52,0,0
1,67,0,240,0
1,79,0,0,0
1,62,52,0,0
1,74,62,0,0
1,74,0,450,0
1,62,0,0,0
1,62,56,30,0
1,62,0,480,0
1,64,54,0,0
1,64,0,480,0
1,57,51,0,0
1,57,0,480,0
1,62,44,0,0
1,62,0,240,0
1,64,40,0,0
1,64,0,240,0
1,57,44,0,0
1,57,0,480,0
1,62,36,960,0
1,62,0,240,0
1,64,33,0,0
1,64,0,240,0
1,57,36,0,0
1,57,0,240,0
1,74,47,240,0
1,67,42,0,0
1,62,42,0,0
1,62,0,480,0
1,67,0,0,0
1,74,0,0,0
1,71,36,0,0
1,67,32,0,0
1,61,32,0,0
1,61,0,120,0
1,67,0,0,0
1,71,0,0,0
1,62,42,360,0
1,67,42,0,0
1,74,47,0,0
1,74,0,480,0
1,67,0,0,0
1,62,0,0,0
1,61,31,0,0
1,67,31,0,0
1,71,35,0,0
1,71,0,120,0
1,67,0,0,0
1,61,0,0,0
1,74,47,360,0
1,62,34,0,0
1,67,34,0,0
1,74,0,240,0
1,76,53,0,0
1,76,0,120,0
1,74,51,0,0
1,74,0,120,0
1,67,0,0,0
1,62,0,0,0
1,61,24,0,0
1,67,24,0,0
1,73,51,0,0
1,73,0,60,0
1,71,50,60,0
1,71,0,60,0
1,67,0,60,0
1,61,0,0,0
1,70,49,0,0
1,70,0,60,0
1,71,49,60,0
1,71,0,60,0
1,73,48,60,0
1,67,34,0,0
1,62,34,0,0
1,73,0,60,0
1,71,47,60,0
1,71,0,60,0
1,74,49,60,0
1,74,0,60,0
1,73,47,60,0
1,73,0,60,0
1,62,0,60,0
1,67,0,0,0
1,76,51,0,0
1,67,24,0,0
1,61,24,0,0
1,76,0,60,0
1,74,47,60,0
1,74,0,60,0
1,61,0,60,0
1,67,0,0,0
1,73,49,0,0
1,73,0,60,0
1,71,47,60,0
1,71,0,60,0
1,62,42,60,0
1,67,42,0,0
1,74,47,0,0
1,74,0,480,0
1,67,0,0,0
1,62,0,0,0
1,61,32,0,0
1,67,32,0,0
1,71,36,0,0
1,71,0,120,0
1,67,0,0,0
1,61,0,0,0
1,74,47,360,0
1,67,42,0,0
1,62,42,0,0
1,62,0,480,0
1,67,0,0,0
1,74,0,0,0
1,71,35,0,0
1,67,31,0,0
1,61,31,0,0
1,61,0,120,0
1,67,0,0,0
1,71,0,0,0
1,62,34,360,0
1,67,34,0,0
1,74,47,0,0
1,74,0,240,0
1,76,53,0,0
1,76,0,120,0
1,74,51,0,0
1,74,0,120,0
1,67,0,0,0
1,62,0,0,0
1,73,51,0,0
1,67,24,0,0
1,61,24,0,0
1,73,0,60,0
1,71,50,60,0
1,71,0,60,0
1,61,0,60,0
1,67,0,0,0
1,70,49,0,0
1,70,0,60,0
1,71,49,60,0
1,71,0,60,0
1,62,34,60,0
1,67,34,0,0
1,73,48,0,0
1,73,0,60,0
1,71,47,60,0
1,71,0,60,0
1,74,49,60,0
1,74,0,60,0
1,73,47,60,0
1,73,0,60,0
1,67,0,60,0
1,62,0,0,0
1,76,51,0,0
1,67,24,0,0
1,61,24,0,0
1,76,0,60,0
1,74,47,60,0
1,74,0,60,0
1,61,0,60,0
1,67,0,0,0
1,73,49,0,0
1,73,0,60,0
1,71,47,60,0
1,71,0,60,0
1,64,42,60,0
1,67,42,0,0
1,76,47,0,0
1,76,0,480,0
1,67,0,0,0
1,64,0,0,0
1,71,36,0,0
1,67,32,0,0
1,62,32,0,0
1,62,0,120,0
1,67,0,0,0
1,71,0,0,0
1,76,47,360,0
1,67,42,0,0
1,64,42,0,0
1,64,0,480,0
1,67,0,0,0
1,76,0,0,0
1,62,31,0,0
1,67,31,0,0
1,71,35,0,0
1,71,0,120,0
1,67,0,0,0
1,62,0,0,0
1,64,39,360,0
1,67,39,0,0
1,76,47,0,0
1,76,0,240,0
1,79,53,0,0
1,79,0,120,0
1,78,51,0,0
1,78,0,120,0
1,76,51,0,0
1,76,0,60,0
1,74,50,60,0
1,74,0,60,0
1,67,0,60,0
1,64,0,0,0
1,73,49,0,0
1,73,0,60,0
1,71,49,60,0
1,71,0,60,0
1,67,39,60,0
1,64,39,0,0
1,70,48,0,0
1,70,0,60,0
1,71,47,60,0
1,71,0,60,0
1,73,49,60,0
1,73,0,60,0
1,71,47,60,0
1,71,0,60,0
1,76,51,60,0
1,76,0,60,0
1,74,47,60,0
1,74,0,60,0
1,64,0,60,0
1,67,0,0,0
1,73,49,0,0
1,73,0,60,0
1,71,47,60,0
1,71,0,60,0
1,76,47,60,0
1,67,42,0,0
1,64,42,0,0
1,64,0,480,0
1,67,0,0,0
1,76,0,0,0
1,71,36,0,0
1,67,32,0,0
1,62,32,0,0
1,62,0,120,0
1,67,0,0,0
1,71,0,0,0
1,64,42,360,0
1,67,42,0,0
1,76,47,0,0
1,76,0,480,0
1,67,0,0,0
1,64,0,0,0
1,62,31,0,0
1,67,31,0,0
1,71,35,0,0
1,71,0,120,0
1,67,0,0,0
1,62,0,0,0
1,77,55,360,0
1,69,49,0,0
1,63,49,0,0
1,63,0,480,0
1,69,0,0,0
1,77,0,0,0
1,71,51,0,0
1,69,45,0,0
1,62,45,0,0
1,62,0,120,0
1,69,0,0,0
1,71,0,0,0
1,63,38,360,0
1,69,38,0,0
1,77,52,0,0
1,77,0,240,0
1,81,58,0,0
1,81,0,120,0
1,79,52,0,0
1,79,0,120,0
1,69,0,0,0
1,63,0,0,0
1,62,31,0,0
1,77,56,0,0
1,71,31,0,0
1,69,31,0,0
1,77,0,60,0
1,75,52,60,0
1,75,0,60,0
1,69,0,60,0
1,71,0,0,0
1,62,0,0,0
1,74,54,0,0
1,74,0,60,0
1,72,50,60,0
1,72,0,60,0
1,63,49,60,0
1,69,49,0,0
1,77,55,0,0
1,77,0,480,0
1,69,0,0,0
1,63,0,0,0
1,62,45,0,0
1,69,45,0,0
1,71,51,0,0
1,71,0,120,0
1,69,0,0,0
1,62,0,0,0
1,77,52,360,0
1,69,38,0,0
1,63,38,0,0
1,77,0,240,0
1,81,58,0,0
1,81,0,120,0
1,79,52,0,0
1,79,0,120,0
1,63,0,0,0
1,69,0,0,0
1,71,31,0,0
1,69,31,0,0
1,62,31,0,0
1,77,56,0,0
1,77,0,60,0
1,75,52,60,0
1,75,0,60,0
1,62,0,60,0
1,69,0,0,0
1,71,0,0,0
1,74,54,0,0
1,74,0,60,0
1,72,50,60,0
1,72,0,60,0
1,84,55,60,0
1,84,0,60,0
1,83,55,60,0
1,83,0,60,0
