track,note,velocity,time,anomaly
1,73,66,240,2
1,83,127,960,2
1,85,68,540,3
1,97,69,0,2
1,83,0,12,0
1,83,121,108,2
1,79,71,60,3
1,84,127,108,1
1,88,24,600,3
1,82,70,108,0
1,84,75,4,2
1,76,93,480,3
1,82,0,12,0
1,92,114,540,3
1,81,0,12,0
1,81,93,108,1
1,80,41,12,1
1,84,70,108,0
1,81,0,12,0
1,81,64,108,0
1,83,0,4,2
1,79,70,108,0
1,70,42,3,3
1,77,64,108,0
1,79,0,12,0
1,87,127,60,3
1,82,0,12,1
1,77,127,240,2
1,76,52,120,2
1,76,70,108,1
1,77,67,12,1
1,77,101,108,1
1,87,31,180,3
1,74,70,108,0
1,77,35,12,1
1,72,65,108,0
1,74,0,540,1
1,71,65,108,0
1,71,0,3,2
1,72,65,108,0
1,71,68,240,2
1,71,70,237,2
1,72,0,12,0
1,75,97,240,3
1,71,65,236,3
1,70,70,108,0
1,67,68,12,2
1,82,102,540,3
1,70,41,720,2
1,68,66,108,0
1,72,0,12,1
1,75,127,600,3
1,68,0,12,0
1,72,126,420,2
1,69,65,480,2
1,69,64,108,0
1,72,0,12,0
1,66,127,60,3
1,69,0,600,1
1,65,0,108,0
1,88,127,108,3
1,77,63,120,1
1,64,100,0,1
1,76,22,120,2
1,89,127,12,3
1,77,64,600,2
1,65,70,0,0
1,65,63,60,2
1,77,64,0,0
1,77,31,120,1
1,67,70,0,0
1,67,0,236,1
1,71,64,0,1
1,77,0,60,1
1,53,98,660,3
1,59,0,240,2
1,88,97,960,3
1,64,58,120,2
1,79,127,0,2
1,67,0,120,0
1,72,61,180,2
1,77,0,120,0
1,74,70,237,2
1,69,0,120,0
1,77,113,0,1
1,77,0,3,1
1,67,66,0,0
1,67,0,480,1
1,80,62,0,1
1,65,38,240,3
1,69,127,237,2
1,69,0,120,0
1,77,120,0,1
1,77,0,120,0
1,70,74,0,0
1,76,36,237,3
1,77,61,0,0
1,65,0,12,2
1,73,117,720,3
1,75,37,600,3
1,77,61,0,0
1,74,27,236,3
1,69,65,0,0
1,69,0,120,0
1,77,60,0,0
1,77,0,120,0
1,70,127,600,2
1,65,28,12,3
1,64,60,236,2
1,77,0,120,0
1,70,65,0,0
1,82,64,240,3
1,66,85,60,3
1,83,55,420,3
1,63,127,0,2
1,69,0,120,0
1,71,123,660,3
1,77,0,120,0
1,74,49,0,1
1,68,58,120,1
1,74,41,420,2
1,77,0,120,0
1,73,109,12,3
1,81,27,240,3
1,77,42,12,1
1,77,0,120,0
1,68,106,0,1
1,67,74,420,3
1,77,40,0,0
1,74,0,120,1
1,67,48,0,0
1,73,48,0,1
1,87,23,420,3
1,61,0,0,1
1,83,95,240,3
1,83,68,120,0
1,84,0,12,0
1,85,127,108,2
1,83,0,12,0
1,84,70,480,2
1,73,0,12,1
1,97,83,108,2
1,76,80,108,3
1,82,102,108,1
1,90,65,12,2
1,70,66,108,1
1,82,49,480,2
1,80,64,108,0
1,82,0,12,1
1,81,64,108,0
1,80,48,12,1
1,84,127,108,1
1,76,72,480,3
1,81,64,108,0
1,73,47,540,3
1,79,70,4,1
1,81,0,720,1
1,77,90,108,1
1,85,21,540,3
1,76,64,108,0
1,65,61,420,3
1,88,64,720,2
1,76,0,12,0
1,81,70,108,0
1,77,0,12,0
1,77,127,240,2
1,81,59,12,1
1,74,70,108,0
1,77,0,12,0
1,67,65,108,1
1,74,71,12,1
1,60,125,108,2
1,60,41,12,2
1,72,65,108,0
1,68,38,12,2
1,77,70,108,0
1,73,31,237,3
1,72,65,108,0
1,77,0,12,0
1,58,127,108,2
1,71,32,480,3
1,69,66,480,1
1,70,0,12,0
1,68,92,108,1
1,57,20,120,3
1,69,66,108,0
1,69,52,12,2
1,72,70,108,0
1,72,50,420,3
1,69,64,600,1
1,72,0,12,0
1,65,70,108,0
1,63,0,12,1
1,65,0,108,0
1,80,122,0,2
1,77,59,60,2
1,59,70,60,2
1,64,20,120,1
1,89,64,420,2
1,80,71,120,2
1,62,93,660,3
1,65,0,120,0
1,77,64,0,0
1,78,47,236,3
1,80,123,0,2
1,67,0,120,0
1,65,64,0,1
1,77,0,120,0
1,59,65,660,2
1,71,0,120,1
1,77,58,0,0
1,77,0,120,0
1,67,67,0,0
1,64,41,240,3
1,77,61,0,0
1,76,34,0,3
1,69,104,540,2
1,69,0,120,0
1,77,127,0,1
1,71,0,120,1
1,72,127,600,3
1,67,0,120,0
1,77,127,0,1
1,77,0,120,0
1,69,67,0,0
1,69,0,120,0
1,77,62,0,0
1,82,0,120,1
