track,note,velocity,time,anomaly
1,67,83,240,2
1,67,0,0,1
1,72,49,120,0
1,83,59,10,3
1,69,51,1200,2
1,74,0,120,0
1,78,127,1920,3
1,63,59,950,3
1,77,50,0,0
1,77,0,240,0
1,62,75,474,3
1,63,80,474,3
1,75,50,0,0
1,80,54,432,3
1,72,52,0,0
1,72,0,900,0
1,87,108,220,3
1,74,0,160,1
1,61,52,240,2
1,72,0,240,0
1,71,51,0,0
1,71,0,240,0
1,60,75,1440,3
1,72,0,240,0
1,74,50,0,0
1,74,0,180,0
1,74,78,48,3
1,77,0,60,0
1,78,95,120,3
1,75,0,240,0
1,74,52,0,0
1,74,0,1200,1
1,87,52,1200,2
1,88,52,1440,3
1,88,52,1920,2
1,77,76,240,1
1,79,56,0,0
1,68,0,240,1
1,79,55,240,0
1,91,69,240,2
1,79,57,240,0
1,79,0,1440,0
1,89,99,474,3
1,77,0,6,1
1,79,53,0,0
1,82,48,240,3
1,77,48,0,0
1,77,0,60,0
1,79,48,0,0
1,79,0,1920,1
1,80,56,0,0
1,86,33,960,2
1,74,52,0,0
1,74,0,480,0
1,75,51,0,0
1,75,0,240,0
1,77,53,0,0
1,77,42,0,2
1,75,50,0,0
1,75,0,60,0
1,77,50,0,0
1,77,0,60,0
1,79,104,950,2
1,79,75,960,1
1,72,52,0,0
1,72,0,474,0
1,72,53,120,1
1,72,0,240,0
1,74,54,0,0
1,61,61,10,3
1,75,57,0,0
1,75,0,240,0
1,62,53,240,1
1,75,0,240,0
1,90,120,480,3
1,77,0,240,0
1,74,57,0,0
1,62,0,6,2
1,74,51,240,0
1,74,0,6,1
1,75,54,0,0
1,75,0,240,0
1,72,57,0,0
1,72,0,480,0
1,77,56,960,0
1,77,0,240,0
1,79,58,0,0
1,79,0,240,0
1,67,127,1200,3
1,83,127,48,3
1,80,0,960,0
1,68,0,0,0
1,74,57,0,0
1,74,0,480,0
1,75,56,0,0
1,75,0,1200,1
1,77,58,0,0
1,88,24,120,3
1,67,51,0,0
1,79,61,0,0
1,79,0,960,0
1,72,32,0,2
1,72,57,0,0
1,72,0,480,0
1,72,58,960,1
1,72,54,240,1
1,74,59,0,0
1,71,78,6,3
1,75,62,0,0
1,75,0,240,0
1,75,104,240,1
1,75,51,240,1
1,72,117,1120,3
1,77,0,240,0
1,80,121,60,3
1,85,46,48,3
1,74,56,240,0
1,74,0,240,0
1,75,59,0,0
1,75,0,240,0
1,69,117,60,3
1,59,68,120,3
1,71,111,220,3
1,71,47,20,3
1,82,73,0,0
1,82,0,720,0
1,80,71,0,0
1,80,0,240,0
1,79,72,0,0
1,79,0,240,0
1,77,72,180,1
1,66,45,1120,3
1,75,71,0,0
1,75,0,240,0
1,74,71,0,0
1,74,0,240,0
1,72,71,0,0
1,72,0,240,0
1,71,71,0,0
1,71,0,240,0
1,72,124,120,2
1,72,0,240,0
1,72,67,240,0
1,84,79,0,0
1,84,0,960,0
1,72,0,0,0
1,83,80,0,1
1,85,43,720,2
1,80,81,0,0
1,80,0,240,0
1,79,82,0,0
1,85,0,240,1
1,77,81,0,0
1,77,0,240,0
1,75,109,0,1
1,75,0,240,0
1,61,126,1200,3
1,74,0,240,0
1,60,104,0,2
1,72,40,240,1
1,70,78,0,1
1,71,0,6,1
1,72,89,0,0
1,66,0,474,2
1,74,81,240,0
1,74,0,80,0
1,75,18,0,1
1,75,0,80,0
1,74,81,0,0
1,75,0,20,2
1,75,81,0,0
1,64,24,60,2
1,85,42,6,3
1,74,0,60,0
1,72,80,0,0
1,78,38,240,3
1,74,42,80,2
1,74,0,60,0
1,75,92,0,0
1,75,0,240,0
1,71,92,240,0
1,74,92,0,0
1,80,69,0,2
1,86,51,60,3
1,74,0,0,0
1,71,36,0,1
1,72,92,240,0
1,81,21,160,3
1,84,92,0,0
1,84,0,240,0
1,75,0,0,0
1,72,0,0,0
1,55,73,1680,0
1,71,73,180,2
1,64,86,0,0
1,64,0,1920,0
1,60,0,0,0
1,55,0,0,0
1,65,106,1920,2
1,59,52,1920,3
1,72,101,6,2
1,73,52,180,3
1,68,53,160,1
1,68,0,240,0
1,77,89,0,1
1,89,35,1440,3
1,72,55,6,1
1,72,0,240,0
1,67,92,950,3
1,80,0,240,0
1,77,57,0,0
1,77,0,240,0
1,84,59,180,1
1,84,0,240,0
1,82,59,0,0
1,82,0,240,0
1,79,59,0,0
1,79,0,240,0
1,89,96,6,3
1,76,0,240,0
1,72,57,0,0
1,72,0,240,0
1,70,56,720,1
1,70,0,240,0
1,71,55,0,0
1,77,0,180,2
1,72,55,0,0
1,72,0,240,0
1,67,54,0,0
1,67,0,240,0
1,64,60,0,1
1,70,0,960,0
1,68,56,0,0
1,55,79,480,2
1,64,127,80,3
1,52,117,120,3
1,62,86,0,0
1,62,0,1920,0
1,70,46,1440,3
1,58,25,160,3
1,63,50,0,0
1,63,0,240,0
1,70,88,0,1
1,70,0,240,0
1,67,53,0,0
1,67,0,240,0
1,69,112,480,3
1,75,0,240,0
1,70,55,0,0
1,70,0,240,0
1,79,127,120,2
1,79,0,240,0
1,87,57,900,2
1,75,0,240,0
1,83,59,0,1
1,82,0,240,0
1,80,59,0,0
1,80,0,240,0
1,79,59,0,0
1,79,0,240,0
1,88,103,220,3
1,77,0,240,0
1,75,121,0,1
1,74,47,10,3
1,74,56,0,0
1,74,0,240,0
1,72,112,180,2
1,72,0,240,0
1,70,55,0,0
1,58,0,950,2
1,68,54,0,0
1,74,20,60,3
1,67,60,0,0
1,61,36,240,2
1,73,108,48,3
1,59,0,960,1
1,70,56,0,0
1,73,0,1200,2
1,72,54,0,0
1,72,0,240,0
1,74,55,0,0
1,61,76,240,2
1,62,99,160,3
1,75,0,240,0
1,77,127,432,2
1,74,72,1680,3
1,79,60,0,0
1,79,0,240,0
1,83,102,120,3
1,80,44,480,2
1,77,100,960,2
1,77,0,240,0
1,80,61,0,0
1,80,0,240,0
1,80,84,240,3
1,79,0,240,0
1,77,59,0,0
1,90,75,900,3
1,75,58,0,0
1,75,0,220,0
1,75,60,20,0
1,75,0,240,0
1,74,58,0,0
1,74,0,240,0
1,75,127,1120,3
1,72,0,240,0
1,85,83,0,2
1,61,71,480,3
1,80,122,180,3
1,77,0,240,0
1,75,97,1920,2
1,75,0,240,0
1,61,125,20,3
1,74,0,240,0
1,72,57,0,0
1,72,0,240,0
1,68,60,0,0
1,70,60,0,0
1,70,0,432,0
1,68,0,0,0
1,68,127,48,1
1,70,60,0,0
1,70,0,80,1
1,80,61,60,3
1,62,97,48,2
1,65,95,180,3
1,74,0,20,2
1,66,53,0,1
1,61,38,150,3
1,65,73,160,2
1,65,0,240,0
1,63,91,0,1
1,63,0,474,1
1,63,57,20,0
1,63,0,240,0
1,62,52,0,0
1,62,0,240,0
1,60,52,0,0
1,63,46,1200,3
1,62,52,0,0
1,50,44,240,2
1,63,106,150,2
1,63,69,240,1
1,70,0,0,0
1,72,56,80,1
1,72,0,240,0
1,74,117,0,1
1,74,0,240,0
1,75,59,0,0
1,72,0,240,1
1,77,61,480,1
1,77,0,432,1
1,78,63,0,0
1,78,0,240,0
1,80,64,0,0
1,67,48,480,3
1,77,62,0,0
1,77,0,240,0
1,78,127,0,1
1,78,0,480,0
1,82,72,0,0
1,82,64,950,1
1,82,127,950,2
1,82,0,960,0
1,84,47,180,3
1,87,0,960,0
1,81,78,0,0
1,81,0,480,0
1,82,60,0,0
1,82,0,1120,0
1,92,96,160,3
1,81,0,160,0
1,82,51,0,0
1,94,21,160,2
1,97,78,80,3
1,84,0,160,0
1,82,50,0,0
1,82,0,80,1
1,81,50,0,0
1,87,56,950,3
1,82,50,0,0
1,82,0,1120,0
1,78,70,960,3
1,81,0,160,0
1,82,51,0,0
1,81,0,960,2
1,84,53,0,0
1,78,0,160,1
1,82,50,0,0
1,82,0,160,0
1,86,127,80,3
1,84,0,900,2
1,82,54,160,0
1,88,0,160,1
1,72,56,1440,2
1,84,0,160,0
1,86,58,0,0
1,85,0,160,1
1,81,127,240,3
1,84,0,160,0
1,88,52,0,1
1,82,60,160,1
1,86,54,220,1
1,98,0,160,1
1,84,93,0,2
1,87,0,950,1
1,89,59,0,0
1,89,0,240,1
1,87,57,0,0
1,88,76,950,3
1,92,77,1920,3
1,83,64,160,2
1,77,63,0,1
1,89,0,160,0
1,74,63,120,2
1,87,0,160,0
1,86,62,0,0
1,86,0,160,0
1,97,90,10,3
1,84,0,160,0
1,82,60,0,0
1,82,0,160,0
1,80,59,0,0
1,80,55,1200,2
1,79,59,0,0
1,79,34,160,1
1,77,58,0,0
1,82,0,0,2
1,75,57,0,0
1,75,0,160,0
1,73,56,0,1
1,74,0,120,0
1,61,56,0,1
1,72,0,120,0
1,70,100,900,2
1,70,33,120,1
1,68,54,0,0
1,68,0,120,0
1,67,59,0,0
1,63,78,80,2
1,68,0,10,1
1,65,55,150,0
1,63,0,10,0
1,67,59,150,0
1,65,0,10,0
1,65,55,150,0
1,61,44,160,3
1,63,55,150,0
1,65,0,10,0
1,68,59,150,0
1,75,0,180,2
1,68,32,950,1
1,67,59,0,0
1,75,55,160,0
1,67,78,10,1
1,77,55,150,0
1,75,0,10,0
1,73,89,432,3
1,77,0,10,0
1,77,55,150,0
1,92,41,1920,3
1,88,96,6,3
1,77,0,10,0
1,80,59,150,0
1,86,0,10,1
1,80,0,950,0
1,82,85,120,3
1,67,63,960,3
1,75,59,0,0
1,75,0,160,0
1,77,59,0,0
1,77,0,160,0
1,79,114,0,1
1,91,64,160,2
1,77,57,0,0
1,77,0,160,0
1,75,58,0,0
1,75,0,160,0
1,82,67,0,0
1,82,75,160,1
1,90,111,0,2
1,84,23,720,3
1,80,91,0,1
1,80,0,160,0
1,82,62,0,0
1,82,0,160,0
1,80,65,0,0
1,80,0,160,0
1,91,67,0,1
1,79,0,20,1
1,85,69,0,0
1,87,109,160,2
1,85,0,10,0
1,82,67,120,1
1,84,0,10,0
1,91,106,220,3
1,82,0,10,0
1,79,65,180,1
1,69,35,950,3
1,77,63,150,0
