track,note,velocity,time,anomaly
1,68,50,280,2
1,76,50,80,1
1,69,0,1,0
1,87,47,483,3
1,75,53,483,1
1,75,43,80,2
1,65,78,40,3
1,63,55,1,3
1,72,49,280,0
1,71,47,360,0
1,72,0,20,0
1,80,115,100,2
1,71,0,20,0
1,82,77,4120,3
1,62,91,240,3
1,64,56,0,0
1,59,56,0,0
1,54,0,960,1
1,64,51,120,2
1,50,0,0,1
1,55,80,880,3
1,54,0,80,2
1,68,51,483,2
1,57,0,280,1
1,57,124,780,1
1,57,0,360,1
1,57,127,0,1
1,65,59,0,0
1,65,0,40,1
1,54,29,960,3
1,58,64,1,1
1,67,64,0,0
1,67,0,140,1
1,52,48,0,2
1,60,87,0,2
1,57,114,780,2
1,57,31,820,2
1,62,21,483,3
1,57,51,280,0
1,59,54,90,1
1,57,0,20,0
1,60,52,100,0
1,59,0,20,0
1,60,38,940,1
1,72,127,1,3
1,64,101,0,1
1,46,80,959,3
1,56,54,0,0
1,62,61,960,2
1,56,41,477,3
1,61,0,0,1
1,52,0,880,1
1,60,50,200,1
1,61,117,820,3
1,36,0,280,2
1,60,77,0,1
1,45,50,360,1
1,52,50,959,2
1,57,0,200,0
1,50,0,0,1
1,57,52,4120,0
1,70,75,280,3
1,74,114,280,3
1,57,0,480,1
1,53,120,90,3
1,64,73,480,1
1,65,47,0,0
1,65,0,480,0
1,76,77,0,2
1,70,41,960,2
1,57,46,483,1
1,57,0,200,0
1,54,85,0,3
1,79,78,30,3
1,53,85,880,3
1,78,0,4120,2
1,60,48,0,1
1,46,67,960,3
1,54,45,80,2
1,65,0,480,0
1,59,93,30,3
1,64,0,80,1
1,52,48,0,1
1,68,0,80,2
1,57,56,280,0
1,68,98,140,3
1,57,0,477,0
1,69,0,483,0
1,59,56,0,1
1,74,56,0,0
1,73,23,480,2
1,62,0,180,1
1,76,59,0,0
1,76,127,0,2
1,53,0,480,1
1,73,0,0,1
1,71,54,30,2
1,77,54,0,0
1,77,0,200,1
1,65,0,30,1
1,64,59,0,0
1,65,127,820,3
1,76,0,960,0
1,64,30,3720,2
1,57,56,0,0
1,69,56,0,0
1,63,72,760,3
1,44,66,0,2
1,76,89,40,2
1,51,69,0,1
1,75,0,960,1
1,73,48,0,2
1,79,95,940,3
1,79,117,140,2
1,68,0,480,1
1,67,0,0,0
1,69,79,0,0
1,81,79,0,0
1,81,0,480,0
1,69,61,480,2
1,71,127,780,2
1,83,77,0,0
1,83,0,480,0
1,71,0,0,0
1,71,85,200,1
1,86,23,360,3
1,83,63,880,1
1,71,53,0,1
1,94,20,780,3
1,71,28,959,2
1,83,61,880,2
1,78,24,40,3
1,73,124,80,2
1,66,88,3720,3
1,90,31,200,3
1,67,73,0,1
1,64,53,3720,1
1,76,53,0,0
1,76,0,200,0
1,65,47,4120,3
1,59,74,780,2
1,70,115,280,3
1,72,71,780,3
1,59,0,80,1
1,77,59,4120,3
1,59,105,0,1
1,72,0,760,2
1,71,60,880,2
1,60,116,40,3
1,67,105,200,2
1,67,0,960,0
1,55,0,0,0
1,52,33,0,0
1,64,33,0,0
1,64,0,200,0
1,58,72,240,3
1,55,37,760,0
1,67,37,100,1
1,67,0,960,0
1,60,0,483,2
1,52,33,0,0
1,64,94,0,1
1,64,73,140,1
1,52,36,0,1
1,65,45,820,0
1,40,99,280,3
1,40,0,280,2
1,54,44,0,2
1,62,40,820,1
1,50,40,0,0
1,50,0,140,0
1,68,26,0,2
1,63,76,477,3
1,52,84,880,2
1,52,0,80,1
1,64,0,0,0
1,48,89,0,1
1,60,78,760,2
1,60,0,240,1
1,48,0,0,0
1,50,73,820,0
1,62,73,90,1
1,62,44,780,2
1,50,61,0,1
1,59,112,90,2
1,34,103,780,3
1,52,56,140,2
1,65,56,0,2
1,57,95,40,1
1,74,34,959,3
1,66,26,120,3
1,44,22,180,3
1,64,91,0,0
1,76,91,0,0
1,77,72,960,2
1,64,0,0,0
1,63,88,200,1
1,75,88,0,0
1,75,0,100,1
1,60,0,0,1
1,65,81,0,1
1,64,81,0,0
1,64,0,960,1
1,82,69,90,3
1,72,78,240,0
1,64,78,40,1
1,64,0,240,0
1,72,0,3720,1
1,69,127,30,3
1,71,117,0,1
1,60,26,960,3
1,77,54,20,3
1,67,67,920,2
1,69,80,0,0
1,69,0,240,0
1,64,0,0,0
1,62,102,480,2
1,73,73,0,1
1,67,0,90,0
1,61,79,180,3
1,68,97,780,3
1,72,63,920,2
1,65,0,240,1
1,65,0,0,0
1,64,120,477,2
1,59,58,0,0
1,59,0,90,0
1,64,0,0,0
1,60,74,780,1
1,65,74,40,1
1,65,68,240,1
1,60,50,0,1
1,59,89,120,1
1,70,96,0,2
1,51,0,80,2
1,59,0,0,0
1,46,64,30,1
1,75,110,0,2
1,62,0,240,0
1,62,22,920,3
1,61,70,120,0
1,49,127,280,3
1,49,76,483,3
1,61,0,0,0
1,62,127,30,2
1,61,76,0,1
1,74,60,240,2
1,70,55,0,2
1,70,86,120,2
1,64,73,0,0
1,64,60,90,1
1,59,0,240,1
1,60,77,120,1
1,53,77,0,1
1,77,29,760,3
1,60,0,0,0
1,62,63,120,0
1,68,73,0,0
1,68,0,90,0
1,62,38,0,1
1,69,81,30,0
1,63,5,4120,3
1,64,42,240,1
1,75,66,100,3
1,64,67,120,0
1,71,80,3720,1
1,65,57,140,3
1,58,22,180,3
1,70,127,200,3
1,72,10,1,3
1,69,46,1,2
1,64,76,20,2
1,54,20,90,3
1,57,0,960,0
1,57,85,0,0
1,69,85,0,0
1,65,85,0,0
1,78,44,480,3
1,69,0,20,1
1,44,62,940,3
1,70,66,959,2
1,63,43,4120,3
1,79,70,30,3
1,67,0,960,0
1,71,0,780,2
1,73,30,760,3
1,66,31,240,3
1,69,80,0,0
1,58,38,477,3
1,57,0,4120,1
1,69,55,0,1
1,65,0,0,0
1,70,110,240,2
1,76,36,940,3
1,65,0,240,1
1,69,0,0,0
1,69,70,120,0
1,81,84,0,1
1,76,23,90,1
1,82,53,180,3
1,77,3,30,2
1,69,67,0,0
1,82,33,140,3
1,71,0,0,1
1,73,63,477,2
1,69,127,180,3
1,72,0,90,0
1,67,67,960,2
1,66,63,30,1
1,58,124,760,3
1,75,0,180,2
1,62,67,0,2
1,67,111,760,3
1,69,70,0,0
1,57,0,90,1
1,59,54,480,3
1,81,75,100,2
1,59,64,100,2
1,65,0,80,1
1,83,0,820,2
1,64,57,120,0
1,69,70,0,0
1,69,26,920,2
1,64,0,0,0
1,62,127,880,2
1,67,74,0,0
1,79,73,200,3
1,62,48,200,2
1,73,58,920,2
1,63,127,483,3
1,72,77,920,3
1,72,50,90,3
1,62,124,477,2
1,67,77,0,0
1,66,53,240,2
1,65,0,0,1
1,69,73,120,0
1,64,63,0,0
1,64,73,80,2
1,69,21,0,1
1,64,127,30,2
1,70,78,40,1
1,57,0,240,1
1,76,0,280,2
1,67,63,483,1
1,73,73,0,0
1,76,74,200,3
1,67,54,4120,2
1,69,70,920,1
1,75,32,4120,3
1,63,0,1,2
1,69,0,0,0
1,73,30,40,3
1,57,120,120,3
1,69,53,90,1
1,76,62,940,2
1,69,71,30,0
1,71,86,0,1
1,74,32,120,1
1,58,20,4120,3
1,62,83,0,1
1,86,93,0,1
1,62,0,483,1
1,62,54,959,3
1,62,4,0,2
1,90,36,960,3
1,79,65,4120,2
1,62,0,0,1
1,81,19,240,3
1,70,94,360,2
1,81,0,480,0
1,69,0,477,1
1,70,80,820,1
1,95,59,40,3
1,82,0,480,0
1,70,0,0,0
1,69,10,780,2
1,80,23,180,3
