track,note,velocity,time,anomaly
1,56,77,136,2
1,61,60,1440,2
1,64,29,0,0
1,68,77,480,2
1,68,22,960,1
1,57,36,0,2
1,61,0,0,0
1,64,0,0,0
1,56,28,0,0
1,61,28,0,0
1,64,54,0,1
1,68,35,0,0
1,62,55,96,3
1,43,48,96,3
1,62,0,0,1
1,64,33,0,1
1,62,52,5,2
1,61,29,0,1
1,61,29,0,0
1,68,35,0,0
1,68,0,475,0
1,56,0,0,0
1,58,60,720,3
1,61,0,96,1
1,63,37,5,0
1,66,37,0,0
1,45,97,0,2
1,69,44,1440,2
1,71,65,30,3
1,56,0,0,0
1,57,39,0,0
1,69,39,0,0
1,69,0,240,0
1,57,0,0,0
1,68,39,0,0
1,56,39,0,0
1,56,52,960,1
1,63,0,0,0
1,63,62,960,3
1,68,0,0,0
1,69,72,0,2
1,52,37,0,0
1,56,37,0,0
1,61,37,0,0
1,61,72,30,2
1,64,0,0,0
1,52,0,0,0
1,56,0,0,0
1,65,42,0,1
1,57,42,0,0
1,61,77,0,1
1,63,71,720,3
1,66,0,960,0
1,54,0,0,0
1,44,54,0,2
1,61,0,0,0
1,56,104,136,2
1,60,41,30,0
1,63,81,30,1
1,68,48,30,0
1,68,63,1690,1
1,67,68,5,3
1,60,63,0,1
1,63,0,0,0
1,56,33,0,0
1,61,84,192,2
1,64,33,0,0
1,63,39,220,2
1,68,0,960,0
1,56,0,0,0
1,49,27,140,3
1,76,0,0,1
1,56,33,240,1
1,61,67,20,2
1,64,33,1690,1
1,68,40,0,0
1,68,0,475,0
1,56,0,0,0
1,61,0,0,0
1,64,0,0,0
1,56,108,5,1
1,58,68,0,2
1,61,36,0,0
1,68,98,960,2
1,68,0,475,0
1,51,0,0,1
1,64,0,0,0
1,61,0,0,0
1,65,40,5,0
1,62,40,1440,1
1,68,44,0,0
1,71,51,0,0
1,71,0,960,0
1,65,0,0,0
1,62,0,0,0
1,68,0,0,0
1,55,103,480,3
1,69,39,0,0
1,65,39,960,2
1,79,54,1440,3
1,68,79,120,3
1,61,0,96,1
1,59,35,192,2
1,61,35,0,0
1,67,60,0,2
1,66,0,480,0
1,61,0,0,0
1,54,0,0,0
1,64,84,1440,2
1,50,57,0,2
1,61,33,0,0
1,61,0,960,0
1,56,56,220,2
1,64,0,0,0
1,54,34,0,0
1,60,34,0,0
1,63,34,0,0
1,68,40,0,0
1,68,0,960,0
1,54,65,4,2
1,60,0,0,0
1,63,0,0,0
1,52,30,240,1
1,56,30,0,0
1,72,58,220,3
