track,note,velocity,time,anomaly
1,54,69,0,0
1,54,14,40,0
1,59,74,0,0
1,59,14,40,0
1,62,80,0,0
1,62,14,40,0
1,66,89,0,0
1,66,14,720,0
1,64,71,0,0
1,64,14,120,0
1,62,81,0,0
1,62,14,360,0
1,64,72,0,0
1,64,14,120,0
1,61,82,0,0
1,61,14,360,0
1,62,65,0,0
1,62,14,120,0
1,59,74,0,0
1,59,14,360,0
1,60,65,0,0
1,60,14,120,0
1,57,76,0,0
1,57,14,360,0
1,59,66,0,0
1,59,14,120,0
1,55,74,0,0
1,55,14,360,0
1,57,65,0,0
1,57,14,120,0
1,54,74,0,0
1,54,14,360,0
1,55,65,0,0
1,55,14,120,0
1,52,74,0,0
1,52,14,360,0
1,54,67,0,0
1,54,14,120,0
1,50,77,0,0
1,50,14,360,0
1,52,74,0,0
1,52,14,120,0
1,48,82,0,0
1,48,14,360,0
1,50,77,0,0
1,50,14,120,0
1,47,86,0,0
1,47,14,360,0
1,49,81,0,0
1,49,14,120,0
1,46,92,0,0
1,46,14,240,0
1,67,93,240,0
1,61,80,0,0
1,64,80,0,0
1,64,14,240,0
1,61,14,0,0
1,67,14,0,0
1,66,55,720,0
1,66,14,40,0
1,67,55,0,0
1,67,14,40,0
1,69,55,0,0
1,69,14,40,0
1,67,61,0,0
1,67,14,240,0
1,66,55,0,0
1,66,14,120,0
1,66,61,0,0
1,66,14,480,0
1,71,67,0,0
1,71,14,640,0
1,61,53,0,0
1,61,14,160,0
1,64,53,0,0
1,64,14,160,0
1,67,58,0,0
1,67,14,160,0
1,64,52,0,0
1,64,14,160,0
1,61,51,0,0
1,61,14,160,0
1,59,60,0,0
1,59,14,960,0
1,58,55,0,0
1,58,14,240,0
1,72,65,0,0
1,72,14,120,0
1,73,67,0,0
1,73,14,120,0
1,74,70,0,0
1,74,14,120,0
1,75,72,0,0
1,75,14,120,0
1,76,75,0,0
1,76,14,120,0
1,77,77,0,0
1,77,14,120,0
1,66,69,0,0
1,66,14,40,0
1,71,74,0,0
1,71,14,40,0
1,74,80,0,0
1,74,14,40,0
1,78,90,0,0
1,78,14,720,0
1,76,61,0,0
1,76,14,120,0
1,74,74,0,0
1,74,14,120,0
1,76,64,0,0
1,76,14,60,0
1,74,64,0,0
1,74,14,60,0
1,73,60,0,0
1,73,14,60,0
1,74,60,0,0
1,74,14,60,0
1,76,68,0,0
1,76,14,120,0
1,73,74,0,0
1,73,14,120,0
1,74,63,0,0
1,74,14,60,0
1,73,63,0,0
1,73,14,60,0
1,71,59,0,0
1,71,14,60,0
1,73,59,0,0
1,73,14,60,0
1,74,65,0,0
1,74,14,120,0
1,71,74,0,0
1,71,14,120,0
1,73,62,0,0
1,73,14,60,0
1,71,62,0,0
1,71,14,60,0
1,70,57,0,0
1,70,14,60,0
1,71,57,0,0
1,71,14,60,0
1,72,63,0,0
1,72,14,120,0
1,69,76,0,0
1,69,14,120,0
1,71,63,0,0
1,71,14,60,0
1,69,63,0,0
1,69,14,60,0
1,68,58,0,0
1,68,14,60,0
1,69,58,0,0
1,69,14,60,0
1,71,66,0,0
1,71,14,120,0
1,67,74,0,0
1,67,14,120,0
1,69,63,0,0
1,69,14,60,0
1,67,63,0,0
1,67,14,60,0
