track,note,velocity,time,anomaly
1,85,69,0,0
1,85,29,60,0
1,84,80,0,0
1,84,29,60,0
1,84,74,120,0
1,84,29,120,0
1,85,68,0,0
1,85,29,120,0
1,84,75,0,0
1,84,29,60,0
1,85,69,180,0
1,85,29,60,0
1,84,78,0,0
1,84,29,60,0
1,84,73,120,0
1,84,29,120,0
1,85,65,0,0
1,85,29,120,0
1,84,71,0,0
1,84,29,60,0
1,84,69,180,0
1,84,29,60,0
1,83,81,0,0
1,83,29,60,0
1,83,76,120,0
1,83,29,120,0
1,86,69,0,0
1,86,29,120,0
1,84,74,0,0
1,84,29,120,0
1,83,65,0,0
1,83,29,120,0
1,84,75,0,0
1,84,29,60,0
1,79,68,180,0
1,79,29,480,0
1,84,75,0,0
1,84,29,60,0
1,79,68,180,0
1,79,29,60,0
1,84,75,180,0
1,84,29,60,0
1,82,75,180,0
1,82,29,240,0
1,80,68,0,0
1,80,29,120,0
1,79,68,0,0
1,79,29,120,0
1,77,72,0,0
1,77,29,240,0
1,79,75,0,0
1,79,29,120,0
1,82,67,0,0
1,82,29,120,0
1,79,75,0,0
1,79,29,120,0
1,82,69,0,0
1,82,29,120,0
1,76,75,0,0
1,76,29,120,0
1,79,69,0,0
1,79,29,120,0
1,77,75,0,0
1,77,29,120,0
1,80,66,0,0
1,80,29,120,0
1,84,71,0,0
1,84,29,120,0
1,89,76,0,0
1,89,29,120,0
1,92,81,0,0
1,92,29,120,0
1,94,86,0,0
1,94,29,120,0
1,96,94,0,0
1,96,29,60,0
1,96,83,180,0
1,96,29,120,0
1,97,75,0,0
1,97,29,120,0
1,96,84,0,0
1,96,29,60,0
1,97,77,180,0
1,97,29,60,0
1,96,93,0,0
1,96,29,60,0
1,96,81,120,0
1,96,29,120,0
1,97,72,0,0
1,97,29,120,0
1,96,79,0,0
1,96,29,60,0
1,96,90,180,0
1,96,29,120,0
1,95,77,0,0
1,95,29,120,0
1,101,85,0,0
1,101,29,120,0
1,95,77,0,0
1,95,29,120,0
1,101,83,0,0
1,101,29,120,0
1,95,72,0,0
1,95,29,120,0
1,96,84,0,0
1,96,29,60,0
1,91,75,180,0
1,91,29,480,0
1,96,86,0,0
1,96,29,60,0
1,91,75,180,0
1,91,29,60,0
1,96,84,180,0
1,96,29,60,0
1,94,84,180,0
1,94,29,240,0
1,92,75,0,0
1,92,29,120,0
1,91,75,0,0
1,91,29,120,0
1,89,80,0,0
1,89,29,240,0
1,91,84,0,0
1,91,29,120,0
1,94,74,0,0
1,94,29,120,0
1,91,84,0,0
1,91,29,120,0
1,94,77,0,0
1,94,29,120,0
1,88,84,0,0
1,88,29,120,0
1,91,77,0,0
1,91,29,120,0
1,89,84,0,0
1,89,29,240,0
1,77,97,0,0
1,77,29,120,0
1,79,98,0,0
1,79,29,120,0
1,80,100,0,0
1,80,29,120,0
1,82,102,0,0
1,82,29,120,0
1,84,103,0,0
1,84,29,60,0
1,72,97,180,0
1,72,29,60,0
1,84,104,180,0
1,84,29,60,0
1,72,89,180,0
1,72,29,60,0
1,84,103,180,0
1,84,29,60,0
1,72,89,180,0
1,72,29,60,0
1,82,88,180,0
1,79,88,0,0
1,79,29,60,0
1,82,29,0,0
1,77,75,180,0
1,80,75,0,0
1,80,29,120,0
1,77,29,0,0
1,76,75,0,0
1,79,75,0,0
1,79,29,120,0
1,76,29,0,0
1,80,75,0,0
