track,note,velocity,time,anomaly
1,73,40,0,0
1,73,0,60,0
1,72,51,0,0
1,85,55,0,3
1,66,45,0,2
1,72,0,120,0
1,85,39,60,2
1,73,0,120,0
1,73,76,120,3
1,72,0,60,0
1,72,40,0,2
1,73,0,60,0
1,66,49,720,2
1,72,0,60,0
1,72,44,120,0
1,72,0,240,1
1,86,73,0,2
1,73,37,120,1
1,61,42,0,1
1,72,0,60,0
1,72,40,180,0
1,66,0,480,2
1,71,52,0,0
1,71,43,60,1
1,71,67,120,1
1,71,0,120,0
1,74,66,0,1
1,75,0,120,1
1,72,45,0,0
1,72,0,120,0
1,71,36,0,0
1,71,0,120,0
1,72,46,0,0
1,85,0,240,2
1,72,39,180,1
1,67,0,480,0
1,72,46,0,0
1,72,0,60,0
1,67,74,720,2
1,67,0,0,1
1,72,87,720,2
1,72,0,60,0
1,73,96,180,2
1,70,0,240,0
1,63,104,480,3
1,68,0,120,0
1,62,111,0,2
1,67,0,120,0
1,65,43,0,0
1,65,0,60,1
1,67,46,0,0
1,67,0,60,1
1,82,109,120,3
1,70,0,120,0
1,67,46,0,0
1,67,0,120,0
1,70,40,0,0
1,69,0,120,1
1,52,102,120,3
1,64,0,480,1
1,61,86,60,3
1,67,0,120,0
1,65,46,0,0
1,65,0,120,0
1,68,93,120,2
1,56,80,180,3
1,78,93,480,3
1,78,64,120,2
1,64,71,180,3
1,77,0,120,0
1,68,91,120,3
1,83,40,720,3
1,82,57,0,0
1,94,0,120,1
1,84,65,0,0
1,71,71,0,3
1,84,127,180,1
1,72,37,180,3
1,85,46,0,0
1,73,23,480,3
1,84,55,240,1
1,84,0,60,0
1,85,48,120,1
1,85,0,60,0
1,71,64,0,1
1,84,0,60,0
1,95,115,240,3
1,84,0,120,0
1,85,90,240,2
1,84,26,720,3
1,84,114,0,1
1,73,25,720,3
1,85,61,180,1
1,85,35,60,3
1,84,48,720,2
1,94,0,120,1
1,89,56,0,0
1,89,0,120,0
1,83,69,0,1
1,83,0,240,1
1,77,82,120,3
1,89,0,120,0
1,72,82,180,3
1,95,25,240,3
1,84,55,0,0
1,96,78,60,2
1,79,46,180,0
1,79,0,480,0
1,84,57,720,1
1,84,43,60,1
1,79,46,180,0
1,79,33,60,1
1,90,91,180,2
1,85,0,180,2
1,83,104,0,3
1,82,0,240,0
1,80,46,0,0
1,92,46,0,3
1,84,77,120,3
1,67,24,0,3
1,66,75,180,3
1,71,60,240,2
1,79,55,0,0
1,67,42,720,3
1,83,45,240,2
1,82,0,120,0
1,79,55,0,0
1,73,40,60,3
1,69,48,240,2
1,69,59,180,3
1,79,127,0,2
1,82,72,0,3
1,79,101,720,2
1,79,0,120,0
1,77,55,0,0
1,77,73,240,1
1,65,68,0,0
1,65,0,120,0
1,67,127,0,1
1,67,0,120,0
1,68,71,0,0
1,81,0,180,2
1,70,73,0,0
1,73,67,480,3
1,72,74,120,1
1,72,0,60,0
1,60,68,180,0
1,73,0,60,1
1,77,127,180,2
1,72,0,60,0
1,60,95,60,2
1,66,22,240,3
1,59,74,0,2
1,72,47,120,2
1,72,127,240,3
1,60,0,60,0
1,70,59,240,1
1,67,127,0,1
1,67,0,0,1
1,70,0,0,0
1,65,46,180,0
1,63,101,720,3
1,62,59,180,3
1,65,51,0,1
1,64,46,60,1
1,61,82,120,3
1,67,0,120,0
1,77,60,240,3
1,81,46,480,2
1,65,110,0,1
1,65,0,120,0
1,68,0,0,0
1,70,76,0,1
1,67,46,0,0
1,67,0,120,0
1,70,0,0,0
1,55,107,720,3
1,61,120,120,3
1,64,41,60,2
1,55,56,720,3
1,72,97,120,2
1,72,52,720,2
1,63,127,0,3
1,48,34,60,2
1,72,127,720,2
1,72,50,240,1
1,60,113,480,3
1,61,0,240,1
1,67,101,180,3
1,61,0,60,0
1,73,97,180,1
1,70,0,720,2
1,68,52,180,0
1,72,52,0,0
1,67,68,480,3
1,73,0,240,2
1,70,46,0,0
1,67,46,0,0
