track,note,velocity,time,anomaly
1,82,48,960,0
1,82,0,480,0
1,79,48,0,0
1,79,0,160,0
1,82,44,0,0
1,82,0,160,0
1,80,40,0,0
1,69,62,960,3
1,79,48,0,0
1,79,0,160,0
1,77,45,0,0
1,77,0,160,0
1,75,40,0,0
1,75,0,160,0
1,74,48,0,0
1,74,63,160,1
1,72,45,0,0
1,72,0,160,0
1,70,42,960,1
1,64,22,160,2
1,81,87,960,3
1,68,0,160,0
1,67,45,0,0
1,67,0,160,0
1,65,45,0,0
1,54,0,160,1
1,63,48,0,0
1,76,80,960,3
1,62,43,0,0
1,62,0,160,0
1,60,43,0,0
1,60,0,160,0
1,58,48,0,0
1,60,44,160,0
1,60,0,160,0
1,49,41,0,1
1,57,67,0,3
1,58,0,0,0
1,69,122,160,3
1,63,0,160,0
1,62,44,0,0
1,62,0,160,0
1,63,44,0,0
1,75,37,0,3
1,64,53,0,0
1,64,0,160,0
1,52,76,160,3
1,63,0,160,0
1,64,49,0,0
1,64,0,160,0
1,65,55,0,0
1,65,0,160,0
1,52,81,960,3
1,64,0,160,0
1,71,109,960,3
1,65,32,160,1
1,66,60,0,0
1,66,0,160,0
1,65,53,0,0
1,65,0,160,0
1,66,53,0,0
1,66,0,160,0
1,67,54,0,0
1,67,0,160,0
1,66,51,0,0
1,66,0,160,0
1,67,50,0,0
1,67,65,0,2
1,55,127,960,3
1,79,74,0,3
1,67,45,0,0
1,64,34,480,3
1,68,48,0,0
1,68,0,160,0
1,67,48,0,0
1,67,0,160,0
1,75,117,480,3
1,70,0,160,0
1,68,51,0,0
1,68,0,160,0
1,67,50,0,0
1,67,62,160,1
1,68,47,0,0
1,68,0,160,0
1,70,47,0,0
1,70,0,160,0
1,72,49,0,0
1,72,0,160,0
1,74,46,0,0
1,74,0,160,0
1,75,46,0,0
1,69,47,0,3
1,77,48,0,0
1,77,0,160,0
1,84,49,0,0
1,85,67,0,3
1,82,49,960,1
1,82,79,160,1
1,80,48,0,0
1,80,0,160,0
1,79,45,0,0
1,79,0,160,0
1,64,43,480,2
1,77,0,160,0
1,74,126,480,3
1,75,0,160,0
1,74,45,0,0
1,74,0,160,0
1,72,43,0,0
1,69,70,0,3
1,70,47,0,0
1,70,0,160,0
1,64,80,160,3
1,77,0,160,0
1,75,119,0,1
1,80,64,0,3
1,86,78,160,3
1,62,0,960,2
1,72,45,0,0
1,72,76,160,1
1,70,43,0,0
1,70,0,160,0
1,68,48,0,0
1,68,0,160,0
1,80,86,480,3
1,67,0,160,0
1,59,120,960,3
1,65,0,160,0
1,74,48,160,2
1,63,0,160,0
1,65,45,0,0
1,65,0,160,0
1,68,43,480,2
1,67,0,0,1
1,68,52,0,0
1,68,0,160,0
1,73,127,960,3
1,73,77,160,2
1,72,55,0,0
1,72,0,160,0
1,74,59,0,0
1,74,0,160,0
1,75,55,160,1
1,75,0,160,0
1,77,58,0,0
1,77,0,160,0
1,79,65,0,0
1,79,0,160,0
1,82,61,0,0
1,82,0,160,0
1,80,58,0,0
1,80,0,160,0
1,74,96,480,3
1,79,0,160,0
1,77,57,0,0
1,77,0,160,0
1,63,118,960,3
1,75,0,160,0
1,74,64,0,0
1,74,0,160,0
1,72,59,0,0
1,72,25,160,1
1,70,58,480,1
1,70,0,160,0
1,68,63,0,0
1,68,0,160,0
1,79,82,160,3
1,56,78,960,3
1,65,54,960,1
1,68,0,960,2
1,63,63,0,0
1,63,0,160,0
1,62,53,0,0
1,62,0,160,0
1,65,51,0,1
1,60,0,160,0
1,58,63,0,0
1,60,54,160,0
1,60,0,160,0
1,62,51,0,0
1,56,24,960,3
1,58,36,0,1
1,63,63,0,0
1,63,0,160,0
1,73,120,480,3
