track,note,velocity,time,anomaly
1,81,56,960,0
1,69,45,0,0
1,80,0,480,1
1,81,0,0,0
1,75,92,120,3
1,93,86,1200,3
1,82,52,480,1
1,59,42,480,3
1,76,112,120,2
1,88,63,0,0
1,88,0,480,0
1,76,0,0,0
1,79,54,900,1
1,78,127,1200,3
1,92,77,480,2
1,66,36,60,3
1,97,99,30,3
1,68,109,120,3
1,79,43,420,2
1,91,0,0,0
1,68,51,0,0
1,80,63,0,0
1,93,60,480,2
1,68,0,0,0
1,81,69,100,1
1,69,56,0,0
1,69,40,480,1
1,81,0,0,0
1,72,51,0,0
1,84,100,0,1
1,84,0,480,0
1,72,0,0,0
1,89,68,0,0
1,71,55,1200,2
1,77,31,330,2
1,78,35,330,3
1,77,98,330,2
1,89,68,0,0
1,89,0,960,0
1,77,0,0,0
1,78,56,0,0
1,66,45,0,0
1,66,0,480,0
1,78,55,0,1
1,67,83,80,2
1,79,59,0,0
1,78,24,60,3
1,67,0,0,0
1,76,99,480,3
1,94,63,30,2
1,70,44,420,3
1,67,50,240,3
1,74,54,0,0
1,86,67,20,1
1,86,0,1200,1
1,74,0,0,0
1,86,69,0,0
1,62,82,900,3
1,74,0,960,0
1,86,0,0,0
1,64,51,0,0
1,77,63,420,2
1,63,0,480,1
1,76,0,100,2
1,77,69,0,0
1,65,56,0,0
1,64,0,0,2
1,78,64,1200,3
1,75,74,30,3
1,93,93,480,3
1,68,0,480,1
1,80,25,330,3
1,78,58,0,1
1,72,47,0,0
1,73,61,60,3
1,84,0,0,0
1,73,74,100,3
1,84,112,0,1
1,69,70,900,1
1,84,0,60,0
1,83,43,120,3
1,81,45,0,0
1,69,0,420,0
1,76,40,0,1
1,76,32,120,3
1,82,48,0,0
1,57,0,420,1
1,76,43,0,0
1,93,39,240,3
1,88,51,0,0
1,76,0,420,0
1,91,68,100,3
1,88,0,120,1
1,96,80,80,3
1,79,0,420,0
1,90,119,20,3
1,94,0,60,1
1,91,82,0,1
1,91,0,960,0
1,79,63,0,1
1,68,43,0,0
1,80,51,0,0
1,80,0,480,0
1,80,74,0,2
1,93,77,1200,3
1,69,64,0,1
1,69,0,480,0
1,81,0,0,0
1,72,43,0,0
1,84,51,0,0
1,78,78,480,2
1,72,34,0,1
1,89,55,0,0
1,89,46,900,2
1,77,0,480,0
1,94,43,0,2
1,77,46,0,0
1,89,55,0,0
1,89,0,960,0
1,64,22,80,3
1,75,87,240,3
1,53,76,0,2
1,66,0,480,0
1,78,0,0,0
1,67,109,120,2
1,79,113,100,2
1,79,0,480,0
1,68,72,900,3
1,70,43,0,0
1,76,127,0,2
1,82,0,480,0
1,70,0,0,0
1,77,45,900,2
1,86,54,0,0
1,86,0,480,0
1,74,0,0,0
1,86,123,30,2
1,74,47,0,0
1,74,0,960,0
1,86,0,0,0
1,64,43,0,0
1,76,100,0,1
1,76,0,480,0
1,64,0,80,1
1,72,56,0,1
1,65,47,0,0
1,65,37,480,1
1,77,40,0,1
1,69,39,0,0
1,81,47,0,0
1,81,0,480,0
1,69,0,0,0
1,95,76,480,3
1,72,95,240,2
1,72,0,480,0
1,84,0,30,1
1,84,92,120,3
1,84,44,0,0
1,95,37,960,2
1,72,56,0,1
1,79,53,0,0
1,85,112,0,2
1,91,0,480,0
1,79,0,0,0
1,91,127,120,2
1,79,58,0,0
1,79,0,480,0
1,91,61,960,2
1,76,53,0,0
1,88,66,0,0
1,88,0,480,0
1,76,0,0,0
1,94,127,0,2
1,64,84,20,3
1,83,76,80,3
1,76,26,120,3
1,68,91,0,2
1,81,69,100,1
1,81,0,60,1
1,69,0,0,0
1,81,55,0,0
1,82,95,120,3
1,93,0,480,0
1,82,0,80,2
1,106,127,0,2
1,80,120,30,3
1,70,35,960,3
1,92,58,960,3
1,77,55,0,0
1,90,69,0,1
1,89,67,480,1
1,65,0,420,2
1,83,74,240,2
1,73,86,330,3
1,71,69,480,2
1,86,0,0,0
1,72,57,0,0
1,84,72,0,0
1,84,48,960,1
1,77,50,30,3
1,89,112,0,2
1,96,72,0,0
1,96,0,480,0
1,84,0,0,0
1,99,127,240,3
1,84,64,0,0
1,84,0,480,0
1,96,0,0,0
1,81,60,0,0
1,80,75,0,1
1,93,59,330,2
1,81,0,0,0
1,83,108,0,2
1,77,63,0,0
1,77,0,480,0
1,101,0,30,2
1,74,67,60,1
1,74,21,0,2
1,86,0,960,0
1,74,0,0,0
1,86,55,0,0
1,109,127,120,3
1,98,0,480,0
1,73,42,120,3
1,98,73,0,0
1,99,122,480,3
1,87,57,60,3
1,98,0,0,0
1,82,52,0,0
1,94,65,0,0
1,105,27,120,3
1,85,72,0,2
1,91,69,420,1
1,79,55,0,0
1,79,69,30,2
1,86,60,120,3
1,89,105,0,2
1,89,65,0,0
1,92,44,240,2
1,83,0,900,2
1,77,0,0,0
1,91,49,0,0
1,74,0,20,2
1,79,43,1200,1
1,86,73,480,3
1,78,127,240,3
1,79,0,420,0
1,65,81,30,3
1,91,0,1200,1
1,93,49,240,2
1,76,0,420,0
1,70,43,0,0
1,88,54,60,1
1,69,127,60,3
1,70,0,420,0
1,69,43,0,0
1,95,68,0,3
1,93,53,80,2
1,81,0,960,0
1,69,0,0,0
1,81,44,0,0
1,93,55,0,0
1,88,0,480,1
1,81,0,0,0
1,93,60,0,0
1,92,124,900,3
1,84,58,480,2
1,93,0,0,0
1,72,105,0,2
1,88,122,480,3
1,89,0,480,0
1,77,32,0,1
1,86,61,420,1
1,74,50,0,0
1,74,0,20,1
1,91,27,100,3
1,72,50,80,1
1,84,62,0,0
1,84,34,120,2
1,71,56,900,3
1,84,50,0,0
1,96,62,0,0
1,96,0,900,1
1,84,0,330,1
1,96,69,0,0
1,84,127,420,2
1,73,48,900,3
1,96,0,0,0
1,81,52,0,0
1,93,66,0,0
1,105,43,0,3
1,81,0,0,0
1,89,67,0,0
1,89,55,1200,2
1,77,0,480,0
1,89,48,0,1
1,74,127,30,2
1,89,74,480,2
1,86,0,960,0
1,73,80,100,3
1,86,48,0,0
1,87,125,240,3
1,98,0,480,0
1,86,0,0,0
1,101,91,0,2
1,86,52,0,0
1,86,0,480,0
1,98,0,0,0
1,82,43,0,0
1,100,110,240,3
1,82,27,60,3
1,82,0,0,0
1,92,54,0,1
1,80,99,60,3
1,79,0,480,0
1,91,0,0,0
1,77,40,60,1
1,89,102,240,2
1,89,22,20,2
1,71,56,420,3
1,60,55,60,2
1,60,28,30,0
1,65,100,30,1
1,54,58,30,3
1,65,0,30,0
1,57,0,0,0
1,68,96,240,3
1,51,58,0,0
1,48,58,0,0
1,48,0,240,0
1,51,0,0,0
1,56,0,120,2
1,48,103,240,2
1,52,64,0,0
1,59,106,480,3
1,55,0,330,2
1,41,0,0,1
1,48,76,330,2
1,60,59,0,0
1,69,71,0,0
1,57,59,0,1
1,63,0,240,0
1,69,0,0,0
1,48,49,1200,3
1,64,64,0,0
1,71,127,120,3
1,70,76,0,0
1,70,60,240,1
1,66,0,240,2
1,77,63,120,3
1,74,60,120,2
1,59,60,330,2
1,81,72,0,0
1,81,0,240,0
1,72,0,0,0
1,75,47,30,2
1,76,65,0,0
1,82,77,0,0
1,83,115,0,2
1,72,0,240,0
1,82,0,60,1
1,76,0,0,0
1,93,74,0,0
1,95,118,100,3
1,87,63,0,0
1,87,0,240,0
1,84,0,0,0
1,93,0,0,0
1,84,66,0,0
1,84,0,120,0
1,95,123,120,3
1,94,0,120,0
1,80,127,30,3
1,96,75,0,0
1,91,0,120,0
1,88,127,900,2
1,75,27,30,3
1,96,0,0,0
1,84,75,0,0
1,84,0,120,0
1,70,127,0,2
1,82,0,120,0
1,79,72,0,0
1,78,46,240,3
1,76,71,0,0
1,76,0,120,0
1,72,127,1200,2
1,72,0,240,0
1,50,58,0,0
1,53,58,0,0
1,59,69,0,0
1,59,0,80,1
1,53,0,0,0
1,50,0,0,0
1,48,106,20,2
1,63,97,0,2
1,53,64,120,1
1,53,0,240,0
1,54,56,240,3
1,48,0,0,0
1,65,59,0,0
1,62,59,0,0
