track,note,velocity,time,anomaly
1,63,118,1,2
1,84,90,0,1
1,62,61,119,0
1,66,75,57,2
1,62,0,119,0
1,79,57,240,1
1,82,36,1,2
1,72,46,1200,3
1,74,57,0,0
1,74,0,57,1
1,73,127,81,3
1,76,38,180,2
1,78,57,60,0
1,78,0,60,0
1,82,80,60,1
1,81,0,60,0
1,80,82,1200,3
1,78,20,0,3
1,78,57,240,1
1,78,0,124,1
1,89,57,180,2
1,76,0,120,1
1,67,127,57,3
1,79,0,240,1
1,78,77,60,1
1,81,59,1200,3
1,71,126,60,2
1,76,43,60,1
1,68,83,119,3
1,74,0,60,0
1,60,95,180,3
1,71,69,0,2
1,71,33,120,1
1,67,61,0,0
1,68,78,120,2
1,81,59,240,2
1,78,57,0,0
1,77,0,120,1
1,92,81,180,3
1,79,76,60,1
1,81,57,60,0
1,81,0,60,0
1,83,57,124,1
1,83,65,57,2
1,92,86,180,2
1,80,0,120,2
1,82,104,60,2
1,85,43,180,2
1,80,123,240,3
1,83,44,180,2
1,82,57,60,0
1,81,0,60,1
1,89,93,1200,3
1,83,66,0,0
1,80,0,120,1
1,78,0,0,0
1,74,57,0,0
1,74,0,120,0
1,84,100,240,3
1,83,67,1200,3
1,53,57,60,1
1,66,74,60,1
1,66,70,1,0
1,71,90,0,0
1,59,61,119,1
1,66,21,60,2
1,62,50,119,1
1,73,60,240,0
1,58,46,120,3
1,73,25,119,1
1,77,101,119,3
1,74,0,60,0
1,76,80,60,1
1,71,78,120,3
1,78,127,60,1
1,78,0,60,0
1,81,10,120,2
1,69,0,0,2
1,84,122,57,3
1,79,0,60,0
1,78,56,60,0
1,78,26,81,2
1,76,57,60,0
1,76,59,240,2
1,78,127,60,2
1,79,0,60,0
1,78,99,60,1
1,67,0,60,1
1,75,126,60,2
1,87,67,0,3
1,74,61,60,0
1,74,80,60,1
1,71,70,60,0
1,89,43,1200,3
1,71,0,120,0
1,67,102,0,1
1,67,0,120,0
1,76,0,240,0
1,78,83,57,2
1,67,0,57,2
1,79,56,120,1
1,79,41,60,1
1,82,85,1200,3
1,75,69,124,3
1,70,121,120,3
1,83,0,60,0
1,85,10,57,3
1,87,31,1200,3
1,85,62,60,0
1,85,0,240,1
1,88,61,119,2
1,83,65,60,1
1,94,102,60,2
1,82,0,60,0
1,67,127,1200,3
1,94,122,120,3
1,83,0,120,0
1,84,0,57,2
1,86,127,1,3
1,74,0,120,0
1,82,58,0,1
1,72,43,1200,3
1,65,93,81,3
1,66,0,60,0
1,74,111,60,1
1,68,91,0,1
1,63,73,119,3
1,66,122,0,2
1,71,0,120,0
1,79,0,240,0
1,58,110,180,3
1,66,62,240,3
1,71,56,120,1
1,66,0,240,2
1,79,117,1200,3
1,72,0,60,1
1,77,108,240,3
1,74,0,60,0
1,83,77,60,1
1,77,52,57,3
1,76,66,60,0
1,70,33,1200,3
1,74,115,60,1
1,86,75,0,3
1,84,88,81,3
1,72,0,60,0
1,71,108,60,1
1,71,71,60,1
1,69,61,60,0
1,69,0,119,1
1,54,59,57,2
1,54,46,0,3
1,66,109,60,1
1,65,62,57,3
1,53,68,60,1
1,68,88,60,2
1,77,26,1200,3
1,59,69,0,0
1,59,76,120,1
1,67,0,240,0
1,66,95,1200,2
1,66,0,120,0
1,64,85,0,2
1,68,60,180,3
1,81,62,57,2
1,69,37,60,1
1,83,105,60,2
1,76,35,119,3
1,75,76,60,1
1,69,0,60,1
1,72,124,60,1
1,72,0,119,1
1,71,65,0,1
1,71,77,180,2
1,56,87,60,2
1,69,0,60,0
1,62,127,60,2
1,67,0,57,1
1,66,60,60,0
1,66,47,1200,2
1,64,105,60,1
1,64,20,120,2
1,63,56,1,1
1,60,30,81,3
1,60,56,240,1
1,64,56,0,0
1,60,65,81,2
1,55,54,0,0
1,55,0,120,0
1,64,0,240,0
1,75,101,1,3
1,64,75,180,2
1,75,51,0,3
1,62,46,0,1
1,70,53,1200,2
1,78,53,81,2
1,64,0,60,2
1,68,126,119,3
1,54,77,120,2
1,59,66,81,2
1,72,56,60,2
1,69,114,240,3
1,66,40,120,2
1,54,53,0,1
1,55,42,120,1
1,64,0,240,0
1,78,81,60,3
1,79,114,180,3
1,55,51,120,2
1,62,0,0,1
1,62,60,0,0
1,58,106,120,3
1,69,0,120,0
1,71,127,81,2
1,72,29,180,3
1,62,59,0,1
1,67,127,0,1
1,72,66,0,0
1,67,0,0,1
1,59,56,0,1
1,64,0,120,0
1,71,61,57,3
1,70,102,0,1
1,76,77,0,0
1,64,56,120,0
1,64,0,120,0
1,76,0,1200,0
1,70,0,0,0
1,66,70,1,0
1,71,93,0,0
1,62,88,119,1
1,66,50,81,2
1,67,0,120,2
1,61,95,240,2
1,58,22,81,3
1,76,72,81,3
1,73,57,57,2
1,79,70,1200,3
1,76,57,60,0
1,76,68,60,1
1,91,57,60,1
1,78,35,120,2
1,76,110,180,3
1,81,0,60,0
1,85,113,60,2
1,80,0,60,1
1,78,113,60,1
1,78,0,60,0
1,76,101,1200,2
1,76,0,0,1
1,79,76,60,0
1,73,0,0,2
1,78,57,60,0
1,78,0,60,0
1,76,120,1200,2
1,63,44,60,2
1,63,117,0,3
1,87,76,1,3
1,71,70,60,0
1,87,32,60,3
1,71,0,120,0
1,56,82,57,3
1,56,0,240,2
1,82,20,120,3
1,67,108,0,2
1,90,0,120,1
1,79,84,180,2
1,79,0,60,0
1,68,57,60,1
1,81,0,60,0
1,83,57,60,0
1,83,0,60,0
1,86,78,60,0
1,86,0,60,0
1,86,111,180,3
1,85,37,60,1
1,83,57,60,0
1,83,23,60,1
1,82,57,60,0
1,82,0,60,0
1,78,66,60,0
1,83,66,0,0
1,83,0,120,0
1,78,0,0,0
1,74,77,119,2
1,74,0,120,0
1,71,93,1200,2
1,71,0,60,0
1,54,89,180,3
1,63,71,119,3
1,74,70,60,0
1,79,91,0,0
1,74,0,1,1
1,71,70,0,0
1,71,0,120,0
1,79,0,240,0
1,69,52,1200,1
1,69,0,120,0
1,71,56,0,0
1,82,35,60,2
1,85,110,180,3
1,60,0,60,1
1,74,64,60,0
1,87,67,120,3
1,83,100,57,3
1,78,0,60,0
1,71,100,60,2
1,76,0,119,1
1,63,90,60,2
1,74,0,60,0
1,78,86,1,3
1,72,0,120,1
1,71,62,60,0
1,74,0,60,1
1,57,127,60,2
1,68,0,60,1
1,55,127,0,3
1,67,0,60,0
1,66,89,60,1
1,71,32,180,3
1,63,127,0,3
1,67,8,240,2
1,64,49,120,1
1,53,124,1,3
1,59,0,120,0
1,67,40,57,2
1,66,60,0,0
1,66,0,120,0
1,67,58,60,1
1,67,0,60,0
1,69,87,1,2
1,69,0,119,1
1,59,92,240,3
1,58,69,0,3
1,71,59,1200,3
1,68,56,124,3
1,72,66,60,0
1,72,0,60,0
1,72,127,1200,3
1,60,22,119,3
1,69,97,60,1
1,56,37,81,3
1,56,124,1200,3
1,68,58,81,3
1,66,60,60,0
1,60,0,60,1
1,64,58,60,0
1,77,0,124,2
1,63,56,60,0
1,76,0,60,1
1,54,90,120,3
1,64,56,0,0
1,72,0,120,1
1,55,54,180,1
1,52,27,180,3
1,75,38,60,3
1,51,51,120,2
1,64,52,1200,1
1,64,0,120,0
1,59,37,0,2
1,47,53,124,2
1,66,108,1200,3
1,52,63,57,3
1,67,55,0,0
1,67,67,124,2
1,62,49,180,3
1,60,56,81,1
1,69,86,0,2
1,57,0,120,1
1,55,53,0,0
1,42,0,120,1
1,53,38,180,3
1,65,54,0,0
1,68,107,120,2
1,55,66,124,3
1,60,53,119,3
1,62,60,57,1
1,81,127,0,2
1,64,73,120,2
1,72,114,0,2
1,65,26,57,3
1,62,0,0,0
1,67,66,0,0
1,72,66,0,0
1,67,0,120,0
1,51,90,0,2
1,76,65,81,3
1,69,0,57,2
1,67,110,0,2
1,82,125,81,3
1,52,100,120,2
1,64,0,120,0
1,76,45,1,2
1,71,74,119,3
1,66,115,1,1
1,76,96,1200,2
1,62,61,119,0
1,65,42,119,3
1,63,78,119,2
1,73,57,240,0
1,82,20,240,3
1,60,0,0,2
1,74,57,0,0
1,87,48,180,3
1,76,85,120,2
1,76,0,60,0
1,78,57,60,0
1,78,0,60,0
1,76,127,60,2
1,81,0,1200,1
1,80,99,124,3
1,79,51,81,2
1,78,57,60,0
1,78,0,60,0
1,76,57,1,1
1,75,73,0,3
1,79,113,60,1
1,79,0,60,0
1,78,57,60,0
1,79,71,81,3
1,81,83,240,3
1,63,20,0,3
1,74,57,60,0
1,74,27,57,2
1,68,127,1,3
1,76,93,0,0
1,82,45,120,2
1,67,61,0,0
1,67,33,57,2
1,76,0,180,1
1,89,108,0,2
1,89,0,1200,2
1,79,127,0,1
1,74,27,57,3
1,86,57,180,2
1,82,21,60,2
1,83,118,60,1
1,72,0,60,1
1,73,127,240,3
1,86,59,60,1
1,86,53,1200,2
1,98,51,180,3
1,83,105,120,2
1,83,0,60,0
1,82,47,60,0
1,82,47,119,2
1,83,84,60,1
1,89,53,60,3
2,47,80,1,0
2,36,0,60,1
2,58,121,60,3
2,59,0,0,1
2,54,54,1,1
2,54,21,240,2
2,48,127,60,2
2,47,21,119,2
2,67,127,1200,3
2,54,50,0,0
2,49,52,60,2
2,65,45,1,3
2,52,126,0,2
2,52,62,60,1
2,64,72,1,2
2,59,90,1200,2
2,59,61,60,1
2,76,0,0,1
2,47,59,180,0
2,47,0,120,1
2,49,91,57,3
2,59,52,0,0
2,59,0,60,0
2,51,41,119,3
2,46,127,57,3
2,52,0,120,0
2,70,78,60,3
2,70,69,180,3
2,62,85,1200,3
2,59,0,60,0
2,64,57,60,1
2,63,80,124,3
2,64,80,1200,2
2,64,83,119,3
2,73,42,180,3
2,53,0,0,1
2,54,85,119,2
2,60,40,60,2
2,65,50,180,1
2,71,122,0,2
2,70,0,120,1
2,64,21,1200,2
2,54,118,240,3
2,59,0,240,1
2,52,25,60,3
2,46,51,60,3
2,59,54,81,0
2,72,61,240,3
2,54,54,180,1
2,57,0,60,1
2,47,101,120,2
2,41,70,57,3
