track,note,velocity,time,anomaly
1,68,59,1,0
1,67,73,120,1
1,76,108,0,2
1,65,21,1,3
1,66,72,0,2
1,68,0,0,0
1,72,92,120,3
1,75,64,0,3
1,67,35,0,0
1,67,0,120,0
1,70,66,0,2
1,66,0,0,1
1,73,86,0,1
1,69,37,120,0
1,67,65,120,2
1,67,0,120,0
1,69,0,0,0
1,73,0,0,0
1,89,68,120,2
1,67,40,120,0
1,69,40,0,0
1,69,26,0,2
1,67,0,0,0
1,78,0,0,0
1,76,127,0,1
1,67,40,120,0
1,69,40,0,0
1,69,0,120,0
1,54,53,60,3
1,76,0,0,0
1,74,113,0,1
1,62,76,60,2
1,66,86,0,1
1,78,64,120,2
1,65,46,120,3
1,74,0,0,0
1,69,99,60,2
1,62,36,120,0
1,66,36,0,0
1,66,69,120,1
1,57,68,120,3
1,64,0,60,2
1,49,69,0,3
1,65,111,1,3
1,55,0,120,1
1,75,0,60,2
1,57,127,60,3
1,80,67,120,3
1,62,39,1,1
1,66,39,120,1
1,66,0,120,0
1,61,72,1,3
1,69,94,0,1
1,80,40,0,3
1,61,108,0,1
1,58,82,1,3
1,64,0,120,1
1,72,0,0,1
1,61,56,60,0
1,64,99,0,1
1,76,72,120,2
1,66,45,0,0
1,78,0,60,2
1,61,0,0,0
1,67,59,0,0
1,61,114,120,1
1,64,42,0,0
1,51,61,120,2
1,61,52,120,2
1,67,0,0,0
1,70,59,0,1
1,59,43,120,0
1,78,75,120,3
1,67,0,120,0
1,54,0,0,1
1,71,0,0,0
1,69,57,0,0
1,52,100,120,2
1,67,63,60,3
1,66,0,120,0
1,57,0,0,0
1,66,49,120,3
1,78,101,1,3
1,57,36,120,0
1,62,36,0,0
1,67,52,60,3
1,54,74,1,3
1,69,0,0,1
1,67,100,60,3
1,60,34,120,1
1,74,34,1,2
1,61,0,120,0
1,57,0,0,0
1,58,0,1,2
1,74,88,0,2
1,64,40,120,0
1,67,40,60,1
1,67,0,120,0
1,64,0,1,1
1,68,0,0,0
1,69,110,1,2
1,64,38,120,0
1,68,77,0,2
1,67,0,120,0
1,64,0,0,0
1,55,40,120,0
1,63,91,60,3
1,57,67,120,1
1,58,0,1,2
1,81,0,60,2
1,55,73,60,2
1,57,88,0,1
1,57,0,120,0
1,55,0,0,0
1,61,106,60,2
1,49,106,120,2
1,57,69,120,2
1,44,0,120,1
1,55,0,0,0
1,61,80,1,2
1,62,127,0,1
1,57,38,120,0
1,54,38,0,0
1,54,32,60,2
1,57,0,0,0
1,62,0,0,0
1,63,127,1,3
1,57,39,1,1
1,68,39,1,2
1,62,0,120,0
1,57,0,0,0
1,66,0,0,0
1,76,68,0,1
1,66,40,120,0
1,62,40,1,1
1,62,53,120,1
1,79,61,1,3
1,71,0,0,0
1,75,123,1,3
1,66,40,120,0
1,62,40,60,1
1,62,0,120,0
1,66,35,1,2
1,69,0,0,0
1,67,68,0,0
1,51,40,120,1
1,55,40,120,1
1,55,0,120,0
1,62,0,0,0
1,66,0,60,2
1,74,109,0,2
1,63,84,120,2
1,67,42,0,0
1,67,0,120,0
1,62,0,1,1
1,76,29,120,3
1,76,101,0,1
1,67,44,120,0
1,64,44,120,1
1,53,79,120,2
1,67,0,0,0
1,76,78,1,2
1,71,72,0,1
1,78,41,60,2
1,62,92,60,2
1,62,0,120,0
1,67,0,0,0
1,63,0,0,1
1,85,127,1,3
1,50,65,0,3
1,79,106,0,2
1,67,27,120,1
1,61,0,0,0
1,73,0,0,0
1,71,65,0,0
1,62,38,120,0
1,64,77,1,3
1,67,0,120,0
1,74,26,0,2
1,83,48,60,3
1,63,127,0,2
1,63,61,120,1
1,66,35,0,1
1,67,63,60,2
1,63,0,0,0
1,69,0,0,0
1,68,59,0,0
1,76,87,0,3
1,56,66,1,3
1,68,79,120,2
1,70,0,60,2
1,73,66,1,3
1,56,62,0,1
1,64,35,1,1
1,67,94,60,2
1,67,0,0,1
1,64,72,60,2
1,69,0,0,0
1,78,64,0,1
1,72,75,0,3
1,69,66,60,2
1,69,0,120,0
1,56,23,1,3
1,73,0,60,1
1,78,68,0,0
1,67,60,60,2
1,69,40,0,0
1,63,76,0,3
1,54,60,120,3
1,78,58,120,2
1,76,68,0,0
1,62,97,1,3
1,66,77,0,2
1,69,0,120,0
1,67,0,0,0
1,76,30,60,2
1,74,66,0,0
1,62,76,60,2
1,66,38,0,0
1,66,39,120,1
1,62,0,60,1
1,61,67,1,3
1,66,63,0,1
1,51,36,60,2
1,54,72,0,2
1,66,0,120,0
1,62,41,0,1
1,69,0,0,0
1,68,38,0,2
1,55,38,60,2
1,71,47,60,3
1,62,0,120,1
1,69,64,0,0
1,69,0,60,0
1,62,39,60,0
1,66,39,0,0
1,55,50,60,3
1,67,37,120,3
1,69,127,1,2
1,69,0,120,0
1,61,48,0,0
1,64,48,0,0
1,64,53,60,1
1,56,67,60,3
1,61,119,0,2
1,64,56,60,1
1,64,0,120,0
1,71,45,0,1
1,54,63,1,3
1,60,59,1,3
1,67,59,0,0
1,61,42,120,0
1,52,109,0,2
1,58,0,1,2
1,48,39,0,2
1,67,0,0,0
1,71,59,0,0
1,59,39,120,0
1,67,39,0,0
1,72,40,0,3
1,60,57,120,3
1,71,0,0,0
1,75,56,120,2
1,56,78,0,3
1,67,79,0,2
1,77,42,120,2
1,44,0,0,1
1,80,0,0,1
1,66,55,0,0
1,57,35,120,0
1,67,108,1,3
1,62,0,120,0
1,57,0,0,0
1,66,0,120,1
1,69,127,60,3
1,57,34,0,1
1,61,34,0,0
1,73,0,1,2
1,57,0,0,0
1,64,0,0,0
1,67,100,120,3
1,64,40,120,0
1,67,40,0,0
1,68,0,60,2
