track,note,velocity,time,anomaly
1,63,39,840,0
1,63,0,120,0
1,64,55,0,0
1,64,0,80,0
1,58,38,0,0
1,58,0,80,0
1,67,38,0,0
1,67,0,80,0
1,70,55,0,0
1,70,0,80,0
1,61,39,0,0
1,61,0,80,0
1,63,39,0,0
1,63,0,80,0
1,64,55,0,0
1,64,0,80,0
1,59,40,0,0
1,59,0,80,0
1,68,40,0,0
1,68,0,80,0
1,71,54,0,0
1,71,0,80,0
1,63,39,0,0
1,63,0,80,0
1,66,39,0,0
1,66,0,80,0
1,67,54,0,0
1,67,0,80,0
1,61,39,0,0
1,61,0,80,0
1,70,39,0,0
1,70,0,80,0
1,73,54,0,0
1,73,0,80,0
1,64,39,0,0
1,64,0,80,0
1,68,39,0,0
1,68,0,80,0
1,69,54,0,0
1,69,0,80,0
1,63,38,0,0
1,63,0,80,0
1,75,39,0,0
1,75,0,80,0
1,78,54,0,0
1,78,0,80,0
1,66,40,0,0
1,66,0,80,0
1,68,41,0,0
1,68,0,80,0
1,69,57,0,0
1,69,0,80,0
1,64,41,0,0
1,64,0,80,0
1,73,41,0,0
1,73,0,80,0
1,76,57,0,0
1,76,0,80,0
1,68,42,0,0
1,68,0,80,0
1,70,42,0,0
1,70,0,80,0
1,71,59,0,0
1,71,0,80,0
1,65,43,0,0
1,65,0,80,0
1,77,43,0,0
1,77,0,80,0
1,80,59,0,0
1,80,0,80,0
1,71,44,0,0
1,71,0,80,0
1,73,44,0,0
1,73,0,80,0
1,74,61,0,0
1,74,0,80,0
1,68,44,0,0
1,68,0,80,0
1,80,48,0,0
1,80,0,80,0
1,83,63,0,0
1,83,0,80,0
1,71,49,0,0
1,71,0,80,0
1,74,51,0,0
1,74,0,80,0
1,75,68,0,0
1,75,0,80,0
1,70,55,0,0
1,70,0,80,0
1,79,55,0,0
1,79,0,80,0
1,82,69,0,0
1,82,0,80,0
1,73,58,0,0
1,73,0,80,0
1,75,59,0,0
1,75,0,80,0
1,76,73,0,0
1,76,0,80,0
1,70,55,0,0
1,70,0,80,0
1,79,51,0,0
1,79,0,80,0
1,82,55,0,0
1,82,0,80,0
1,73,39,0,0
1,73,0,80,0
1,75,39,0,0
1,75,0,80,0
1,76,55,0,0
1,76,0,80,0
1,71,40,0,0
1,71,0,80,0
1,80,40,0,0
1,80,0,80,0
1,83,54,0,0
1,83,0,80,0
1,75,39,0,0
1,75,0,80,0
1,78,39,0,0
1,78,0,80,0
1,79,54,0,0
1,79,0,80,0
1,73,39,0,0
1,73,0,80,0
1,82,39,0,0
1,82,0,80,0
1,85,54,0,0
1,85,0,80,0
1,76,39,0,0
1,76,0,80,0
1,80,39,0,0
1,80,0,80,0
1,81,54,0,0
1,81,0,80,0
1,75,38,0,0
1,75,0,80,0
1,87,39,0,0
1,87,0,80,0
1,90,54,0,0
1,90,0,80,0
1,78,40,0,0
1,78,0,80,0
1,80,41,0,0
1,80,0,80,0
1,81,57,0,0
1,81,0,80,0
1,76,41,0,0
1,76,0,80,0
1,85,41,0,0
1,85,0,80,0
1,88,64,0,0
1,88,0,80,0
1,80,49,0,0
1,80,0,80,0
1,82,49,0,0
1,82,0,80,0
1,83,66,0,0
1,83,0,80,0
1,77,49,0,0
1,77,0,80,0
1,92,49,0,0
1,92,0,80,0
1,95,68,0,0
1,95,0,80,0
1,83,53,0,0
1,83,0,80,0
1,89,53,0,0
1,89,0,80,0
1,91,74,0,0
1,91,0,80,0
1,82,54,0,0
1,82,0,80,0
1,94,57,0,0
1,94,0,80,0
1,99,74,0,0
1,99,0,80,0
1,87,59,0,0
1,87,0,80,0
1,92,72,0,0
1,92,0,80,0
1,104,87,0,0
1,104,0,240,0
