track,note,velocity,time,anomaly
1,39,49,720,0
1,39,3,60,0
1,44,53,180,0
1,44,3,80,0
1,39,39,0,0
1,39,3,80,0
1,46,39,0,0
1,46,3,80,0
1,47,53,0,0
1,47,3,60,0
1,46,53,180,0
1,46,3,80,0
1,39,39,0,0
1,39,3,80,0
1,47,39,0,0
1,47,3,80,0
1,49,53,0,0
1,49,3,60,0
1,47,53,180,0
1,47,3,80,0
1,39,38,0,0
1,39,3,80,0
1,49,38,0,0
1,49,3,80,0
1,51,53,0,0
1,51,3,60,0
1,44,53,180,0
1,44,3,80,0
1,39,39,0,0
1,39,3,80,0
1,46,39,0,0
1,46,3,80,0
1,47,53,0,0
1,47,3,60,0
1,46,53,180,0
1,46,3,80,0
1,40,41,0,0
1,40,3,80,0
1,47,41,0,0
1,47,3,80,0
1,49,53,0,0
1,49,3,60,0
1,43,53,180,0
1,43,3,80,0
1,37,43,0,0
1,37,3,80,0
1,44,43,0,0
1,44,3,80,0
1,46,53,0,0
1,46,3,60,0
1,44,53,180,0
1,44,3,80,0
1,39,43,0,0
1,39,3,80,0
1,46,44,0,0
1,46,3,80,0
1,47,53,0,0
1,47,3,60,0
1,46,53,180,0
1,46,3,120,0
1,43,47,60,0
1,43,3,60,0
1,39,61,0,0
1,39,3,60,0
1,44,53,180,0
1,44,3,80,0
1,39,41,0,0
1,39,3,80,0
1,46,41,0,0
1,46,3,80,0
1,47,53,0,0
1,47,3,60,0
1,46,53,180,0
1,46,3,80,0
1,39,41,0,0
1,39,3,80,0
1,47,41,0,0
1,47,3,80,0
1,49,53,0,0
1,49,3,60,0
1,47,53,180,0
1,47,3,80,0
1,39,40,0,0
1,39,3,80,0
1,49,40,0,0
1,49,3,80,0
1,51,53,0,0
1,51,3,60,0
1,44,53,180,0
1,44,3,80,0
1,39,43,0,0
1,39,3,80,0
1,46,43,0,0
1,46,3,80,0
1,47,53,0,0
1,47,3,60,0
1,46,53,180,0
1,46,3,80,0
1,40,43,0,0
1,40,3,80,0
1,47,43,0,0
1,47,3,80,0
1,49,53,0,0
1,49,3,60,0
1,48,53,180,0
1,48,3,80,0
1,39,42,0,0
1,39,3,80,0
1,49,43,0,0
1,49,3,80,0
1,51,53,0,0
1,51,3,60,0
1,49,53,180,0
1,49,3,80,0
1,44,44,0,0
1,44,3,80,0
