track,note,velocity,time,anomaly
1,61,125,960,2
1,65,113,0,2
1,58,0,240,1
1,66,0,0,0
1,65,76,120,2
1,77,21,720,3
1,79,45,0,1
1,71,49,0,0
1,70,39,840,3
1,66,0,0,0
1,64,45,0,0
1,69,94,720,3
1,70,0,240,0
1,64,59,0,1
1,73,109,720,3
1,67,99,840,2
1,55,47,480,3
1,62,0,0,0
1,49,105,0,2
1,62,31,0,3
1,67,49,0,0
1,62,45,0,0
1,62,0,180,1
1,67,0,0,0
1,56,106,960,3
1,66,47,0,0
1,53,0,60,2
1,56,0,720,2
1,47,122,180,3
1,53,49,720,2
1,66,0,120,1
1,71,79,960,3
1,59,91,0,1
1,59,0,240,0
1,66,45,240,2
1,66,49,0,0
1,61,0,480,1
1,60,0,0,0
1,64,46,0,0
1,59,91,720,2
1,59,63,240,1
1,64,0,0,0
1,53,104,0,3
1,58,122,0,1
1,71,63,120,3
1,64,0,840,1
1,58,69,180,2
1,62,114,0,1
1,57,0,60,2
1,45,0,0,1
1,58,45,240,0
1,61,50,0,0
1,49,27,180,3
1,58,0,0,0
1,59,104,480,2
1,53,58,240,2
1,62,47,720,0
1,69,47,0,1
1,71,107,180,2
1,71,0,480,1
1,74,0,0,0
1,67,75,0,2
1,74,49,120,0
1,83,49,960,2
1,64,121,0,1
1,64,0,120,0
1,71,71,0,1
1,85,0,0,1
1,74,84,840,2
1,71,100,0,1
1,52,104,0,2
1,65,0,120,0
1,59,62,720,3
1,74,0,0,0
1,68,45,840,1
1,66,75,840,2
1,46,45,0,1
1,60,0,60,2
1,78,51,0,2
1,56,0,960,1
1,74,126,180,3
1,58,46,0,0
1,53,116,480,3
1,64,34,120,1
1,45,31,60,3
1,74,74,960,3
1,71,81,960,3
1,62,111,840,2
1,74,37,0,3
1,60,58,720,3
1,85,97,120,3
1,71,47,0,0
1,62,70,0,1
1,49,24,60,3
1,71,0,180,1
1,71,63,240,3
1,71,74,840,3
1,64,49,60,1
1,76,111,60,3
1,71,54,120,1
1,64,39,960,2
1,74,0,0,0
1,68,45,960,2
1,71,45,0,0
1,79,110,480,3
1,74,0,120,0
1,71,41,0,1
1,77,33,720,3
1,67,106,720,3
1,47,47,0,1
1,56,79,60,2
1,56,0,120,0
1,59,0,60,1
1,66,32,0,1
1,59,115,180,3
1,61,46,0,0
1,61,46,180,2
1,58,0,480,1
1,48,21,120,3
1,64,0,240,1
1,59,46,120,0
1,51,46,0,1
1,62,0,120,0
1,47,0,0,1
1,66,45,120,0
1,83,49,0,1
1,58,38,960,3
1,72,73,120,3
1,59,46,0,1
1,65,34,240,1
1,78,66,0,2
1,82,49,0,1
1,71,0,480,0
1,66,0,120,1
1,70,70,0,1
1,65,45,240,2
1,77,0,60,2
1,75,26,720,3
1,51,45,240,1
1,67,49,0,0
1,70,0,120,2
1,62,0,0,0
1,61,45,240,1
1,61,0,240,0
1,62,45,0,0
1,73,78,840,3
1,67,40,60,2
1,62,0,0,0
1,73,79,240,3
1,67,125,480,3
1,71,0,960,2
1,61,0,0,0
1,60,49,240,1
1,60,45,0,0
1,60,0,240,0
1,66,0,240,1
1,59,46,0,0
1,54,0,720,2
1,66,49,0,0
1,55,45,120,2
1,60,0,480,0
1,69,0,720,2
1,47,89,60,3
1,75,90,60,3
1,61,41,60,3
1,59,0,0,0
1,58,120,840,2
1,63,110,0,2
1,64,43,240,1
1,61,75,180,3
1,58,114,240,1
1,57,52,960,2
1,62,60,240,1
1,70,63,480,3
1,74,92,840,3
1,58,83,960,2
1,58,32,240,1
1,61,0,0,0
1,72,47,0,1
1,48,0,240,1
1,62,47,720,0
1,77,67,180,3
