track,note,velocity,time,anomaly
1,70,64,1,0
1,66,64,0,0
1,73,73,0,0
1,66,0,239,0
1,70,0,0,0
1,61,59,0,0
1,61,0,240,0
1,73,0,0,0
1,68,69,0,0
1,62,60,0,0
1,66,60,0,0
1,66,0,240,0
1,62,0,0,0
1,56,54,0,0
1,56,0,240,0
1,68,0,0,0
1,73,73,0,0
1,66,64,0,0
1,70,64,0,0
1,70,0,240,0
1,66,0,0,0
1,61,60,0,0
1,61,0,240,0
1,73,0,0,0
1,68,69,0,0
1,62,60,0,0
1,66,60,0,0
1,66,0,240,0
1,62,0,0,0
1,56,55,0,0
1,56,0,240,0
1,68,0,0,0
1,66,57,0,0
1,66,0,60,0
1,68,52,60,0
1,68,0,60,0
1,66,56,60,0
1,66,0,60,0
1,68,52,60,0
1,68,0,60,0
1,70,57,60,0
1,70,0,120,0
1,70,53,120,0
1,70,0,120,0
1,68,58,120,0
1,59,51,0,0
1,66,51,0,0
1,68,0,240,0
1,71,54,0,0
1,71,0,240,0
1,66,0,0,0
1,59,0,0,0
1,65,49,0,0
1,68,57,0,0
1,65,0,240,0
1,61,53,0,0
1,61,0,240,0
1,68,0,0,0
1,73,73,0,0
1,66,64,0,0
1,70,64,0,0
1,70,0,240,0
1,66,0,0,0
1,61,60,0,0
1,61,0,240,0
1,73,0,0,0
1,68,69,0,0
1,62,60,0,0
1,66,60,0,0
1,66,0,240,0
1,62,0,0,0
1,56,58,0,0
1,56,0,240,0
1,68,0,0,0
1,73,73,0,0
1,66,64,0,0
1,70,64,0,0
1,70,0,240,0
1,66,0,0,0
1,61,60,0,0
1,61,0,240,0
1,73,0,0,0
1,68,69,0,0
1,62,60,0,0
1,66,60,0,0
1,66,0,240,0
1,62,0,0,0
1,56,57,0,0
1,56,0,240,0
1,68,0,0,0
1,66,62,0,0
1,66,0,60,0
1,68,58,60,0
1,68,0,60,0
1,66,63,60,0
1,66,0,60,0
1,68,58,60,0
1,68,0,60,0
1,70,65,60,0
1,70,0,120,0
1,70,57,120,0
1,70,0,120,0
1,66,65,120,0
1,68,65,0,0
1,68,0,60,0
1,66,0,0,0
1,70,66,60,0
1,70,0,60,0
1,71,68,60,0
1,71,0,60,0
1,73,70,60,0
1,73,0,60,0
1,74,71,60,0
1,74,0,240,0
1,53,27,360,0
1,55,27,0,0
1,55,0,120,0
1,53,0,0,0
1,53,27,120,0
1,55,27,0,0
1,55,0,120,0
1,53,0,0,0
1,52,32,0,0
1,64,27,240,0
1,55,27,0,0
1,55,0,240,0
1,64,0,0,0
1,52,0,0,0
1,55,31,120,0
1,57,31,0,0
1,57,0,120,0
1,55,0,0,0
1,55,31,120,0
1,57,31,0,0
1,57,0,120,0
1,55,0,0,0
1,54,37,0,0
1,66,32,240,0
1,57,26,0,0
1,57,0,240,0
1,66,0,0,0
1,54,0,0,0
1,54,34,0,0
1,59,23,240,0
1,66,26,0,0
1,57,23,0,0
1,57,0,240,0
1,54,0,0,0
1,59,0,0,0
1,66,0,0,0
1,55,35,0,0
1,67,28,240,0
1,59,23,0,0
1,59,0,240,0
1,67,0,0,0
1,55,0,0,0
1,57,39,0,0
1,63,23,240,0
1,71,28,0,0
1,71,0,240,0
1,63,0,0,0
1,57,0,0,0
1,55,38,0,0
1,67,30,240,0
1,59,25,0,0
1,59,0,240,0
1,67,0,0,0
1,55,0,0,0
1,57,32,120,0
1,59,32,0,0
1,59,0,120,0
1,57,0,0,0
1,57,33,120,0
1,59,33,0,0
1,59,0,120,0
1,57,0,0,0
1,56,38,0,0
1,68,33,240,0
1,59,28,0,0
1,59,0,240,0
1,68,0,0,0
1,56,0,0,0
1,59,38,120,0
1,61,38,0,0
1,61,0,120,0
1,59,0,0,0
1,59,38,120,0
1,61,38,0,0
1,61,0,120,0
1,59,0,0,0
1,57,43,0,0
1,69,38,240,0
1,61,32,0,0
1,61,0,240,0
1,69,0,0,0
1,57,0,0,0
1,56,43,0,0
1,59,29,240,0
1,68,34,0,0
1,61,29,0,0
1,61,0,240,0
1,56,0,0,0
1,59,0,0,0
1,68,0,0,0
1,57,44,0,0
1,69,37,240,0
1,61,31,0,0
1,61,0,240,0
1,69,0,0,0
1,57,0,0,0
1,59,50,0,0
1,65,31,240,0
1,73,38,0,0
1,73,0,240,0
1,65,0,0,0
1,59,0,0,0
1,57,47,0,0
1,69,40,240,0
1,61,33,0,0
1,61,0,240,0
1,69,0,0,0
1,57,0,0,0
1,56,51,0,0
1,61,35,240,0
1,68,42,0,0
1,59,35,0,0
1,59,0,240,0
1,56,0,0,0
1,61,0,0,0
1,68,0,0,0
1,57,51,0,0
1,69,42,240,0
1,61,35,0,0
1,61,0,240,0
1,69,0,0,0
1,57,0,0,0
1,61,55,0,0
1,70,35,240,0
1,75,42,0,0
1,75,0,240,0
1,70,0,0,0
1,61,0,0,0
1,59,52,0,0
1,71,44,240,0
1,63,38,0,0
1,63,0,240,0
1,71,0,0,0
1,59,0,0,0
1,58,56,0,0
1,63,42,240,0
1,70,49,0,0
1,61,42,0,0
1,61,0,240,0
1,58,0,0,0
1,63,0,0,0
1,70,0,0,0
1,59,59,0,0
1,71,49,240,0
1,63,43,0,0
1,63,0,240,0
1,71,0,0,0
1,59,0,0,0
1,63,61,0,0
1,72,43,240,0
1,77,50,0,0
1,77,0,240,0
1,72,0,0,0
