track,note,velocity,time,anomaly
1,66,53,2160,0
1,66,0,60,0
1,66,49,60,0
1,66,0,40,0
1,68,46,0,0
1,68,0,40,0
1,66,45,0,0
1,66,0,40,0
1,65,54,0,0
1,65,0,360,0
1,68,41,0,0
1,68,0,120,0
1,66,49,0,0
1,66,0,120,0
1,69,54,0,0
1,69,0,120,0
1,73,61,0,0
1,73,0,120,0
1,77,66,0,0
1,77,0,120,0
1,78,65,0,0
1,78,0,360,0
1,77,57,0,0
1,77,0,120,0
1,73,58,0,0
1,73,0,240,0
1,54,34,0,0
1,57,34,0,0
1,61,38,0,0
1,61,0,240,0
1,57,0,0,0
1,54,0,0,0
1,61,39,240,0
1,59,39,0,0
1,56,35,0,0
1,56,0,240,0
1,59,0,0,0
1,61,0,0,0
1,61,46,240,0
1,57,39,0,0
1,57,0,240,0
1,61,0,0,0
1,61,39,240,0
1,56,35,0,0
1,59,35,0,0
1,59,0,240,0
1,56,0,0,0
1,61,0,0,0
1,66,53,240,0
1,66,0,60,0
1,66,49,60,0
1,66,0,40,0
1,68,45,0,0
1,68,0,40,0
1,66,45,0,0
1,66,0,40,0
1,65,58,0,0
1,65,0,360,0
1,68,50,0,0
1,68,0,120,0
1,66,55,0,0
1,66,0,120,0
1,69,59,0,0
1,69,0,120,0
1,73,63,0,0
1,73,0,120,0
1,77,66,0,0
1,77,0,120,0
1,78,70,0,0
1,78,0,360,0
1,76,64,0,0
1,76,0,120,0
1,76,64,0,0
1,76,0,240,0
1,66,41,0,0
1,74,55,0,0
1,71,49,0,0
1,71,0,240,0
1,74,0,0,0
1,66,0,0,0
1,73,59,0,0
1,73,0,240,0
1,71,43,0,0
1,66,43,0,0
1,66,0,240,0
1,71,0,0,0
1,71,65,0,0
1,71,0,90,0
1,65,54,30,0
1,65,0,90,0
1,66,59,30,0
1,66,0,90,0
1,68,55,30,0
1,68,0,90,0
1,59,43,30,0
1,69,55,0,0
1,65,43,6,0
1,69,0,354,0
1,68,43,0,0
1,68,0,120,0
1,59,0,0,0
1,66,39,0,0
1,61,34,0,0
1,57,34,0,0
1,65,0,6,0
1,66,0,234,0
1,61,0,0,0
1,57,0,0,0
1,73,61,0,0
1,73,0,190,0
1,73,60,0,0
1,73,0,25,0
1,74,60,0,0
1,74,0,25,0
1,73,66,0,0
1,73,0,360,0
1,68,52,0,0
1,68,0,120,0
1,69,53,0,0
1,69,0,60,0
1,72,55,60,0
1,72,0,60,0
1,73,59,60,0
1,73,0,60,0
1,74,63,60,0
1,74,0,60,0
1,76,64,60,0
1,76,0,60,0
1,77,65,60,0
1,77,0,60,0
1,81,67,60,0
1,81,0,60,0
1,80,65,60,0
1,80,0,60,0
1,80,61,40,0
1,80,0,20,0
1,83,74,0,0
1,83,0,360,0
1,81,64,0,0
1,81,0,90,0
1,81,65,10,0
1,81,0,20,0
1,85,72,0,0
1,85,0,60,0
1,80,67,60,0
1,80,0,60,0
1,81,64,40,0
1,81,0,20,0
1,85,72,0,0
1,85,0,60,0
1,80,66,60,0
1,80,0,60,0
1,80,65,40,0
