track,note,velocity,time,anomaly
1,67,56,2160,0
1,67,43,60,1
1,67,52,60,0
1,73,0,118,2
1,69,49,0,0
1,69,0,40,0
1,67,48,0,0
1,67,0,40,0
1,66,57,0,0
1,66,0,360,0
1,69,44,0,0
1,69,0,120,0
1,66,52,20,2
1,67,54,40,2
1,70,57,0,0
1,70,0,120,0
1,74,64,0,0
1,61,76,240,3
1,78,69,0,0
1,67,66,2160,3
1,79,68,0,0
1,90,62,20,3
1,78,60,0,0
1,78,77,120,1
1,74,61,60,1
1,74,0,240,0
1,55,37,0,0
1,58,37,0,0
1,62,71,70,2
1,62,0,240,0
1,58,0,0,0
1,55,0,0,0
1,61,81,240,2
1,60,42,0,0
1,57,38,0,0
1,57,0,240,0
1,60,0,0,0
1,62,0,0,0
1,63,49,240,1
1,58,42,0,0
1,71,0,234,2
1,62,0,0,0
1,62,42,240,0
1,57,38,0,0
1,60,38,0,0
1,60,0,240,0
1,57,0,90,1
1,51,0,40,2
1,54,86,180,3
1,67,0,60,0
1,67,52,60,0
1,67,22,40,1
1,75,87,70,3
1,69,0,40,0
1,67,90,180,2
1,67,0,40,0
1,66,61,0,0
1,66,0,360,0
1,69,53,0,0
1,68,48,242,3
1,67,58,0,0
1,67,0,120,0
1,70,62,0,0
1,70,0,120,0
1,74,66,0,0
1,74,0,120,0
1,78,69,0,0
1,78,0,120,0
1,79,73,0,0
1,79,0,360,0
1,76,67,20,2
1,77,0,120,0
1,77,67,0,0
1,77,0,240,0
1,67,44,0,0
1,75,58,0,0
1,69,52,0,1
1,77,24,120,3
1,72,37,60,3
1,67,0,0,0
1,74,62,30,1
1,74,0,240,0
1,72,46,0,0
1,67,46,0,0
1,67,23,240,1
1,72,0,0,0
1,72,68,0,0
1,72,0,180,1
1,66,57,30,0
1,66,0,90,0
1,79,62,10,2
1,68,29,10,3
1,63,58,120,2
1,69,0,90,0
1,54,46,118,2
1,70,58,0,0
1,66,46,6,0
1,71,0,354,1
1,69,46,0,0
1,69,0,120,0
1,60,0,0,0
1,67,42,0,0
1,62,37,0,0
1,58,37,0,0
1,66,0,6,0
1,67,0,234,0
1,67,22,240,3
1,52,73,234,3
1,74,64,0,0
1,73,0,90,2
1,74,63,0,0
1,74,0,25,0
1,75,63,0,0
1,75,0,25,0
1,74,69,0,0
1,74,0,60,1
1,69,55,0,0
1,69,0,120,0
1,81,112,180,3
1,73,46,60,2
1,73,58,180,1
1,73,0,60,0
1,74,62,60,0
1,74,0,60,0
1,75,66,60,0
1,75,0,60,0
1,77,67,60,0
1,77,0,60,0
1,78,68,60,0
1,77,0,70,2
1,82,70,60,0
1,82,0,60,0
1,70,127,2160,3
1,81,0,60,0
1,81,64,40,0
1,81,0,20,0
1,84,77,30,1
1,84,0,360,0
1,82,67,30,1
1,82,0,90,0
1,88,102,10,2
1,94,0,40,2
1,86,75,0,0
1,86,0,60,0
1,81,70,60,0
1,80,74,90,3
1,82,67,40,0
1,82,0,20,0
1,86,75,0,0
1,86,0,60,0
1,81,127,60,1
1,81,35,60,1
1,82,108,6,3
1,81,0,20,0
1,86,75,242,1
1,86,0,120,0
1,79,68,0,0
1,79,0,240,0
1,82,70,0,0
1,82,0,240,0
1,78,64,0,0
1,67,0,240,1
1,81,68,0,0
1,81,0,240,0
1,74,64,0,0
1,74,0,240,0
1,79,67,0,0
1,79,0,70,0
1,80,126,70,3
1,74,0,25,0
1,75,58,0,0
1,75,0,25,0
1,74,67,0,0
1,74,0,360,0
1,69,55,0,0
1,69,0,120,0
1,70,56,0,0
1,76,54,90,3
1,73,58,60,0
1,62,61,0,3
1,80,62,20,2
1,74,0,60,0
1,75,64,60,0
1,75,0,60,0
1,77,127,30,2
1,77,0,60,0
1,78,68,25,1
1,78,0,60,0
1,88,70,60,1
1,82,0,60,0
1,81,68,60,0
1,81,0,60,0
1,81,64,40,0
1,81,0,20,0
1,84,75,0,0
1,84,0,360,0
1,82,127,0,1
1,82,0,90,0
1,78,63,10,0
1,78,0,20,0
1,82,73,0,0
1,79,0,60,1
1,78,67,60,0
1,78,0,60,0
1,67,119,30,3
1,78,0,20,0
1,82,73,0,0
1,82,0,60,0
1,78,64,60,0
1,78,0,60,0
1,78,62,40,0
1,78,0,20,0
1,81,70,0,0
1,81,0,120,0
1,74,117,0,1
1,77,26,240,2
1,79,61,0,0
1,79,0,90,0
1,74,57,10,0
1,74,0,20,0
1,81,66,20,2
1,70,0,60,0
1,69,58,60,0
1,69,0,60,0
1,74,57,40,0
1,74,0,20,0
1,70,64,0,0
1,70,0,60,0
1,69,55,60,0
1,69,0,60,0
1,74,56,40,0
1,74,0,20,0
1,69,68,0,0
1,67,64,120,0
1,69,0,120,0
1,70,59,6,3
1,62,58,0,0
1,62,0,70,0
1,56,50,118,2
1,57,61,0,3
1,63,50,0,0
1,63,0,25,0
1,62,62,0,0
1,62,0,360,0
1,63,81,234,3
1,57,0,10,1
1,57,127,60,3
1,58,0,60,0
1,61,63,60,0
1,73,31,2160,3
1,62,89,40,2
1,59,0,10,2
1,50,127,180,3
1,63,0,60,0
1,66,127,242,3
1,54,68,60,2
1,66,68,60,0
1,66,0,60,0
1,70,70,60,0
1,70,0,60,0
1,64,68,40,2
1,69,0,60,0
1,69,64,40,0
1,69,0,20,0
1,72,72,0,0
1,72,0,360,0
1,70,67,0,0
1,81,0,90,1
1,70,61,10,0
1,70,0,20,0
1,74,72,0,0
1,74,0,60,0
1,69,64,60,0
1,69,79,20,2
1,70,60,40,0
1,70,0,20,0
1,74,73,0,0
1,74,0,60,0
1,69,62,60,0
1,63,42,354,3
1,69,59,40,0
1,69,0,10,1
1,74,70,0,0
1,75,78,2160,3
1,62,64,6,1
1,62,0,240,0
1,67,61,0,0
1,67,0,90,0
1,62,61,10,0
1,51,39,2160,3
1,64,70,0,1
1,67,0,60,0
1,61,63,60,0
1,61,0,60,0
1,73,57,30,2
1,62,0,20,0
1,79,105,2160,3
1,67,0,60,0
1,64,106,180,3
1,61,0,60,0
1,62,58,40,0
1,62,0,20,0
1,67,68,0,0
1,57,52,120,0
1,67,0,240,0
1,66,112,40,2
1,66,0,120,0
1,57,0,0,0
1,62,49,242,1
1,62,51,40,1
1,63,49,0,0
1,69,38,242,3
1,57,49,360,2
1,62,0,40,0
1,61,57,0,0
1,48,65,234,3
1,67,77,360,3
1,62,0,60,0
1,66,66,0,0
1,66,0,30,0
1,68,62,30,0
1,68,0,30,0
1,69,64,30,0
1,58,69,0,3
1,85,91,30,2
1,73,0,30,0
1,74,69,30,0
1,87,0,242,2
1,79,66,120,0
1,73,0,60,1
1,84,122,240,3
1,79,0,20,0
1,81,58,0,0
1,81,0,20,0
1,79,58,0,0
1,79,0,20,0
1,89,67,0,1
1,78,0,180,0
1,79,63,0,0
1,79,76,240,2
1,86,74,0,0
1,86,0,120,0
1,74,64,0,0
1,74,0,240,0
1,62,40,0,0
1,62,20,20,2
1,63,52,120,1
1,62,0,40,0
1,63,52,0,0
1,75,0,360,2
1,62,52,0,0
1,62,0,40,0
1,61,61,0,0
1,61,0,180,0
1,63,105,180,3
1,62,0,60,0
1,66,64,240,1
1,66,0,30,0
1,65,84,118,3
1,68,0,30,0
1,63,114,10,3
1,69,0,30,0
1,73,68,30,0
1,73,0,30,0
1,75,116,0,3
1,74,0,240,0
1,79,64,120,0
1,79,0,60,0
1,84,118,120,3
1,79,0,20,0
1,81,59,0,0
1,81,0,20,0
1,79,59,0,0
1,79,0,20,0
1,65,127,242,3
1,78,0,180,0
1,79,64,0,0
1,79,0,60,0
1,74,104,0,2
1,86,55,234,2
1,74,54,0,0
1,74,0,240,0
1,62,35,0,0
1,62,0,120,0
1,79,64,120,0
1,79,0,60,0
1,79,59,0,0
1,79,0,20,0
1,80,102,0,2
1,81,56,20,1
1,79,60,0,0
1,79,0,20,0
1,78,103,0,1
1,91,0,180,1
1,79,126,10,2
1,73,0,70,2
1,86,77,0,0
1,86,0,120,0
1,74,64,0,0
1,74,0,240,0
1,62,97,6,2
1,62,0,120,0
1,73,63,120,0
1,73,0,240,0
1,61,41,0,0
1,61,0,120,0
1,74,64,120,0
1,69,34,70,3
1,62,41,0,0
1,62,0,120,0
1,73,122,120,1
1,73,0,240,0
1,56,41,0,1
1,61,0,120,0
1,74,57,120,0
1,74,0,240,0
1,62,39,0,0
1,63,0,0,2
1,74,55,120,0
1,85,0,240,1
1,57,104,0,2
1,62,0,120,1
1,70,107,242,2
1,80,36,40,3
1,67,49,60,0
1,73,21,30,3
1,69,49,0,0
1,69,0,40,0
1,67,48,0,0
1,67,0,40,0
1,66,61,0,0
1,66,0,360,0
1,69,53,0,0
1,69,0,120,0
1,67,58,0,0
1,67,0,120,0
1,70,62,0,0
1,70,0,120,0
1,74,127,0,1
1,80,30,25,3
1,78,68,0,0
1,78,0,120,0
1,79,68,0,0
1,79,0,360,0
1,78,64,0,0
1,78,0,120,0
1,74,62,0,0
1,74,0,240,0
1,58,37,0,0
1,55,37,0,0
1,62,41,0,0
1,65,0,10,2
1,68,48,360,3
1,58,0,0,0
1,57,63,240,1
1,60,42,0,0
1,62,42,0,0
1,62,0,240,0
1,55,63,0,2
1,57,0,0,0
1,58,42,240,0
1,62,49,0,0
1,62,0,240,0
1,63,0,0,1
1,68,106,240,2
1,60,76,0,1
1,62,42,0,0
1,51,0,6,2
1,60,50,180,2
1,57,0,0,0
1,67,56,240,0
1,80,69,25,3
1,67,52,60,0
1,67,0,40,0
1,69,52,0,0
1,69,0,40,0
1,67,52,0,0
1,67,0,40,0
1,66,61,0,0
1,66,0,360,0
